HOME/AWAY,Opponent,勝敗,y-fm_得点,y-fm_失点,Opponent_ゴール期待値,y-fm_ゴール期待値,Opponent_シュート,y-fm_シュート,Opponent_枠内シュート,y-fm_枠内シュート,Opponent_PKによるシュート,y-fm_PKによるシュート,Opponent_パス,y-fm_パス,Opponent_クロス,y-fm_クロス,Opponent_直接ＦＫ,y-fm_直接ＦＫ,Opponent_間接ＦＫ,y-fm_間接ＦＫ,Opponent_ＣＫ,y-fm_ＣＫ,Opponent_スローイン,y-fm_スローイン,Opponent_ドリブル,y-fm_ドリブル,Opponent_タックル,y-fm_タックル,Opponent_クリア,y-fm_クリア,Opponent_インターセプト,y-fm_インターセプト,Opponent_オフサイド,y-fm_オフサイド,Opponent_警告,y-fm_警告,Opponent_退場,y-fm_退場,Opponent_３０ｍライン進入,y-fm_３０ｍライン進入,Opponent_ペナルティエリア進入,y-fm_ペナルティエリア進入,Opponent_総移動距離,y-fm_総移動距離,Opponent_スプリント,y-fm_スプリント,Opponent_攻撃回数,y-fm_攻撃回数,Opponent_チャンス構築率,y-fm_チャンス構築率,Opponent_ボール保持率,y-fm_ボール保持率,URL
A,Ｇ大阪,W,3,2,0.812,3.643,10,25,4,10,0,0,418,546,17,17,15,12,1,11,7,5,26,15,8,16,25,23,21,44,2,1,11,1,0,0,0,0,28,55,12,18,"120,178m","121,420m",219,228,133,124,7.5%,20.2%,42.8%,57.2%,https://www.football-lab.jp/y-fm/report/?year=2019&month=02&date=23
H,仙台,W,2,1,1.189,3.179,5,18,2,4,1,1,293,723,11,25,13,11,2,6,4,3,18,20,10,23,30,20,26,25,0,1,6,2,1,1,0,0,13,76,4,23,"112,457m","119,772m",153,211,121,117,4.1%,15.4%,33.6%,66.4%,https://www.football-lab.jp/y-fm/report/?year=2019&month=03&date=02
H,川崎Ｆ,D,2,2,1.61,1.517,16,14,7,4,0,0,435,460,12,23,16,20,1,4,7,7,21,25,13,15,29,27,33,23,3,1,4,1,1,4,0,0,38,51,11,13,"109,810m","115,585m",193,183,128,138,12.5%,10.1%,46.6%,53.4%,https://www.football-lab.jp/y-fm/report/?year=2019&month=03&date=10
A,大分,L,0,2,1.241,1.35,8,14,4,4,0,0,352,579,11,25,10,16,3,5,2,9,29,27,3,19,29,21,38,20,0,2,5,3,1,2,0,0,20,56,7,10,"120,034m","118,262m",204,186,121,135,6.6%,10.4%,42.2%,57.8%,https://www.football-lab.jp/y-fm/report/?year=2019&month=03&date=17
H,鳥栖,D,0,0,0.659,1.761,6,20,1,6,0,0,267,650,6,16,12,15,3,6,3,9,25,30,6,11,29,24,25,20,6,2,4,3,3,1,0,0,23,61,5,11,"123,453m","122,437m",230,198,138,147,4.3%,13.6%,34.4%,65.6%,https://www.football-lab.jp/y-fm/report/?year=2019&month=03&date=29
A,浦和,W,3,0,0.97,1.458,11,14,1,9,0,0,419,659,19,14,15,11,3,3,5,4,28,18,6,7,30,22,14,31,1,3,3,3,0,0,0,0,36,51,8,20,"119,034m","127,843m",191,240,136,123,8.1%,11.4%,43.9%,56.1%,https://www.football-lab.jp/y-fm/report/?year=2019&month=04&date=05
H,名古屋,D,1,1,2.29,0.744,18,12,5,4,1,0,403,543,13,13,14,22,2,4,9,4,22,12,11,14,17,17,22,20,6,2,4,2,2,2,0,0,49,33,15,15,"115,143m","120,654m",207,234,128,119,14.1%,10.1%,42.6%,57.4%,https://www.football-lab.jp/y-fm/report/?year=2019&month=04&date=13
A,札幌,L,0,3,1.932,0.706,14,10,7,2,0,0,300,688,14,6,14,19,3,6,4,5,14,17,25,13,39,23,27,13,4,1,6,3,0,0,0,0,19,53,15,7,"118,655m","118,548m",170,182,110,119,12.7%,8.4%,36.6%,63.4%,https://www.football-lab.jp/y-fm/report/?year=2019&month=04&date=20
H,鹿島,W,2,1,0.894,1.419,7,17,4,4,0,0,262,729,9,24,9,13,2,4,3,14,22,21,7,19,23,19,31,11,6,1,4,2,0,1,0,0,24,73,3,25,"111,357m","116,416m",189,200,121,133,5.8%,12.8%,32.4%,67.6%,https://www.football-lab.jp/y-fm/report/?year=2019&month=04&date=28
A,広島,W,1,0,2.478,0.291,18,4,3,1,0,0,433,710,29,8,13,15,8,9,9,3,26,14,17,14,23,18,14,34,3,3,9,8,1,1,0,0,38,46,22,7,"121,135m","123,023m",220,239,121,117,14.9%,3.4%,40.9%,59.1%,https://www.football-lab.jp/y-fm/report/?year=2019&month=05&date=03
A,Ｃ大阪,L,0,3,1.045,0.664,12,11,6,2,0,0,256,658,17,12,19,19,2,9,4,4,13,14,12,10,20,12,16,15,8,2,9,2,0,1,0,0,21,57,15,8,"113,543m","112,968m",150,156,104,105,11.5%,10.5%,34.7%,65.3%,https://www.football-lab.jp/y-fm/report/?year=2019&month=05&date=11
H,神戸,W,4,1,1.002,2.138,13,15,6,5,0,0,384,634,13,26,11,16,2,10,3,3,15,23,9,20,14,8,19,25,3,4,10,2,2,0,0,0,26,64,14,20,"110,807m","120,420m",214,245,125,134,10.4%,11.2%,41.8%,58.2%,https://www.football-lab.jp/y-fm/report/?year=2019&month=05&date=18
H,磐田,W,4,0,1.207,3.571,14,22,1,10,0,1,312,613,11,17,14,16,4,5,5,4,20,14,12,15,15,17,25,17,4,0,5,4,1,1,0,0,29,49,9,24,"109,084m","113,518m",193,176,116,117,12.1%,18.8%,38.4%,61.6%,https://www.football-lab.jp/y-fm/report/?year=2019&month=05&date=26
A,湘南,W,2,1,1.832,2.316,8,11,5,2,0,0,236,612,11,18,14,17,2,8,2,4,35,22,8,12,19,19,31,28,2,3,8,2,0,1,0,0,22,38,7,15,"119,417m","116,506m",207,171,121,126,6.6%,8.7%,32.8%,67.2%,https://www.football-lab.jp/y-fm/report/?year=2019&month=05&date=31
A,清水,L,2,3,1.537,0.916,14,12,9,2,0,0,240,700,15,15,8,20,5,5,6,4,21,20,15,14,22,10,30,28,2,1,5,5,2,4,0,1,23,65,9,14,"116,473m","115,668m",230,191,119,126,11.8%,9.5%,31.8%,68.2%,https://www.football-lab.jp/y-fm/report/?year=2019&month=06&date=15
