HOME/AWAY,Opponent,勝敗,shon_得点,shon_失点,shon_ゴール期待値,Opponent_ゴール期待値,shon_シュート,Opponent_シュート,shon_枠内シュート,Opponent_枠内シュート,shon_PKによるシュート,Opponent_PKによるシュート,shon_パス,Opponent_パス,shon_クロス,Opponent_クロス,shon_直接ＦＫ,Opponent_直接ＦＫ,shon_間接ＦＫ,Opponent_間接ＦＫ,shon_ＣＫ,Opponent_ＣＫ,shon_スローイン,Opponent_スローイン,shon_ドリブル,Opponent_ドリブル,shon_タックル,Opponent_タックル,shon_クリア,Opponent_クリア,shon_インターセプト,Opponent_インターセプト,shon_オフサイド,Opponent_オフサイド,shon_警告,Opponent_警告,shon_退場,Opponent_退場,shon_３０ｍライン進入,Opponent_３０ｍライン進入,shon_ペナルティエリア進入,Opponent_ペナルティエリア進入,shon_総移動距離,Opponent_総移動距離,shon_スプリント,Opponent_スプリント,shon_攻撃回数,Opponent_攻撃回数,shon_チャンス構築率,Opponent_チャンス構築率,shon_ボール保持率,Opponent_ボール保持率,URL
H,札幌,W,2,0,1.313,1.098,12,11,6,2,0,0,330,573,15,23,11,21,1,1,5,4,19,22,18,16,25,34,33,22,5,1,1,1,1,2,0,0,28,52,12,16,"121,263m","115,321m",197,158,135,138,8.9%,8.0%,40.1%,59.9%,https://www.football-lab.jp/shon/report/?year=2019&month=02&date=23
H,FC東京,L,2,3,0.849,2.835,9,19,2,7,0,1,420,402,18,15,13,10,1,0,2,6,21,20,10,15,28,25,24,19,2,3,0,1,3,1,0,0,35,36,9,19,"116,556m","110,785m",201,205,119,116,7.6%,16.4%,50.1%,49.9%,https://www.football-lab.jp/shon/report/?year=2019&month=03&date=02
A,鹿島,L,0,1,0.708,1.717,9,15,1,5,0,0,325,511,13,14,11,9,3,2,1,6,27,25,9,12,21,19,29,17,3,1,2,3,3,2,1,0,34,56,11,11,"109,677m","106,516m",212,175,113,118,8.0%,12.7%,42.5%,57.5%,https://www.football-lab.jp/shon/report/?year=2019&month=03&date=09
H,仙台,W,2,1,1.189,0.963,18,13,6,3,0,0,456,582,17,13,12,9,3,2,5,2,16,27,14,12,31,28,30,19,3,0,1,3,1,0,0,0,48,41,13,12,"127,394m","120,039m",194,158,123,132,14.6%,9.8%,46%,54%,https://www.football-lab.jp/shon/report/?year=2019&month=03&date=17
A,清水,W,3,1,2.758,0.802,17,10,3,2,0,0,338,486,10,14,13,16,1,0,8,3,15,33,13,15,23,18,41,17,1,3,0,1,2,2,0,0,26,45,10,13,"112,568m","106,534m",150,132,116,126,14.7%,7.9%,44.2%,55.8%,https://www.football-lab.jp/shon/report/?year=2019&month=03&date=31
H,磐田,L,0,2,0.644,2.272,8,18,4,1,0,0,325,370,10,6,13,19,1,3,2,8,19,17,9,2,18,21,21,17,1,3,3,1,3,3,0,0,34,31,12,7,"110,667m","109,393m",195,210,111,124,7.2%,14.5%,44.7%,55.3%,https://www.football-lab.jp/shon/report/?year=2019&month=04&date=06
H,松本,D,1,1,0.808,0.745,10,10,2,2,0,0,415,316,20,20,13,11,2,2,4,7,30,29,13,18,26,33,32,25,1,2,2,2,2,1,0,0,34,29,12,11,"117,865m","117,099m",201,209,133,135,7.5%,7.4%,53.2%,46.8%,https://www.football-lab.jp/shon/report/?year=2019&month=04&date=14
A,川崎Ｆ,L,0,2,0.314,1.217,9,12,2,3,0,0,570,724,12,8,7,7,1,1,8,6,16,22,8,6,21,19,14,23,5,5,1,1,1,0,0,0,44,68,2,12,"123,064m","115,168m",150,167,103,105,8.7%,11.4%,47.4%,52.6%,https://www.football-lab.jp/shon/report/?year=2019&month=04&date=19
A,鳥栖,W,2,0,3.022,0.992,20,10,7,3,0,0,317,374,12,21,11,15,4,1,6,6,28,19,9,10,14,15,33,19,2,2,0,4,2,2,0,0,37,34,8,13,"113,670m","105,466m",186,159,134,131,14.9%,7.6%,44.1%,55.9%,https://www.football-lab.jp/shon/report/?year=2019&month=04&date=28
H,名古屋,D,1,1,1.872,2.744,13,21,2,4,1,0,302,579,12,11,11,17,3,1,3,7,20,18,15,13,22,20,28,22,1,3,1,3,3,1,0,0,31,61,10,20,"116,424m","113,194m",178,178,135,136,9.6%,15.4%,43.3%,56.7%,https://www.football-lab.jp/shon/report/?year=2019&month=05&date=04
