HOME/AWAY,Opponent,勝敗,send_得点,send_失点,send_ゴール期待値,Opponent_ゴール期待値,send_シュート,Opponent_シュート,send_枠内シュート,Opponent_枠内シュート,send_PKによるシュート,Opponent_PKによるシュート,send_パス,Opponent_パス,send_クロス,Opponent_クロス,send_直接ＦＫ,Opponent_直接ＦＫ,send_間接ＦＫ,Opponent_間接ＦＫ,send_ＣＫ,Opponent_ＣＫ,send_スローイン,Opponent_スローイン,send_ドリブル,Opponent_ドリブル,send_タックル,Opponent_タックル,send_クリア,Opponent_クリア,send_インターセプト,Opponent_インターセプト,send_オフサイド,Opponent_オフサイド,send_警告,Opponent_警告,send_退場,Opponent_退場,send_３０ｍライン進入,Opponent_３０ｍライン進入,send_ペナルティエリア進入,Opponent_ペナルティエリア進入,send_総移動距離,Opponent_総移動距離,send_スプリント,Opponent_スプリント,send_攻撃回数,Opponent_攻撃回数,send_チャンス構築率,Opponent_チャンス構築率,send_ボール保持率,Opponent_ボール保持率,URL
A,FC東京,L,0,1,0.64,1.354,13,9,1,2,0,1,429,393,20,9,11,9,0,2,6,4,15,21,16,12,16,16,16,19,1,2,2,0,4,0,0,0,37,36,8,9,"100,780m","104,427m",133,144,103,99,12.6%,9.1%,52.1%,47.9%,https://www.football-lab.jp/send/report/?year=2019&month=08&date=10
H,川崎Ｆ,D,2,2,1.395,1.832,9,13,3,3,0,0,263,738,8,17,9,12,1,2,6,7,11,20,6,7,14,23,26,10,2,0,2,1,1,2,0,0,21,65,7,20,"103,559m","104,532m",98,104,90,100,10.0%,13.0%,33.3%,66.7%,https://www.football-lab.jp/send/report/?year=2019&month=08&date=17
H,湘南,D,1,1,2.235,2.306,19,12,2,4,0,0,407,346,23,19,9,10,3,4,5,3,38,23,13,9,18,15,25,48,3,1,4,3,1,1,0,0,29,37,16,11,"106,966m","114,132m",162,183,137,126,13.9%,9.5%,55.2%,44.8%,https://www.football-lab.jp/send/report/?year=2019&month=08&date=24
A,鳥栖,L,1,2,0.994,2.475,13,22,3,7,0,1,336,498,13,27,11,6,3,1,4,8,14,21,7,21,23,8,42,19,2,1,1,3,0,2,0,0,32,58,11,19,"109,991m","115,712m",153,160,111,122,11.7%,18.0%,41.3%,58.7%,https://www.football-lab.jp/send/report/?year=2019&month=08&date=31
A,札幌,W,3,1,2.622,0.787,16,8,8,3,0,0,256,592,12,21,17,10,5,5,6,7,8,12,21,14,22,17,25,17,4,2,5,4,1,2,0,0,27,60,11,15,"107,909m","110,142m",152,175,116,113,13.8%,7.1%,36.3%,63.7%,https://www.football-lab.jp/send/report/?year=2019&month=09&date=14
H,横浜FM,D,1,1,1.006,1.191,13,17,5,5,0,0,301,686,10,21,11,14,3,6,4,9,26,15,7,14,24,13,22,25,3,3,5,3,2,2,0,0,17,62,10,18,"112,037m","117,252m",183,192,131,123,9.9%,13.8%,35.5%,64.5%,https://www.football-lab.jp/send/report/?year=2019&month=09&date=28
H,松本,L,0,1,2.56,0.941,29,12,5,5,0,0,681,290,43,6,4,9,1,0,13,7,29,13,36,4,22,22,10,40,2,1,0,1,0,0,0,0,63,20,21,9,"112,291m","117,328m",105,144,121,113,24.0%,10.6%,63.5%,36.5%,https://www.football-lab.jp/send/report/?year=2019&month=10&date=05
A,名古屋,W,2,0,2.209,1.215,11,16,5,5,1,0,302,763,13,34,8,9,1,2,3,8,13,12,9,17,13,16,43,17,2,1,2,1,0,2,0,0,32,85,9,25,"109,077m","112,420m",134,114,108,102,10.2%,15.7%,37.4%,62.6%,https://www.football-lab.jp/send/report/?year=2019&month=10&date=19
A,神戸,L,0,2,1.096,0.849,15,10,3,5,0,0,444,656,9,8,11,12,4,0,7,3,21,14,11,13,19,18,7,18,0,4,0,4,1,0,0,0,29,42,6,12,"108,959m","108,651m",149,163,115,113,13.0%,8.8%,39.8%,60.2%,https://www.football-lab.jp/send/report/?year=2019&month=11&date=02
H,清水,W,2,0,2.172,1.119,17,13,6,0,0,0,291,570,18,30,14,16,1,0,6,8,15,19,15,26,28,17,35,26,0,1,0,1,1,2,0,0,31,46,18,15,"109,034m","107,915m",168,162,118,127,14.4%,10.2%,39.7%,60.3%,https://www.football-lab.jp/send/report/?year=2019&month=11&date=10
A,Ｇ大阪,L,0,2,0.616,2.675,10,20,2,5,0,0,372,777,9,41,10,5,0,4,3,6,24,17,14,15,21,25,29,16,2,2,4,0,0,0,0,0,37,77,6,26,"111,624m","116,911m",183,233,115,110,8.7%,18.2%,37.6%,62.4%,https://www.football-lab.jp/send/report/?year=2019&month=11&date=23
H,大分,W,2,0,0.708,0.67,11,9,3,3,0,0,244,771,5,35,12,6,1,2,3,6,12,19,4,13,13,14,32,17,2,2,2,0,0,1,0,0,17,76,2,11,"115,142m","115,663m",156,148,96,101,11.5%,8.9%,29%,71%,https://www.football-lab.jp/send/report/?year=2019&month=11&date=30
A,広島,L,0,1,0.461,1.658,5,19,0,5,0,0,338,796,9,29,11,11,2,1,5,7,19,34,7,7,19,12,34,20,4,5,1,2,0,1,0,0,18,71,3,24,"109,546m","111,960m",139,150,110,126,4.5%,15.1%,34.6%,65.4%,https://www.football-lab.jp/send/report/?year=2019&month=12&date=07
