HOME/AWAY,Opponent,勝敗,fctk_得点,fctk_失点,Opponent_ゴール期待値,fctk_ゴール期待値,Opponent_シュート,fctk_シュート,Opponent_枠内シュート,fctk_枠内シュート,Opponent_PKによるシュート,fctk_PKによるシュート,Opponent_パス,fctk_パス,Opponent_クロス,fctk_クロス,Opponent_直接ＦＫ,fctk_直接ＦＫ,Opponent_間接ＦＫ,fctk_間接ＦＫ,Opponent_ＣＫ,fctk_ＣＫ,Opponent_スローイン,fctk_スローイン,Opponent_ドリブル,fctk_ドリブル,Opponent_タックル,fctk_タックル,Opponent_クリア,fctk_クリア,Opponent_インターセプト,fctk_インターセプト,Opponent_オフサイド,fctk_オフサイド,Opponent_警告,fctk_警告,Opponent_退場,fctk_退場,Opponent_３０ｍライン進入,fctk_３０ｍライン進入,Opponent_ペナルティエリア進入,fctk_ペナルティエリア進入,Opponent_総移動距離,fctk_総移動距離,Opponent_スプリント,fctk_スプリント,Opponent_攻撃回数,fctk_攻撃回数,Opponent_チャンス構築率,fctk_チャンス構築率,Opponent_ボール保持率,fctk_ボール保持率,URL
A,川崎Ｆ,D,0,0,1.365,0.679,16,6,8,1,0,0,736,388,16,10,8,13,2,0,8,5,20,22,17,13,25,28,24,26,2,1,0,2,3,2,0,0,67,29,21,8,"104,323m","109,799m",160,179,113,113,14.2%,5.3%,62%,38%,https://www.football-lab.jp/fctk/report/?year=2019&month=02&date=23
A,湘南,W,3,2,0.849,2.835,9,19,2,7,0,1,420,402,18,15,13,10,1,0,2,6,21,20,10,15,28,25,24,19,2,3,0,1,3,1,0,0,35,36,9,19,"116,556m","110,785m",201,205,119,116,7.6%,16.4%,50.1%,49.9%,https://www.football-lab.jp/fctk/report/?year=2019&month=03&date=02
H,鳥栖,W,2,0,0.906,1.754,7,16,1,6,0,0,377,472,9,17,11,11,1,3,5,6,37,23,14,12,22,22,23,26,0,1,3,1,3,1,1,0,19,49,4,12,"108,897m","110,155m",151,160,138,121,5.1%,13.2%,45.7%,54.3%,https://www.football-lab.jp/fctk/report/?year=2019&month=03&date=10
H,名古屋,W,1,0,1.411,0.899,14,13,6,4,0,0,606,283,18,8,10,13,1,3,6,3,28,24,16,11,22,33,27,48,1,0,3,1,2,0,0,0,60,26,18,9,"109,667m","110,369m",157,197,133,125,10.5%,10.4%,61.3%,38.7%,https://www.football-lab.jp/fctk/report/?year=2019&month=03&date=17
A,浦和,D,1,1,0.892,0.328,11,7,4,3,0,0,696,345,18,6,14,10,3,2,5,1,21,18,9,7,17,24,11,29,0,3,2,3,0,2,0,0,56,26,4,7,"109,238m","110,522m",107,156,120,107,9.2%,6.5%,63.2%,36.8%,https://www.football-lab.jp/fctk/report/?year=2019&month=03&date=30
H,清水,W,2,1,1.177,1.294,16,12,6,7,0,0,441,517,20,19,9,10,4,2,3,7,20,25,11,13,27,13,34,32,3,2,2,4,1,1,0,0,39,51,15,19,"114,830m","115,906m",196,213,131,135,12.2%,8.9%,47.9%,52.1%,https://www.football-lab.jp/fctk/report/?year=2019&month=04&date=06
H,鹿島,W,3,1,0.835,1.112,13,10,5,3,0,0,641,305,21,7,12,11,1,0,12,6,19,18,11,15,25,18,18,32,1,3,0,1,0,0,0,0,70,33,15,9,"109,192m","111,809m",161,176,128,118,10.2%,8.5%,64.6%,35.4%,https://www.football-lab.jp/fctk/report/?year=2019&month=04&date=14
A,広島,W,1,0,0.271,0.637,5,5,1,2,0,0,552,470,18,11,12,12,1,3,5,3,26,30,10,7,20,9,19,27,1,2,3,1,1,0,0,0,54,38,5,13,"111,275m","111,385m",143,159,103,102,4.9%,4.9%,55.1%,44.9%,https://www.football-lab.jp/fctk/report/?year=2019&month=04&date=19
H,松本,W,2,0,0.452,1.764,11,12,5,5,0,1,385,484,15,13,11,12,1,2,5,10,32,21,15,13,24,24,29,27,4,0,2,1,3,1,0,0,26,38,4,19,"108,674m","105,525m",174,167,119,115,9.2%,10.4%,44.9%,55.1%,https://www.football-lab.jp/fctk/report/?year=2019&month=04&date=28
A,Ｇ大阪,D,0,0,1.512,1.249,18,14,4,2,0,0,603,352,17,12,11,18,0,0,7,2,22,20,13,15,25,20,12,22,2,1,0,0,4,2,0,0,51,32,12,9,"109,143m","106,894m",147,133,113,110,15.9%,12.7%,62.6%,37.4%,https://www.football-lab.jp/fctk/report/?year=2019&month=05&date=04
