HOME/AWAY,Opponent,勝敗,uraw_得点,uraw_失点,Opponent_ゴール期待値,uraw_ゴール期待値,Opponent_シュート,uraw_シュート,Opponent_枠内シュート,uraw_枠内シュート,Opponent_PKによるシュート,uraw_PKによるシュート,Opponent_パス,uraw_パス,Opponent_クロス,uraw_クロス,Opponent_直接ＦＫ,uraw_直接ＦＫ,Opponent_間接ＦＫ,uraw_間接ＦＫ,Opponent_ＣＫ,uraw_ＣＫ,Opponent_スローイン,uraw_スローイン,Opponent_ドリブル,uraw_ドリブル,Opponent_タックル,uraw_タックル,Opponent_クリア,uraw_クリア,Opponent_インターセプト,uraw_インターセプト,Opponent_オフサイド,uraw_オフサイド,Opponent_警告,uraw_警告,Opponent_退場,uraw_退場,Opponent_３０ｍライン進入,uraw_３０ｍライン進入,Opponent_ペナルティエリア進入,uraw_ペナルティエリア進入,Opponent_総移動距離,uraw_総移動距離,Opponent_スプリント,uraw_スプリント,Opponent_攻撃回数,uraw_攻撃回数,Opponent_チャンス構築率,uraw_チャンス構築率,Opponent_ボール保持率,uraw_ボール保持率,URL
A,仙台,D,0,0,0.479,0.922,8,10,3,2,0,0,287,650,8,19,18,21,2,1,2,2,15,17,16,7,21,26,28,16,2,1,1,2,2,2,0,0,24,46,6,10,"108,328m","107,747m",150,141,120,122,6.7%,8.2%,38.3%,61.7%,https://www.football-lab.jp/uraw/report/?year=2019&month=02&date=23
H,札幌,L,0,2,2.434,0.963,23,16,6,5,0,0,560,495,11,14,13,26,2,1,4,5,16,25,18,9,21,24,27,20,4,3,1,2,2,2,0,0,35,40,15,11,"121,779m","114,489m",175,177,122,137,18.9%,11.7%,52.7%,47.3%,https://www.football-lab.jp/uraw/report/?year=2019&month=03&date=02
A,松本,W,1,0,1.767,1.271,10,7,2,2,0,1,345,360,14,13,13,9,5,5,8,6,35,29,11,10,14,17,27,41,0,5,3,5,1,1,0,0,21,19,4,5,"106,928m","104,491m",160,131,151,146,6.6%,4.8%,51.4%,48.6%,https://www.football-lab.jp/uraw/report/?year=2019&month=03&date=09
A,Ｃ大阪,W,2,1,2.213,1.528,21,11,3,3,0,1,625,401,21,7,13,12,1,2,5,4,21,14,13,5,5,14,15,31,3,2,2,1,0,2,0,0,64,30,18,5,"112,495m","115,288m",131,121,103,97,20.4%,11.3%,59.8%,40.2%,https://www.football-lab.jp/uraw/report/?year=2019&month=03&date=17
H,FC東京,D,1,1,0.328,0.892,7,11,3,4,0,0,345,696,6,18,10,14,2,3,1,5,18,21,7,9,24,17,29,11,3,0,3,2,2,0,0,0,26,56,7,4,"110,522m","109,238m",156,107,107,120,6.5%,9.2%,36.8%,63.2%,https://www.football-lab.jp/uraw/report/?year=2019&month=03&date=30
H,横浜FM,L,0,3,1.458,0.97,14,11,9,1,0,0,659,419,14,19,11,15,3,3,4,5,18,28,7,6,22,30,31,14,3,1,3,3,0,0,0,0,51,36,20,8,"127,843m","119,034m",240,191,123,136,11.4%,8.1%,56.1%,43.9%,https://www.football-lab.jp/uraw/report/?year=2019&month=04&date=05
A,Ｇ大阪,W,1,0,0.685,0.502,13,13,3,3,0,0,544,369,16,11,9,14,3,4,8,2,33,23,16,13,20,32,24,26,4,5,4,3,2,1,0,0,39,34,11,11,"109,733m","106,802m",152,125,119,111,10.9%,11.7%,55.5%,44.5%,https://www.football-lab.jp/uraw/report/?year=2019&month=04&date=14
H,神戸,W,1,0,1.694,1.464,14,6,6,3,0,1,725,232,16,9,11,13,0,1,8,5,32,23,14,9,25,29,12,37,2,3,1,0,2,1,0,0,72,16,20,7,"106,624m","107,997m",160,161,128,123,10.9%,4.9%,70.7%,29.3%,https://www.football-lab.jp/uraw/report/?year=2019&month=04&date=20
A,清水,W,2,0,0.504,0.903,7,10,3,4,0,0,566,705,8,14,6,5,2,2,1,4,24,11,14,7,15,20,12,18,1,5,2,2,0,0,0,0,37,40,8,8,"120,694m","119,390m",178,159,107,109,6.5%,9.2%,46.7%,53.3%,https://www.football-lab.jp/uraw/report/?year=2019&month=04&date=28
H,磐田,L,0,1,1.468,0.63,19,10,8,1,0,0,397,622,15,15,18,9,3,0,6,5,20,13,11,7,22,17,29,20,0,1,0,3,0,0,0,0,37,48,20,11,"114,975m","112,132m",166,171,117,106,16.2%,9.4%,42.7%,57.3%,https://www.football-lab.jp/uraw/report/?year=2019&month=05&date=03
A,名古屋,L,0,2,2.149,0.547,17,5,9,1,0,0,752,327,12,8,18,11,0,3,7,4,25,13,17,7,18,27,17,21,4,2,3,0,0,3,0,0,64,23,22,5,"113,546m","108,478m",186,149,119,102,14.3%,4.9%,63.8%,36.2%,https://www.football-lab.jp/uraw/report/?year=2019&month=05&date=12
H,湘南,L,2,3,0.93,1.525,14,17,5,4,0,0,378,352,13,14,21,14,0,0,3,2,41,19,23,15,25,35,24,25,2,2,0,0,4,1,0,0,31,34,7,24,"118,802m","116,376m",190,238,154,137,9.1%,12.4%,51.2%,48.8%,https://www.football-lab.jp/uraw/report/?year=2019&month=05&date=17
H,広島,L,0,4,2.208,1.25,14,11,7,2,0,0,328,656,9,13,21,12,2,2,4,3,13,28,12,11,16,20,23,18,4,1,2,1,0,4,0,0,31,61,15,13,"114,260m","108,706m",143,160,111,109,12.6%,10.1%,39.7%,60.3%,https://www.football-lab.jp/uraw/report/?year=2019&month=05&date=26
A,川崎Ｆ,D,1,1,2.539,0.621,17,8,5,3,0,0,697,399,14,9,16,8,2,0,6,4,17,18,12,8,19,33,24,22,1,1,0,2,1,1,0,0,61,27,13,7,"104,104m","107,971m",159,158,113,107,15.0%,7.5%,61%,39%,https://www.football-lab.jp/uraw/report/?year=2019&month=06&date=01
H,鳥栖,W,2,1,1.386,1.129,12,15,4,6,0,0,344,483,18,8,15,14,3,1,5,4,24,26,20,9,12,17,23,30,4,0,1,3,1,3,0,0,34,28,10,11,"112,844m","109,327m",177,156,110,110,10.9%,13.6%,45.8%,54.2%,https://www.football-lab.jp/uraw/report/?year=2019&month=06&date=15
A,大分,L,0,2,1.8,0.555,15,11,6,1,0,0,568,427,10,21,18,10,2,0,3,7,9,17,7,12,18,17,25,12,2,4,0,2,2,2,0,0,28,38,7,13,"111,317m","110,006m",147,162,94,92,16.0%,12.0%,56.3%,43.7%,https://www.football-lab.jp/uraw/report/?year=2019&month=06&date=30
H,仙台,W,1,0,0.315,1.35,3,16,1,4,0,0,337,696,7,14,10,19,1,1,2,4,9,17,7,10,22,16,25,17,1,3,1,1,4,0,1,0,26,82,5,12,"104,042m","106,401m",151,119,93,113,3.2%,14.2%,38%,62%,https://www.football-lab.jp/uraw/report/?year=2019&month=07&date=06
A,横浜FM,L,1,3,3.179,0.49,23,5,6,2,1,0,697,306,18,8,6,12,9,2,5,2,18,18,11,8,17,17,16,17,1,5,2,9,0,2,0,0,70,22,22,7,"114,887m","107,299m",194,163,105,105,21.9%,4.8%,64%,36%,https://www.football-lab.jp/uraw/report/?year=2019&month=07&date=13
A,磐田,W,3,1,0.798,0.965,13,12,6,4,0,0,434,564,14,12,15,9,3,2,6,1,19,10,7,16,17,21,13,31,4,1,2,3,0,2,0,1,32,38,8,12,"111,416m","109,200m",141,141,108,94,12.0%,12.8%,45.2%,54.8%,https://www.football-lab.jp/uraw/report/?year=2019&month=07&date=20
H,鹿島,D,1,1,1.683,2.245,13,14,5,4,0,0,381,549,15,19,15,8,1,0,5,5,25,15,11,12,18,16,23,23,2,4,0,1,0,0,0,0,31,58,16,15,"106,582m","104,956m",135,127,120,106,10.8%,13.2%,43.6%,56.4%,https://www.football-lab.jp/uraw/report/?year=2019&month=07&date=31
H,名古屋,D,2,2,2.368,1.611,19,20,6,6,0,0,496,667,9,18,11,7,1,1,8,4,7,17,11,15,28,21,22,15,5,3,1,1,0,0,0,0,34,56,18,18,"106,824m","108,565m",135,128,107,109,17.8%,18.3%,42%,58%,https://www.football-lab.jp/uraw/report/?year=2019&month=08&date=04
A,札幌,D,1,1,1.966,1.433,18,10,5,6,0,0,392,617,17,11,19,12,1,2,2,3,10,12,13,13,21,17,10,18,4,2,2,1,1,0,0,0,33,30,10,12,"110,314m","105,623m",167,156,105,103,17.1%,9.7%,39.8%,60.2%,https://www.football-lab.jp/uraw/report/?year=2019&month=08&date=10
A,神戸,L,0,3,2.579,0.994,19,11,8,4,1,0,523,509,8,19,11,16,2,4,9,4,9,9,11,7,14,20,15,18,3,2,4,2,1,2,0,0,40,36,10,10,"108,882m","105,069m",131,138,94,96,20.2%,11.5%,52.5%,47.5%,https://www.football-lab.jp/uraw/report/?year=2019&month=08&date=17
H,松本,L,1,2,0.677,1.529,12,16,5,3,0,0,378,668,12,17,12,11,3,0,8,3,16,15,6,19,14,12,24,23,2,1,0,2,1,1,0,0,19,49,10,16,"115,124m","109,188m",129,139,115,103,10.4%,15.5%,38.3%,61.7%,https://www.football-lab.jp/uraw/report/?year=2019&month=08&date=23
A,湘南,D,1,1,1.966,0.667,13,6,4,5,1,0,399,379,23,5,15,14,2,3,8,2,25,17,16,4,12,28,16,37,3,2,3,2,0,2,0,0,46,20,15,9,"109,371m","102,883m",145,138,122,100,10.7%,6.0%,50.3%,49.7%,https://www.football-lab.jp/uraw/report/?year=2019&month=09&date=01
H,Ｃ大阪,L,1,2,0.615,1.639,8,14,2,2,0,0,475,454,12,18,18,9,2,1,1,6,12,15,11,16,19,21,32,14,2,4,1,2,2,4,0,1,32,39,8,9,"117,724m","113,823m",162,159,107,109,7.5%,12.8%,51.7%,48.3%,https://www.football-lab.jp/uraw/report/?year=2019&month=09&date=13
A,鳥栖,D,3,3,1.879,3.315,18,20,7,7,0,1,437,316,21,14,9,16,0,3,4,6,21,12,12,12,13,20,26,28,3,5,3,0,1,2,0,0,38,30,16,9,"108,250m","109,866m",118,114,111,119,16.2%,16.8%,58.2%,41.8%,https://www.football-lab.jp/uraw/report/?year=2019&month=09&date=28
H,清水,W,2,1,0.42,1.294,6,13,2,5,0,0,372,640,11,18,13,11,2,1,2,5,17,12,11,16,16,17,22,22,3,3,1,2,0,0,0,0,28,62,4,9,"108,778m","109,791m",128,107,102,103,5.9%,12.6%,39.1%,60.9%,https://www.football-lab.jp/uraw/report/?year=2019&month=10&date=06
