HOME/AWAY,Opponent,勝敗,c-os_得点,c-os_失点,c-os_ゴール期待値,Opponent_ゴール期待値,c-os_シュート,Opponent_シュート,c-os_枠内シュート,Opponent_枠内シュート,c-os_PKによるシュート,Opponent_PKによるシュート,c-os_パス,Opponent_パス,c-os_クロス,Opponent_クロス,c-os_直接ＦＫ,Opponent_直接ＦＫ,c-os_間接ＦＫ,Opponent_間接ＦＫ,c-os_ＣＫ,Opponent_ＣＫ,c-os_スローイン,Opponent_スローイン,c-os_ドリブル,Opponent_ドリブル,c-os_タックル,Opponent_タックル,c-os_クリア,Opponent_クリア,c-os_インターセプト,Opponent_インターセプト,c-os_オフサイド,Opponent_オフサイド,c-os_警告,Opponent_警告,c-os_退場,Opponent_退場,c-os_３０ｍライン進入,Opponent_３０ｍライン進入,c-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,c-os_総移動距離,Opponent_総移動距離,c-os_スプリント,Opponent_スプリント,c-os_攻撃回数,Opponent_攻撃回数,c-os_チャンス構築率,Opponent_チャンス構築率,c-os_ボール保持率,Opponent_ボール保持率,URL
H,神戸,W,1,0,1.208,1.299,11,15,4,5,0,0,454,749,4,11,14,12,2,2,4,4,8,15,9,7,13,12,17,5,5,3,2,2,2,0,0,0,29,76,8,19,"115,319m","106,386m",143,132,99,100,11.1%,15.0%,38.8%,61.2%,https://www.football-lab.jp/c-os/report/?year=2019&month=02&date=22
A,名古屋,L,0,2,0.423,1.17,4,15,2,4,0,0,403,651,6,17,16,8,1,4,0,8,8,21,10,15,29,23,24,15,0,2,4,0,1,1,0,0,27,79,3,16,"109,929m","113,858m",130,136,102,107,3.9%,14.0%,42.4%,57.6%,https://www.football-lab.jp/c-os/report/?year=2019&month=03&date=02
H,広島,L,0,1,0.711,0.688,12,10,2,2,0,0,842,350,23,13,12,10,0,1,3,1,24,15,9,8,16,23,14,22,2,6,1,0,3,1,0,0,69,30,15,10,"119,411m","122,417m",133,130,120,116,10.0%,8.6%,67%,33%,https://www.football-lab.jp/c-os/report/?year=2019&month=03&date=09
H,浦和,L,1,2,2.213,1.528,21,11,3,3,0,1,625,401,21,7,13,12,1,2,5,4,21,14,13,5,5,14,15,31,3,2,2,1,0,2,0,0,64,30,18,5,"112,495m","115,288m",131,121,103,97,20.4%,11.3%,59.8%,40.2%,https://www.football-lab.jp/c-os/report/?year=2019&month=03&date=17
A,仙台,W,2,0,1.227,1.312,13,13,4,3,0,0,564,478,14,13,16,7,0,6,2,2,11,29,16,5,19,22,28,22,3,4,6,0,1,0,0,0,43,42,14,5,"118,839m","117,480m",179,154,128,135,10.2%,9.6%,54.3%,45.7%,https://www.football-lab.jp/c-os/report/?year=2019&month=03&date=30
A,川崎Ｆ,D,1,1,0.424,1.193,6,13,2,5,0,0,439,711,13,20,10,11,0,0,6,11,14,23,7,15,22,20,34,17,2,3,0,0,1,0,0,0,31,61,13,20,"115,849m","112,543m",157,165,119,124,5.0%,10.5%,44.3%,55.7%,https://www.football-lab.jp/c-os/report/?year=2019&month=04&date=05
H,札幌,L,0,1,0.731,1.832,11,14,7,7,0,0,511,466,20,15,11,9,3,0,11,6,19,13,17,13,14,21,20,28,1,2,0,3,1,2,0,0,43,52,13,17,"113,201m","117,950m",159,186,106,93,10.4%,15.1%,53%,47%,https://www.football-lab.jp/c-os/report/?year=2019&month=04&date=13
A,清水,L,0,1,1.841,1.027,15,13,3,3,0,0,591,303,21,17,12,9,1,1,6,7,23,23,5,9,15,13,32,23,2,3,1,1,0,1,0,0,44,20,13,14,"109,826m","111,093m",128,146,117,113,12.8%,11.5%,62.2%,37.8%,https://www.football-lab.jp/c-os/report/?year=2019&month=04&date=20
H,大分,D,0,0,1.412,0.551,11,7,1,1,0,0,454,681,11,23,10,10,2,1,3,2,24,16,11,5,11,10,23,18,2,1,1,2,0,0,0,0,34,45,14,8,"120,280m","115,188m",142,175,96,90,11.5%,7.8%,42.3%,57.7%,https://www.football-lab.jp/c-os/report/?year=2019&month=04&date=27
A,松本,W,2,0,2.061,0.98,21,10,5,2,0,0,454,299,17,16,15,10,1,1,3,6,15,25,12,15,35,15,33,25,1,1,1,0,0,0,0,0,39,28,12,10,"114,282m","116,011m",144,189,116,112,18.1%,8.9%,57.6%,42.4%,https://www.football-lab.jp/c-os/report/?year=2019&month=05&date=04
H,横浜FM,W,3,0,1.045,0.664,12,11,6,2,0,0,256,658,17,12,19,19,2,9,4,4,13,14,12,10,20,12,16,15,8,2,9,2,0,1,0,0,21,57,15,8,"113,543m","112,968m",150,156,104,105,11.5%,10.5%,34.7%,65.3%,https://www.football-lab.jp/c-os/report/?year=2019&month=05&date=11
A,Ｇ大阪,L,0,1,1.402,0.833,13,11,6,4,0,0,525,547,22,8,12,11,4,1,2,2,29,19,12,21,26,25,16,31,3,2,0,4,1,0,0,0,58,49,16,8,"120,438m","120,299m",122,176,120,119,10.8%,9.2%,49%,51%,https://www.football-lab.jp/c-os/report/?year=2019&month=05&date=18
