HOME/AWAY,Opponent,勝敗,oita_得点,oita_失点,Opponent_ゴール期待値,oita_ゴール期待値,Opponent_シュート,oita_シュート,Opponent_枠内シュート,oita_枠内シュート,Opponent_PKによるシュート,oita_PKによるシュート,Opponent_パス,oita_パス,Opponent_クロス,oita_クロス,Opponent_直接ＦＫ,oita_直接ＦＫ,Opponent_間接ＦＫ,oita_間接ＦＫ,Opponent_ＣＫ,oita_ＣＫ,Opponent_スローイン,oita_スローイン,Opponent_ドリブル,oita_ドリブル,Opponent_タックル,oita_タックル,Opponent_クリア,oita_クリア,Opponent_インターセプト,oita_インターセプト,Opponent_オフサイド,oita_オフサイド,Opponent_警告,oita_警告,Opponent_退場,oita_退場,Opponent_３０ｍライン進入,oita_３０ｍライン進入,Opponent_ペナルティエリア進入,oita_ペナルティエリア進入,Opponent_総移動距離,oita_総移動距離,Opponent_スプリント,oita_スプリント,Opponent_攻撃回数,oita_攻撃回数,Opponent_チャンス構築率,oita_チャンス構築率,Opponent_ボール保持率,oita_ボール保持率,URL
A,鳥栖,D,2,2,1.322,1.196,17,9,5,3,0,0,319,676,7,25,16,11,2,1,4,3,10,12,12,10,9,13,24,19,1,1,1,2,2,2,0,0,31,42,7,18,"110,899m","109,367m",137,144,86,83,19.8%,10.8%,36.5%,63.5%,https://www.football-lab.jp/oita/report/?year=2019&month=08&date=04
H,神戸,D,1,1,0.491,0.678,9,7,3,4,0,0,602,461,9,10,10,10,1,0,3,5,15,12,14,9,13,14,12,14,2,4,0,1,0,0,0,0,36,23,10,9,"106,006m","109,909m",138,141,85,86,10.6%,8.1%,56.7%,43.3%,https://www.football-lab.jp/oita/report/?year=2019&month=08&date=10
H,鹿島,L,0,1,0.663,0.41,6,2,3,1,0,0,428,670,6,15,11,8,0,1,3,3,20,20,6,7,20,10,13,13,4,5,0,0,1,2,0,0,36,33,8,9,"106,890m","108,730m",125,136,89,87,6.7%,2.3%,40.9%,59.1%,https://www.football-lab.jp/oita/report/?year=2019&month=08&date=17
A,広島,D,0,0,1.932,0.15,20,3,5,1,0,0,700,494,21,8,9,13,1,2,9,0,16,19,14,9,17,14,11,19,2,1,2,1,0,0,0,0,54,20,22,1,"116,062m","116,849m",167,177,94,95,21.3%,3.2%,56.1%,43.9%,https://www.football-lab.jp/oita/report/?year=2019&month=08&date=24
A,松本,D,0,0,0.339,0.873,8,16,2,5,0,0,294,842,6,22,3,6,2,4,1,5,12,22,2,9,18,17,26,10,2,1,3,2,1,0,0,0,17,49,5,13,"112,978m","106,876m",135,133,86,104,9.3%,15.4%,29.2%,70.8%,https://www.football-lab.jp/oita/report/?year=2019&month=08&date=31
H,湘南,W,2,1,1.269,0.863,10,8,4,4,0,0,447,549,19,13,10,7,1,0,2,3,25,19,13,15,15,13,15,34,1,1,0,1,1,0,0,0,43,35,8,11,"113,037m","110,425m",132,137,112,103,8.9%,7.8%,44.7%,55.3%,https://www.football-lab.jp/oita/report/?year=2019&month=09&date=14
H,磐田,L,1,2,0.906,1.74,6,12,2,4,0,1,510,704,14,24,8,6,2,2,2,8,13,15,10,20,20,14,24,16,2,2,2,2,0,0,0,0,32,55,6,17,"113,720m","113,430m",138,168,80,84,7.5%,14.3%,46.4%,53.6%,https://www.football-lab.jp/oita/report/?year=2019&month=09&date=28
A,名古屋,D,1,1,2.505,1.319,21,8,5,2,0,0,669,539,23,9,9,11,1,1,4,1,17,11,6,8,11,11,9,42,1,3,1,1,0,0,0,0,65,30,24,8,"109,844m","112,050m",117,112,101,97,20.8%,8.2%,50.6%,49.4%,https://www.football-lab.jp/oita/report/?year=2019&month=10&date=05
A,浦和,W,1,0,1.333,0.459,17,4,4,2,0,0,598,569,13,9,14,10,1,0,4,4,14,14,14,3,12,15,13,12,3,5,0,1,1,2,0,0,47,19,11,6,"109,021m","112,963m",112,152,97,94,17.5%,4.3%,50.7%,49.3%,https://www.football-lab.jp/oita/report/?year=2019&month=10&date=18
H,FC東京,L,0,2,1.115,1.397,11,16,4,2,0,0,365,770,8,31,7,8,0,3,6,2,12,17,6,13,14,23,32,16,4,1,3,0,0,0,0,0,31,80,11,14,"117,658m","114,140m",202,152,109,106,10.1%,15.1%,36%,64%,https://www.football-lab.jp/oita/report/?year=2019&month=11&date=02
H,Ｇ大阪,W,2,1,1.437,1.987,17,11,4,8,0,0,707,494,13,12,8,4,0,1,6,5,19,12,10,6,9,16,17,25,1,1,1,0,0,1,0,0,49,25,13,8,"113,747m","112,626m",184,164,95,88,17.9%,12.5%,56.7%,43.3%,https://www.football-lab.jp/oita/report/?year=2019&month=11&date=10
A,清水,D,1,1,1.965,0.965,25,10,7,3,0,0,445,604,25,10,8,6,2,0,9,4,25,13,12,7,14,16,25,48,2,7,0,2,1,1,0,0,37,24,22,8,"115,842m","115,867m",152,148,118,103,21.2%,9.7%,42.5%,57.5%,https://www.football-lab.jp/oita/report/?year=2019&month=11&date=23
A,仙台,L,0,2,0.708,0.67,11,9,3,3,0,0,244,771,5,35,12,6,1,2,3,6,12,19,4,13,13,14,32,17,2,2,2,0,0,1,0,0,17,76,2,11,"115,142m","115,663m",156,148,96,101,11.5%,8.9%,29%,71%,https://www.football-lab.jp/oita/report/?year=2019&month=11&date=30
H,Ｃ大阪,L,0,2,1.025,0.66,12,8,9,1,0,0,614,556,12,16,14,7,2,3,3,6,11,12,7,10,15,12,21,17,5,3,3,2,1,0,0,0,45,49,14,8,"120,715m","122,623m",149,185,101,99,11.9%,8.1%,49.9%,50.1%,https://www.football-lab.jp/oita/report/?year=2019&month=12&date=07
