HOME/AWAY,Opponent,勝敗,tosu_得点,tosu_失点,tosu_シュート,Opponent_シュート,tosu_枠内シュート,Opponent_枠内シュート,tosu_PKによるシュート,Opponent_PKによるシュート,tosu_パス,Opponent_パス,tosu_クロス,Opponent_クロス,tosu_直接ＦＫ,Opponent_直接ＦＫ,tosu_間接ＦＫ,Opponent_間接ＦＫ,tosu_ＣＫ,Opponent_ＣＫ,tosu_スローイン,Opponent_スローイン,tosu_ドリブル,Opponent_ドリブル,tosu_タックル,Opponent_タックル,tosu_クリア,Opponent_クリア,tosu_インターセプト,Opponent_インターセプト,tosu_オフサイド,Opponent_オフサイド,tosu_警告,Opponent_警告,tosu_退場,Opponent_退場,tosu_３０ｍライン進入,Opponent_３０ｍライン進入,tosu_ペナルティエリア進入,Opponent_ペナルティエリア進入,tosu_総移動距離,Opponent_総移動距離,tosu_スプリント,Opponent_スプリント,tosu_攻撃回数,Opponent_攻撃回数,tosu_チャンス構築率,Opponent_チャンス構築率,tosu_ボール保持率,Opponent_ボール保持率,URL
A,FC東京,D,0,0,9,19,1,4,0,0,402,523,26,13,12,8,2,1,3,7,19,14,14,18,15,21,24,23,1,3,1,2,1,0,0,0,45,55,17,18,"113,578m","111,390m",167,178,115,104,7.8%,18.3%,45%,55%,https://www.football-lab.jp/tosu/report/?year=2018&month=09&date=02
H,広島,W,1,0,19,10,5,2,0,0,484,404,15,11,12,19,1,2,6,2,18,14,20,6,12,19,19,20,2,2,2,1,1,0,0,0,55,41,15,18,"110,939m","112,492m",152,134,115,114,16.5%,8.8%,54.1%,45.9%,https://www.football-lab.jp/tosu/report/?year=2018&month=09&date=15
A,柏,D,1,1,15,19,3,6,0,0,435,516,23,20,15,5,0,2,4,6,25,19,21,9,20,18,29,43,0,0,2,0,0,1,0,0,42,49,22,19,"109,965m","111,318m",143,137,128,118,11.7%,16.1%,48.7%,51.3%,https://www.football-lab.jp/tosu/report/?year=2018&month=09&date=22
A,札幌,L,1,2,17,15,5,8,0,2,377,479,22,12,13,11,3,2,12,2,19,13,17,10,13,20,21,37,5,4,2,2,3,4,0,0,43,41,14,16,"109,635m","112,467m",140,125,126,113,13.5%,13.3%,47.8%,52.2%,https://www.football-lab.jp/tosu/report/?year=2018&month=09&date=29
H,湘南,L,0,1,27,10,2,4,0,0,399,291,35,10,16,12,5,3,8,3,35,15,18,7,16,13,11,50,0,1,3,4,0,1,0,0,54,29,30,8,"115,182m","116,934m",180,177,144,131,18.8%,7.6%,55.8%,44.2%,https://www.football-lab.jp/tosu/report/?year=2018&month=10&date=06
A,仙台,W,3,2,13,15,5,3,0,1,341,484,11,21,17,11,3,5,6,3,10,24,13,14,28,15,28,28,2,2,5,2,1,1,0,0,33,47,17,17,"118,427m","115,635m",175,151,119,123,10.9%,12.2%,47.5%,52.5%,https://www.football-lab.jp/tosu/report/?year=2018&month=10&date=20
H,長崎,W,1,0,10,14,2,6,0,0,368,270,19,21,19,22,1,4,6,3,20,16,13,11,24,20,38,28,1,0,4,1,3,3,0,0,43,31,7,12,"114,198m","116,746m",194,177,131,132,7.6%,10.6%,56.8%,43.2%,https://www.football-lab.jp/tosu/report/?year=2018&month=11&date=04
A,神戸,D,0,0,7,13,0,1,0,0,343,609,17,15,15,16,1,1,1,5,22,28,14,14,28,26,17,18,4,2,1,1,1,2,0,0,30,46,12,11,"112,832m","107,528m",134,128,119,125,5.9%,10.4%,36.4%,63.6%,https://www.football-lab.jp/tosu/report/?year=2018&month=11&date=10
H,横浜FM,W,2,1,13,4,4,3,1,0,334,480,27,20,17,12,5,3,8,3,27,20,15,11,27,20,22,36,2,4,3,5,3,1,0,0,39,42,17,11,"115,660m","116,724m",172,165,145,137,9.0%,2.9%,42.2%,57.8%,https://www.football-lab.jp/tosu/report/?year=2018&month=11&date=24
A,鹿島,D,0,0,10,10,2,1,0,0,279,488,11,19,24,16,2,1,3,7,25,21,15,5,24,20,31,26,1,0,1,2,0,3,0,0,29,40,5,11,"107,238m","102,711m",156,123,142,141,7.0%,7.1%,40.8%,59.2%,https://www.football-lab.jp/tosu/report/?year=2018&month=12&date=01
