HOME/AWAY,Opponent,勝敗,sapp_得点,sapp_失点,Opponent_シュート,sapp_シュート,Opponent_枠内シュート,sapp_枠内シュート,Opponent_PKによるシュート,sapp_PKによるシュート,Opponent_パス,sapp_パス,Opponent_クロス,sapp_クロス,Opponent_直接ＦＫ,sapp_直接ＦＫ,Opponent_間接ＦＫ,sapp_間接ＦＫ,Opponent_ＣＫ,sapp_ＣＫ,Opponent_スローイン,sapp_スローイン,Opponent_ドリブル,sapp_ドリブル,Opponent_タックル,sapp_タックル,Opponent_クリア,sapp_クリア,Opponent_インターセプト,sapp_インターセプト,Opponent_オフサイド,sapp_オフサイド,Opponent_警告,sapp_警告,Opponent_退場,sapp_退場,Opponent_３０ｍライン進入,sapp_３０ｍライン進入,Opponent_ペナルティエリア進入,sapp_ペナルティエリア進入,Opponent_総移動距離,sapp_総移動距離,Opponent_スプリント,sapp_スプリント,Opponent_攻撃回数,sapp_攻撃回数,Opponent_チャンス構築率,sapp_チャンス構築率,Opponent_ボール保持率,sapp_ボール保持率,URL
A,広島,L,0,1,15,16,2,3,0,0,348,564,15,23,20,14,2,0,7,5,13,21,9,16,17,13,34,11,3,5,0,2,2,1,0,0,38,59,22,22,"114,710m","117,198m",146,154,113,115,13.3%,13.9%,41.2%,58.8%,https://www.football-lab.jp/sapp/report/?year=2018&month=02&date=24
A,Ｃ大阪,D,3,3,16,15,7,6,0,0,414,472,14,19,13,19,5,1,4,8,15,23,8,19,21,16,21,32,5,5,1,5,1,2,0,0,46,42,12,23,"120,130m","124,934m",253,242,122,136,13.1%,11.0%,46.1%,53.9%,https://www.football-lab.jp/sapp/report/?year=2018&month=03&date=02
H,清水,L,1,3,14,13,7,2,0,0,336,665,16,27,15,8,4,1,3,3,9,23,13,16,27,25,27,18,3,2,1,4,1,2,0,0,31,51,14,16,"114,832m","115,099m",164,148,128,126,10.9%,10.3%,35.7%,64.3%,https://www.football-lab.jp/sapp/report/?year=2018&month=03&date=10
H,長崎,W,2,1,17,13,5,4,0,0,289,526,10,14,12,16,3,1,4,6,16,19,14,15,21,24,24,18,2,3,1,3,2,1,0,0,29,38,9,17,"116,041m","112,777m",168,133,120,123,14.2%,10.6%,40%,60%,https://www.football-lab.jp/sapp/report/?year=2018&month=03&date=18
A,鹿島,D,0,0,14,16,1,2,0,0,389,411,8,19,23,14,2,1,4,10,20,14,15,17,16,28,17,20,1,6,1,2,1,2,0,0,34,46,19,20,"108,846m","112,395m",181,180,127,116,11.0%,13.8%,49.4%,50.6%,https://www.football-lab.jp/sapp/report/?year=2018&month=03&date=31
H,名古屋,W,3,0,8,24,2,11,0,0,651,328,5,17,17,11,6,0,4,10,19,13,12,22,14,29,11,22,3,2,0,6,1,1,0,0,43,36,11,20,"112,638m","111,072m",175,157,121,116,6.6%,20.7%,58.1%,41.9%,https://www.football-lab.jp/sapp/report/?year=2018&month=04&date=07
H,湘南,W,1,0,12,20,3,4,0,0,310,604,15,21,14,4,5,0,2,7,18,27,13,22,30,13,29,22,2,4,0,5,1,1,0,0,24,51,6,17,"116,739m","115,659m",146,127,125,125,9.6%,16.0%,36.9%,63.1%,https://www.football-lab.jp/sapp/report/?year=2018&month=04&date=11
A,柏,W,2,1,9,13,3,6,0,0,671,381,22,17,7,6,2,2,8,5,28,18,21,21,26,30,14,32,0,2,2,0,1,1,0,0,55,33,15,9,"120,216m","125,782m",185,150,125,114,7.2%,11.4%,58.5%,41.5%,https://www.football-lab.jp/sapp/report/?year=2018&month=04&date=14
A,浦和,D,0,0,16,9,5,5,0,0,510,468,20,14,26,8,1,2,10,2,13,22,21,14,16,19,14,36,1,2,2,1,0,2,0,0,52,31,17,12,"109,966m","112,734m",146,129,116,106,13.8%,8.5%,49.7%,50.3%,https://www.football-lab.jp/sapp/report/?year=2018&month=04&date=21
H,横浜FM,W,2,1,17,12,6,4,0,0,621,300,30,10,22,17,3,0,12,1,22,18,19,9,20,23,17,41,1,1,0,3,1,2,0,0,49,27,19,8,"116,566m","117,237m",206,200,134,120,12.7%,10.0%,61.3%,38.7%,https://www.football-lab.jp/sapp/report/?year=2018&month=04&date=25
A,仙台,D,2,2,17,8,6,4,0,0,614,404,22,15,14,12,0,0,7,1,25,12,24,14,21,33,12,39,1,4,0,0,2,4,0,1,68,29,21,10,"120,660m","117,840m",162,163,135,122,12.6%,6.6%,56.4%,43.6%,https://www.football-lab.jp/sapp/report/?year=2018&month=04&date=28
