HOME/AWAY,Opponent,勝敗,g-os_得点,g-os_失点,g-os_シュート,Opponent_シュート,g-os_枠内シュート,Opponent_枠内シュート,g-os_PKによるシュート,Opponent_PKによるシュート,g-os_パス,Opponent_パス,g-os_クロス,Opponent_クロス,g-os_直接ＦＫ,Opponent_直接ＦＫ,g-os_間接ＦＫ,Opponent_間接ＦＫ,g-os_ＣＫ,Opponent_ＣＫ,g-os_スローイン,Opponent_スローイン,g-os_ドリブル,Opponent_ドリブル,g-os_タックル,Opponent_タックル,g-os_クリア,Opponent_クリア,g-os_インターセプト,Opponent_インターセプト,g-os_オフサイド,Opponent_オフサイド,g-os_警告,Opponent_警告,g-os_退場,Opponent_退場,g-os_３０ｍライン進入,Opponent_３０ｍライン進入,g-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,g-os_総移動距離,Opponent_総移動距離,g-os_スプリント,Opponent_スプリント,g-os_攻撃回数,Opponent_攻撃回数,g-os_チャンス構築率,Opponent_チャンス構築率,g-os_ボール保持率,Opponent_ボール保持率,URL
H,名古屋,L,2,3,14,12,5,6,0,0,557,584,17,9,7,13,2,5,2,4,33,19,9,13,31,25,20,24,1,2,5,2,0,1,0,0,42,54,12,11,"114,993m","118,297m",165,190,137,133,10.2%,9.0%,49.7%,50.3%,https://www.football-lab.jp/g-os/report/?year=2018&month=02&date=24
A,鹿島,L,0,1,8,24,1,7,0,0,571,377,19,11,6,12,5,4,8,6,32,28,9,20,35,34,20,36,1,1,4,5,1,0,0,0,37,44,11,19,"119,262m","116,381m",200,190,141,146,5.7%,16.4%,54.7%,45.3%,https://www.football-lab.jp/g-os/report/?year=2018&month=03&date=03
A,川崎Ｆ,L,0,2,2,16,0,7,0,0,487,804,10,11,8,10,2,4,3,4,21,20,12,11,23,28,19,15,1,2,4,2,0,2,0,0,35,65,6,12,"115,996m","114,695m",157,176,111,115,1.8%,13.9%,42.5%,57.5%,https://www.football-lab.jp/g-os/report/?year=2018&month=03&date=10
H,柏,D,2,2,12,22,5,7,0,0,639,543,17,21,5,12,2,0,2,7,22,25,15,12,29,25,19,27,2,1,0,2,1,0,0,0,45,41,16,26,"120,146m","117,065m",158,202,118,126,10.2%,17.5%,51.6%,48.4%,https://www.football-lab.jp/g-os/report/?year=2018&month=03&date=18
A,FC東京,L,2,3,14,10,5,4,1,0,625,350,19,11,15,9,3,2,7,1,24,21,9,10,18,17,15,36,0,1,2,3,1,0,0,0,44,40,9,11,"114,274m","115,539m",146,205,138,125,10.1%,8.0%,61.6%,38.4%,https://www.football-lab.jp/g-os/report/?year=2018&month=03&date=31
H,神戸,L,0,1,18,17,5,5,0,0,519,594,19,27,9,13,2,2,5,5,28,18,25,17,18,23,17,24,3,7,2,2,0,1,0,0,49,75,15,16,"121,875m","119,894m",153,164,128,126,14.1%,13.5%,45.1%,54.9%,https://www.football-lab.jp/g-os/report/?year=2018&month=04&date=08
H,磐田,W,2,0,12,17,4,6,0,0,420,462,16,17,11,17,3,4,7,3,20,20,15,15,21,18,24,17,2,2,4,2,2,0,0,0,38,42,9,10,"115,708m","116,397m",188,159,127,132,9.4%,12.9%,49.1%,50.9%,https://www.football-lab.jp/g-os/report/?year=2018&month=04&date=11
A,長崎,L,0,3,9,14,3,7,0,0,515,301,13,16,16,12,2,7,7,3,25,20,11,14,24,23,19,24,2,1,7,1,3,2,0,0,31,36,11,17,"104,472m","112,371m",134,179,130,116,6.9%,12.1%,58.9%,41.1%,https://www.football-lab.jp/g-os/report/?year=2018&month=04&date=14
H,Ｃ大阪,W,1,0,11,22,6,5,1,0,377,448,9,13,12,21,2,4,2,4,26,24,13,17,21,22,34,25,0,1,4,2,4,0,0,0,34,53,12,18,"118,466m","115,025m",215,219,132,131,8.3%,16.8%,47.6%,52.4%,https://www.football-lab.jp/g-os/report/?year=2018&month=04&date=21
A,湘南,L,0,1,9,20,0,6,0,0,622,311,16,12,9,10,2,4,4,5,29,21,11,11,8,18,26,26,3,2,4,1,1,1,0,0,55,33,12,12,"114,308m","118,315m",168,163,115,110,7.8%,18.2%,63.9%,36.1%,https://www.football-lab.jp/g-os/report/?year=2018&month=04&date=25
H,鳥栖,W,3,0,23,10,8,1,0,0,479,336,19,15,12,15,2,5,9,3,23,25,12,4,24,32,22,23,2,0,5,2,1,0,0,0,65,25,21,12,"112,896m","112,718m",208,208,142,134,16.2%,7.5%,57%,43%,https://www.football-lab.jp/g-os/report/?year=2018&month=04&date=29
H,仙台,W,1,0,21,14,6,3,0,0,316,593,14,29,11,11,2,4,3,3,20,21,13,16,26,17,30,13,3,1,4,2,1,0,0,0,43,65,17,12,"117,324m","116,117m",192,169,128,120,16.4%,11.7%,38.6%,61.4%,https://www.football-lab.jp/g-os/report/?year=2018&month=05&date=02
A,札幌,L,0,2,15,17,6,8,0,0,456,397,17,16,13,10,2,0,2,4,25,28,12,11,18,19,26,22,1,4,0,2,0,2,0,0,45,35,17,14,"115,470m","120,284m",188,193,128,130,11.7%,13.1%,50.6%,49.4%,https://www.football-lab.jp/g-os/report/?year=2018&month=05&date=05
A,横浜FM,D,1,1,9,18,3,6,0,0,332,685,10,25,7,24,0,7,3,8,17,18,6,22,20,13,28,12,3,2,7,0,0,0,0,0,25,73,8,22,"116,909m","117,832m",191,195,106,123,8.5%,14.6%,36.3%,63.7%,https://www.football-lab.jp/g-os/report/?year=2018&month=05&date=12
H,浦和,D,0,0,18,11,3,3,0,0,447,527,20,24,12,15,2,3,2,3,26,21,8,13,25,22,24,26,0,1,2,2,0,0,0,0,47,42,15,17,"117,236m","115,039m",193,183,125,126,14.4%,8.7%,47.5%,52.5%,https://www.football-lab.jp/g-os/report/?year=2018&month=05&date=19
A,広島,L,0,4,5,27,1,11,0,0,447,718,6,25,16,14,3,2,2,2,9,17,14,12,12,11,11,8,3,0,2,3,1,1,1,0,33,90,1,27,"98,546m","112,704m",99,121,99,91,5.1%,29.7%,44.5%,55.5%,https://www.football-lab.jp/g-os/report/?year=2018&month=07&date=18
H,清水,L,1,2,13,15,6,4,0,1,517,343,20,13,10,12,2,2,5,3,22,20,21,9,22,22,17,26,3,3,2,2,1,1,0,0,51,37,14,13,"105,432m","110,278m",138,133,111,125,11.7%,12.0%,55.9%,44.1%,https://www.football-lab.jp/g-os/report/?year=2018&month=07&date=22
H,鹿島,D,1,1,12,6,1,2,0,0,518,515,18,12,5,14,3,1,7,2,23,24,19,9,20,27,23,24,1,1,1,3,3,0,0,0,45,39,17,10,"106,533m","104,422m",152,153,113,117,10.6%,5.1%,49%,51%,https://www.football-lab.jp/g-os/report/?year=2018&month=07&date=28
A,磐田,D,1,1,8,15,3,8,0,0,476,464,14,14,9,15,0,5,2,5,16,23,9,6,10,11,27,23,1,3,5,0,2,1,0,0,32,48,8,12,"101,968m","104,165m",101,122,84,93,9.5%,16.1%,51.5%,48.5%,https://www.football-lab.jp/g-os/report/?year=2018&month=08&date=01
A,名古屋,L,2,3,7,17,2,7,1,1,486,617,12,13,11,16,0,2,2,5,15,14,8,16,22,20,23,13,1,2,2,0,0,1,0,0,52,55,8,19,"106,470m","112,430m",114,129,107,110,6.5%,15.5%,46.5%,53.5%,https://www.football-lab.jp/g-os/report/?year=2018&month=08&date=05
H,FC東京,W,2,1,17,21,3,5,0,0,464,425,7,23,10,12,0,2,5,6,18,21,11,19,17,21,38,20,2,4,2,0,0,0,0,0,34,57,16,27,"108,423m","107,653m",140,176,114,118,14.9%,17.8%,50%,50%,https://www.football-lab.jp/g-os/report/?year=2018&month=08&date=10
H,札幌,D,1,1,15,30,2,7,1,0,315,678,4,36,8,12,3,0,1,3,14,29,13,11,18,21,30,17,5,4,0,3,0,1,0,0,26,76,10,33,"108,240m","106,858m",112,129,107,117,14.0%,25.6%,38.9%,61.1%,https://www.football-lab.jp/g-os/report/?year=2018&month=08&date=15
A,仙台,L,1,2,12,15,5,5,0,0,596,358,20,17,10,12,2,3,4,9,19,18,19,22,21,26,28,20,4,1,3,1,2,0,0,0,61,42,14,21,"114,455m","117,153m",151,145,122,127,9.8%,11.8%,60%,40%,https://www.football-lab.jp/g-os/report/?year=2018&month=08&date=19
A,鳥栖,L,0,3,12,13,1,6,0,0,646,286,13,22,12,6,1,2,3,5,28,27,10,13,22,25,19,22,0,3,2,1,1,0,0,0,53,34,11,18,"108,833m","111,470m",155,148,122,118,9.8%,11.0%,61.7%,38.3%,https://www.football-lab.jp/g-os/report/?year=2018&month=08&date=26
H,川崎Ｆ,W,2,0,8,12,4,4,0,0,372,847,4,11,8,16,2,3,2,5,19,28,4,15,28,19,34,4,4,3,3,2,1,1,0,0,21,78,5,18,"112,138m","105,093m",143,125,129,126,6.2%,9.5%,37.9%,62.1%,https://www.football-lab.jp/g-os/report/?year=2018&month=09&date=01
A,神戸,W,2,1,14,15,7,4,0,0,389,531,11,21,14,15,3,0,3,6,11,21,9,17,13,21,29,22,5,2,0,3,4,2,0,0,32,49,16,13,"112,363m","107,324m",169,161,108,120,13.0%,12.5%,41.2%,58.8%,https://www.football-lab.jp/g-os/report/?year=2018&month=09&date=15
A,清水,W,2,1,11,23,6,4,0,0,486,543,18,25,9,9,1,2,3,6,20,21,12,10,18,15,38,22,2,8,2,1,1,0,0,0,61,51,15,23,"113,149m","114,574m",148,154,120,120,9.2%,19.2%,47.1%,52.9%,https://www.football-lab.jp/g-os/report/?year=2018&month=09&date=21
H,広島,W,1,0,9,12,2,4,0,0,597,397,11,23,12,12,3,1,6,9,19,20,9,10,23,25,33,30,4,4,1,3,1,1,0,0,82,38,9,15,"105,959m","106,066m",141,111,113,115,8.0%,10.4%,58.8%,41.2%,https://www.football-lab.jp/g-os/report/?year=2018&month=09&date=29
A,Ｃ大阪,W,1,0,13,17,6,5,0,0,451,432,13,23,9,10,3,3,6,10,21,17,6,13,18,18,29,22,0,1,3,3,1,0,0,0,52,45,16,19,"109,429m","108,123m",158,162,120,115,10.8%,14.8%,50.1%,49.9%,https://www.football-lab.jp/g-os/report/?year=2018&month=10&date=06
H,横浜FM,W,2,1,11,18,4,3,0,0,385,713,6,11,9,12,2,3,3,5,23,26,7,16,35,21,38,16,2,2,3,2,2,0,0,0,19,43,5,14,"113,505m","114,501m",129,141,129,139,8.5%,12.9%,38.9%,61.1%,https://www.football-lab.jp/g-os/report/?year=2018&month=10&date=20
A,浦和,W,3,1,11,16,4,6,0,0,436,523,10,17,14,13,3,0,6,6,18,19,7,12,18,25,29,18,4,1,0,3,3,1,0,0,37,46,12,19,"114,261m","109,312m",216,164,106,107,10.4%,15.0%,45.7%,54.3%,https://www.football-lab.jp/g-os/report/?year=2018&month=11&date=03
