HOME/AWAY,Opponent,勝敗,nago_得点,nago_失点,Opponent_シュート,nago_シュート,Opponent_枠内シュート,nago_枠内シュート,Opponent_PKによるシュート,nago_PKによるシュート,Opponent_パス,nago_パス,Opponent_クロス,nago_クロス,Opponent_直接ＦＫ,nago_直接ＦＫ,Opponent_間接ＦＫ,nago_間接ＦＫ,Opponent_ＣＫ,nago_ＣＫ,Opponent_スローイン,nago_スローイン,Opponent_ドリブル,nago_ドリブル,Opponent_タックル,nago_タックル,Opponent_クリア,nago_クリア,Opponent_インターセプト,nago_インターセプト,Opponent_オフサイド,nago_オフサイド,Opponent_警告,nago_警告,Opponent_退場,nago_退場,Opponent_３０ｍライン進入,nago_３０ｍライン進入,Opponent_ペナルティエリア進入,nago_ペナルティエリア進入,Opponent_総移動距離,nago_総移動距離,Opponent_スプリント,nago_スプリント,Opponent_攻撃回数,nago_攻撃回数,Opponent_チャンス構築率,nago_チャンス構築率,Opponent_ボール保持率,nago_ボール保持率,URL
A,磐田,W,6,1,21,15,7,9,0,0,544,483,15,7,12,12,3,1,5,0,16,9,13,17,19,15,14,31,4,6,1,3,2,0,0,0,78,30,16,17,"106,462m","106,806m",127,128,103,98,20.4%,15.3%,52.7%,47.3%,https://www.football-lab.jp/nago/report/?year=2018&month=09&date=01
H,長崎,L,3,4,19,14,9,4,1,0,267,612,16,12,12,15,4,0,4,4,16,16,10,11,17,12,28,22,3,3,0,4,3,2,0,0,36,36,13,12,"111,988m","109,316m",141,106,118,115,16.1%,12.2%,40.3%,59.7%,https://www.football-lab.jp/nago/report/?year=2018&month=09&date=15
A,川崎Ｆ,L,1,3,21,6,7,3,0,0,683,568,11,8,12,13,1,1,9,3,13,8,9,8,23,12,18,21,2,2,0,1,0,3,0,0,83,34,22,9,"102,382m","106,889m",121,98,99,87,21.2%,6.9%,54.4%,45.6%,https://www.football-lab.jp/nago/report/?year=2018&month=09&date=22
H,FC東京,L,1,2,18,12,6,1,0,0,359,595,21,14,7,15,1,2,6,5,19,21,13,13,25,17,19,24,5,1,1,1,2,2,0,0,49,51,17,19,"109,003m","109,414m",184,151,115,118,15.7%,10.2%,45.4%,54.6%,https://www.football-lab.jp/nago/report/?year=2018&month=10&date=07
A,柏,W,1,0,24,13,8,5,0,0,437,565,16,12,12,15,2,3,5,3,20,14,22,15,22,27,23,25,4,1,3,1,4,1,1,0,54,47,18,15,"108,922m","113,735m",142,151,116,116,20.7%,11.2%,46.3%,53.7%,https://www.football-lab.jp/nago/report/?year=2018&month=10&date=19
H,札幌,L,1,2,19,12,7,3,1,1,598,490,12,9,3,17,0,5,4,3,11,14,17,17,28,14,29,19,4,5,5,0,2,3,0,1,65,35,30,17,"114,456m","108,399m",165,126,107,119,17.8%,10.1%,55.3%,44.7%,https://www.football-lab.jp/nago/report/?year=2018&month=10&date=28
H,神戸,L,1,2,16,12,5,4,0,0,585,536,14,16,10,11,2,2,3,3,10,15,10,13,31,14,30,19,3,4,2,2,2,2,0,0,54,39,21,15,"107,302m","112,445m",142,111,101,106,15.8%,11.3%,55.5%,44.5%,https://www.football-lab.jp/nago/report/?year=2018&month=11&date=03
A,Ｃ大阪,W,1,0,10,11,1,1,0,0,468,541,12,9,6,17,4,2,2,3,22,19,15,14,21,25,17,16,2,0,2,3,1,1,0,0,53,37,8,9,"106,194m","111,847m",168,144,119,123,8.4%,8.9%,49.6%,50.4%,https://www.football-lab.jp/nago/report/?year=2018&month=11&date=06
A,清水,L,0,2,11,10,7,2,0,0,372,647,11,15,11,17,2,1,3,10,14,18,14,19,26,28,28,16,2,4,1,2,2,0,0,0,44,46,12,19,"110,502m","111,808m",137,138,110,128,10.0%,7.8%,43.1%,56.9%,https://www.football-lab.jp/nago/report/?year=2018&month=11&date=10
A,広島,W,2,1,14,9,5,3,0,0,651,472,30,9,8,16,0,3,4,1,24,14,18,14,29,19,12,30,1,1,3,0,2,0,0,0,65,38,23,14,"118,210m","116,335m",159,136,119,118,11.8%,7.6%,56.2%,43.8%,https://www.football-lab.jp/nago/report/?year=2018&month=11&date=24
H,湘南,D,2,2,10,12,2,3,1,2,253,488,18,24,15,22,0,0,5,4,24,26,10,16,12,16,31,18,1,0,0,0,1,4,0,0,18,54,12,18,"110,456m","110,948m",141,150,125,136,8.0%,8.8%,38.6%,61.4%,https://www.football-lab.jp/nago/report/?year=2018&month=12&date=01
