HOME/AWAY,Opponent,勝敗,ka-f_得点,ka-f_失点,Opponent_シュート,ka-f_シュート,Opponent_枠内シュート,ka-f_枠内シュート,Opponent_PKによるシュート,ka-f_PKによるシュート,Opponent_パス,ka-f_パス,Opponent_クロス,ka-f_クロス,Opponent_直接ＦＫ,ka-f_直接ＦＫ,Opponent_間接ＦＫ,ka-f_間接ＦＫ,Opponent_ＣＫ,ka-f_ＣＫ,Opponent_スローイン,ka-f_スローイン,Opponent_ドリブル,ka-f_ドリブル,Opponent_タックル,ka-f_タックル,Opponent_クリア,ka-f_クリア,Opponent_インターセプト,ka-f_インターセプト,Opponent_オフサイド,ka-f_オフサイド,Opponent_警告,ka-f_警告,Opponent_退場,ka-f_退場,Opponent_３０ｍライン進入,ka-f_３０ｍライン進入,Opponent_ペナルティエリア進入,ka-f_ペナルティエリア進入,Opponent_総移動距離,ka-f_総移動距離,Opponent_スプリント,ka-f_スプリント,Opponent_攻撃回数,ka-f_攻撃回数,Opponent_チャンス構築率,ka-f_チャンス構築率,Opponent_ボール保持率,ka-f_ボール保持率,URL
A,磐田,W,3,0,15,11,3,7,0,0,463,570,14,5,10,12,4,0,8,3,29,20,12,9,27,26,14,39,0,3,0,4,1,2,0,0,38,34,14,15,"114,356m","110,470m",163,181,129,112,11.6%,9.8%,47.4%,52.6%,https://www.football-lab.jp/ka-f/report/?year=2018&month=02&date=25
H,湘南,D,1,1,14,21,4,6,0,0,408,626,14,19,8,10,4,6,8,7,21,23,8,15,23,13,34,20,5,2,5,4,2,1,0,0,27,56,14,22,"117,237m","110,812m",185,151,125,126,11.2%,16.7%,41.7%,58.3%,https://www.football-lab.jp/ka-f/report/?year=2018&month=03&date=02
H,Ｇ大阪,W,2,0,2,16,0,7,0,0,487,804,10,11,8,10,2,4,3,4,21,20,12,11,23,28,19,15,1,2,4,2,0,2,0,0,35,65,6,12,"115,996m","114,695m",157,176,111,115,1.8%,13.9%,42.5%,57.5%,https://www.football-lab.jp/ka-f/report/?year=2018&month=03&date=10
A,名古屋,W,1,0,9,11,4,4,0,0,657,666,4,11,11,12,7,0,4,5,18,14,12,8,18,29,12,25,1,5,0,7,0,0,0,0,47,50,8,21,"117,252m","109,971m",161,157,122,118,7.4%,9.3%,48.3%,51.7%,https://www.football-lab.jp/ka-f/report/?year=2018&month=03&date=18
H,広島,L,0,1,9,9,2,2,0,0,432,601,12,9,12,22,3,6,4,4,18,21,11,11,26,17,18,20,6,4,5,3,1,1,0,0,32,51,7,7,"112,346m","105,750m",163,141,116,135,7.8%,6.7%,42.7%,57.3%,https://www.football-lab.jp/ka-f/report/?year=2018&month=03&date=31
A,横浜FM,D,1,1,12,22,1,7,0,0,542,615,23,22,11,12,4,1,5,4,18,25,23,13,25,34,23,22,1,0,1,4,0,0,0,0,52,79,16,21,"122,380m","112,802m",234,205,128,124,9.4%,17.7%,50.8%,49.2%,https://www.football-lab.jp/ka-f/report/?year=2018&month=04&date=08
H,Ｃ大阪,L,1,2,9,18,3,7,0,0,317,695,10,21,12,10,0,1,5,3,8,30,10,13,22,11,37,17,4,1,1,0,0,2,0,0,28,63,10,20,"109,987m","107,979m",158,130,115,123,7.8%,14.6%,40.2%,59.8%,https://www.football-lab.jp/ka-f/report/?year=2018&month=04&date=11
A,仙台,D,0,0,10,5,2,1,0,0,447,615,16,5,21,17,4,1,4,5,26,18,14,9,23,33,20,25,2,2,1,4,0,2,0,0,38,64,12,13,"119,669m","113,558m",171,172,136,126,7.4%,4.0%,43.6%,56.4%,https://www.football-lab.jp/ka-f/report/?year=2018&month=04&date=14
H,鹿島,W,4,1,14,17,6,9,0,0,424,388,12,3,15,18,1,1,7,4,21,12,17,16,27,33,16,34,3,2,1,1,3,2,1,0,44,37,15,15,"103,057m","108,165m",170,185,134,123,10.4%,13.8%,54.1%,45.9%,https://www.football-lab.jp/ka-f/report/?year=2018&month=04&date=21
A,鳥栖,W,2,0,8,6,2,2,0,0,475,750,18,8,14,18,1,0,6,1,29,17,15,8,28,28,16,28,3,2,0,1,1,0,0,0,48,36,12,11,"120,339m","115,570m",215,178,122,115,6.6%,5.2%,43.1%,56.9%,https://www.football-lab.jp/ka-f/report/?year=2018&month=04&date=25
A,神戸,W,2,1,10,14,2,5,0,0,576,572,12,9,12,22,1,0,2,5,14,20,8,6,14,17,22,14,3,5,0,1,3,0,1,0,42,51,6,14,"112,341m","109,946m",130,144,102,112,9.8%,12.5%,52.7%,47.3%,https://www.football-lab.jp/ka-f/report/?year=2018&month=04&date=28
