HOME/AWAY,Opponent,勝敗,hiro_得点,hiro_失点,hiro_シュート,Opponent_シュート,hiro_枠内シュート,Opponent_枠内シュート,hiro_PKによるシュート,Opponent_PKによるシュート,hiro_パス,Opponent_パス,hiro_クロス,Opponent_クロス,hiro_直接ＦＫ,Opponent_直接ＦＫ,hiro_間接ＦＫ,Opponent_間接ＦＫ,hiro_ＣＫ,Opponent_ＣＫ,hiro_スローイン,Opponent_スローイン,hiro_ドリブル,Opponent_ドリブル,hiro_タックル,Opponent_タックル,hiro_クリア,Opponent_クリア,hiro_インターセプト,Opponent_インターセプト,hiro_オフサイド,Opponent_オフサイド,hiro_警告,Opponent_警告,hiro_退場,Opponent_退場,hiro_３０ｍライン進入,Opponent_３０ｍライン進入,hiro_ペナルティエリア進入,Opponent_ペナルティエリア進入,hiro_総移動距離,Opponent_総移動距離,hiro_スプリント,Opponent_スプリント,hiro_攻撃回数,Opponent_攻撃回数,hiro_チャンス構築率,Opponent_チャンス構築率,hiro_ボール保持率,Opponent_ボール保持率,URL
H,札幌,W,1,0,15,16,2,3,0,0,348,564,15,23,20,14,2,0,7,5,13,21,9,16,17,13,34,11,3,5,0,2,2,1,0,0,38,59,22,22,"114,710m","117,198m",146,154,113,115,13.3%,13.9%,41.2%,58.8%,https://www.football-lab.jp/hiro/report/?year=2018&month=02&date=24
A,浦和,W,2,1,10,13,4,6,0,0,290,616,5,16,17,23,2,3,3,3,31,21,10,17,25,19,23,24,3,2,3,2,1,3,0,0,30,47,8,13,"115,937m","112,252m",156,162,125,124,8.0%,10.5%,34.7%,65.3%,https://www.football-lab.jp/hiro/report/?year=2018&month=03&date=04
A,鹿島,W,1,0,11,17,4,8,0,1,340,554,15,15,16,19,5,1,6,5,25,28,16,20,26,30,30,25,7,2,0,5,1,2,0,0,36,48,11,13,"117,944m","112,688m",159,157,135,137,8.1%,12.4%,40.4%,59.6%,https://www.football-lab.jp/hiro/report/?year=2018&month=03&date=10
H,磐田,D,0,0,9,11,4,1,0,0,480,456,11,16,16,16,3,3,3,2,29,22,14,13,32,27,26,23,4,3,3,3,2,2,0,0,46,46,9,12,"114,204m","115,008m",166,190,130,130,6.9%,8.5%,50%,50%,https://www.football-lab.jp/hiro/report/?year=2018&month=03&date=18
A,川崎Ｆ,W,1,0,9,9,2,2,0,0,432,601,12,9,12,22,3,6,4,4,18,21,11,11,26,17,18,20,6,4,5,3,1,1,0,0,32,51,7,7,"112,346m","105,750m",163,141,116,135,7.8%,6.7%,42.7%,57.3%,https://www.football-lab.jp/hiro/report/?year=2018&month=03&date=31
A,柏,W,1,0,3,10,1,2,0,1,428,599,11,28,8,18,3,3,4,8,27,35,3,23,30,17,34,26,1,0,3,3,0,0,0,0,35,55,11,19,"121,707m","118,343m",151,156,130,142,2.3%,7.0%,41%,59%,https://www.football-lab.jp/hiro/report/?year=2018&month=04&date=08
H,横浜FM,W,3,1,18,5,10,2,1,1,313,709,15,18,13,12,3,6,6,5,26,12,11,13,26,18,15,14,7,2,6,3,0,1,0,0,26,53,13,12,"119,631m","117,891m",187,195,136,120,13.2%,4.2%,36%,64%,https://www.football-lab.jp/hiro/report/?year=2018&month=04&date=11
A,湘南,W,2,0,13,13,4,3,0,0,405,440,13,22,16,20,3,3,7,5,14,25,10,19,22,13,21,16,2,3,3,3,0,2,0,0,43,45,13,18,"114,817m","117,987m",149,172,128,133,10.2%,9.8%,49.8%,50.2%,https://www.football-lab.jp/hiro/report/?year=2018&month=04&date=15
H,鳥栖,W,1,0,11,13,4,1,0,0,501,443,20,14,12,10,2,1,4,2,32,19,7,13,21,14,11,25,0,4,1,0,1,3,0,0,61,47,15,17,"111,236m","109,586m",133,160,129,119,8.5%,10.9%,51.4%,48.6%,https://www.football-lab.jp/hiro/report/?year=2018&month=04&date=21
A,FC東京,L,1,3,20,10,6,4,0,1,624,386,25,7,15,6,1,0,6,4,21,21,13,6,32,22,14,34,2,1,0,1,2,0,0,0,59,34,26,9,"114,898m","116,099m",175,204,127,119,15.7%,8.4%,56.3%,43.7%,https://www.football-lab.jp/hiro/report/?year=2018&month=04&date=25
