HOME/AWAY,Opponent,勝敗,shim_得点,shim_失点,shim_シュート,Opponent_シュート,shim_枠内シュート,Opponent_枠内シュート,shim_PKによるシュート,Opponent_PKによるシュート,shim_パス,Opponent_パス,shim_クロス,Opponent_クロス,shim_直接ＦＫ,Opponent_直接ＦＫ,shim_間接ＦＫ,Opponent_間接ＦＫ,shim_ＣＫ,Opponent_ＣＫ,shim_スローイン,Opponent_スローイン,shim_ドリブル,Opponent_ドリブル,shim_タックル,Opponent_タックル,shim_クリア,Opponent_クリア,shim_インターセプト,Opponent_インターセプト,shim_オフサイド,Opponent_オフサイド,shim_警告,Opponent_警告,shim_退場,Opponent_退場,shim_３０ｍライン進入,Opponent_３０ｍライン進入,shim_ペナルティエリア進入,Opponent_ペナルティエリア進入,shim_総移動距離,Opponent_総移動距離,shim_スプリント,Opponent_スプリント,shim_攻撃回数,Opponent_攻撃回数,shim_チャンス構築率,Opponent_チャンス構築率,shim_ボール保持率,Opponent_ボール保持率,URL
H,鹿島,D,0,0,12,10,3,4,1,0,374,518,19,22,13,21,2,1,4,8,12,20,9,21,24,11,40,16,3,2,0,2,1,2,0,0,40,47,15,17,"115,600m","111,817m",156,157,119,136,10.1%,7.4%,43.3%,56.7%,https://www.football-lab.jp/shim/report/?year=2018&month=02&date=25
A,神戸,W,4,2,8,19,4,5,0,0,342,626,18,28,10,13,1,3,3,6,17,24,10,9,8,18,34,18,2,3,3,1,3,3,0,0,29,68,10,17,"121,783m","115,648m",174,180,122,131,6.6%,14.5%,40.4%,59.6%,https://www.football-lab.jp/shim/report/?year=2018&month=03&date=03
A,札幌,W,3,1,14,13,7,2,0,0,336,665,16,27,15,8,4,1,3,3,9,23,13,16,27,25,27,18,3,2,1,4,1,2,0,0,31,51,14,16,"114,832m","115,099m",164,148,128,126,10.9%,10.3%,35.7%,64.3%,https://www.football-lab.jp/shim/report/?year=2018&month=03&date=10
H,仙台,D,1,1,10,12,2,6,0,0,329,613,13,26,16,19,2,3,3,10,26,23,9,25,33,24,49,36,5,1,3,2,0,1,0,0,28,57,12,20,"119,145m","118,105m",167,141,143,151,7.0%,7.9%,39.5%,60.5%,https://www.football-lab.jp/shim/report/?year=2018&month=03&date=18
H,横浜FM,L,0,1,11,12,3,4,0,0,404,575,30,12,15,10,0,4,7,7,26,21,10,15,24,20,22,28,5,2,4,0,2,3,0,0,39,49,21,13,"122,191m","123,329m",206,219,133,138,8.3%,8.7%,43.6%,56.4%,https://www.football-lab.jp/shim/report/?year=2018&month=03&date=31
A,磐田,D,0,0,11,19,2,8,0,0,400,438,17,31,10,13,0,0,3,9,23,29,11,14,23,18,41,25,3,2,0,0,2,2,0,0,33,48,9,22,"110,325m","112,026m",159,149,114,122,9.6%,15.6%,48.5%,51.5%,https://www.football-lab.jp/shim/report/?year=2018&month=04&date=07
H,長崎,L,0,1,14,12,4,4,0,0,491,353,22,8,9,11,0,1,10,4,34,18,11,10,11,16,15,37,0,3,1,0,1,0,0,0,38,35,11,13,"117,335m","122,883m",164,196,146,132,9.6%,9.1%,52%,48%,https://www.football-lab.jp/shim/report/?year=2018&month=04&date=11
A,浦和,L,1,2,10,11,3,4,0,0,508,597,16,12,13,11,1,0,2,2,24,20,13,10,19,23,21,18,0,2,0,1,1,0,0,0,34,39,7,12,"112,911m","113,271m",153,152,118,118,8.5%,9.3%,46.8%,53.2%,https://www.football-lab.jp/shim/report/?year=2018&month=04&date=15
H,FC東京,L,0,1,16,9,3,3,0,0,422,418,15,12,16,10,0,1,5,2,20,25,10,9,19,14,18,23,2,0,1,0,1,1,0,0,52,46,15,9,"110,305m","111,100m",160,162,131,129,12.2%,7.0%,47.8%,52.2%,https://www.football-lab.jp/shim/report/?year=2018&month=04&date=21
A,名古屋,W,3,1,7,12,4,4,0,0,480,583,16,15,11,12,2,3,2,4,27,31,12,7,25,22,40,27,1,2,3,1,0,0,0,0,51,47,10,17,"115,580m","120,176m",161,150,126,132,5.6%,9.1%,48.5%,51.5%,https://www.football-lab.jp/shim/report/?year=2018&month=04&date=25
