HOME/AWAY,Opponent,勝敗,iwat_得点,iwat_失点,iwat_シュート,Opponent_シュート,iwat_枠内シュート,Opponent_枠内シュート,iwat_PKによるシュート,Opponent_PKによるシュート,iwat_パス,Opponent_パス,iwat_クロス,Opponent_クロス,iwat_直接ＦＫ,Opponent_直接ＦＫ,iwat_間接ＦＫ,Opponent_間接ＦＫ,iwat_ＣＫ,Opponent_ＣＫ,iwat_スローイン,Opponent_スローイン,iwat_ドリブル,Opponent_ドリブル,iwat_タックル,Opponent_タックル,iwat_クリア,Opponent_クリア,iwat_インターセプト,Opponent_インターセプト,iwat_オフサイド,Opponent_オフサイド,iwat_警告,Opponent_警告,iwat_退場,Opponent_退場,iwat_３０ｍライン進入,Opponent_３０ｍライン進入,iwat_ペナルティエリア進入,Opponent_ペナルティエリア進入,iwat_総移動距離,Opponent_総移動距離,iwat_スプリント,Opponent_スプリント,iwat_攻撃回数,Opponent_攻撃回数,iwat_チャンス構築率,Opponent_チャンス構築率,iwat_ボール保持率,Opponent_ボール保持率,URL
H,川崎Ｆ,L,0,3,15,11,3,7,0,0,463,570,14,5,10,12,4,0,8,3,29,20,12,9,27,26,14,39,0,3,0,4,1,2,0,0,38,34,14,15,"114,356m","110,470m",163,181,129,112,11.6%,9.8%,47.4%,52.6%,https://www.football-lab.jp/iwat/report/?year=2018&month=02&date=25
A,名古屋,L,0,1,11,13,3,7,0,0,454,511,14,9,9,22,1,3,3,6,21,15,20,16,27,21,25,23,3,1,3,1,2,0,0,0,50,40,14,11,"111,491m","113,033m",176,165,122,126,9.0%,10.3%,52.7%,47.3%,https://www.football-lab.jp/iwat/report/?year=2018&month=03&date=03
H,FC東京,W,2,0,16,10,8,3,0,0,507,379,24,10,13,10,3,0,3,11,29,20,12,16,28,22,25,22,5,2,0,3,1,1,0,0,47,31,13,12,"113,922m","113,679m",164,178,128,131,12.5%,7.6%,55.4%,44.6%,https://www.football-lab.jp/iwat/report/?year=2018&month=03&date=10
A,広島,D,0,0,11,9,1,4,0,0,456,480,16,11,16,16,3,3,2,3,22,29,13,14,27,32,23,26,3,4,3,3,2,2,0,0,46,46,12,9,"115,008m","114,204m",190,166,130,130,8.5%,6.9%,50%,50%,https://www.football-lab.jp/iwat/report/?year=2018&month=03&date=18
H,浦和,W,2,1,12,8,6,3,0,1,417,630,13,13,13,4,2,3,5,4,23,32,10,9,28,16,14,24,1,0,3,2,1,0,0,0,34,27,15,5,"117,784m","113,397m",172,163,117,118,10.3%,6.8%,43.2%,56.8%,https://www.football-lab.jp/iwat/report/?year=2018&month=04&date=01
H,清水,D,0,0,19,11,8,2,0,0,438,400,31,17,13,10,0,0,9,3,29,23,14,11,18,23,25,41,2,3,0,0,2,2,0,0,48,33,22,9,"112,026m","110,325m",149,159,122,114,15.6%,9.6%,51.5%,48.5%,https://www.football-lab.jp/iwat/report/?year=2018&month=04&date=07
A,Ｇ大阪,L,0,2,17,12,6,4,0,0,462,420,17,16,17,11,4,3,3,7,20,20,15,15,18,21,17,24,2,2,2,4,0,2,0,0,42,38,10,9,"116,397m","115,708m",159,188,132,127,12.9%,9.4%,50.9%,49.1%,https://www.football-lab.jp/iwat/report/?year=2018&month=04&date=11
H,鳥栖,W,1,0,9,13,4,4,0,0,403,398,7,14,22,16,1,3,4,4,28,25,13,12,20,28,32,21,1,1,3,1,1,3,0,0,28,37,7,14,"112,477m","110,193m",147,167,140,129,6.4%,10.1%,49.5%,50.5%,https://www.football-lab.jp/iwat/report/?year=2018&month=04&date=15
A,仙台,W,3,0,14,11,6,1,0,0,302,577,9,19,12,10,3,3,2,9,18,22,11,17,37,20,23,21,1,0,3,3,2,1,0,0,25,53,12,13,"113,333m","109,692m",175,149,127,130,11.0%,8.5%,38.8%,61.2%,https://www.football-lab.jp/iwat/report/?year=2018&month=04&date=21
H,長崎,L,1,2,13,6,8,2,1,0,446,305,22,11,16,9,0,1,8,4,40,24,22,7,17,21,21,38,1,1,1,0,2,0,0,0,40,22,10,6,"110,425m","115,422m",173,186,137,127,9.5%,4.7%,54.3%,45.7%,https://www.football-lab.jp/iwat/report/?year=2018&month=04&date=25
H,Ｃ大阪,D,1,1,16,2,2,1,0,1,425,476,19,14,15,10,3,0,4,4,26,24,12,8,19,20,19,25,3,3,0,3,2,1,0,0,37,30,16,2,"114,254m","109,524m",158,175,136,133,11.8%,1.5%,49.8%,50.2%,https://www.football-lab.jp/iwat/report/?year=2018&month=04&date=28
A,横浜FM,W,3,1,16,11,5,3,0,1,233,714,9,25,15,12,2,4,4,4,13,26,9,20,20,7,41,14,4,0,4,2,2,0,1,0,30,52,11,18,"112,843m","113,757m",160,200,105,112,15.2%,9.8%,33.8%,66.2%,https://www.football-lab.jp/iwat/report/?year=2018&month=05&date=02
A,柏,W,2,1,12,11,7,3,0,0,409,535,9,15,10,10,9,0,0,4,28,33,6,21,32,19,29,17,4,0,0,9,0,1,0,0,38,36,10,14,"115,066m","111,550m",132,132,123,129,9.8%,8.5%,45.8%,54.2%,https://www.football-lab.jp/iwat/report/?year=2018&month=05&date=05
H,神戸,L,0,2,15,10,5,3,0,0,439,430,22,17,20,10,2,0,6,4,16,22,14,8,17,24,26,43,0,3,0,2,0,1,0,0,51,39,11,14,"114,968m","111,143m",172,173,115,120,13.0%,8.3%,45%,55%,https://www.football-lab.jp/iwat/report/?year=2018&month=05&date=12
A,湘南,L,0,1,16,9,4,2,0,0,594,369,14,7,17,7,3,0,6,1,33,30,5,9,20,24,10,29,0,3,0,3,1,1,0,0,54,28,20,3,"115,076m","115,821m",165,170,145,134,11.0%,6.7%,58.6%,41.4%,https://www.football-lab.jp/iwat/report/?year=2018&month=05&date=19
H,鹿島,D,3,3,11,13,7,7,0,0,353,582,12,24,8,9,3,2,2,6,21,21,8,23,23,15,26,23,3,5,2,4,2,1,0,0,24,56,15,15,"107,023m","101,851m",132,120,102,112,10.8%,11.6%,39.8%,60.2%,https://www.football-lab.jp/iwat/report/?year=2018&month=07&date=18
A,札幌,D,0,0,8,9,4,5,0,1,340,540,10,18,16,12,4,1,4,4,22,23,6,16,28,18,21,26,0,0,1,4,3,0,0,0,33,41,7,15,"115,529m","114,862m",170,165,128,126,6.3%,7.1%,40.7%,59.3%,https://www.football-lab.jp/iwat/report/?year=2018&month=07&date=22
A,鳥栖,D,0,0,11,12,1,2,0,0,395,404,13,18,14,14,2,4,1,9,25,30,8,14,16,15,30,19,0,2,4,1,1,1,0,0,35,41,8,18,"109,855m","110,970m",169,188,118,126,9.3%,9.5%,48.8%,51.2%,https://www.football-lab.jp/iwat/report/?year=2018&month=07&date=28
