HOME/AWAY,Opponent,勝敗,y-fm_得点,y-fm_失点,Opponent_ゴール期待値,y-fm_ゴール期待値,Opponent_シュート,y-fm_シュート,Opponent_枠内シュート,y-fm_枠内シュート,Opponent_PKによるシュート,y-fm_PKによるシュート,Opponent_パス,y-fm_パス,Opponent_クロス,y-fm_クロス,Opponent_直接ＦＫ,y-fm_直接ＦＫ,Opponent_間接ＦＫ,y-fm_間接ＦＫ,Opponent_ＣＫ,y-fm_ＣＫ,Opponent_スローイン,y-fm_スローイン,Opponent_ドリブル,y-fm_ドリブル,Opponent_タックル,y-fm_タックル,Opponent_クリア,y-fm_クリア,Opponent_インターセプト,y-fm_インターセプト,Opponent_オフサイド,y-fm_オフサイド,Opponent_警告,y-fm_警告,Opponent_退場,y-fm_退場,Opponent_３０ｍライン進入,y-fm_３０ｍライン進入,Opponent_ペナルティエリア進入,y-fm_ペナルティエリア進入,Opponent_総移動距離,y-fm_総移動距離,Opponent_スプリント,y-fm_スプリント,Opponent_攻撃回数,y-fm_攻撃回数,Opponent_チャンス構築率,y-fm_チャンス構築率,Opponent_ボール保持率,y-fm_ボール保持率,URL
H,川崎Ｆ,L,0,1,2.667,1.204,18,13,8,4,1,0,489,642,19,16,5,10,3,7,6,4,13,17,12,14,14,14,13,19,2,2,7,3,1,1,0,0,39,60,23,12,"115,282m","112,500m",124,100,106,106,17.0%,12.3%,46.9%,53.1%,https://www.football-lab.jp/y-fm/report/?year=2023&month=07&date=15
A,浦和,D,0,0,1.388,0.859,16,8,5,3,0,0,376,477,15,16,10,15,2,0,4,7,18,29,10,10,30,17,18,20,2,1,0,2,2,0,0,0,42,36,23,7,"109,800m","114,245m",109,93,113,122,14.2%,6.6%,46.5%,53.5%,https://www.football-lab.jp/y-fm/report/?year=2023&month=08&date=06
H,Ｇ大阪,W,2,1,1.361,2.061,12,18,3,3,0,1,465,358,24,8,9,10,1,2,5,9,21,20,13,8,12,19,19,31,3,0,2,1,2,2,0,1,34,35,15,13,"110,509m","111,274m",87,79,104,104,11.5%,17.3%,54.6%,45.4%,https://www.football-lab.jp/y-fm/report/?year=2023&month=08&date=12
H,FC東京,W,2,1,1.022,0.949,10,15,5,6,0,0,348,619,17,12,13,10,0,2,1,4,20,21,6,7,18,16,15,13,5,2,2,0,2,0,0,0,24,53,11,14,"113,673m","114,611m",117,78,102,105,9.8%,14.3%,40.4%,59.6%,https://www.football-lab.jp/y-fm/report/?year=2023&month=08&date=19
A,横浜FC,L,1,4,0.813,1.761,13,19,7,6,0,0,225,643,12,26,3,9,0,2,8,13,14,20,6,11,12,10,36,24,2,1,2,0,1,0,0,0,26,71,10,15,"116,837m","117,110m",149,119,91,107,14.3%,17.8%,33.7%,66.3%,https://www.football-lab.jp/y-fm/report/?year=2023&month=08&date=26
A,柏,L,0,2,1.943,0.429,14,8,5,3,1,0,252,578,14,7,10,13,3,4,7,3,14,21,9,6,12,18,15,14,4,0,4,3,1,1,0,0,25,17,11,4,"111,724m","110,006m",120,94,105,105,13.3%,7.6%,35.8%,64.2%,https://www.football-lab.jp/y-fm/report/?year=2023&month=09&date=02
H,鳥栖,D,1,1,2.211,2.511,18,22,4,4,1,0,391,604,12,29,3,12,0,3,9,7,16,23,10,13,15,15,30,20,5,1,3,0,2,1,0,0,45,54,13,21,"124,363m","121,656m",128,106,110,110,16.4%,20.0%,40.6%,59.4%,https://www.football-lab.jp/y-fm/report/?year=2023&month=09&date=15
A,鹿島,W,2,1,1.879,1.642,18,13,6,4,0,0,387,479,19,20,16,6,0,4,5,2,19,15,8,18,13,14,23,22,4,1,4,0,3,1,0,0,30,49,8,15,"106,926m","108,804m",142,135,108,102,16.7%,12.7%,47.7%,52.3%,https://www.football-lab.jp/y-fm/report/?year=2023&month=09&date=24
H,神戸,L,0,2,2.339,0.709,16,15,6,3,1,0,302,456,18,23,10,12,0,2,10,8,21,19,9,19,15,14,29,31,5,1,2,0,3,1,0,0,35,54,13,12,"118,562m","114,962m",157,105,125,117,12.8%,12.8%,44.6%,55.4%,https://www.football-lab.jp/y-fm/report/?year=2023&month=09&date=29
H,札幌,W,4,1,1.557,1.326,18,15,3,8,0,0,568,504,17,14,12,9,1,4,3,2,27,13,18,12,13,20,11,22,2,2,3,1,2,1,0,0,58,25,23,16,"116,999m","123,692m",141,134,124,115,14.5%,13.0%,50.1%,49.9%,https://www.football-lab.jp/y-fm/report/?year=2023&month=10&date=21
A,福岡,W,4,0,1.061,0.891,13,9,5,4,0,0,498,472,14,8,11,13,2,5,3,3,23,29,9,8,40,23,18,24,4,0,5,2,2,0,0,0,50,25,10,10,"119,625m","123,111m",125,119,129,133,10.1%,6.8%,50.6%,49.4%,https://www.football-lab.jp/y-fm/report/?year=2023&month=10&date=28
H,Ｃ大阪,W,2,0,0.454,2.04,8,19,1,5,0,0,548,453,19,13,17,12,1,2,5,6,21,19,16,9,11,24,18,24,1,0,1,1,0,0,0,0,33,38,13,20,"122,375m","123,596m",147,139,117,110,6.8%,17.3%,54.4%,45.6%,https://www.football-lab.jp/y-fm/report/?year=2023&month=11&date=12
H,新潟,D,0,0,0.924,1.63,15,20,2,9,0,0,442,586,10,18,8,17,3,6,4,7,18,28,15,20,18,19,35,21,2,1,6,3,1,1,0,0,42,63,19,15,"121,318m","123,242m",124,139,121,136,12.4%,14.7%,43.8%,56.2%,https://www.football-lab.jp/y-fm/report/?year=2023&month=11&date=24
A,京都,L,1,3,2.454,1.402,25,10,7,5,0,0,417,600,25,12,8,14,1,1,10,2,16,24,17,13,25,31,20,29,3,0,1,1,1,1,0,1,39,31,22,12,"121,607m","112,709m",172,128,125,135,20.0%,7.4%,44.4%,55.6%,https://www.football-lab.jp/y-fm/report/?year=2023&month=12&date=03
