HOME/AWAY,Opponent,勝敗,g-os_得点,g-os_失点,Opponent_ゴール期待値,g-os_ゴール期待値,Opponent_シュート,g-os_シュート,Opponent_枠内シュート,g-os_枠内シュート,Opponent_PKによるシュート,g-os_PKによるシュート,Opponent_パス,g-os_パス,Opponent_クロス,g-os_クロス,Opponent_直接ＦＫ,g-os_直接ＦＫ,Opponent_間接ＦＫ,g-os_間接ＦＫ,Opponent_ＣＫ,g-os_ＣＫ,Opponent_スローイン,g-os_スローイン,Opponent_ドリブル,g-os_ドリブル,Opponent_タックル,g-os_タックル,Opponent_クリア,g-os_クリア,Opponent_インターセプト,g-os_インターセプト,Opponent_オフサイド,g-os_オフサイド,Opponent_警告,g-os_警告,Opponent_退場,g-os_退場,Opponent_３０ｍライン進入,g-os_３０ｍライン進入,Opponent_ペナルティエリア進入,g-os_ペナルティエリア進入,Opponent_総移動距離,g-os_総移動距離,Opponent_スプリント,g-os_スプリント,Opponent_攻撃回数,g-os_攻撃回数,Opponent_チャンス構築率,g-os_チャンス構築率,Opponent_ボール保持率,g-os_ボール保持率,URL
A,柏,D,2,2,1.92,0.704,15,10,5,4,1,0,411,605,15,3,10,13,2,1,5,3,19,31,20,16,27,15,26,29,2,1,1,1,2,3,0,0,34,31,14,7,"117,971m","119,159m",127,100,105,121,14.3%,8.3%,41.9%,58.1%,https://www.football-lab.jp/g-os/report/?year=2023&month=02&date=18
H,鳥栖,D,1,1,0.749,1.667,7,20,3,5,0,0,562,499,16,14,8,5,1,3,10,7,18,15,13,15,16,22,33,23,1,0,3,1,0,0,0,0,34,33,13,11,"123,231m","117,803m",158,129,96,89,7.3%,22.5%,50.1%,49.9%,https://www.football-lab.jp/g-os/report/?year=2023&month=02&date=25
A,神戸,L,0,4,1.234,0.276,12,6,5,0,0,0,357,588,15,9,15,8,1,0,2,3,26,22,14,10,21,18,17,22,8,1,0,1,1,1,0,0,30,36,12,7,"120,408m","114,036m",118,114,128,128,9.4%,4.7%,40.3%,59.7%,https://www.football-lab.jp/g-os/report/?year=2023&month=03&date=04
H,広島,L,1,2,2.586,1.73,20,13,6,4,1,0,408,525,19,19,12,10,1,1,6,6,30,22,8,16,31,22,29,33,4,3,1,0,1,1,0,0,38,42,15,14,"115,644m","114,413m",133,123,125,120,16.0%,10.8%,43.7%,56.3%,https://www.football-lab.jp/g-os/report/?year=2023&month=03&date=12
H,札幌,D,2,2,1.192,1.05,9,12,4,4,0,0,493,498,16,18,11,20,1,1,6,3,24,21,9,12,25,17,17,20,1,2,1,1,1,1,0,0,35,40,9,12,"113,057m","115,261m",143,134,129,124,7.0%,9.7%,45.1%,54.9%,https://www.football-lab.jp/g-os/report/?year=2023&month=03&date=18
A,湘南,L,1,4,1.85,2.326,14,20,6,5,0,1,462,564,17,17,9,9,2,0,4,9,18,23,6,25,25,23,21,15,1,1,0,2,0,0,0,0,35,47,11,12,"128,204m","121,838m",158,135,145,149,9.7%,13.4%,45.2%,54.8%,https://www.football-lab.jp/g-os/report/?year=2023&month=04&date=01
H,川崎Ｆ,W,2,0,0.428,0.978,6,14,0,6,0,0,648,489,13,4,14,8,1,2,3,6,22,21,10,13,27,19,6,23,1,5,1,1,2,2,1,0,41,32,11,9,"109,632m","113,199m",122,110,113,119,5.3%,11.8%,52.5%,47.5%,https://www.football-lab.jp/g-os/report/?year=2023&month=04&date=09
A,京都,L,1,2,1.129,0.807,15,10,5,3,0,0,298,570,19,14,11,10,4,0,3,5,23,23,12,16,26,31,25,32,1,1,0,4,2,0,0,1,32,36,14,12,"117,632m","108,642m",119,100,114,116,13.2%,8.6%,34.5%,65.5%,https://www.football-lab.jp/g-os/report/?year=2023&month=04&date=15
H,横浜FC,D,1,1,0.581,2.567,11,28,4,8,0,0,349,698,10,32,6,8,2,1,4,7,23,22,13,22,19,21,38,10,3,1,1,2,1,1,0,0,27,65,7,36,"120,530m","114,099m",110,112,122,134,9.0%,20.9%,37%,63%,https://www.football-lab.jp/g-os/report/?year=2023&month=04&date=23
A,鹿島,L,0,4,1.016,0.908,13,9,7,1,0,0,324,554,6,13,12,10,1,5,3,2,19,27,6,17,25,12,18,13,2,1,4,1,0,2,0,0,24,45,11,9,"117,707m","110,741m",128,93,109,114,11.9%,7.9%,40.1%,59.9%,https://www.football-lab.jp/g-os/report/?year=2023&month=04&date=29
H,Ｃ大阪,L,1,2,0.368,1.558,6,13,5,3,0,0,353,607,10,18,11,7,3,0,0,9,23,30,5,19,15,20,43,14,0,1,0,1,1,3,0,0,32,69,7,18,"114,301m","110,609m",104,120,112,120,5.4%,10.8%,39.8%,60.2%,https://www.football-lab.jp/g-os/report/?year=2023&month=05&date=03
A,名古屋,L,0,1,2.168,0.642,15,10,2,2,0,0,373,482,15,8,21,9,0,2,6,3,23,28,4,11,23,14,15,17,2,1,2,0,1,6,0,0,26,32,6,10,"116,358m","113,136m",116,96,122,115,12.3%,8.7%,42.9%,57.1%,https://www.football-lab.jp/g-os/report/?year=2023&month=05&date=06
A,浦和,L,1,3,2.37,1.362,16,16,6,4,1,0,692,379,16,12,8,3,0,1,9,2,24,27,14,11,22,28,15,17,1,4,1,0,0,2,0,0,58,26,14,8,"112,560m","114,729m",115,92,114,108,14.0%,14.8%,61.3%,38.7%,https://www.football-lab.jp/g-os/report/?year=2023&month=05&date=14
H,横浜FM,L,0,2,1.309,1.232,11,14,5,3,0,0,545,397,9,23,14,11,4,0,6,7,19,15,13,15,17,34,25,18,2,0,0,4,5,2,1,0,36,44,10,15,"109,622m","109,793m",110,123,116,105,9.5%,13.3%,55.5%,44.5%,https://www.football-lab.jp/g-os/report/?year=2023&month=05&date=20
A,新潟,W,3,1,1.293,1.143,19,10,8,4,0,0,791,309,19,10,12,6,2,0,7,2,28,14,17,13,19,22,15,34,2,3,0,2,1,0,0,0,68,32,16,12,"114,027m","113,685m",97,114,126,107,15.1%,9.3%,66.1%,33.9%,https://www.football-lab.jp/g-os/report/?year=2023&month=05&date=28
A,福岡,W,2,1,0.768,1.331,16,10,3,5,0,0,361,405,15,3,16,6,1,1,7,6,16,26,13,7,18,15,21,30,1,0,1,1,1,2,0,0,34,27,9,6,"105,483m","107,719m",108,97,128,126,12.5%,7.9%,47.7%,52.3%,https://www.football-lab.jp/g-os/report/?year=2023&month=06&date=03
H,FC東京,W,3,1,1.524,2.273,11,16,4,8,0,0,463,355,20,19,19,6,4,2,3,4,18,15,12,13,12,12,20,27,1,0,2,4,1,2,0,0,39,40,12,18,"104,468m","103,920m",103,117,115,101,9.6%,15.8%,52%,48%,https://www.football-lab.jp/g-os/report/?year=2023&month=06&date=11
H,鹿島,W,2,1,0.499,1.628,8,11,2,4,0,0,381,448,12,20,12,10,0,1,3,6,27,24,10,8,13,16,29,15,4,2,1,0,2,1,0,0,31,42,5,20,"108,365m","109,584m",83,107,107,121,7.5%,9.1%,46.6%,53.4%,https://www.football-lab.jp/g-os/report/?year=2023&month=06&date=24
A,横浜FC,D,0,0,2.321,1.12,20,13,4,6,0,0,323,433,12,12,15,10,0,1,10,5,19,13,10,7,8,15,18,32,1,2,1,0,0,1,0,0,35,39,14,8,"111,735m","106,922m",141,110,112,98,17.9%,13.3%,46.9%,53.1%,https://www.football-lab.jp/g-os/report/?year=2023&month=07&date=01
H,京都,W,1,0,0.734,0.865,10,9,0,2,0,0,355,439,20,10,8,10,2,0,6,5,23,24,13,11,22,20,20,27,2,2,0,2,1,1,0,0,39,36,11,9,"113,166m","107,998m",133,98,125,117,8.0%,7.7%,46.6%,53.4%,https://www.football-lab.jp/g-os/report/?year=2023&month=07&date=08
H,柏,W,3,1,1.047,1.29,17,6,5,3,0,1,316,548,9,10,12,11,2,0,9,2,12,22,12,9,23,19,20,21,3,2,0,2,1,2,1,0,35,34,13,10,"112,108m","114,982m",128,125,107,114,15.9%,5.3%,38.1%,61.9%,https://www.football-lab.jp/g-os/report/?year=2023&month=07&date=16
A,川崎Ｆ,W,4,3,2.785,1.436,17,9,5,6,0,1,591,333,23,6,12,6,1,5,9,5,13,16,7,4,18,12,13,27,2,2,5,1,1,3,0,0,49,22,21,7,"105,281m","110,182m",79,84,115,104,14.8%,8.7%,60%,40%,https://www.football-lab.jp/g-os/report/?year=2023&month=08&date=06
A,横浜FM,L,1,2,2.061,1.361,18,12,3,3,1,0,358,465,8,24,10,9,2,1,9,5,20,21,8,13,19,12,31,19,0,3,1,2,2,2,1,0,35,34,13,15,"111,274m","110,509m",79,87,104,104,17.3%,11.5%,45.4%,54.6%,https://www.football-lab.jp/g-os/report/?year=2023&month=08&date=12
H,湘南,W,2,1,1.406,1.889,11,15,3,7,0,1,460,472,10,7,14,17,2,1,4,1,15,19,9,3,11,18,16,24,2,3,1,2,3,2,0,0,25,32,11,11,"111,395m","106,489m",88,104,103,103,10.7%,14.6%,47.3%,52.7%,https://www.football-lab.jp/g-os/report/?year=2023&month=08&date=19
A,鳥栖,D,1,1,1.122,1.962,11,22,2,8,0,0,374,574,14,19,8,4,2,3,4,6,12,29,18,12,11,12,28,20,1,1,3,2,1,0,0,0,32,66,11,23,"120,566m","112,829m",134,121,99,105,11.1%,21.0%,41.6%,58.4%,https://www.football-lab.jp/g-os/report/?year=2023&month=08&date=26
A,札幌,L,0,4,2.453,0.464,23,6,9,1,0,0,432,438,19,9,15,11,0,3,8,2,19,24,13,8,15,9,21,26,2,1,3,0,2,3,0,0,45,24,17,5,"111,360m","108,802m",137,125,118,111,19.5%,5.4%,49.2%,50.8%,https://www.football-lab.jp/g-os/report/?year=2023&month=09&date=02
H,新潟,D,1,1,0.698,1.801,7,23,2,8,0,0,562,430,14,8,8,8,2,1,4,9,16,9,9,15,20,17,16,20,1,3,1,2,0,0,0,0,37,40,13,11,"105,566m","106,435m",78,99,103,103,6.8%,22.3%,56.4%,43.6%,https://www.football-lab.jp/g-os/report/?year=2023&month=09&date=17
H,浦和,L,1,3,0.79,1.241,8,16,3,4,0,0,363,587,10,20,12,9,3,0,2,7,22,25,8,11,20,11,27,14,1,0,0,3,1,3,1,0,26,64,9,16,"106,767m","111,329m",94,98,103,106,7.8%,15.1%,41.4%,58.6%,https://www.football-lab.jp/g-os/report/?year=2023&month=09&date=24
A,FC東京,L,0,3,2.117,0.79,19,10,8,2,0,0,406,426,17,8,12,9,2,3,2,2,17,12,9,12,19,12,12,16,1,1,3,2,2,2,0,0,36,33,17,15,"107,584m","104,553m",126,112,103,90,18.4%,11.1%,48%,52%,https://www.football-lab.jp/g-os/report/?year=2023&month=10&date=01
H,名古屋,L,0,1,0.966,0.78,10,10,3,4,0,0,403,601,14,8,12,11,3,3,4,2,11,17,11,7,22,13,13,20,2,2,3,3,1,2,0,0,33,36,11,7,"111,911m","108,214m",123,94,112,111,8.9%,9.0%,42.4%,57.6%,https://www.football-lab.jp/g-os/report/?year=2023&month=10&date=21
A,Ｃ大阪,L,0,1,0.914,0.374,12,6,3,2,0,0,356,524,12,14,19,13,1,2,3,3,25,25,10,12,17,26,30,19,2,0,2,1,0,2,0,0,31,45,11,9,"118,403m","112,341m",131,127,119,116,10.1%,5.2%,44.3%,55.7%,https://www.football-lab.jp/g-os/report/?year=2023&month=10&date=28
H,福岡,L,1,2,1.82,1.31,12,18,6,4,1,0,544,540,16,8,14,16,0,1,2,3,17,15,7,12,12,14,23,21,4,4,1,0,1,0,0,0,48,28,12,6,"113,978m","113,034m",119,102,121,119,9.9%,15.1%,49.2%,50.8%,https://www.football-lab.jp/g-os/report/?year=2023&month=11&date=11
A,広島,L,0,3,2.037,0.162,27,3,6,2,0,0,586,379,19,4,19,10,2,1,7,1,20,11,7,8,15,11,6,28,1,4,1,2,0,2,0,0,49,22,16,3,"113,388m","109,564m",139,119,135,113,20.0%,2.7%,58%,42%,https://www.football-lab.jp/g-os/report/?year=2023&month=11&date=25
H,神戸,L,0,1,1.004,1.033,11,15,3,4,0,0,403,475,17,21,14,10,2,2,6,7,14,15,16,10,20,16,28,16,4,4,2,2,1,3,0,0,27,39,9,12,"114,899m","112,172m",108,108,128,131,8.6%,11.5%,50.8%,49.2%,https://www.football-lab.jp/g-os/report/?year=2023&month=12&date=03
