HOME/AWAY,Opponent,勝敗,uraw_得点,uraw_失点,Opponent_ゴール期待値,uraw_ゴール期待値,Opponent_シュート,uraw_シュート,Opponent_枠内シュート,uraw_枠内シュート,Opponent_PKによるシュート,uraw_PKによるシュート,Opponent_パス,uraw_パス,Opponent_クロス,uraw_クロス,Opponent_直接ＦＫ,uraw_直接ＦＫ,Opponent_間接ＦＫ,uraw_間接ＦＫ,Opponent_ＣＫ,uraw_ＣＫ,Opponent_スローイン,uraw_スローイン,Opponent_ドリブル,uraw_ドリブル,Opponent_タックル,uraw_タックル,Opponent_クリア,uraw_クリア,Opponent_インターセプト,uraw_インターセプト,Opponent_オフサイド,uraw_オフサイド,Opponent_警告,uraw_警告,Opponent_退場,uraw_退場,Opponent_３０ｍライン進入,uraw_３０ｍライン進入,Opponent_ペナルティエリア進入,uraw_ペナルティエリア進入,Opponent_総移動距離,uraw_総移動距離,Opponent_スプリント,uraw_スプリント,Opponent_攻撃回数,uraw_攻撃回数,Opponent_チャンス構築率,uraw_チャンス構築率,Opponent_ボール保持率,uraw_ボール保持率,URL,Opponent_гӮҙгғјгғ«жңҹеҫ…еҖӨ,uraw_гӮҙгғјгғ«жңҹеҫ…еҖӨ,Opponent_гӮ·гғҘгғјгғҲ,uraw_гӮ·гғҘгғјгғҲ,Opponent_жһ еҶ…гӮ·гғҘгғјгғҲ,uraw_жһ еҶ…гӮ·гғҘгғјгғҲ,Opponent_PKгҒ«гӮҲгӮӢгӮ·гғҘгғјгғҲ,uraw_PKгҒ«гӮҲгӮӢгӮ·гғҘгғјгғҲ,Opponent_гғ‘гӮ№,uraw_гғ‘гӮ№,Opponent_гӮҜгғӯгӮ№,uraw_гӮҜгғӯгӮ№,Opponent_зӣҙжҺҘпјҰпј«,uraw_зӣҙжҺҘпјҰпј«,Opponent_й–“жҺҘпјҰпј«,uraw_й–“жҺҘпјҰпј«,Opponent_пјЈпј«,uraw_пјЈпј«,Opponent_гӮ№гғӯгғјгӮӨгғі,uraw_гӮ№гғӯгғјгӮӨгғі,Opponent_гғүгғӘгғ–гғ«,uraw_гғүгғӘгғ–гғ«,Opponent_гӮҝгғғгӮҜгғ«,uraw_гӮҝгғғгӮҜгғ«,Opponent_гӮҜгғӘгӮў,uraw_гӮҜгғӘгӮў,Opponent_гӮӨгғігӮҝгғјгӮ»гғ—гғҲ,uraw_гӮӨгғігӮҝгғјгӮ»гғ—гғҲ,Opponent_гӮӘгғ•гӮөгӮӨгғү,uraw_гӮӘгғ•гӮөгӮӨгғү,Opponent_иӯҰе‘Ҡ,uraw_иӯҰе‘Ҡ,Opponent_йҖҖе ҙ,uraw_йҖҖе ҙ,Opponent_пј“пјҗпҪҚгғ©гӮӨгғійҖІе…Ҙ,uraw_пј“пјҗпҪҚгғ©гӮӨгғійҖІе…Ҙ,Opponent_гғҡгғҠгғ«гғҶгӮЈгӮЁгғӘгӮўйҖІе…Ҙ,uraw_гғҡгғҠгғ«гғҶгӮЈгӮЁгғӘгӮўйҖІе…Ҙ,Opponent_з·Ҹз§»еӢ•и·қйӣў,uraw_з·Ҹз§»еӢ•и·қйӣў,Opponent_гӮ№гғ—гғӘгғігғҲ,uraw_гӮ№гғ—гғӘгғігғҲ,Opponent_ж”»ж’ғеӣһж•°,uraw_ж”»ж’ғеӣһж•°,Opponent_гғҒгғЈгғігӮ№ж§ӢзҜүзҺҮ,uraw_гғҒгғЈгғігӮ№ж§ӢзҜүзҺҮ,Opponent_гғңгғјгғ«дҝқжҢҒзҺҮ,uraw_гғңгғјгғ«дҝқжҢҒзҺҮ
H,鹿島,D,0,0,0.584,0.95,9,12,3,2,0,0,483,458,18,22,16,10,1,5,6,6,24,19,14,9,14,15,22,18,1,2,5,1,3,3,0,0,32,45,5,11,"112,986m","110,868m",124,114,113,99,8.0%,12.1%,48.6%,51.4%,https://www.football-lab.jp/uraw/report/?year=2023&month=06&date=04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,横浜FC,D,0,0,0.555,1.704,7,18,2,5,0,0,328,594,12,14,7,7,2,1,3,9,23,12,11,14,11,19,18,15,0,0,1,2,2,2,0,0,27,40,8,14,"122,978m","112,776m",171,140,113,107,6.2%,16.8%,41.8%,58.2%,https://www.football-lab.jp/uraw/report/?year=2023&month=06&date=11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,川崎Ｆ,D,1,1,0.74,0.975,12,9,1,5,0,0,568,457,15,19,11,10,1,2,4,5,19,17,11,12,15,13,19,26,3,1,2,1,1,1,1,0,54,52,7,12,"109,413m","112,876m",89,119,107,101,11.2%,8.9%,54.3%,45.7%,https://www.football-lab.jp/uraw/report/?year=2023&month=06&date=24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,湘南,W,4,1,1.308,2.584,10,19,1,10,0,0,415,468,13,15,5,12,2,2,3,3,19,24,7,20,15,13,18,15,2,1,2,2,0,0,0,0,28,45,9,19,"116,655m","113,292m",110,136,114,120,8.8%,15.8%,46.1%,53.9%,https://www.football-lab.jp/uraw/report/?year=2023&month=06&date=28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,鳥栖,W,2,1,0.901,1.381,9,16,3,6,0,0,620,271,23,11,7,10,4,2,5,7,27,16,8,7,5,13,16,28,1,4,2,4,0,0,0,0,39,28,8,14,"121,403m","115,129m",121,150,108,102,8.3%,15.7%,62.6%,37.4%,https://www.football-lab.jp/uraw/report/?year=2023&month=07&date=01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,FC東京,D,0,0,0.734,0.741,8,11,2,3,0,0,394,593,14,15,10,10,2,3,4,5,18,16,9,10,27,23,20,15,1,2,3,2,1,1,0,0,25,53,11,14,"115,478m","111,059m",98,108,109,112,7.3%,9.8%,39.3%,60.7%,https://www.football-lab.jp/uraw/report/?year=2023&month=07&date=08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Ｃ大阪,L,0,2,1.912,1.39,14,7,4,3,0,1,427,498,16,14,19,8,1,1,6,2,19,11,16,8,19,13,16,13,2,3,1,1,2,1,0,0,30,40,11,10,"113,986m","107,593m",103,89,114,93,12.3%,7.5%,49.2%,50.8%,https://www.football-lab.jp/uraw/report/?year=2023&month=07&date=16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,横浜FM,D,0,0,0.859,1.388,8,16,3,5,0,0,477,376,16,15,15,10,0,2,7,4,29,18,10,10,17,30,20,18,1,2,2,0,0,2,0,0,36,42,7,23,"114,245m","109,800m",93,109,122,113,6.6%,14.2%,53.5%,46.5%,https://www.football-lab.jp/uraw/report/?year=2023&month=08&date=06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,広島,L,1,2,2.155,0.722,20,9,10,3,0,0,383,285,24,13,13,10,1,0,6,11,35,20,18,7,21,24,33,36,1,0,0,1,1,1,0,0,40,22,18,7,"106,845m","105,748m",136,133,126,118,15.9%,7.6%,53%,47%,https://www.football-lab.jp/uraw/report/?year=2023&month=08&date=13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,名古屋,W,1,0,1.155,0.656,15,13,3,4,0,0,483,337,21,6,13,9,0,1,7,5,15,15,16,13,20,14,13,31,0,2,1,0,2,4,0,0,42,27,22,7,"112,426m","109,054m",101,125,102,99,14.7%,13.1%,53.7%,46.3%,https://www.football-lab.jp/uraw/report/?year=2023&month=08&date=18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,湘南,W,1,0,0.734,0.681,10,9,2,3,0,0,362,379,25,11,13,13,1,1,4,8,19,27,7,10,10,13,19,29,1,1,1,1,4,0,0,0,34,27,14,12,"110,099m","102,643m",116,102,99,107,10.1%,8.4%,43.4%,56.6%,https://www.football-lab.jp/uraw/report/?year=2023&month=08&date=25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,新潟,D,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.football-lab.jp/uraw/report/?year=2023&month=09&date=02,1.202,1.259,9,8,3,2,0,1,618,340,14,15,8,9,2,0,4,2,24,20,12,5,18,22,25,29,1,5,0,2,1,0,0,0,45,38,8,8,"112,888m","111,327m",98,84,106,101,8.5%,7.9%,61.1%,38.9%
H,京都,D,0,0,0.4,2.034,8,17,1,6,0,0,316,436,9,13,12,13,2,1,1,6,31,28,3,10,14,12,21,19,2,0,1,2,1,1,0,0,29,35,5,12,"108,553m","106,096m",116,100,117,115,6.8%,14.8%,44.6%,55.4%,https://www.football-lab.jp/uraw/report/?year=2023&month=09&date=15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Ｇ大阪,W,3,1,1.241,0.79,16,8,4,3,0,0,587,363,20,10,9,12,0,3,7,2,25,22,11,8,11,20,14,27,0,1,3,0,3,1,0,1,64,26,16,9,"111,329m","106,767m",98,94,106,103,15.1%,7.8%,58.6%,41.4%,https://www.football-lab.jp/uraw/report/?year=2023&month=09&date=24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,横浜FC,D,1,1,1.027,1.524,12,11,2,3,0,1,312,585,14,12,16,10,1,0,4,1,25,19,13,5,7,14,27,25,1,0,0,1,0,1,0,0,24,46,11,5,"111,921m","106,461m",116,106,111,103,10.8%,10.7%,37.5%,62.5%,https://www.football-lab.jp/uraw/report/?year=2023&month=09&date=29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,柏,W,2,0,0.679,0.509,10,10,1,6,0,0,395,558,8,10,13,12,4,0,5,2,25,26,9,10,18,13,24,18,0,3,0,4,2,0,0,0,32,33,6,9,"116,310m","114,211m",120,123,102,107,9.8%,9.3%,41.7%,58.3%,https://www.football-lab.jp/uraw/report/?year=2023&month=10&date=20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,鹿島,D,0,0,0.499,0.765,8,12,2,3,0,0,368,407,20,19,12,18,2,0,4,5,30,25,9,10,12,16,25,20,0,2,0,2,0,4,0,0,33,40,8,11,"107,173m","104,720m",115,118,99,106,8.1%,11.3%,46.7%,53.3%,https://www.football-lab.jp/uraw/report/?year=2023&month=10&date=28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,神戸,L,1,2,0.969,0.603,11,8,2,5,0,0,394,335,30,8,10,13,1,3,9,3,26,22,14,10,23,20,23,28,1,2,3,2,0,1,0,0,31,21,18,7,"111,775m","106,043m",126,117,125,121,8.8%,6.6%,51.8%,48.2%,https://www.football-lab.jp/uraw/report/?year=2023&month=11&date=12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,福岡,L,2,3,0.737,2.505,8,17,4,5,0,1,363,597,8,15,10,21,0,0,1,6,14,23,8,13,24,20,42,11,4,3,0,0,2,4,0,0,28,43,6,15,"116,016m","113,041m",101,95,116,130,6.9%,13.1%,39.4%,60.6%,https://www.football-lab.jp/uraw/report/?year=2023&month=11&date=25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,札幌,W,2,0,0.715,1.5,11,11,3,2,0,1,667,313,12,6,7,12,2,3,6,1,16,13,10,8,16,16,10,26,3,3,3,2,2,1,0,0,72,22,16,7,"114,179m","113,614m",107,116,120,114,9.2%,9.6%,61.6%,38.4%,https://www.football-lab.jp/uraw/report/?year=2023&month=12&date=03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
