HOME/AWAY,Opponent,勝敗,tosu_得点,tosu_失点,tosu_ゴール期待値,Opponent_ゴール期待値,tosu_シュート,Opponent_シュート,tosu_枠内シュート,Opponent_枠内シュート,tosu_PKによるシュート,Opponent_PKによるシュート,tosu_パス,Opponent_パス,tosu_クロス,Opponent_クロス,tosu_直接ＦＫ,Opponent_直接ＦＫ,tosu_間接ＦＫ,Opponent_間接ＦＫ,tosu_ＣＫ,Opponent_ＣＫ,tosu_スローイン,Opponent_スローイン,tosu_ドリブル,Opponent_ドリブル,tosu_タックル,Opponent_タックル,tosu_クリア,Opponent_クリア,tosu_インターセプト,Opponent_インターセプト,tosu_オフサイド,Opponent_オフサイド,tosu_警告,Opponent_警告,tosu_退場,Opponent_退場,tosu_３０ｍライン進入,Opponent_３０ｍライン進入,tosu_ペナルティエリア進入,Opponent_ペナルティエリア進入,tosu_総移動距離,Opponent_総移動距離,tosu_スプリント,Opponent_スプリント,tosu_攻撃回数,Opponent_攻撃回数,tosu_チャンス構築率,Opponent_チャンス構築率,tosu_ボール保持率,Opponent_ボール保持率,URL
H,湘南,L,1,5,1.652,2.302,12,21,2,14,0,0,581,334,12,13,12,11,2,3,3,5,28,24,14,6,26,27,20,19,2,5,3,2,1,1,0,0,37,40,11,14,"126,784m","128,359m",146,174,127,126,9.4%,16.7%,60.9%,39.1%,https://www.football-lab.jp/tosu/report/?year=2023&month=02&date=18
A,Ｇ大阪,D,1,1,0.749,1.667,7,20,3,5,0,0,562,499,16,14,8,5,1,3,10,7,18,15,13,15,16,22,33,23,1,0,3,1,0,0,0,0,34,33,13,11,"123,231m","117,803m",158,129,96,89,7.3%,22.5%,50.1%,49.9%,https://www.football-lab.jp/tosu/report/?year=2023&month=02&date=25
H,名古屋,W,1,0,0.655,1.521,8,13,5,5,0,0,496,510,7,10,8,13,2,2,4,4,29,25,11,10,19,31,15,25,3,3,2,1,2,1,0,0,37,33,14,9,"124,787m","121,627m",162,153,115,116,7.0%,11.2%,51.2%,48.8%,https://www.football-lab.jp/tosu/report/?year=2023&month=03&date=04
A,Ｃ大阪,L,1,2,0.532,1.147,8,12,1,4,0,0,448,533,9,12,5,15,3,1,6,3,15,28,8,9,19,16,17,17,2,1,1,3,3,0,1,0,25,30,6,13,"118,311m","113,510m",116,108,101,117,7.9%,10.3%,43.6%,56.4%,https://www.football-lab.jp/tosu/report/?year=2023&month=03&date=12
H,神戸,L,0,1,0.389,0.92,3,14,1,4,0,0,563,393,12,25,8,8,3,2,3,6,24,24,10,13,29,14,17,19,1,0,2,3,1,0,0,0,22,44,4,15,"122,786m","120,266m",111,135,128,127,2.3%,11.0%,56%,44%,https://www.football-lab.jp/tosu/report/?year=2023&month=03&date=18
H,FC東京,W,1,0,0.574,0.18,8,4,3,1,0,0,460,532,23,16,12,17,4,4,4,3,24,32,17,17,22,25,17,16,3,4,4,4,1,0,0,0,38,24,14,11,"124,333m","114,460m",165,146,137,143,5.8%,2.8%,46.2%,53.8%,https://www.football-lab.jp/tosu/report/?year=2023&month=04&date=01
A,広島,L,0,1,0.201,1.308,3,15,1,8,0,0,464,491,14,18,11,10,7,1,3,5,22,33,9,16,20,26,25,21,0,3,1,8,1,0,0,0,31,43,6,15,"121,144m","112,948m",152,155,128,141,2.3%,10.6%,46.9%,53.1%,https://www.football-lab.jp/tosu/report/?year=2023&month=04&date=09
H,柏,D,1,1,0.819,2.162,10,24,4,9,0,0,537,494,10,23,6,9,2,1,6,9,20,26,7,10,11,22,27,21,0,1,1,2,1,0,0,0,23,44,9,17,"123,302m","117,463m",99,131,111,118,9.0%,20.3%,49.1%,50.9%,https://www.football-lab.jp/tosu/report/?year=2023&month=04&date=15
A,京都,W,3,2,0.881,2.203,10,16,4,7,0,1,382,363,13,26,13,14,0,2,4,7,23,38,9,22,16,21,35,14,2,3,2,0,1,0,0,1,26,31,17,13,"128,850m","122,474m",137,131,123,143,8.1%,11.2%,51.8%,48.2%,https://www.football-lab.jp/tosu/report/?year=2023&month=04&date=23
H,横浜FM,L,1,3,2.701,1.714,25,14,5,4,0,0,495,508,24,10,6,9,1,4,9,0,31,15,13,5,8,18,12,29,4,1,4,1,0,1,0,0,33,31,18,16,"122,802m","119,315m",144,141,122,105,20.5%,13.3%,49%,51%,https://www.football-lab.jp/tosu/report/?year=2023&month=05&date=03
