HOME/AWAY,Opponent,勝敗,kasm_得点,kasm_失点,Opponent_ゴール期待値,kasm_ゴール期待値,Opponent_シュート,kasm_シュート,Opponent_枠内シュート,kasm_枠内シュート,Opponent_PKによるシュート,kasm_PKによるシュート,Opponent_パス,kasm_パス,Opponent_クロス,kasm_クロス,Opponent_直接ＦＫ,kasm_直接ＦＫ,Opponent_間接ＦＫ,kasm_間接ＦＫ,Opponent_ＣＫ,kasm_ＣＫ,Opponent_スローイン,kasm_スローイン,Opponent_ドリブル,kasm_ドリブル,Opponent_タックル,kasm_タックル,Opponent_クリア,kasm_クリア,Opponent_インターセプト,kasm_インターセプト,Opponent_オフサイド,kasm_オフサイド,Opponent_警告,kasm_警告,Opponent_退場,kasm_退場,Opponent_３０ｍライン進入,kasm_３０ｍライン進入,Opponent_ペナルティエリア進入,kasm_ペナルティエリア進入,Opponent_総移動距離,kasm_総移動距離,Opponent_スプリント,kasm_スプリント,Opponent_攻撃回数,kasm_攻撃回数,Opponent_チャンス構築率,kasm_チャンス構築率,Opponent_ボール保持率,kasm_ボール保持率,URL
A,京都,W,2,0,0.557,1.37,6,11,0,5,0,0,387,323,18,15,16,16,2,0,3,4,35,35,17,9,21,25,17,27,0,2,0,2,2,2,0,0,34,27,9,7,"118,080m","117,029m",136,174,128,130,4.7%,8.5%,53.7%,46.3%,https://www.football-lab.jp/kasm/report/?year=2023&month=02&date=18
H,川崎Ｆ,L,1,2,3.166,0.725,17,6,2,4,1,0,730,238,15,12,17,9,1,2,4,3,32,21,10,7,19,13,17,42,1,1,2,1,1,0,1,1,58,24,15,6,"109,705m","113,757m",105,129,113,108,15.0%,5.6%,69.4%,30.6%,https://www.football-lab.jp/kasm/report/?year=2023&month=02&date=25
A,横浜FC,W,3,1,1.214,1.664,4,19,1,3,1,0,432,323,8,20,10,18,7,1,3,5,31,28,4,18,18,20,27,18,0,7,1,7,2,0,0,0,16,40,6,18,"117,360m","115,108m",134,173,127,121,3.1%,15.7%,53.7%,46.3%,https://www.football-lab.jp/kasm/report/?year=2023&month=03&date=04
H,福岡,D,0,0,0.419,1.092,5,14,0,1,0,0,365,411,17,16,12,21,2,0,1,4,29,23,9,13,15,29,38,26,0,2,0,2,4,2,0,1,33,37,7,15,"108,157m","104,851m",104,115,108,121,4.6%,11.6%,46.8%,53.2%,https://www.football-lab.jp/kasm/report/?year=2023&month=03&date=12
A,横浜FM,L,1,2,0.811,1.102,11,11,4,4,0,0,501,385,13,24,13,12,4,5,7,4,30,20,6,13,10,24,25,24,1,3,5,4,2,4,0,1,39,40,9,14,"120,202m","117,505m",94,137,121,112,9.1%,9.8%,52.5%,47.5%,https://www.football-lab.jp/kasm/report/?year=2023&month=03&date=18
H,広島,L,1,2,1.224,0.519,8,9,4,4,1,0,385,470,16,25,12,15,0,0,4,6,33,25,3,17,23,23,31,18,0,1,0,0,1,0,0,0,35,43,10,7,"112,344m","114,299m",137,137,133,142,6.0%,6.3%,45.8%,54.2%,https://www.football-lab.jp/kasm/report/?year=2023&month=04&date=01
A,柏,L,0,1,0.799,1.092,6,12,1,2,0,0,325,568,16,16,9,15,2,2,5,4,16,39,13,13,19,19,32,15,4,0,2,2,3,1,0,0,29,46,8,10,"118,734m","117,230m",138,138,124,137,4.8%,8.8%,40.1%,59.9%,https://www.football-lab.jp/kasm/report/?year=2023&month=04&date=09
H,神戸,L,1,5,2.935,1.053,18,10,10,2,1,0,410,427,22,12,10,12,1,1,7,5,20,27,13,9,24,13,21,22,1,2,1,1,3,1,0,0,36,41,14,9,"120,190m","115,428m",137,139,127,125,14.2%,8.0%,50.1%,49.9%,https://www.football-lab.jp/kasm/report/?year=2023&month=04&date=15
A,新潟,W,2,0,0.91,1.217,13,11,3,4,0,0,772,343,10,10,18,13,1,0,3,4,26,13,16,15,21,26,12,20,0,8,0,1,1,2,0,0,63,35,10,11,"116,162m","121,128m",79,127,116,109,11.2%,10.1%,63.4%,36.6%,https://www.football-lab.jp/kasm/report/?year=2023&month=04&date=23
H,Ｇ大阪,W,4,0,0.908,1.016,9,13,1,7,0,0,554,324,13,6,10,12,5,1,2,3,27,19,17,6,12,25,13,18,1,2,1,4,2,0,0,0,45,24,9,11,"110,741m","117,707m",93,128,114,109,7.9%,11.9%,59.9%,40.1%,https://www.football-lab.jp/kasm/report/?year=2023&month=04&date=29
