HOME/AWAY,Opponent,勝敗,y-fc_得点,y-fc_失点,y-fc_ゴール期待値,Opponent_ゴール期待値,y-fc_シュート,Opponent_シュート,y-fc_枠内シュート,Opponent_枠内シュート,y-fc_PKによるシュート,Opponent_PKによるシュート,y-fc_パス,Opponent_パス,y-fc_クロス,Opponent_クロス,y-fc_直接ＦＫ,Opponent_直接ＦＫ,y-fc_間接ＦＫ,Opponent_間接ＦＫ,y-fc_ＣＫ,Opponent_ＣＫ,y-fc_スローイン,Opponent_スローイン,y-fc_ドリブル,Opponent_ドリブル,y-fc_タックル,Opponent_タックル,y-fc_クリア,Opponent_クリア,y-fc_インターセプト,Opponent_インターセプト,y-fc_オフサイド,Opponent_オフサイド,y-fc_警告,Opponent_警告,y-fc_退場,Opponent_退場,y-fc_３０ｍライン進入,Opponent_３０ｍライン進入,y-fc_ペナルティエリア進入,Opponent_ペナルティエリア進入,y-fc_総移動距離,Opponent_総移動距離,y-fc_スプリント,Opponent_スプリント,y-fc_攻撃回数,Opponent_攻撃回数,y-fc_チャンス構築率,Opponent_チャンス構築率,y-fc_ボール保持率,Opponent_ボール保持率,URL
A,福岡,L,0,2,0.635,0.506,12,8,4,5,0,0,528,296,13,5,15,9,1,1,12,0,26,15,18,6,15,18,9,35,1,1,1,1,1,2,0,0,42,28,16,7,"105,667m","105,556m",105,106,131,105,9.2%,7.6%,58.8%,41.2%,https://www.football-lab.jp/y-fc/report/?year=2023&month=08&date=12
H,Ｃ大阪,L,0,1,0.719,1.867,8,24,1,10,0,0,456,493,17,15,9,8,1,1,2,4,19,14,10,16,14,11,13,20,2,0,1,1,2,1,0,0,30,47,12,16,"112,280m","112,555m",110,122,111,104,7.2%,23.1%,49.4%,50.6%,https://www.football-lab.jp/y-fc/report/?year=2023&month=08&date=20
H,横浜FM,W,4,1,0.813,1.761,13,19,7,6,0,0,225,643,12,26,3,9,0,2,8,13,14,20,6,11,12,10,36,24,2,1,2,0,1,0,0,0,26,71,10,15,"116,837m","117,110m",149,119,91,107,14.3%,17.8%,33.7%,66.3%,https://www.football-lab.jp/y-fc/report/?year=2023&month=08&date=26
A,名古屋,D,1,1,1.685,0.683,18,6,3,1,0,0,502,351,16,4,17,7,0,2,8,2,23,14,11,6,11,20,12,34,3,1,2,0,1,1,0,0,57,31,10,8,"110,774m","109,342m",137,130,117,90,15.4%,6.7%,57.7%,42.3%,https://www.football-lab.jp/y-fc/report/?year=2023&month=09&date=02
H,柏,L,1,2,1.378,2.272,17,11,3,3,0,1,498,355,15,7,10,5,0,0,7,6,26,16,11,13,9,15,19,21,2,0,0,0,3,5,0,0,30,26,7,9,"111,499m","108,412m",116,105,116,110,14.7%,10.0%,55.5%,44.5%,https://www.football-lab.jp/y-fc/report/?year=2023&month=09&date=17
A,新潟,L,1,3,0.901,0.713,9,13,4,4,0,0,431,576,18,5,10,9,1,2,3,2,24,13,18,13,20,22,9,31,2,2,2,1,2,0,0,0,53,36,15,8,"114,343m","112,161m",143,134,109,103,8.3%,12.6%,43.2%,56.8%,https://www.football-lab.jp/y-fc/report/?year=2023&month=09&date=23
A,浦和,D,1,1,1.027,1.524,12,11,2,3,0,1,312,585,14,12,16,10,1,0,4,1,25,19,13,5,7,14,27,25,1,0,0,1,0,1,0,0,24,46,11,5,"111,921m","106,461m",116,106,111,103,10.8%,10.7%,37.5%,62.5%,https://www.football-lab.jp/y-fc/report/?year=2023&month=09&date=29
H,FC東京,W,1,0,0.453,0.543,8,8,4,3,0,0,266,561,7,15,14,13,3,1,1,6,19,35,9,11,24,25,31,12,0,0,1,3,1,2,0,0,23,32,8,7,"109,016m","105,795m",127,106,117,131,6.8%,6.1%,35.3%,64.7%,https://www.football-lab.jp/y-fc/report/?year=2023&month=10&date=21
A,札幌,L,1,2,1.8,1.629,15,22,7,11,0,0,386,593,27,13,11,13,3,1,5,1,23,12,16,14,14,21,17,35,0,1,1,3,0,2,0,0,33,36,16,17,"116,079m","115,939m",142,136,131,119,11.5%,18.5%,45.3%,54.7%,https://www.football-lab.jp/y-fc/report/?year=2023&month=10&date=28
A,鳥栖,W,3,1,2.344,0.416,11,6,4,2,1,0,269,699,15,18,14,10,2,2,4,3,20,22,4,12,14,15,16,16,1,1,2,1,1,2,0,0,26,54,11,2,"122,547m","123,765m",151,137,105,99,10.5%,6.1%,35%,65%,https://www.football-lab.jp/y-fc/report/?year=2023&month=11&date=11
H,湘南,L,0,1,1.483,0.561,17,6,3,2,0,0,387,358,18,6,16,10,1,0,8,5,36,23,12,5,16,20,11,41,1,2,0,1,2,2,0,0,20,25,10,3,"111,458m","114,339m",122,129,145,116,11.7%,5.2%,50.5%,49.5%,https://www.football-lab.jp/y-fc/report/?year=2023&month=11&date=25
A,鹿島,L,1,2,1.265,2.727,14,20,3,6,0,0,408,403,12,20,7,11,6,0,3,6,17,21,7,9,18,23,15,16,4,2,0,6,2,2,0,0,38,35,7,9,"110,466m","110,780m",138,174,120,129,11.7%,15.5%,49%,51%,https://www.football-lab.jp/y-fc/report/?year=2023&month=12&date=03
