HOME/AWAY,Opponent,勝敗,ka-f_得点,ka-f_失点,ka-f_ゴール期待値,Opponent_ゴール期待値,ka-f_シュート,Opponent_シュート,ka-f_枠内シュート,Opponent_枠内シュート,ka-f_PKによるシュート,Opponent_PKによるシュート,ka-f_パス,Opponent_パス,ka-f_クロス,Opponent_クロス,ka-f_直接ＦＫ,Opponent_直接ＦＫ,ka-f_間接ＦＫ,Opponent_間接ＦＫ,ka-f_ＣＫ,Opponent_ＣＫ,ka-f_スローイン,Opponent_スローイン,ka-f_ドリブル,Opponent_ドリブル,ka-f_タックル,Opponent_タックル,ka-f_クリア,Opponent_クリア,ka-f_インターセプト,Opponent_インターセプト,ka-f_オフサイド,Opponent_オフサイド,ka-f_警告,Opponent_警告,ka-f_退場,Opponent_退場,ka-f_３０ｍライン進入,Opponent_３０ｍライン進入,ka-f_ペナルティエリア進入,Opponent_ペナルティエリア進入,ka-f_総移動距離,Opponent_総移動距離,ka-f_スプリント,Opponent_スプリント,ka-f_攻撃回数,Opponent_攻撃回数,ka-f_チャンス構築率,Opponent_チャンス構築率,ka-f_ボール保持率,Opponent_ボール保持率,URL
H,横浜FM,L,1,2,1.675,1.09,17,9,5,4,0,0,715,359,16,4,16,16,4,2,5,4,25,14,21,6,16,28,14,33,3,2,2,4,1,1,1,0,52,25,13,6,"119,868m","125,529m",141,123,136,128,12.5%,7.0%,63.6%,36.4%,https://www.football-lab.jp/ka-f/report/?year=2023&month=02&date=17
A,鹿島,W,2,1,3.166,0.725,17,6,2,4,1,0,730,238,15,12,17,9,1,2,4,3,32,21,10,7,19,13,17,42,1,1,2,1,1,0,1,1,58,24,15,6,"109,705m","113,757m",105,129,113,108,15.0%,5.6%,69.4%,30.6%,https://www.football-lab.jp/ka-f/report/?year=2023&month=02&date=25
H,湘南,D,1,1,0.886,1.145,10,13,2,3,0,0,498,420,17,23,13,11,4,1,0,8,25,33,5,13,19,18,34,16,2,1,1,5,2,2,0,0,43,44,17,17,"109,184m","116,435m",148,145,118,136,8.5%,9.6%,54.6%,45.4%,https://www.football-lab.jp/ka-f/report/?year=2023&month=03&date=04
A,新潟,L,0,1,1.309,0.783,7,11,2,3,0,0,661,529,21,6,14,10,3,2,8,3,20,12,14,5,14,18,8,37,0,0,2,3,2,1,0,0,57,35,19,16,"115,850m","115,454m",130,114,117,105,6.0%,10.5%,57.3%,42.7%,https://www.football-lab.jp/ka-f/report/?year=2023&month=03&date=11
H,Ｃ大阪,D,0,0,0.808,0.954,11,10,3,2,0,0,718,399,22,8,9,15,1,3,5,4,28,15,10,6,12,13,19,24,4,3,3,1,0,1,0,0,64,25,13,5,"116,235m","116,711m",144,135,117,113,9.4%,8.8%,57.7%,42.3%,https://www.football-lab.jp/ka-f/report/?year=2023&month=03&date=18
A,札幌,W,4,3,1.545,2.234,14,22,5,6,0,0,382,486,7,17,8,12,2,2,2,6,22,26,7,15,8,19,34,20,0,5,2,2,3,1,0,0,21,37,8,17,"113,500m","114,799m",121,122,106,130,13.2%,16.9%,44.3%,55.7%,https://www.football-lab.jp/ka-f/report/?year=2023&month=04&date=01
A,Ｇ大阪,L,0,2,0.428,0.978,6,14,0,6,0,0,648,489,13,4,14,8,1,2,3,6,22,21,10,13,27,19,6,23,1,5,1,1,2,2,1,0,41,32,11,9,"109,632m","113,199m",122,110,113,119,5.3%,11.8%,52.5%,47.5%,https://www.football-lab.jp/ka-f/report/?year=2023&month=04&date=09
H,名古屋,L,1,2,0.819,0.97,10,9,4,5,0,0,747,304,13,5,12,14,3,2,4,1,26,17,10,7,14,21,8,36,3,4,2,3,0,0,0,0,61,22,10,8,"120,364m","119,749m",124,135,119,101,8.4%,8.9%,66.3%,33.7%,https://www.football-lab.jp/ka-f/report/?year=2023&month=04&date=15
H,浦和,D,1,1,0.883,1.271,8,12,2,4,0,0,404,651,11,15,6,14,3,3,4,7,18,23,7,8,19,20,27,10,0,1,3,3,0,0,0,0,34,46,10,16,"119,242m","115,121m",116,131,98,113,8.2%,10.6%,39.9%,60.1%,https://www.football-lab.jp/ka-f/report/?year=2023&month=04&date=23
A,福岡,W,3,1,0.956,1.087,11,11,4,3,0,0,603,416,16,12,9,13,0,2,3,2,22,34,8,11,18,20,27,23,1,1,2,0,1,2,0,0,45,24,21,7,"119,364m","114,107m",113,118,115,121,9.6%,9.1%,56.9%,43.1%,https://www.football-lab.jp/ka-f/report/?year=2023&month=04&date=29
A,京都,W,1,0,0.947,1.063,10,12,3,0,0,0,433,287,12,9,12,13,4,4,0,6,34,26,10,10,17,16,21,16,3,0,4,2,4,0,0,0,40,15,11,8,"109,479m","112,445m",98,102,114,121,8.8%,9.9%,56.3%,43.7%,https://www.football-lab.jp/ka-f/report/?year=2023&month=05&date=03
H,鳥栖,W,1,0,2.078,0.485,20,8,5,1,0,0,612,530,13,12,4,13,5,1,2,3,18,26,6,8,16,23,25,17,0,0,1,5,1,1,0,0,55,25,26,8,"116,371m","119,210m",126,116,116,115,17.2%,7.0%,55.2%,44.8%,https://www.football-lab.jp/ka-f/report/?year=2023&month=05&date=07
A,FC東京,L,1,2,0.777,1.547,9,9,5,3,0,0,589,306,11,15,9,17,3,2,6,4,13,31,11,9,23,22,32,20,1,0,1,3,3,2,1,0,33,25,13,12,"109,077m","115,419m",134,137,110,113,8.2%,8.0%,64.6%,35.4%,https://www.football-lab.jp/ka-f/report/?year=2023&month=05&date=12
