HOME/AWAY,Opponent,勝敗,niig_得点,niig_失点,Opponent_ゴール期待値,niig_ゴール期待値,Opponent_シュート,niig_シュート,Opponent_枠内シュート,niig_枠内シュート,Opponent_PKによるシュート,niig_PKによるシュート,Opponent_パス,niig_パス,Opponent_クロス,niig_クロス,Opponent_直接ＦＫ,niig_直接ＦＫ,Opponent_間接ＦＫ,niig_間接ＦＫ,Opponent_ＣＫ,niig_ＣＫ,Opponent_スローイン,niig_スローイン,Opponent_ドリブル,niig_ドリブル,Opponent_タックル,niig_タックル,Opponent_クリア,niig_クリア,Opponent_インターセプト,niig_インターセプト,Opponent_オフサイド,niig_オフサイド,Opponent_警告,niig_警告,Opponent_退場,niig_退場,Opponent_３０ｍライン進入,niig_３０ｍライン進入,Opponent_ペナルティエリア進入,niig_ペナルティエリア進入,Opponent_総移動距離,niig_総移動距離,Opponent_スプリント,niig_スプリント,Opponent_攻撃回数,niig_攻撃回数,Opponent_チャンス構築率,niig_チャンス構築率,Opponent_ボール保持率,niig_ボール保持率,URL
A,Ｃ大阪,D,2,2,0.935,0.872,12,10,4,6,0,0,425,725,19,8,9,4,1,1,6,5,18,11,10,10,19,14,9,26,4,1,1,1,1,0,0,0,32,32,12,15,"117,786m","118,580m",131,125,108,106,11.1%,9.4%,41%,59%,https://www.football-lab.jp/niig/report/?year=2023&month=02&date=18
A,広島,W,2,1,2.634,0.819,27,8,10,4,0,0,614,482,25,5,14,15,1,1,11,1,32,21,7,10,34,19,7,47,1,4,1,1,1,3,0,0,76,28,20,8,"121,801m","124,442m",134,136,141,135,19.1%,5.9%,53.1%,46.9%,https://www.football-lab.jp/niig/report/?year=2023&month=02&date=26
H,札幌,D,2,2,2.327,1.053,22,13,6,5,0,0,589,456,23,4,8,14,1,2,6,7,12,11,16,11,26,14,17,29,4,1,2,1,2,0,0,0,54,29,27,10,"119,266m","121,244m",128,137,120,123,18.3%,10.6%,55.7%,44.3%,https://www.football-lab.jp/niig/report/?year=2023&month=03&date=04
H,川崎Ｆ,W,1,0,1.309,0.783,7,11,2,3,0,0,661,529,21,6,14,10,3,2,8,3,20,12,14,5,14,18,8,37,0,0,2,3,2,1,0,0,57,35,19,16,"115,850m","115,454m",130,114,117,105,6.0%,10.5%,57.3%,42.7%,https://www.football-lab.jp/niig/report/?year=2023&month=03&date=11
A,浦和,L,1,2,1.296,0.278,13,6,4,2,0,0,532,578,13,7,14,14,2,0,5,3,20,23,6,7,22,19,12,17,4,2,0,2,1,1,0,0,31,29,13,5,"117,851m","117,170m",135,102,112,109,11.6%,5.5%,49.4%,50.6%,https://www.football-lab.jp/niig/report/?year=2023&month=03&date=18
H,名古屋,L,1,3,2.487,1.162,25,11,8,6,0,0,505,525,34,6,6,13,0,4,7,2,23,19,17,11,9,20,14,38,3,3,4,0,2,1,0,1,65,30,27,10,"119,934m","109,802m",150,112,118,115,21.2%,9.6%,50.9%,49.1%,https://www.football-lab.jp/niig/report/?year=2023&month=04&date=01
A,神戸,D,0,0,0.738,0.623,11,11,4,0,0,0,408,640,23,13,10,11,1,1,4,6,18,22,18,14,14,14,15,19,3,1,1,1,2,2,0,0,42,46,11,12,"119,379m","116,040m",122,114,110,119,10.0%,9.2%,42.8%,57.2%,https://www.football-lab.jp/niig/report/?year=2023&month=04&date=09
H,福岡,W,3,2,1.984,1.01,12,10,3,4,1,0,308,658,12,12,5,15,1,3,6,5,20,13,12,10,22,12,19,23,3,2,3,1,0,0,0,0,33,43,10,4,"110,180m","112,118m",116,87,119,120,10.1%,8.3%,37.8%,62.2%,https://www.football-lab.jp/niig/report/?year=2023&month=04&date=15
H,鹿島,L,0,2,1.217,0.91,11,13,4,3,0,0,343,772,10,10,13,18,0,1,4,3,13,26,15,16,26,21,20,12,8,0,1,0,2,1,0,0,35,63,11,10,"121,128m","116,162m",127,79,109,116,10.1%,11.2%,36.6%,63.4%,https://www.football-lab.jp/niig/report/?year=2023&month=04&date=23
A,FC東京,L,1,2,1.356,0.355,8,8,5,3,1,0,460,659,12,17,11,6,2,3,3,2,17,24,8,10,13,20,19,14,3,1,3,2,1,3,0,0,34,46,9,10,"123,621m","119,705m",140,131,112,111,7.1%,7.2%,41.5%,58.5%,https://www.football-lab.jp/niig/report/?year=2023&month=04&date=29
A,横浜FC,L,0,1,1.254,0.756,9,8,4,2,0,0,284,678,14,12,15,12,1,1,4,4,15,23,8,9,22,14,25,19,1,0,1,1,2,3,0,0,25,49,8,9,"123,838m","114,247m",149,108,109,105,8.3%,7.6%,36%,64%,https://www.football-lab.jp/niig/report/?year=2023&month=05&date=03
H,柏,D,0,0,0.638,2.019,9,18,1,5,0,0,394,635,10,9,7,21,2,1,4,6,21,18,10,10,14,14,16,23,2,4,1,3,4,2,0,0,32,33,7,15,"114,590m","115,357m",144,117,105,116,8.6%,15.5%,40.1%,59.9%,https://www.football-lab.jp/niig/report/?year=2023&month=05&date=07
H,横浜FM,W,2,1,1.05,1.041,12,14,5,5,0,0,615,540,23,3,6,10,2,1,6,7,17,9,14,9,9,16,10,31,2,2,1,2,0,0,0,0,63,40,16,16,"119,410m","120,539m",113,118,109,114,11.0%,12.3%,51.8%,48.2%,https://www.football-lab.jp/niig/report/?year=2023&month=05&date=14
A,鳥栖,L,0,2,1.576,2.292,8,22,3,6,1,0,386,684,11,22,3,13,2,1,4,9,15,25,7,13,19,16,16,9,2,0,1,2,1,1,0,0,29,47,9,16,"125,783m","116,734m",114,99,99,110,8.1%,20.0%,38.1%,61.9%,https://www.football-lab.jp/niig/report/?year=2023&month=05&date=20
H,Ｇ大阪,L,1,3,1.143,1.293,10,19,4,8,0,0,309,791,10,19,6,12,0,2,2,7,14,28,13,17,22,19,34,15,3,2,2,0,0,1,0,0,32,68,12,16,"113,685m","114,027m",114,97,107,126,9.3%,15.1%,33.9%,66.1%,https://www.football-lab.jp/niig/report/?year=2023&month=05&date=28
A,湘南,D,2,2,2.08,1.579,12,14,6,7,1,0,417,531,19,6,7,11,2,1,7,5,22,21,13,9,18,17,13,25,0,1,1,2,4,0,0,0,46,33,11,10,"118,851m","115,180m",118,103,109,114,11.0%,12.3%,44.5%,55.5%,https://www.football-lab.jp/niig/report/?year=2023&month=06&date=03
