HOME/AWAY,Opponent,勝敗,c-os_得点,c-os_失点,c-os_ゴール期待値,Opponent_ゴール期待値,c-os_シュート,Opponent_シュート,c-os_枠内シュート,Opponent_枠内シュート,c-os_PKによるシュート,Opponent_PKによるシュート,c-os_パス,Opponent_パス,c-os_クロス,Opponent_クロス,c-os_直接ＦＫ,Opponent_直接ＦＫ,c-os_間接ＦＫ,Opponent_間接ＦＫ,c-os_ＣＫ,Opponent_ＣＫ,c-os_スローイン,Opponent_スローイン,c-os_ドリブル,Opponent_ドリブル,c-os_タックル,Opponent_タックル,c-os_クリア,Opponent_クリア,c-os_インターセプト,Opponent_インターセプト,c-os_オフサイド,Opponent_オフサイド,c-os_警告,Opponent_警告,c-os_退場,Opponent_退場,c-os_３０ｍライン進入,Opponent_３０ｍライン進入,c-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,c-os_総移動距離,Opponent_総移動距離,c-os_スプリント,Opponent_スプリント,c-os_攻撃回数,Opponent_攻撃回数,c-os_チャンス構築率,Opponent_チャンス構築率,c-os_ボール保持率,Opponent_ボール保持率,URL
H,新潟,D,2,2,0.935,0.872,12,10,4,6,0,0,425,725,19,8,9,4,1,1,6,5,18,11,10,10,19,14,9,26,4,1,1,1,1,0,0,0,32,32,12,15,"117,786m","118,580m",131,125,108,106,11.1%,9.4%,41%,59%,https://www.football-lab.jp/c-os/report/?year=2023&month=02&date=18
A,福岡,L,1,2,0.871,1.269,10,15,6,4,0,0,600,453,12,21,13,6,0,1,4,2,28,23,6,14,12,22,26,18,3,2,1,0,1,2,0,0,39,47,11,15,"116,903m","118,269m",119,124,119,114,8.4%,13.2%,56.8%,43.2%,https://www.football-lab.jp/c-os/report/?year=2023&month=02&date=25
A,浦和,L,1,2,0.606,1.862,8,13,1,5,0,1,509,523,13,7,11,12,4,1,2,1,18,22,9,15,19,14,14,17,1,0,1,4,1,0,0,0,29,41,5,14,"116,921m","117,719m",115,134,107,108,7.5%,12.0%,50.6%,49.4%,https://www.football-lab.jp/c-os/report/?year=2023&month=03&date=04
H,鳥栖,W,2,1,1.147,0.532,12,8,4,1,0,0,533,448,12,9,15,5,1,3,3,6,28,15,9,8,16,19,17,17,1,2,3,1,0,3,0,1,30,25,13,6,"113,510m","118,311m",108,116,117,101,10.3%,7.9%,56.4%,43.6%,https://www.football-lab.jp/c-os/report/?year=2023&month=03&date=12
A,川崎Ｆ,D,0,0,0.954,0.808,10,11,2,3,0,0,399,718,8,22,15,9,3,1,4,5,15,28,6,10,13,12,24,19,3,4,1,3,1,0,0,0,25,64,5,13,"116,711m","116,235m",135,144,113,117,8.8%,9.4%,42.3%,57.7%,https://www.football-lab.jp/c-os/report/?year=2023&month=03&date=18
H,横浜FM,W,2,1,1.09,1.852,10,15,4,3,0,0,310,623,10,22,8,20,7,3,6,5,17,29,8,11,24,21,22,12,4,1,3,6,1,1,0,0,24,40,8,14,"114,560m","116,178m",145,141,125,137,8.0%,10.9%,42.2%,57.8%,https://www.football-lab.jp/c-os/report/?year=2023&month=04&date=01
H,札幌,L,2,3,1.755,0.954,13,11,4,6,1,0,447,330,12,9,21,10,5,1,5,5,32,18,13,15,13,22,21,33,0,1,1,5,2,1,0,0,36,31,11,11,"112,435m","114,611m",116,118,145,122,9.0%,9.0%,57.9%,42.1%,https://www.football-lab.jp/c-os/report/?year=2023&month=04&date=09
A,FC東京,W,2,1,1.407,0.605,15,10,4,3,0,0,419,512,13,16,11,16,3,0,5,6,26,25,6,13,19,20,22,11,3,2,0,3,1,0,0,0,39,46,10,9,"114,177m","114,677m",124,128,114,124,13.2%,8.1%,45.9%,54.1%,https://www.football-lab.jp/c-os/report/?year=2023&month=04&date=15
H,柏,W,1,0,0.969,0.628,10,8,2,2,0,0,386,535,10,18,13,9,3,4,4,7,22,24,4,11,10,18,26,17,1,1,4,3,1,3,0,0,18,42,5,8,"114,816m","111,030m",105,108,119,119,8.4%,6.7%,46.2%,53.8%,https://www.football-lab.jp/c-os/report/?year=2023&month=04&date=23
H,広島,L,0,1,0.395,2.454,8,27,3,8,0,0,382,484,6,24,12,10,3,1,3,10,21,30,3,8,20,15,36,13,1,0,1,3,1,1,0,0,14,51,11,22,"116,210m","114,121m",96,123,118,139,6.8%,19.4%,47.6%,52.4%,https://www.football-lab.jp/c-os/report/?year=2023&month=04&date=29
