HOME/AWAY,Opponent,勝敗,hiro_得点,hiro_失点,hiro_ゴール期待値,Opponent_ゴール期待値,hiro_シュート,Opponent_シュート,hiro_枠内シュート,Opponent_枠内シュート,hiro_PKによるシュート,Opponent_PKによるシュート,hiro_パス,Opponent_パス,hiro_クロス,Opponent_クロス,hiro_直接ＦＫ,Opponent_直接ＦＫ,hiro_間接ＦＫ,Opponent_間接ＦＫ,hiro_ＣＫ,Opponent_ＣＫ,hiro_スローイン,Opponent_スローイン,hiro_ドリブル,Opponent_ドリブル,hiro_タックル,Opponent_タックル,hiro_クリア,Opponent_クリア,hiro_インターセプト,Opponent_インターセプト,hiro_オフサイド,Opponent_オフサイド,hiro_警告,Opponent_警告,hiro_退場,Opponent_退場,hiro_３０ｍライン進入,Opponent_３０ｍライン進入,hiro_ペナルティエリア進入,Opponent_ペナルティエリア進入,hiro_総移動距離,Opponent_総移動距離,hiro_スプリント,Opponent_スプリント,hiro_攻撃回数,Opponent_攻撃回数,hiro_チャンス構築率,Opponent_チャンス構築率,hiro_ボール保持率,Opponent_ボール保持率,URL
H,札幌,D,0,0,1.437,0.286,15,5,5,0,0,0,377,449,18,2,11,11,3,2,12,0,37,20,5,8,13,22,11,26,2,2,2,3,2,1,0,0,34,28,12,3,"108,726m","107,523m",154,113,149,121,10.1%,4.1%,46.3%,53.7%,https://www.football-lab.jp/hiro/report/?year=2023&month=02&date=18
H,新潟,L,1,2,2.634,0.819,27,8,10,4,0,0,614,482,25,5,14,15,1,1,11,1,32,21,7,10,34,19,7,47,1,4,1,1,1,3,0,0,76,28,20,8,"121,801m","124,442m",134,136,141,135,19.1%,5.9%,53.1%,46.9%,https://www.football-lab.jp/hiro/report/?year=2023&month=02&date=26
A,横浜FM,D,1,1,1.747,1.02,14,9,4,5,0,0,403,530,24,19,16,12,3,3,3,9,29,23,7,15,22,20,24,15,2,0,3,3,4,2,0,1,36,39,13,9,"121,815m","124,362m",157,149,139,134,10.1%,6.7%,46.5%,53.5%,https://www.football-lab.jp/hiro/report/?year=2023&month=03&date=03
A,Ｇ大阪,W,2,1,2.586,1.73,20,13,6,4,1,0,408,525,19,19,12,10,1,1,6,6,30,22,8,16,31,22,29,33,4,3,1,0,1,1,0,0,38,42,15,14,"115,644m","114,413m",133,123,125,120,16.0%,10.8%,43.7%,56.3%,https://www.football-lab.jp/hiro/report/?year=2023&month=03&date=12
H,柏,W,1,0,0.877,0.286,12,4,5,2,0,0,559,340,15,5,19,13,0,4,6,1,30,27,11,1,17,26,19,28,2,1,4,0,0,2,0,0,50,18,15,3,"110,229m","111,443m",120,118,133,125,9.0%,3.2%,56.8%,43.2%,https://www.football-lab.jp/hiro/report/?year=2023&month=03&date=19
A,鹿島,W,2,1,1.224,0.519,8,9,4,4,1,0,385,470,16,25,12,15,0,0,4,6,33,25,3,17,23,23,31,18,0,1,0,0,1,0,0,0,35,43,10,7,"112,344m","114,299m",137,137,133,142,6.0%,6.3%,45.8%,54.2%,https://www.football-lab.jp/hiro/report/?year=2023&month=04&date=01
H,鳥栖,W,1,0,1.308,0.201,15,3,8,1,0,0,491,464,18,14,10,11,1,7,5,3,33,22,16,9,26,20,21,25,3,0,8,1,0,1,0,0,43,31,15,6,"112,948m","121,144m",155,152,141,128,10.6%,2.3%,53.1%,46.9%,https://www.football-lab.jp/hiro/report/?year=2023&month=04&date=09
A,横浜FC,W,3,0,3.361,0.721,33,7,12,4,0,0,439,434,19,13,13,12,3,2,7,4,18,23,9,9,29,8,11,25,3,4,2,3,1,2,0,0,46,31,18,9,"114,701m","117,379m",148,137,133,139,24.8%,5.0%,49.5%,50.5%,https://www.football-lab.jp/hiro/report/?year=2023&month=04&date=15
H,FC東京,L,1,2,1.132,0.229,12,3,2,3,0,0,456,301,26,4,20,19,3,3,8,0,33,12,15,7,21,11,5,41,2,5,3,3,2,2,0,0,46,12,17,4,"107,511m","113,151m",125,134,138,111,8.7%,2.7%,54.4%,45.6%,https://www.football-lab.jp/hiro/report/?year=2023&month=04&date=22
A,Ｃ大阪,W,1,0,2.454,0.395,27,8,8,3,0,0,484,382,24,6,10,12,1,3,10,3,30,21,8,3,15,20,13,36,0,1,3,1,1,1,0,0,51,14,22,11,"114,121m","116,210m",123,96,139,118,19.4%,6.8%,52.4%,47.6%,https://www.football-lab.jp/hiro/report/?year=2023&month=04&date=29
H,福岡,W,3,1,1.151,1.436,12,11,4,2,0,0,389,369,11,13,18,14,1,2,3,2,22,19,6,14,15,23,18,15,2,1,2,1,1,2,0,0,37,22,10,11,"107,627m","105,958m",146,151,129,123,9.3%,8.9%,49.7%,50.3%,https://www.football-lab.jp/hiro/report/?year=2023&month=05&date=07
A,神戸,L,0,2,1.374,0.62,12,9,5,4,0,0,436,347,25,18,10,9,0,1,8,4,26,27,5,13,19,12,22,36,2,3,1,0,3,2,0,0,38,25,14,11,"109,684m","113,689m",138,123,131,123,9.2%,7.3%,49.5%,50.5%,https://www.football-lab.jp/hiro/report/?year=2023&month=05&date=13
A,名古屋,L,1,2,1.391,0.964,21,7,7,4,0,0,548,291,19,10,10,9,5,0,7,4,31,21,14,9,16,17,15,45,1,1,0,5,1,3,0,0,54,15,17,7,"110,297m","113,040m",157,146,130,120,16.2%,5.8%,61.7%,38.3%,https://www.football-lab.jp/hiro/report/?year=2023&month=05&date=20
H,湘南,W,1,0,2.813,0.166,21,5,6,2,1,0,480,355,27,1,10,11,0,3,10,3,42,21,10,3,6,7,12,44,0,2,3,0,1,1,0,1,51,21,29,1,"111,533m","107,889m",140,115,142,120,14.8%,4.2%,54%,46%,https://www.football-lab.jp/hiro/report/?year=2023&month=05&date=27
A,浦和,L,1,2,0.847,1.412,10,15,4,6,0,0,367,456,13,11,10,9,2,1,5,3,26,30,8,13,15,12,30,26,1,3,1,2,1,0,0,0,36,40,11,16,"110,502m","107,128m",117,124,121,117,8.3%,12.8%,44.6%,55.4%,https://www.football-lab.jp/hiro/report/?year=2023&month=05&date=31
H,京都,W,3,1,1.588,0.995,15,15,10,3,0,0,301,350,15,16,15,9,4,4,1,9,31,32,11,11,20,12,41,27,1,0,4,3,1,0,0,0,25,28,8,15,"108,663m","115,541m",120,123,120,132,12.5%,11.4%,45.8%,54.2%,https://www.football-lab.jp/hiro/report/?year=2023&month=06&date=04
A,川崎Ｆ,L,0,1,0.89,0.536,15,9,3,3,0,0,417,474,28,3,10,11,2,3,8,1,40,20,10,6,17,17,8,36,1,0,3,2,1,1,0,0,51,22,15,8,"109,747m","112,354m",108,112,127,109,11.8%,8.3%,44.8%,55.2%,https://www.football-lab.jp/hiro/report/?year=2023&month=06&date=11
H,横浜FM,L,0,1,1.55,1.196,22,13,2,5,0,0,389,488,23,16,8,11,3,2,5,4,22,33,11,16,23,16,17,33,2,0,2,3,1,0,0,0,44,43,19,14,"116,845m","118,406m",144,138,119,123,18.5%,10.6%,43.5%,56.5%,https://www.football-lab.jp/hiro/report/?year=2023&month=06&date=24
A,新潟,L,0,2,1.38,1.571,11,16,2,6,0,0,564,396,28,9,5,12,1,1,5,6,30,18,17,10,18,21,17,40,2,1,1,1,2,0,0,0,64,29,22,20,"117,018m","123,058m",107,104,119,119,9.2%,13.4%,54.9%,45.1%,https://www.football-lab.jp/hiro/report/?year=2023&month=07&date=01
H,鹿島,D,1,1,1.619,1.366,18,15,4,7,0,0,438,435,23,16,8,17,2,2,6,5,21,18,4,11,10,15,14,29,0,1,2,2,3,1,0,0,44,30,28,13,"112,686m","112,022m",103,127,105,109,17.1%,13.8%,47.6%,52.4%,https://www.football-lab.jp/hiro/report/?year=2023&month=07&date=08
H,横浜FC,D,1,1,1.222,0.625,15,8,5,2,0,0,634,299,25,6,9,8,1,1,8,1,20,11,15,11,16,18,8,33,4,3,1,1,1,2,0,0,60,14,12,5,"109,007m","112,490m",93,101,123,108,12.2%,7.4%,61.6%,38.4%,https://www.football-lab.jp/hiro/report/?year=2023&month=07&date=16
A,湘南,L,0,1,1.807,0.313,18,7,5,3,0,0,414,328,14,8,17,14,1,3,7,3,36,27,11,4,15,17,12,29,2,2,1,0,0,1,0,0,38,24,9,6,"111,213m","114,799m",115,110,138,122,13.0%,5.7%,54.9%,45.1%,https://www.football-lab.jp/hiro/report/?year=2023&month=08&date=05
H,浦和,W,2,1,2.155,0.722,20,9,10,3,0,0,383,285,24,13,13,10,1,0,6,11,35,20,18,7,21,24,33,36,1,0,0,1,1,1,0,0,40,22,18,7,"106,845m","105,748m",136,133,126,118,15.9%,7.6%,53%,47%,https://www.football-lab.jp/hiro/report/?year=2023&month=08&date=13
H,川崎Ｆ,W,3,2,1.541,0.967,15,8,10,5,0,0,382,441,20,13,11,14,4,3,3,4,22,27,8,8,27,16,20,17,0,3,4,3,3,2,0,0,41,38,10,13,"113,197m","108,923m",136,127,102,106,14.7%,7.5%,45.3%,54.7%,https://www.football-lab.jp/hiro/report/?year=2023&month=08&date=19
A,柏,D,0,0,0.696,0.722,8,8,2,2,0,0,395,322,21,17,12,13,1,1,9,6,24,18,8,14,20,12,20,32,2,2,1,1,0,2,0,0,31,31,6,7,"102,454m","103,899m",110,109,125,109,6.4%,7.3%,54.6%,45.4%,https://www.football-lab.jp/hiro/report/?year=2023&month=08&date=26
A,鳥栖,W,2,0,1.416,0.513,20,5,12,0,0,0,352,521,15,22,14,10,1,6,3,5,24,22,9,11,18,12,22,17,1,0,6,1,2,0,0,0,35,33,11,12,"119,085m","121,899m",154,161,114,110,17.5%,4.5%,42.6%,57.4%,https://www.football-lab.jp/hiro/report/?year=2023&month=09&date=02
