HOME/AWAY,Opponent,勝敗,nago_得点,nago_失点,Opponent_ゴール期待値,nago_ゴール期待値,Opponent_シュート,nago_シュート,Opponent_枠内シュート,nago_枠内シュート,Opponent_PKによるシュート,nago_PKによるシュート,Opponent_パス,nago_パス,Opponent_クロス,nago_クロス,Opponent_直接ＦＫ,nago_直接ＦＫ,Opponent_間接ＦＫ,nago_間接ＦＫ,Opponent_ＣＫ,nago_ＣＫ,Opponent_スローイン,nago_スローイン,Opponent_ドリブル,nago_ドリブル,Opponent_タックル,nago_タックル,Opponent_クリア,nago_クリア,Opponent_インターセプト,nago_インターセプト,Opponent_オフサイド,nago_オフサイド,Opponent_警告,nago_警告,Opponent_退場,nago_退場,Opponent_３０ｍライン進入,nago_３０ｍライン進入,Opponent_ペナルティエリア進入,nago_ペナルティエリア進入,Opponent_総移動距離,nago_総移動距離,Opponent_スプリント,nago_スプリント,Opponent_攻撃回数,nago_攻撃回数,Opponent_チャンス構築率,nago_チャンス構築率,Opponent_ボール保持率,nago_ボール保持率,URL
A,横浜FC,W,1,0,1.193,0.82,18,8,1,3,0,0,648,248,19,7,14,13,2,1,9,3,33,13,14,5,23,19,13,44,0,2,1,2,4,1,0,0,47,17,9,6,"120,681m","123,116m",121,144,136,112,13.2%,7.1%,67.7%,32.3%,https://www.football-lab.jp/nago/report/?year=2023&month=02&date=18
H,京都,W,1,0,1.125,1.479,10,17,3,5,0,0,400,381,9,11,9,16,4,1,5,8,23,40,10,5,27,25,43,20,0,3,1,4,3,0,0,0,35,27,6,10,"113,054m","114,243m",164,143,115,148,8.7%,11.5%,52.1%,47.9%,https://www.football-lab.jp/nago/report/?year=2023&month=02&date=25
A,鳥栖,L,0,1,0.655,1.521,8,13,5,5,0,0,496,510,7,10,8,13,2,2,4,4,29,25,11,10,19,31,15,25,3,3,2,1,2,1,0,0,37,33,14,9,"124,787m","121,627m",162,153,115,116,7.0%,11.2%,51.2%,48.8%,https://www.football-lab.jp/nago/report/?year=2023&month=03&date=04
A,柏,W,3,0,1.25,0.872,17,12,7,9,0,0,558,451,18,7,7,12,2,1,10,0,20,25,16,12,28,23,18,34,1,1,1,2,2,1,0,0,63,36,14,9,"121,193m","124,641m",147,161,115,117,14.8%,10.3%,55.2%,44.8%,https://www.football-lab.jp/nago/report/?year=2023&month=03&date=12
H,FC東京,D,0,0,0.382,0.543,7,6,0,1,0,0,571,380,10,11,20,10,3,0,5,2,21,26,9,8,20,21,17,16,4,4,0,3,3,1,0,0,36,28,6,7,"109,998m","112,409m",116,132,115,109,6.1%,5.5%,59.8%,40.2%,https://www.football-lab.jp/nago/report/?year=2023&month=03&date=18
A,新潟,W,3,1,1.162,2.487,11,25,6,8,0,0,525,505,6,34,13,6,4,0,2,7,19,23,11,17,20,9,38,14,3,3,0,4,1,2,1,0,30,65,10,27,"109,802m","119,934m",112,150,115,118,9.6%,21.2%,49.1%,50.9%,https://www.football-lab.jp/nago/report/?year=2023&month=04&date=01
H,浦和,D,0,0,0.643,1.236,8,16,2,4,0,0,494,417,9,17,11,12,1,2,2,11,22,30,7,14,20,21,31,14,0,1,2,1,2,0,0,0,33,36,6,9,"113,011m","114,083m",155,152,114,132,7.0%,12.1%,54.7%,45.3%,https://www.football-lab.jp/nago/report/?year=2023&month=04&date=09
A,川崎Ｆ,W,2,1,0.819,0.97,10,9,4,5,0,0,747,304,13,5,12,14,3,2,4,1,26,17,10,7,14,21,8,36,3,4,2,3,0,0,0,0,61,22,10,8,"120,364m","119,749m",124,135,119,101,8.4%,8.9%,66.3%,33.7%,https://www.football-lab.jp/nago/report/?year=2023&month=04&date=15
H,湘南,D,2,2,1.725,2.856,11,16,3,8,1,0,492,259,24,6,9,19,5,1,6,5,33,23,13,5,13,19,19,38,2,2,1,5,3,4,0,0,47,14,11,6,"121,010m","120,580m",159,147,123,123,8.9%,13.0%,60.2%,39.8%,https://www.football-lab.jp/nago/report/?year=2023&month=04&date=23
A,横浜FM,D,1,1,0.667,1.222,8,18,3,6,0,0,562,282,9,17,16,16,5,1,1,11,20,20,11,13,13,24,24,13,1,3,1,5,1,2,0,0,37,34,6,12,"108,325m","108,379m",110,139,113,119,7.1%,15.1%,61.3%,38.7%,https://www.football-lab.jp/nago/report/?year=2023&month=04&date=29
