HOME/AWAY,Opponent,勝敗,kyot_得点,kyot_失点,kyot_ゴール期待値,Opponent_ゴール期待値,kyot_シュート,Opponent_シュート,kyot_枠内シュート,Opponent_枠内シュート,kyot_PKによるシュート,Opponent_PKによるシュート,kyot_パス,Opponent_パス,kyot_クロス,Opponent_クロス,kyot_直接ＦＫ,Opponent_直接ＦＫ,kyot_間接ＦＫ,Opponent_間接ＦＫ,kyot_ＣＫ,Opponent_ＣＫ,kyot_スローイン,Opponent_スローイン,kyot_ドリブル,Opponent_ドリブル,kyot_タックル,Opponent_タックル,kyot_クリア,Opponent_クリア,kyot_インターセプト,Opponent_インターセプト,kyot_オフサイド,Opponent_オフサイド,kyot_警告,Opponent_警告,kyot_退場,Opponent_退場,kyot_３０ｍライン進入,Opponent_３０ｍライン進入,kyot_ペナルティエリア進入,Opponent_ペナルティエリア進入,kyot_総移動距離,Opponent_総移動距離,kyot_スプリント,Opponent_スプリント,kyot_攻撃回数,Opponent_攻撃回数,kyot_チャンス構築率,Opponent_チャンス構築率,kyot_ボール保持率,Opponent_ボール保持率,URL
H,鹿島,L,0,2,0.557,1.37,6,11,0,5,0,0,387,323,18,15,16,16,2,0,3,4,35,35,17,9,21,25,17,27,0,2,0,2,2,2,0,0,34,27,9,7,"118,080m","117,029m",136,174,128,130,4.7%,8.5%,53.7%,46.3%,https://www.football-lab.jp/kyot/report/?year=2023&month=02&date=18
A,名古屋,L,0,1,1.125,1.479,10,17,3,5,0,0,400,381,9,11,9,16,4,1,5,8,23,40,10,5,27,25,43,20,0,3,1,4,3,0,0,0,35,27,6,10,"113,054m","114,243m",164,143,115,148,8.7%,11.5%,52.1%,47.9%,https://www.football-lab.jp/kyot/report/?year=2023&month=02&date=25
H,FC東京,W,2,0,1.409,0.974,8,6,3,1,1,0,330,364,14,9,10,21,1,3,5,6,20,27,11,16,24,18,18,14,2,1,2,1,1,0,0,0,27,27,9,10,"117,492m","109,256m",150,130,124,135,6.5%,4.4%,48.1%,51.9%,https://www.football-lab.jp/kyot/report/?year=2023&month=03&date=04
A,湘南,W,2,0,1.325,1.819,12,18,6,5,0,0,272,446,13,18,11,15,4,3,4,7,25,29,9,10,25,10,24,14,0,2,3,2,0,1,0,0,26,43,9,13,"115,805m","113,497m",180,146,120,140,10.0%,12.9%,41.9%,58.1%,https://www.football-lab.jp/kyot/report/?year=2023&month=03&date=12
A,横浜FC,W,4,1,1.848,0.698,15,10,5,3,0,0,315,484,9,15,7,15,4,2,3,5,30,28,6,13,22,19,31,13,1,0,2,4,2,1,0,0,29,38,11,10,"123,047m","120,241m",147,110,121,134,12.4%,7.5%,40.7%,59.3%,https://www.football-lab.jp/kyot/report/?year=2023&month=03&date=18
H,神戸,L,0,3,1.821,1.561,15,12,2,5,0,0,380,395,16,25,10,15,2,2,5,1,32,31,20,12,13,21,24,32,0,3,2,2,2,1,0,0,35,39,13,19,"111,506m","110,258m",110,101,131,133,11.5%,9.0%,49.4%,50.6%,https://www.football-lab.jp/kyot/report/?year=2023&month=04&date=01
A,福岡,L,1,2,0.695,3.163,10,14,5,5,0,1,293,295,11,11,13,17,1,0,4,5,31,21,6,9,11,19,16,30,0,1,0,1,1,0,0,0,18,26,10,12,"106,706m","100,345m",142,140,111,108,9.0%,13.0%,48.2%,51.8%,https://www.football-lab.jp/kyot/report/?year=2023&month=04&date=09
H,Ｇ大阪,W,2,1,1.129,0.807,15,10,5,3,0,0,298,570,19,14,11,10,4,0,3,5,23,23,12,16,26,31,25,32,1,1,0,4,2,0,0,1,32,36,14,12,"117,632m","108,642m",119,100,114,116,13.2%,8.6%,34.5%,65.5%,https://www.football-lab.jp/kyot/report/?year=2023&month=04&date=15
H,鳥栖,L,2,3,2.203,0.881,16,10,7,4,1,0,363,382,26,13,14,13,2,0,7,4,38,23,22,9,21,16,14,35,3,2,0,2,0,1,1,0,31,26,13,17,"122,474m","128,850m",131,137,143,123,11.2%,8.1%,48.2%,51.8%,https://www.football-lab.jp/kyot/report/?year=2023&month=04&date=23
A,柏,D,1,1,0.645,1.579,8,15,3,4,0,0,333,336,15,23,12,16,3,2,10,3,33,31,16,9,17,15,33,35,0,0,2,3,4,3,0,0,25,31,9,13,"116,929m","109,850m",133,128,140,133,5.7%,11.3%,49.7%,50.3%,https://www.football-lab.jp/kyot/report/?year=2023&month=04&date=29
