HOME/AWAY,Opponent,勝敗,c-os_得点,c-os_失点,c-os_シュート,Opponent_シュート,c-os_枠内シュート,Opponent_枠内シュート,c-os_PKによるシュート,Opponent_PKによるシュート,c-os_パス,Opponent_パス,c-os_クロス,Opponent_クロス,c-os_直接ＦＫ,Opponent_直接ＦＫ,c-os_間接ＦＫ,Opponent_間接ＦＫ,c-os_ＣＫ,Opponent_ＣＫ,c-os_スローイン,Opponent_スローイン,c-os_ドリブル,Opponent_ドリブル,c-os_タックル,Opponent_タックル,c-os_クリア,Opponent_クリア,c-os_インターセプト,Opponent_インターセプト,c-os_オフサイド,Opponent_オフサイド,c-os_警告,Opponent_警告,c-os_退場,Opponent_退場,c-os_３０ｍライン進入,Opponent_３０ｍライン進入,c-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,c-os_総移動距離,Opponent_総移動距離,c-os_スプリント,Opponent_スプリント,c-os_攻撃回数,Opponent_攻撃回数,c-os_チャンス構築率,Opponent_チャンス構築率,c-os_ボール保持率,Opponent_ボール保持率,URL
H,磐田,D,0,0,9,8,4,2,0,0,550,452,15,9,9,8,1,4,1,4,24,22,6,8,26,12,17,17,0,5,4,1,0,0,0,0,46,30,3,5,"112,194m","114,902m",175,157,127,131,7.1%,6.1%,54.1%,45.9%,https://www.football-lab.jp/c-os/report/?year=2017&month=02&date=25
A,浦和,L,1,3,8,11,1,5,0,0,319,740,7,13,10,10,3,5,2,2,20,27,4,23,27,17,17,15,8,8,5,3,0,1,0,0,21,67,6,14,"116,234m","115,716m",178,151,135,138,5.9%,8.0%,34.3%,65.7%,https://www.football-lab.jp/c-os/report/?year=2017&month=03&date=04
A,札幌,D,1,1,14,17,5,3,0,0,458,440,19,31,12,11,1,4,5,3,17,14,15,16,15,9,33,21,0,1,4,1,0,0,0,0,48,44,15,18,"113,776m","116,717m",165,142,120,111,11.7%,15.3%,50.7%,49.3%,https://www.football-lab.jp/c-os/report/?year=2017&month=03&date=11
H,鳥栖,W,1,0,13,9,5,0,0,0,510,482,19,18,9,10,2,4,6,4,20,30,18,11,32,21,26,31,2,0,4,2,0,0,0,0,60,36,10,16,"121,021m","122,156m",205,168,135,135,9.6%,6.7%,52.5%,47.5%,https://www.football-lab.jp/c-os/report/?year=2017&month=03&date=18
H,横浜FM,W,2,0,11,10,5,2,1,0,400,516,14,14,14,16,1,1,1,6,21,19,18,11,28,24,33,13,2,1,1,1,2,2,0,0,35,42,9,8,"114,626m","112,285m",208,150,127,123,8.7%,8.1%,46%,54%,https://www.football-lab.jp/c-os/report/?year=2017&month=04&date=01
A,鹿島,W,1,0,13,21,4,6,0,0,395,646,11,17,11,9,3,4,1,5,24,32,7,20,25,18,47,18,8,4,4,3,2,2,0,0,39,69,10,23,"117,582m","110,885m",190,145,144,155,9.0%,13.5%,41.5%,58.5%,https://www.football-lab.jp/c-os/report/?year=2017&month=04&date=08
H,Ｇ大阪,D,2,2,16,9,5,3,0,0,479,439,20,7,12,9,2,1,5,4,33,21,12,5,16,15,14,24,4,5,0,2,1,0,0,0,58,38,15,11,"113,159m","115,023m",166,176,131,129,12.2%,7.0%,50.4%,49.6%,https://www.football-lab.jp/c-os/report/?year=2017&month=04&date=16
A,甲府,D,1,1,16,6,5,1,0,0,636,355,21,5,9,13,2,6,3,0,34,19,8,10,20,20,15,27,5,4,6,2,0,2,0,0,62,22,15,4,"114,101m","112,687m",162,146,135,132,11.9%,4.5%,60.2%,39.8%,https://www.football-lab.jp/c-os/report/?year=2017&month=04&date=22
H,川崎Ｆ,W,2,0,21,10,9,3,0,1,463,616,21,11,14,12,1,3,8,3,15,19,9,9,21,22,9,22,2,0,3,1,1,0,0,0,51,51,23,10,"116,133m","114,086m",156,119,122,110,17.2%,9.1%,47.4%,52.6%,https://www.football-lab.jp/c-os/report/?year=2017&month=04&date=30
A,柏,L,0,1,9,9,3,4,0,0,468,445,13,14,10,11,2,3,4,1,22,29,8,15,26,20,17,22,4,2,3,1,1,0,0,0,38,36,13,11,"112,310m","112,835m",157,167,141,138,6.4%,6.5%,50.5%,49.5%,https://www.football-lab.jp/c-os/report/?year=2017&month=05&date=06
H,広島,W,5,2,17,19,10,7,0,0,450,741,10,21,7,10,2,1,3,3,12,13,15,22,25,23,21,9,3,1,1,2,0,0,0,0,33,64,15,17,"115,369m","110,272m",165,112,109,101,15.6%,18.8%,40.6%,59.4%,https://www.football-lab.jp/c-os/report/?year=2017&month=05&date=14
A,大宮,W,3,0,18,9,7,1,0,0,556,397,18,9,9,12,0,6,7,3,21,19,15,16,19,17,24,29,1,3,6,0,0,1,0,0,49,26,19,7,"110,550m","108,371m",149,138,117,121,15.4%,7.4%,54.5%,45.5%,https://www.football-lab.jp/c-os/report/?year=2017&month=05&date=20
A,神戸,W,2,1,12,17,6,3,0,0,488,460,15,13,13,15,1,4,5,1,25,17,14,13,24,23,18,24,4,2,4,1,0,1,0,0,41,49,19,12,"115,375m","112,415m",171,159,129,124,9.3%,13.7%,50.5%,49.5%,https://www.football-lab.jp/c-os/report/?year=2017&month=05&date=28
H,新潟,W,4,0,15,12,6,5,1,0,439,405,15,12,10,10,1,3,7,7,24,18,9,19,20,18,25,26,2,3,1,1,1,3,0,0,35,39,13,8,"108,933m","106,300m",167,135,115,115,13.0%,10.4%,50.1%,49.9%,https://www.football-lab.jp/c-os/report/?year=2017&month=06&date=04
H,清水,D,1,1,19,8,5,3,1,0,671,250,28,7,12,10,1,3,12,1,42,21,15,12,14,17,10,51,1,2,2,1,1,1,0,0,67,18,28,7,"119,090m","115,477m",186,185,150,130,12.7%,6.2%,63.5%,36.5%,https://www.football-lab.jp/c-os/report/?year=2017&month=06&date=17
A,仙台,W,4,2,10,13,5,5,0,0,313,627,10,30,7,11,0,6,3,3,19,18,12,16,18,9,34,18,3,3,6,0,1,1,0,0,27,79,10,18,"112,076m","112,019m",162,133,114,121,8.8%,10.7%,37.7%,62.3%,https://www.football-lab.jp/c-os/report/?year=2017&month=06&date=25
H,FC東京,W,3,1,19,8,7,1,0,0,463,397,17,16,10,15,2,2,4,5,21,14,16,11,19,19,26,21,3,3,2,2,1,1,0,0,59,50,17,10,"111,189m","108,603m",145,158,125,120,15.2%,6.7%,51.3%,48.7%,https://www.football-lab.jp/c-os/report/?year=2017&month=07&date=02
H,柏,W,2,1,12,16,6,4,0,0,332,608,15,23,9,11,4,0,6,10,22,32,9,20,16,11,28,19,0,3,0,4,0,3,0,0,30,62,9,16,"111,153m","107,987m",135,132,109,126,11.0%,12.7%,39%,61%,https://www.football-lab.jp/c-os/report/?year=2017&month=07&date=08
H,浦和,W,4,2,16,16,8,6,0,0,318,522,10,20,12,10,0,3,6,6,16,22,6,18,19,13,25,16,4,2,3,0,3,1,0,0,27,72,12,21,"108,755m","104,905m",138,100,111,109,14.4%,14.7%,40.5%,59.5%,https://www.football-lab.jp/c-os/report/?year=2017&month=07&date=22
A,Ｇ大阪,L,1,3,18,21,7,7,0,0,452,448,23,18,7,13,3,2,2,6,24,19,12,13,11,19,22,36,3,1,2,3,0,1,0,0,50,47,8,15,"108,960m","112,505m",155,164,111,115,16.2%,18.3%,48.5%,51.5%,https://www.football-lab.jp/c-os/report/?year=2017&month=07&date=29
