HOME/AWAY,Opponent,勝敗,ka-f_得点,ka-f_失点,Opponent_シュート,ka-f_シュート,Opponent_枠内シュート,ka-f_枠内シュート,Opponent_PKによるシュート,ka-f_PKによるシュート,Opponent_パス,ka-f_パス,Opponent_クロス,ka-f_クロス,Opponent_直接ＦＫ,ka-f_直接ＦＫ,Opponent_間接ＦＫ,ka-f_間接ＦＫ,Opponent_ＣＫ,ka-f_ＣＫ,Opponent_スローイン,ka-f_スローイン,Opponent_ドリブル,ka-f_ドリブル,Opponent_タックル,ka-f_タックル,Opponent_クリア,ka-f_クリア,Opponent_インターセプト,ka-f_インターセプト,Opponent_オフサイド,ka-f_オフサイド,Opponent_警告,ka-f_警告,Opponent_退場,ka-f_退場,Opponent_３０ｍライン進入,ka-f_３０ｍライン進入,Opponent_ペナルティエリア進入,ka-f_ペナルティエリア進入,Opponent_総移動距離,ka-f_総移動距離,Opponent_スプリント,ka-f_スプリント,Opponent_攻撃回数,ka-f_攻撃回数,Opponent_チャンス構築率,ka-f_チャンス構築率,Opponent_ボール保持率,ka-f_ボール保持率,URL
A,大宮,W,2,0,10,9,2,3,0,0,483,757,15,7,12,6,4,4,7,5,22,15,9,14,18,14,17,27,4,2,4,4,0,1,0,0,32,50,11,12,"109,943m","110,651m",128,102,124,114,8.1%,7.9%,42.1%,57.9%,https://www.football-lab.jp/ka-f/report/?year=2017&month=02&date=25
H,鳥栖,D,1,1,8,15,3,3,0,0,397,724,15,14,10,14,5,2,5,8,21,16,11,11,27,19,35,35,2,3,2,5,0,2,0,0,40,58,12,14,"122,717m","112,996m",143,131,129,130,6.2%,11.5%,39.6%,60.4%,https://www.football-lab.jp/ka-f/report/?year=2017&month=03&date=05
H,柏,W,2,1,12,15,8,6,0,0,458,712,15,12,8,11,7,4,9,7,22,21,17,9,26,29,17,27,5,4,4,7,2,2,1,0,37,54,13,14,"115,720m","112,102m",170,164,136,135,8.8%,11.1%,42.5%,57.5%,https://www.football-lab.jp/ka-f/report/?year=2017&month=03&date=10
A,FC東京,L,0,3,10,11,4,4,0,0,400,638,20,11,15,24,1,6,6,4,19,26,6,8,23,16,25,18,2,2,6,1,2,0,0,0,32,49,15,10,"116,265m","108,393m",195,139,135,140,7.4%,7.9%,43.3%,56.7%,https://www.football-lab.jp/ka-f/report/?year=2017&month=03&date=18
A,仙台,W,2,0,7,20,1,6,0,0,498,461,17,14,12,12,5,3,9,8,18,25,12,14,21,22,24,24,5,1,3,5,1,2,0,0,33,39,7,21,"116,339m","110,004m",196,193,118,117,5.9%,17.1%,53.9%,46.1%,https://www.football-lab.jp/ka-f/report/?year=2017&month=04&date=01
H,甲府,D,1,1,8,18,3,8,0,0,299,711,9,19,10,16,4,4,5,7,19,28,8,18,23,12,31,18,3,0,4,4,3,2,0,0,30,76,7,21,"106,645m","107,360m",129,123,114,125,7.0%,14.4%,36.7%,63.3%,https://www.football-lab.jp/ka-f/report/?year=2017&month=04&date=08
A,札幌,D,1,1,13,11,3,5,0,1,324,579,14,13,9,13,3,2,4,6,15,20,8,14,21,14,28,19,3,4,2,3,3,1,0,0,35,58,15,13,"112,594m","105,228m",167,140,117,117,11.1%,9.4%,40.8%,59.2%,https://www.football-lab.jp/ka-f/report/?year=2017&month=04&date=16
H,清水,D,2,2,12,16,4,2,0,0,310,979,9,17,10,8,3,2,3,4,22,18,8,21,25,23,23,20,5,3,2,3,0,1,0,0,26,82,5,18,"119,199m","116,383m",151,144,117,115,10.3%,13.9%,31.9%,68.1%,https://www.football-lab.jp/ka-f/report/?year=2017&month=04&date=21
A,Ｃ大阪,L,0,2,21,10,9,3,0,1,463,616,21,11,14,12,1,3,8,3,15,19,9,9,21,22,9,22,2,0,3,1,1,0,0,0,51,51,23,10,"116,133m","114,086m",156,119,122,110,17.2%,9.1%,47.4%,52.6%,https://www.football-lab.jp/ka-f/report/?year=2017&month=04&date=30
H,新潟,W,3,0,12,8,3,4,0,0,402,627,14,10,10,15,2,5,8,2,19,26,11,13,23,20,21,23,5,2,5,2,1,0,0,0,46,30,15,9,"113,056m","109,848m",156,139,130,128,9.2%,6.3%,43.9%,56.1%,https://www.football-lab.jp/ka-f/report/?year=2017&month=05&date=05
A,磐田,W,2,0,14,11,5,3,0,0,462,578,15,10,12,7,0,1,9,6,12,16,9,14,16,11,22,29,1,2,1,0,0,2,0,0,43,36,11,19,"110,934m","105,845m",128,152,99,103,14.1%,10.7%,46.6%,53.4%,https://www.football-lab.jp/ka-f/report/?year=2017&month=05&date=14
A,鹿島,W,3,0,25,10,6,5,0,0,535,584,19,4,14,10,1,2,5,0,24,29,20,7,29,27,16,37,5,2,1,1,1,0,0,0,56,32,23,7,"110,804m","112,262m",160,155,137,141,18.2%,7.1%,49.7%,50.3%,https://www.football-lab.jp/ka-f/report/?year=2017&month=05&date=19
