HOME/AWAY,Opponent,勝敗,hiro_得点,hiro_失点,hiro_シュート,Opponent_シュート,hiro_枠内シュート,Opponent_枠内シュート,hiro_PKによるシュート,Opponent_PKによるシュート,hiro_パス,Opponent_パス,hiro_クロス,Opponent_クロス,hiro_直接ＦＫ,Opponent_直接ＦＫ,hiro_間接ＦＫ,Opponent_間接ＦＫ,hiro_ＣＫ,Opponent_ＣＫ,hiro_スローイン,Opponent_スローイン,hiro_ドリブル,Opponent_ドリブル,hiro_タックル,Opponent_タックル,hiro_クリア,Opponent_クリア,hiro_インターセプト,Opponent_インターセプト,hiro_オフサイド,Opponent_オフサイド,hiro_警告,Opponent_警告,hiro_退場,Opponent_退場,hiro_３０ｍライン進入,Opponent_３０ｍライン進入,hiro_ペナルティエリア進入,Opponent_ペナルティエリア進入,hiro_総移動距離,Opponent_総移動距離,hiro_スプリント,Opponent_スプリント,hiro_攻撃回数,Opponent_攻撃回数,hiro_チャンス構築率,Opponent_チャンス構築率,hiro_ボール保持率,Opponent_ボール保持率,URL
H,新潟,D,1,1,20,9,5,4,0,0,699,232,27,8,17,9,3,1,6,7,21,20,26,5,27,35,17,27,2,0,1,3,0,4,0,1,61,21,18,12,"107,726m","110,456m",131,165,126,130,15.9%,6.9%,69.2%,30.8%,https://www.football-lab.jp/hiro/report/?year=2017&month=02&date=25
H,清水,L,0,1,13,10,2,3,0,1,738,396,16,17,6,4,1,1,4,4,27,14,22,8,22,29,15,22,5,2,1,1,0,0,0,0,70,36,8,16,"108,890m","114,802m",96,160,122,114,10.7%,8.8%,63.7%,36.3%,https://www.football-lab.jp/hiro/report/?year=2017&month=03&date=04
A,鳥栖,L,0,1,20,15,5,4,0,0,603,315,22,9,18,13,2,4,15,3,15,6,16,10,9,14,11,42,1,1,4,2,6,1,1,0,51,32,17,15,"111,262m","121,446m",144,191,131,113,15.3%,13.3%,60.3%,39.7%,https://www.football-lab.jp/hiro/report/?year=2017&month=03&date=11
A,札幌,L,1,2,25,9,8,5,0,0,636,320,20,9,18,10,3,1,12,3,14,14,23,10,18,23,13,28,4,5,1,3,0,4,0,0,63,28,19,16,"110,242m","117,148m",125,147,119,114,21.0%,7.9%,61.6%,38.4%,https://www.football-lab.jp/hiro/report/?year=2017&month=03&date=18
H,柏,L,0,2,12,12,4,6,0,1,430,484,17,14,19,18,0,7,5,4,23,21,14,5,19,16,17,27,4,3,7,0,4,1,0,0,35,47,12,13,"109,797m","114,688m",125,188,130,122,9.2%,9.8%,48.2%,51.8%,https://www.football-lab.jp/hiro/report/?year=2017&month=04&date=01
A,Ｇ大阪,W,1,0,10,16,3,8,0,0,537,676,7,16,12,11,3,0,1,8,10,13,14,15,23,29,24,13,1,7,0,3,1,0,0,0,34,70,7,20,"113,230m","117,689m",136,178,110,119,9.1%,13.4%,45.6%,54.4%,https://www.football-lab.jp/hiro/report/?year=2017&month=04&date=07
H,横浜FM,L,0,1,23,9,3,3,0,0,487,478,27,10,8,17,2,3,6,5,15,17,31,14,21,18,19,31,1,1,3,2,4,1,0,0,50,21,18,11,"114,684m","115,029m",119,133,102,115,22.5%,7.8%,48.4%,51.6%,https://www.football-lab.jp/hiro/report/?year=2017&month=04&date=16
H,仙台,D,3,3,19,11,3,5,0,0,626,497,16,7,14,13,0,4,8,2,17,10,10,4,6,18,14,23,2,3,4,0,1,0,0,0,43,41,12,16,"112,978m","114,159m",144,173,115,101,16.5%,10.9%,55.1%,44.9%,https://www.football-lab.jp/hiro/report/?year=2017&month=04&date=22
A,FC東京,L,0,1,11,11,3,3,0,0,528,439,20,12,15,18,2,1,3,3,23,20,24,8,12,21,17,26,2,4,1,2,0,1,0,0,36,41,11,11,"110,969m","114,226m",117,146,122,118,9.0%,9.3%,54.7%,45.3%,https://www.football-lab.jp/hiro/report/?year=2017&month=04&date=30
H,神戸,D,1,1,16,10,5,3,0,0,736,499,12,9,17,11,2,4,1,3,12,9,19,8,20,24,16,13,3,1,4,2,0,1,0,0,43,54,9,10,"118,006m","116,823m",170,173,107,103,15.0%,9.7%,60%,40%,https://www.football-lab.jp/hiro/report/?year=2017&month=05&date=06
A,Ｃ大阪,L,2,5,19,17,7,10,0,0,741,450,21,10,10,7,1,2,3,3,13,12,22,15,23,25,9,21,1,3,2,1,0,0,0,0,64,33,17,15,"110,272m","115,369m",112,165,101,109,18.8%,15.6%,59.4%,40.6%,https://www.football-lab.jp/hiro/report/?year=2017&month=05&date=14
A,甲府,W,2,1,12,5,7,1,0,0,552,460,8,14,17,9,0,1,7,4,16,18,10,8,23,17,21,16,1,0,1,0,0,1,0,0,44,37,13,7,"106,859m","107,835m",121,135,104,105,11.5%,4.8%,55.3%,44.7%,https://www.football-lab.jp/hiro/report/?year=2017&month=05&date=20
H,磐田,D,0,0,7,15,0,2,0,0,510,655,13,19,16,12,2,1,2,2,13,13,10,14,16,16,14,18,5,3,1,2,1,0,0,0,34,59,9,15,"110,264m","113,933m",118,148,104,105,6.7%,14.3%,47.6%,52.4%,https://www.football-lab.jp/hiro/report/?year=2017&month=05&date=27
