HOME/AWAY,Opponent,勝敗,send_得点,send_失点,send_シュート,Opponent_シュート,send_枠内シュート,Opponent_枠内シュート,send_PKによるシュート,Opponent_PKによるシュート,send_パス,Opponent_パス,send_クロス,Opponent_クロス,send_直接ＦＫ,Opponent_直接ＦＫ,send_間接ＦＫ,Opponent_間接ＦＫ,send_ＣＫ,Opponent_ＣＫ,send_スローイン,Opponent_スローイン,send_ドリブル,Opponent_ドリブル,send_タックル,Opponent_タックル,send_クリア,Opponent_クリア,send_インターセプト,Opponent_インターセプト,send_オフサイド,Opponent_オフサイド,send_警告,Opponent_警告,send_退場,Opponent_退場,send_３０ｍライン進入,Opponent_３０ｍライン進入,send_ペナルティエリア進入,Opponent_ペナルティエリア進入,send_総移動距離,Opponent_総移動距離,send_スプリント,Opponent_スプリント,send_攻撃回数,Opponent_攻撃回数,send_チャンス構築率,Opponent_チャンス構築率,send_ボール保持率,Opponent_ボール保持率,URL
H,札幌,W,1,0,14,9,6,1,0,0,566,291,15,16,15,11,1,0,5,2,23,17,9,13,20,13,24,31,3,3,0,1,0,2,0,0,46,27,11,11,"114,531m","113,213m",140,154,122,114,11.5%,7.9%,62.3%,37.7%,https://www.football-lab.jp/send/report/?year=2017&month=02&date=25
A,磐田,W,1,0,11,15,3,1,0,0,600,348,7,13,11,6,1,1,6,10,22,25,10,7,24,27,30,18,0,0,1,1,0,0,0,0,34,25,12,10,"116,854m","118,790m",175,178,119,128,9.2%,11.7%,60.2%,39.8%,https://www.football-lab.jp/send/report/?year=2017&month=03&date=04
H,神戸,L,0,2,13,12,2,2,0,0,555,364,23,10,19,13,2,2,6,1,23,20,13,10,23,23,22,24,6,1,2,2,1,2,0,0,45,39,18,13,"122,472m","115,341m",177,147,138,127,9.4%,9.4%,58.2%,41.8%,https://www.football-lab.jp/send/report/?year=2017&month=03&date=11
A,柏,W,1,0,8,20,4,3,0,0,302,522,13,24,17,16,4,2,0,6,24,38,6,15,37,31,34,25,4,1,2,4,1,0,0,0,29,39,8,31,"115,981m","114,742m",196,183,134,148,6.0%,13.5%,42.6%,57.4%,https://www.football-lab.jp/send/report/?year=2017&month=03&date=18
H,川崎Ｆ,L,0,2,7,20,1,6,0,0,498,461,17,14,12,12,5,3,9,8,18,25,12,14,21,22,24,24,5,1,3,5,1,2,0,0,33,39,7,21,"116,339m","110,004m",196,193,118,117,5.9%,17.1%,53.9%,46.1%,https://www.football-lab.jp/send/report/?year=2017&month=04&date=01
A,浦和,L,0,7,9,19,1,8,0,1,430,586,13,13,11,14,2,2,3,6,13,19,9,5,15,18,18,13,3,1,2,2,3,1,0,0,31,45,11,20,"117,425m","116,953m",181,196,101,113,8.9%,16.8%,44.4%,55.6%,https://www.football-lab.jp/send/report/?year=2017&month=04&date=07
H,鹿島,L,1,4,17,19,3,8,0,1,450,502,31,15,11,8,5,2,8,6,26,31,18,15,28,17,28,24,1,1,2,4,2,2,0,0,34,49,21,19,"117,927m","113,510m",179,199,134,135,12.7%,14.1%,49.6%,50.4%,https://www.football-lab.jp/send/report/?year=2017&month=04&date=16
A,広島,D,3,3,11,19,5,3,0,0,497,626,7,16,13,14,4,0,2,8,10,17,4,10,18,6,23,14,3,2,0,4,0,1,0,0,41,43,16,12,"114,159m","112,978m",173,144,101,115,10.9%,16.5%,44.9%,55.1%,https://www.football-lab.jp/send/report/?year=2017&month=04&date=22
A,清水,W,3,0,6,15,4,4,1,0,397,559,10,25,8,18,1,1,2,5,25,24,7,9,28,14,24,12,3,1,1,1,2,0,0,0,27,41,7,16,"113,318m","112,781m",151,153,128,137,4.7%,10.9%,45.2%,54.8%,https://www.football-lab.jp/send/report/?year=2017&month=04&date=30
H,FC東京,L,0,2,14,9,3,4,0,0,552,338,27,5,12,10,5,2,9,1,21,26,12,9,21,14,22,29,1,6,2,5,0,2,0,0,57,28,14,9,"111,722m","113,453m",127,151,127,123,11.0%,7.3%,57.7%,42.3%,https://www.football-lab.jp/send/report/?year=2017&month=05&date=07
A,大宮,L,1,2,11,12,3,5,1,0,416,323,25,10,12,10,3,2,10,8,18,24,10,9,20,12,21,32,2,1,2,3,1,1,0,0,39,25,20,9,"109,391m","108,563m",160,165,126,118,8.7%,10.2%,52.9%,47.1%,https://www.football-lab.jp/send/report/?year=2017&month=05&date=14
A,横浜FM,D,1,1,21,12,5,6,0,0,575,343,24,9,11,10,6,0,9,4,19,15,19,9,17,23,17,40,3,1,0,6,1,0,0,0,63,30,23,7,"111,256m","110,071m",127,136,121,113,17.4%,10.6%,58.3%,41.7%,https://www.football-lab.jp/send/report/?year=2017&month=05&date=20
H,新潟,W,2,1,15,7,4,3,1,0,509,283,25,16,11,6,0,0,8,7,33,31,21,10,26,32,24,37,2,1,0,0,1,0,0,0,54,27,13,12,"110,108m","107,971m",170,185,132,120,11.4%,5.8%,61.1%,38.9%,https://www.football-lab.jp/send/report/?year=2017&month=05&date=28
H,甲府,W,3,0,18,3,8,1,0,0,561,323,20,8,18,19,2,3,2,6,23,15,22,6,19,29,15,32,1,5,3,2,1,2,0,1,72,16,21,4,"111,579m","105,553m",164,155,142,139,12.7%,2.2%,59.2%,40.8%,https://www.football-lab.jp/send/report/?year=2017&month=06&date=04
A,鳥栖,D,1,1,11,14,4,4,0,0,516,441,21,11,9,17,6,3,3,4,13,17,10,11,20,14,15,25,0,3,3,6,2,0,0,0,58,26,17,11,"118,760m","120,125m",175,182,125,131,8.8%,10.7%,51%,49%,https://www.football-lab.jp/send/report/?year=2017&month=06&date=17
H,Ｃ大阪,L,2,4,13,10,5,5,0,0,627,313,30,10,11,7,6,0,3,3,18,19,16,12,9,18,18,34,3,3,0,6,1,1,0,0,79,27,18,10,"112,019m","112,076m",133,162,121,114,10.7%,8.8%,62.3%,37.7%,https://www.football-lab.jp/send/report/?year=2017&month=06&date=25
