HOME/AWAY,Opponent,勝敗,send_得点,send_失点,send_シュート,Opponent_シュート,send_枠内シュート,Opponent_枠内シュート,send_PKによるシュート,Opponent_PKによるシュート,send_パス,Opponent_パス,send_クロス,Opponent_クロス,send_直接ＦＫ,Opponent_直接ＦＫ,send_間接ＦＫ,Opponent_間接ＦＫ,send_ＣＫ,Opponent_ＣＫ,send_スローイン,Opponent_スローイン,send_ドリブル,Opponent_ドリブル,send_タックル,Opponent_タックル,send_クリア,Opponent_クリア,send_インターセプト,Opponent_インターセプト,send_オフサイド,Opponent_オフサイド,send_警告,Opponent_警告,send_退場,Opponent_退場,send_３０ｍライン進入,Opponent_３０ｍライン進入,send_ペナルティエリア進入,Opponent_ペナルティエリア進入,send_総移動距離,Opponent_総移動距離,send_スプリント,Opponent_スプリント,send_攻撃回数,Opponent_攻撃回数,send_チャンス構築率,Opponent_チャンス構築率,send_ボール保持率,Opponent_ボール保持率,URL
H,Ｇ大阪,L,2,3,19,9,5,2,0,0,511,395,27,12,15,16,2,0,5,0,23,18,9,7,18,16,12,38,2,0,0,2,1,1,0,0,48,21,20,8,"112,557m","113,163m",133,145,120,112,15.8%,8.0%,54.9%,45.1%,https://www.football-lab.jp/send/report/?year=2017&month=07&date=01
A,神戸,L,0,3,15,16,3,7,0,0,556,378,12,11,12,14,2,2,4,4,16,19,10,11,19,20,21,27,4,1,2,2,0,0,0,0,48,27,11,14,"109,896m","110,077m",133,170,113,119,13.3%,13.4%,58.7%,41.3%,https://www.football-lab.jp/send/report/?year=2017&month=07&date=08
H,柏,D,1,1,11,13,5,5,0,0,438,596,14,21,10,13,1,3,5,3,20,26,23,15,18,25,24,22,1,3,3,2,0,0,0,0,44,54,8,15,"117,468m","115,388m",164,161,120,129,9.2%,10.1%,45.1%,54.9%,https://www.football-lab.jp/send/report/?year=2017&month=07&date=30
A,鹿島,L,0,2,1,14,1,7,0,0,400,566,15,8,8,23,6,2,1,5,22,20,9,13,13,15,22,17,1,3,2,6,0,1,0,0,34,59,7,13,,,,,112,121,0.9%,11.6%,41.4%,58.6%,https://www.football-lab.jp/send/report/?year=2017&month=08&date=05
H,磐田,D,0,0,6,21,1,3,0,0,328,426,10,16,14,15,3,4,5,5,14,24,8,8,16,18,34,23,3,1,4,3,4,1,0,0,15,55,8,16,"101,285m","102,436m",114,122,105,118,5.7%,17.8%,45.3%,54.7%,https://www.football-lab.jp/send/report/?year=2017&month=08&date=09
H,広島,W,1,0,17,17,8,2,0,0,355,430,24,19,13,10,4,0,5,9,22,26,16,20,29,16,36,37,1,1,0,4,1,0,0,0,49,52,19,18,"111,175m","109,262m",158,140,125,128,13.6%,13.3%,46%,54%,https://www.football-lab.jp/send/report/?year=2017&month=08&date=13
A,新潟,W,2,1,9,17,2,5,0,0,419,349,26,15,11,9,3,1,2,6,31,25,16,19,26,33,34,28,0,5,1,3,0,1,0,0,51,41,16,17,"106,775m","106,182m",165,143,123,125,7.3%,13.6%,52.6%,47.4%,https://www.football-lab.jp/send/report/?year=2017&month=08&date=19
A,札幌,L,0,1,14,13,1,2,0,0,481,359,14,18,11,13,1,3,5,3,26,21,14,11,18,21,20,35,2,2,2,1,1,0,0,0,46,43,17,16,"108,751m","111,627m",133,145,120,124,11.7%,10.5%,54.9%,45.1%,https://www.football-lab.jp/send/report/?year=2017&month=08&date=26
H,鳥栖,W,4,1,17,10,6,3,0,0,494,442,16,15,10,16,3,2,8,3,20,27,8,18,28,15,23,28,3,9,2,3,0,1,0,0,51,47,14,15,"118,683m","116,345m",173,165,130,134,13.1%,7.5%,50.7%,49.3%,https://www.football-lab.jp/send/report/?year=2017&month=09&date=10
A,FC東京,L,0,1,13,15,7,3,0,0,479,626,12,8,11,14,4,0,1,6,19,8,6,6,18,23,10,14,2,3,0,3,2,1,0,0,35,31,7,11,"116,098m","114,059m",154,201,109,114,11.9%,13.2%,43.2%,56.8%,https://www.football-lab.jp/send/report/?year=2017&month=09&date=16
A,Ｃ大阪,W,4,1,13,22,4,10,0,0,519,495,13,20,10,8,2,1,1,4,13,26,12,19,21,13,25,9,1,2,1,2,1,3,0,0,39,53,12,18,"118,920m","115,262m",116,135,118,130,11.0%,16.9%,50.8%,49.2%,https://www.football-lab.jp/send/report/?year=2017&month=09&date=23
H,浦和,L,2,3,17,12,4,6,0,0,518,477,26,12,12,10,1,1,4,7,15,12,12,12,33,20,25,25,2,1,1,1,0,3,0,0,48,35,19,18,"119,665m","113,785m",166,169,118,119,14.4%,10.1%,49.1%,50.9%,https://www.football-lab.jp/send/report/?year=2017&month=10&date=01
A,川崎Ｆ,L,2,3,11,15,5,6,0,0,648,470,15,11,10,9,2,4,3,8,17,20,10,15,23,11,23,23,3,4,4,1,2,4,0,1,53,47,18,17,"118,785m","111,753m",160,160,124,131,8.9%,11.5%,55.1%,44.9%,https://www.football-lab.jp/send/report/?year=2017&month=10&date=14
H,清水,D,0,0,19,9,4,3,0,0,671,238,24,6,17,7,2,2,5,3,27,16,19,8,15,18,20,30,1,1,1,2,0,2,0,0,58,15,10,7,"110,529m","107,301m",133,147,126,108,15.1%,8.3%,68.6%,31.4%,https://www.football-lab.jp/send/report/?year=2017&month=10&date=21
A,Ｇ大阪,D,1,1,16,15,2,3,0,0,474,567,13,21,9,15,3,0,3,10,15,19,8,12,12,9,27,17,1,0,0,3,0,1,0,0,37,57,14,15,"109,366m","109,972m",128,155,101,109,15.8%,13.8%,48.2%,51.8%,https://www.football-lab.jp/send/report/?year=2017&month=10&date=29
H,大宮,W,3,0,21,12,7,3,0,0,479,431,19,18,12,7,1,2,5,3,15,16,15,15,29,23,24,26,3,0,2,1,0,4,0,1,51,32,14,11,"116,873m","111,024m",172,179,122,120,17.2%,10.0%,50.2%,49.8%,https://www.football-lab.jp/send/report/?year=2017&month=11&date=18
H,横浜FM,D,2,2,26,10,12,1,0,0,489,414,27,15,13,16,0,1,7,6,15,19,14,19,26,15,28,29,2,4,1,0,2,4,0,0,60,27,27,11,"117,405m","115,050m",176,163,126,123,20.6%,8.1%,50.5%,49.5%,https://www.football-lab.jp/send/report/?year=2017&month=11&date=26
A,甲府,L,0,1,15,25,4,3,0,0,539,299,15,14,17,10,1,1,4,8,18,25,11,16,27,27,31,22,0,6,1,0,1,4,0,1,46,52,17,21,"111,951m","112,955m",160,198,125,133,12.0%,18.8%,60.6%,39.4%,https://www.football-lab.jp/send/report/?year=2017&month=12&date=02
