HOME/AWAY,Opponent,勝敗,y-fm_得点,y-fm_失点,y-fm_シュート,Opponent_シュート,y-fm_枠内シュート,Opponent_枠内シュート,y-fm_PKによるシュート,Opponent_PKによるシュート,y-fm_パス,Opponent_パス,y-fm_クロス,Opponent_クロス,y-fm_直接ＦＫ,Opponent_直接ＦＫ,y-fm_間接ＦＫ,Opponent_間接ＦＫ,y-fm_ＣＫ,Opponent_ＣＫ,y-fm_スローイン,Opponent_スローイン,y-fm_ドリブル,Opponent_ドリブル,y-fm_タックル,Opponent_タックル,y-fm_クリア,Opponent_クリア,y-fm_インターセプト,Opponent_インターセプト,y-fm_オフサイド,Opponent_オフサイド,y-fm_警告,Opponent_警告,y-fm_退場,Opponent_退場,y-fm_３０ｍライン進入,Opponent_３０ｍライン進入,y-fm_ペナルティエリア進入,Opponent_ペナルティエリア進入,y-fm_総移動距離,Opponent_総移動距離,y-fm_スプリント,Opponent_スプリント,y-fm_攻撃回数,Opponent_攻撃回数,y-fm_チャンス構築率,Opponent_チャンス構築率,y-fm_ボール保持率,Opponent_ボール保持率,URL
H,浦和,W,3,2,16,17,8,10,0,0,268,738,8,20,14,18,2,3,3,5,16,25,14,20,21,21,18,14,1,3,3,1,3,2,0,0,25,66,17,17,"115,143m","115,113m",173,151,108,115,14.8%,14.8%,34.4%,65.6%,https://www.football-lab.jp/y-fm/report/?year=2017&month=02&date=25
H,札幌,W,3,0,14,14,6,3,0,0,443,412,15,21,16,10,0,0,2,11,21,19,22,6,20,22,32,27,2,2,0,0,0,1,0,0,40,40,10,19,"111,820m","115,453m",162,184,122,126,11.5%,11.1%,52.8%,47.2%,https://www.football-lab.jp/y-fm/report/?year=2017&month=03&date=04
A,鹿島,L,0,1,9,9,1,3,0,0,455,591,12,20,18,16,5,1,1,1,19,24,16,14,31,22,27,21,5,6,0,5,3,2,0,0,23,62,11,12,"120,698m","117,481m",164,151,131,133,6.9%,6.8%,46.5%,53.5%,https://www.football-lab.jp/y-fm/report/?year=2017&month=03&date=10
H,新潟,D,1,1,15,9,7,1,0,0,531,307,13,6,13,18,2,4,3,4,30,23,29,15,27,35,22,34,3,5,3,2,2,1,0,0,47,23,15,6,"108,186m","113,145m",161,165,132,129,11.4%,7.0%,60.9%,39.1%,https://www.football-lab.jp/y-fm/report/?year=2017&month=03&date=18
A,Ｃ大阪,L,0,2,10,11,2,5,0,1,516,400,14,14,16,14,1,1,6,1,19,21,11,18,24,28,13,33,1,2,1,1,2,2,0,0,42,35,8,9,"112,285m","114,626m",150,208,123,127,8.1%,8.7%,54%,46%,https://www.football-lab.jp/y-fm/report/?year=2017&month=04&date=01
H,磐田,W,2,1,14,11,6,1,0,0,501,410,14,13,14,15,2,4,6,5,18,19,18,8,12,15,22,24,3,0,4,2,1,1,0,0,39,36,18,13,"111,397m","113,614m",166,138,118,117,11.9%,9.4%,55%,45%,https://www.football-lab.jp/y-fm/report/?year=2017&month=04&date=08
A,広島,W,1,0,9,23,3,3,0,0,478,487,10,27,17,8,3,2,5,6,17,15,14,31,18,21,31,19,1,1,2,3,1,4,0,0,21,50,11,18,"115,029m","114,684m",133,119,115,102,7.8%,22.5%,51.6%,48.4%,https://www.football-lab.jp/y-fm/report/?year=2017&month=04&date=16
A,柏,L,0,2,6,11,2,7,0,1,489,481,6,17,25,7,3,2,0,4,32,43,17,15,20,31,25,30,0,3,2,2,0,2,0,0,29,45,4,10,"118,798m","117,642m",144,176,147,140,4.1%,7.9%,51.2%,48.8%,https://www.football-lab.jp/y-fm/report/?year=2017&month=04&date=22
H,Ｇ大阪,L,0,1,12,11,3,4,0,0,403,511,20,19,23,8,0,1,4,7,32,22,10,11,17,24,17,29,3,3,0,0,0,3,0,0,27,54,12,15,"113,114m","117,695m",149,209,123,108,9.8%,10.2%,44.9%,55.1%,https://www.football-lab.jp/y-fm/report/?year=2017&month=04&date=30
A,鳥栖,L,0,1,14,11,4,2,0,0,526,326,24,17,16,17,1,1,5,2,28,15,31,11,20,34,17,43,3,5,1,1,1,0,0,0,47,30,12,15,"118,739m","120,069m",158,174,149,128,9.4%,8.6%,57.1%,42.9%,https://www.football-lab.jp/y-fm/report/?year=2017&month=05&date=07
H,甲府,W,1,0,10,10,4,5,0,0,458,314,10,18,15,17,3,2,4,5,25,33,15,18,22,21,26,27,4,5,2,0,1,3,0,0,44,31,7,10,"113,021m","107,416m",184,151,125,147,8.0%,6.8%,56.2%,43.8%,https://www.football-lab.jp/y-fm/report/?year=2017&month=05&date=14
H,仙台,D,1,1,12,21,6,5,0,0,343,575,9,24,10,11,0,6,4,9,15,19,9,19,23,17,40,17,1,3,6,0,0,1,0,0,30,63,7,23,"110,071m","111,256m",136,127,113,121,10.6%,17.4%,41.7%,58.3%,https://www.football-lab.jp/y-fm/report/?year=2017&month=05&date=20
A,清水,W,3,1,8,23,4,5,0,0,382,494,13,40,12,15,0,4,3,9,11,27,8,15,31,20,47,19,0,1,3,0,2,1,0,0,22,65,8,31,"113,529m","112,408m",138,148,124,135,6.5%,17.0%,46.3%,53.7%,https://www.football-lab.jp/y-fm/report/?year=2017&month=05&date=27
H,川崎Ｆ,W,2,0,13,15,5,6,0,0,378,764,12,19,13,7,4,0,6,2,9,16,18,11,16,19,34,28,5,1,0,3,2,3,0,0,37,83,10,18,"115,795m","112,649m",168,166,109,104,11.9%,14.4%,39.6%,60.4%,https://www.football-lab.jp/y-fm/report/?year=2017&month=06&date=04
A,FC東京,W,1,0,10,16,5,4,0,0,485,470,23,19,10,16,1,2,4,3,32,28,24,13,17,17,25,23,6,4,2,1,0,2,0,0,40,47,12,17,"109,124m","109,441m",167,178,119,121,8.4%,13.2%,50.9%,49.1%,https://www.football-lab.jp/y-fm/report/?year=2017&month=06&date=18
H,神戸,W,2,0,15,13,7,4,0,0,521,468,8,16,16,11,1,6,6,4,19,16,12,8,18,24,19,13,1,1,6,0,0,2,0,0,24,52,13,13,"112,955m","110,274m",153,177,116,103,12.9%,12.6%,51.6%,48.4%,https://www.football-lab.jp/y-fm/report/?year=2017&month=06&date=25
A,大宮,W,2,1,10,11,2,1,0,0,409,501,7,19,14,14,0,2,4,3,20,22,15,16,15,23,24,19,1,1,2,0,1,1,0,0,23,48,10,10,"109,426m","111,310m",131,135,115,119,8.7%,9.2%,46.6%,53.4%,https://www.football-lab.jp/y-fm/report/?year=2017&month=07&date=01
H,広島,D,1,1,12,9,6,4,0,0,608,606,11,24,7,14,1,0,2,6,16,11,12,21,9,19,22,19,2,2,0,1,2,0,0,0,63,60,12,11,"109,146m","113,500m",110,89,101,105,11.9%,8.6%,49.5%,50.5%,https://www.football-lab.jp/y-fm/report/?year=2017&month=07&date=08
H,清水,D,2,2,18,18,6,5,1,0,589,321,20,9,9,13,0,1,8,5,24,20,16,6,13,15,9,28,0,0,1,0,2,1,0,0,45,30,14,13,"111,390m","111,911m",169,158,120,109,15.0%,16.5%,62.2%,37.8%,https://www.football-lab.jp/y-fm/report/?year=2017&month=07&date=29
A,新潟,W,2,0,13,16,4,3,0,0,420,372,14,12,17,16,0,0,5,5,22,28,16,16,19,22,31,35,2,0,0,0,2,3,0,0,36,40,12,14,"108,321m","109,226m",144,133,120,121,10.8%,13.2%,52.6%,47.4%,https://www.football-lab.jp/y-fm/report/?year=2017&month=08&date=05
