HOME/AWAY,Opponent,勝敗,g-os_得点,g-os_失点,g-os_シュート,Opponent_シュート,g-os_枠内シュート,Opponent_枠内シュート,g-os_PKによるシュート,Opponent_PKによるシュート,g-os_パス,Opponent_パス,g-os_クロス,Opponent_クロス,g-os_直接ＦＫ,Opponent_直接ＦＫ,g-os_間接ＦＫ,Opponent_間接ＦＫ,g-os_ＣＫ,Opponent_ＣＫ,g-os_スローイン,Opponent_スローイン,g-os_ドリブル,Opponent_ドリブル,g-os_タックル,Opponent_タックル,g-os_クリア,Opponent_クリア,g-os_インターセプト,Opponent_インターセプト,g-os_オフサイド,Opponent_オフサイド,g-os_警告,Opponent_警告,g-os_退場,Opponent_退場,g-os_３０ｍライン進入,Opponent_３０ｍライン進入,g-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,g-os_総移動距離,Opponent_総移動距離,g-os_スプリント,Opponent_スプリント,g-os_攻撃回数,Opponent_攻撃回数,g-os_チャンス構築率,Opponent_チャンス構築率,g-os_ボール保持率,Opponent_ボール保持率,URL
H,甲府,D,1,1,17,8,7,1,0,0,752,383,18,7,10,8,0,4,6,0,31,20,11,6,14,21,11,26,4,1,4,0,0,0,0,0,59,29,16,6,"115,766m","117,143m",154,167,137,132,12.4%,6.1%,61.3%,38.7%,https://www.football-lab.jp/g-os/report/?year=2017&month=02&date=26
A,柏,W,3,1,15,11,9,4,1,0,489,567,18,15,10,14,1,4,2,4,18,24,19,17,33,20,25,18,1,2,4,1,1,1,0,0,48,34,15,12,"120,764m","115,347m",174,151,124,136,12.1%,8.1%,45.7%,54.3%,https://www.football-lab.jp/g-os/report/?year=2017&month=03&date=05
H,FC東京,W,3,0,10,15,4,6,0,1,471,494,16,18,15,16,1,1,3,7,16,28,12,13,29,17,23,14,5,2,1,1,3,0,0,0,35,41,15,11,"116,599m","114,839m",194,185,126,134,7.9%,11.2%,48.2%,51.8%,https://www.football-lab.jp/g-os/report/?year=2017&month=03&date=11
H,浦和,D,1,1,4,19,1,4,0,1,358,621,6,15,10,19,4,3,1,3,23,16,8,16,25,14,28,23,2,1,3,4,0,0,0,0,20,54,4,15,"112,789m","108,379m",171,155,117,123,3.4%,15.4%,42.2%,57.8%,https://www.football-lab.jp/g-os/report/?year=2017&month=03&date=19
A,新潟,W,3,2,14,10,4,4,0,1,640,282,13,11,14,14,5,1,8,4,13,25,12,12,14,24,19,19,2,3,1,5,1,2,0,0,49,27,14,11,"116,918m","118,287m",186,198,137,140,10.2%,7.1%,66.5%,33.5%,https://www.football-lab.jp/g-os/report/?year=2017&month=04&date=01
H,広島,L,0,1,16,10,8,3,0,0,676,537,16,7,11,12,0,3,8,1,13,10,15,14,29,23,13,24,7,1,3,0,0,1,0,0,70,34,20,7,"117,689m","113,230m",178,136,119,110,13.4%,9.1%,54.4%,45.6%,https://www.football-lab.jp/g-os/report/?year=2017&month=04&date=07
A,Ｃ大阪,D,2,2,9,16,3,5,0,0,439,479,7,20,9,12,1,2,4,5,21,33,5,12,15,16,24,14,5,4,2,0,0,1,0,0,38,58,11,15,"115,023m","113,159m",176,166,129,131,7.0%,12.2%,49.6%,50.4%,https://www.football-lab.jp/g-os/report/?year=2017&month=04&date=16
H,大宮,W,6,0,19,7,9,3,0,0,543,574,14,15,8,13,0,2,5,2,23,26,7,12,24,13,20,26,8,1,2,0,0,0,0,0,55,28,14,8,"125,468m","119,072m",212,149,134,142,14.2%,4.9%,50.1%,49.9%,https://www.football-lab.jp/g-os/report/?year=2017&month=04&date=21
A,横浜FM,W,1,0,11,12,4,3,0,0,511,403,19,20,8,23,1,0,7,4,22,32,11,10,24,17,29,17,3,3,0,0,3,0,0,0,54,27,15,12,"117,695m","113,114m",209,149,108,123,10.2%,9.8%,55.1%,44.9%,https://www.football-lab.jp/g-os/report/?year=2017&month=04&date=30
H,清水,D,1,1,15,13,3,7,0,0,648,386,7,13,11,16,4,3,5,1,24,19,14,9,23,14,23,22,2,5,3,4,2,0,0,0,42,34,15,12,"111,976m","109,791m",173,146,126,128,11.9%,10.2%,61.7%,38.3%,https://www.football-lab.jp/g-os/report/?year=2017&month=05&date=05
