HOME/AWAY,Opponent,勝敗,uraw_得点,uraw_失点,Opponent_シュート,uraw_シュート,Opponent_枠内シュート,uraw_枠内シュート,Opponent_PKによるシュート,uraw_PKによるシュート,Opponent_パス,uraw_パス,Opponent_クロス,uraw_クロス,Opponent_直接ＦＫ,uraw_直接ＦＫ,Opponent_間接ＦＫ,uraw_間接ＦＫ,Opponent_ＣＫ,uraw_ＣＫ,Opponent_スローイン,uraw_スローイン,Opponent_ドリブル,uraw_ドリブル,Opponent_タックル,uraw_タックル,Opponent_クリア,uraw_クリア,Opponent_インターセプト,uraw_インターセプト,Opponent_オフサイド,uraw_オフサイド,Opponent_警告,uraw_警告,Opponent_退場,uraw_退場,Opponent_３０ｍライン進入,uraw_３０ｍライン進入,Opponent_ペナルティエリア進入,uraw_ペナルティエリア進入,Opponent_総移動距離,uraw_総移動距離,Opponent_スプリント,uraw_スプリント,Opponent_攻撃回数,uraw_攻撃回数,Opponent_チャンス構築率,uraw_チャンス構築率,Opponent_ボール保持率,uraw_ボール保持率,URL
A,横浜FM,L,2,3,16,17,8,10,0,0,268,738,8,20,14,18,2,3,3,5,16,25,14,20,21,21,18,14,1,3,3,1,3,2,0,0,25,66,17,17,"115,143m","115,113m",173,151,108,115,14.8%,14.8%,34.4%,65.6%,https://www.football-lab.jp/uraw/report/?year=2017&month=02&date=25
H,Ｃ大阪,W,3,1,8,11,1,5,0,0,319,740,7,13,10,10,3,5,2,2,20,27,4,23,27,17,17,15,8,8,5,3,0,1,0,0,21,67,6,14,"116,234m","115,716m",178,151,135,138,5.9%,8.0%,34.3%,65.7%,https://www.football-lab.jp/uraw/report/?year=2017&month=03&date=04
H,甲府,W,4,1,9,15,3,9,0,0,324,776,6,16,12,12,1,5,1,3,18,18,14,14,26,17,21,19,6,5,5,1,0,1,0,0,25,59,8,20,"118,621m","118,235m",187,177,129,135,7.0%,11.1%,32.5%,67.5%,https://www.football-lab.jp/uraw/report/?year=2017&month=03&date=10
A,Ｇ大阪,D,1,1,4,19,1,4,0,1,358,621,6,15,10,19,4,3,1,3,23,16,8,16,25,14,28,23,2,1,3,4,0,0,0,0,20,54,4,15,"112,789m","108,379m",171,155,117,123,3.4%,15.4%,42.2%,57.8%,https://www.football-lab.jp/uraw/report/?year=2017&month=03&date=19
A,神戸,W,3,1,11,13,3,7,0,0,298,595,7,14,15,17,3,2,4,5,16,22,6,16,26,18,25,18,3,2,2,3,2,1,0,0,25,42,12,15,"108,274m","114,465m",167,167,115,121,9.6%,10.7%,37.6%,62.4%,https://www.football-lab.jp/uraw/report/?year=2017&month=04&date=01
H,仙台,W,7,0,9,19,1,8,0,1,430,586,13,13,11,14,2,2,3,6,13,19,9,5,15,18,18,13,3,1,2,2,3,1,0,0,31,45,11,20,"117,425m","116,953m",181,196,101,113,8.9%,16.8%,44.4%,55.6%,https://www.football-lab.jp/uraw/report/?year=2017&month=04&date=07
A,FC東京,W,1,0,11,13,1,5,0,0,492,457,22,10,16,19,2,3,1,6,25,17,6,12,14,24,19,27,3,6,2,2,0,0,0,0,50,35,11,15,"120,311m","116,536m",198,161,129,138,8.5%,9.4%,50.7%,49.3%,https://www.football-lab.jp/uraw/report/?year=2017&month=04&date=16
H,札幌,W,3,2,7,23,3,11,0,1,321,652,7,9,6,14,1,6,3,6,19,18,6,16,26,12,32,12,3,2,6,1,2,2,0,0,21,69,8,19,"113,753m","107,234m",177,149,116,118,6.0%,19.5%,36%,64%,https://www.football-lab.jp/uraw/report/?year=2017&month=04&date=22
A,大宮,L,0,1,9,22,2,3,0,0,231,629,8,23,10,18,1,0,3,6,15,27,16,26,17,21,47,19,1,1,0,1,1,1,0,0,16,65,8,21,"110,600m","108,825m",136,145,113,121,8.0%,18.2%,34.4%,65.6%,https://www.football-lab.jp/uraw/report/?year=2017&month=04&date=30
H,鹿島,L,0,1,11,13,3,2,0,0,214,517,4,10,21,14,3,3,3,6,12,27,7,25,35,30,25,17,7,2,3,3,1,3,0,0,23,50,13,14,"105,821m","106,978m",167,180,121,128,9.1%,10.2%,35.6%,64.4%,https://www.football-lab.jp/uraw/report/?year=2017&month=05&date=04
A,新潟,W,6,1,18,19,5,9,0,0,334,557,14,9,15,20,3,3,7,5,20,20,17,7,23,28,26,16,1,5,3,3,1,1,0,0,33,42,14,12,"113,171m","109,247m",173,162,126,129,14.3%,14.7%,39.1%,60.9%,https://www.football-lab.jp/uraw/report/?year=2017&month=05&date=14
H,清水,D,3,3,21,20,9,6,0,0,281,631,8,19,14,11,5,3,2,10,12,28,10,20,22,16,35,17,0,3,3,5,1,1,0,0,26,61,11,25,"112,169m","112,466m",173,188,115,127,18.3%,15.7%,34.8%,65.2%,https://www.football-lab.jp/uraw/report/?year=2017&month=05&date=20
A,柏,L,0,1,10,15,4,3,0,1,423,429,10,19,21,18,6,3,5,6,13,28,12,22,21,18,23,12,4,2,2,6,2,1,0,0,35,38,11,15,"116,200m","111,871m",188,144,130,139,7.7%,10.8%,48.9%,51.1%,https://www.football-lab.jp/uraw/report/?year=2017&month=06&date=04
