HOME/AWAY,Opponent,勝敗,shim_得点,shim_失点,shim_シュート,Opponent_シュート,shim_枠内シュート,Opponent_枠内シュート,shim_PKによるシュート,Opponent_PKによるシュート,shim_パス,Opponent_パス,shim_クロス,Opponent_クロス,shim_直接ＦＫ,Opponent_直接ＦＫ,shim_間接ＦＫ,Opponent_間接ＦＫ,shim_ＣＫ,Opponent_ＣＫ,shim_スローイン,Opponent_スローイン,shim_ドリブル,Opponent_ドリブル,shim_タックル,Opponent_タックル,shim_クリア,Opponent_クリア,shim_インターセプト,Opponent_インターセプト,shim_オフサイド,Opponent_オフサイド,shim_警告,Opponent_警告,shim_退場,Opponent_退場,shim_３０ｍライン進入,Opponent_３０ｍライン進入,shim_ペナルティエリア進入,Opponent_ペナルティエリア進入,shim_総移動距離,Opponent_総移動距離,shim_スプリント,Opponent_スプリント,shim_攻撃回数,Opponent_攻撃回数,shim_チャンス構築率,Opponent_チャンス構築率,shim_ボール保持率,Opponent_ボール保持率,URL
H,神戸,L,0,1,7,11,3,6,0,0,463,499,13,7,13,15,1,2,2,7,35,20,9,10,27,23,22,21,1,2,2,1,3,1,0,0,26,35,9,12,"118,350m","110,760m",153,162,136,128,5.1%,8.6%,49.8%,50.2%,https://www.football-lab.jp/shim/report/?year=2017&month=02&date=25
A,広島,W,1,0,10,13,3,2,1,0,396,738,17,16,4,6,1,1,4,4,14,27,8,22,29,22,22,15,2,5,1,1,0,0,0,0,36,70,16,8,"114,802m","108,890m",160,96,114,122,8.8%,10.7%,36.3%,63.7%,https://www.football-lab.jp/shim/report/?year=2017&month=03&date=04
A,新潟,W,2,0,13,11,4,2,0,0,639,350,18,10,15,12,3,0,2,2,22,28,18,14,34,35,37,20,1,3,0,3,0,0,0,0,64,42,11,10,"118,999m","118,508m",175,187,134,134,9.7%,8.2%,59.1%,40.9%,https://www.football-lab.jp/shim/report/?year=2017&month=03&date=11
H,鹿島,L,2,3,15,13,7,5,0,0,358,622,12,14,10,12,4,0,4,7,17,25,9,12,26,28,25,15,2,2,0,4,2,2,0,0,26,51,10,15,"122,587m","112,473m",165,147,122,140,12.3%,9.3%,37.8%,62.2%,https://www.football-lab.jp/shim/report/?year=2017&month=03&date=18
A,磐田,L,1,3,16,11,4,6,0,0,641,435,30,7,12,13,1,1,12,2,27,12,23,9,21,19,14,23,2,3,1,1,2,1,0,0,50,30,16,6,"120,511m","125,156m",162,162,143,128,11.2%,8.6%,57.3%,42.7%,https://www.football-lab.jp/shim/report/?year=2017&month=04&date=01
A,柏,W,2,0,9,20,2,4,0,0,318,702,10,19,8,10,0,7,2,8,21,33,7,19,20,17,42,16,2,2,7,0,1,1,0,0,27,49,9,19,"117,958m","117,834m",144,145,121,141,7.4%,14.2%,37%,63%,https://www.football-lab.jp/shim/report/?year=2017&month=04&date=08
H,大宮,D,1,1,17,14,6,3,0,0,548,371,30,9,9,4,1,4,5,7,31,24,21,15,25,18,22,36,2,3,5,1,0,0,0,0,58,35,18,14,"114,984m","113,023m",155,151,139,134,12.2%,10.4%,56.7%,43.3%,https://www.football-lab.jp/shim/report/?year=2017&month=04&date=16
A,川崎Ｆ,D,2,2,12,16,4,2,0,0,310,979,9,17,10,8,3,2,3,4,22,18,8,21,25,23,23,20,5,3,2,3,0,1,0,0,26,82,5,18,"119,199m","116,383m",151,144,117,115,10.3%,13.9%,31.9%,68.1%,https://www.football-lab.jp/shim/report/?year=2017&month=04&date=21
H,仙台,L,0,3,15,6,4,4,0,1,559,397,25,10,18,8,1,1,5,2,24,25,9,7,14,28,12,24,1,3,1,1,0,2,0,0,41,27,16,7,"112,781m","113,318m",153,151,137,128,10.9%,4.7%,54.8%,45.2%,https://www.football-lab.jp/shim/report/?year=2017&month=04&date=30
A,Ｇ大阪,D,1,1,13,15,7,3,0,0,386,648,13,7,16,11,3,4,1,5,19,24,9,14,14,23,22,23,5,2,4,3,0,2,0,0,34,42,12,15,"109,791m","111,976m",146,173,128,126,10.2%,11.9%,38.3%,61.7%,https://www.football-lab.jp/shim/report/?year=2017&month=05&date=05
