HOME/AWAY,Opponent,勝敗,kofu_得点,kofu_失点,Opponent_シュート,kofu_シュート,Opponent_枠内シュート,kofu_枠内シュート,Opponent_PKによるシュート,kofu_PKによるシュート,Opponent_パス,kofu_パス,Opponent_クロス,kofu_クロス,Opponent_直接ＦＫ,kofu_直接ＦＫ,Opponent_間接ＦＫ,kofu_間接ＦＫ,Opponent_ＣＫ,kofu_ＣＫ,Opponent_スローイン,kofu_スローイン,Opponent_ドリブル,kofu_ドリブル,Opponent_タックル,kofu_タックル,Opponent_クリア,kofu_クリア,Opponent_インターセプト,kofu_インターセプト,Opponent_オフサイド,kofu_オフサイド,Opponent_警告,kofu_警告,Opponent_退場,kofu_退場,Opponent_３０ｍライン進入,kofu_３０ｍライン進入,Opponent_ペナルティエリア進入,kofu_ペナルティエリア進入,Opponent_総移動距離,kofu_総移動距離,Opponent_スプリント,kofu_スプリント,Opponent_攻撃回数,kofu_攻撃回数,Opponent_チャンス構築率,kofu_チャンス構築率,Opponent_ボール保持率,kofu_ボール保持率,URL
H,柏,D,0,0,14,7,4,3,0,0,639,251,23,14,16,17,2,4,6,4,23,24,12,14,12,13,21,24,1,1,4,2,2,3,0,0,57,29,16,6,"117,006m","118,538m",215,206,125,131,11.2%,5.3%,62%,38%,https://www.football-lab.jp/kofu/report/?year=2017&month=06&date=17
A,清水,L,0,1,9,8,4,1,0,0,321,471,12,18,10,16,2,2,4,4,27,28,13,11,16,20,41,14,1,2,2,2,2,1,0,0,31,42,8,12,"105,234m","104,997m",146,141,121,126,7.4%,6.3%,43.4%,56.6%,https://www.football-lab.jp/kofu/report/?year=2017&month=06&date=25
H,鳥栖,D,0,0,11,17,2,6,0,0,629,309,23,18,8,7,2,3,3,5,22,29,15,11,14,25,29,21,0,1,3,2,1,0,0,0,47,36,14,16,"113,502m","113,759m",144,176,124,128,8.9%,13.3%,61.9%,38.1%,https://www.football-lab.jp/kofu/report/?year=2017&month=07&date=02
A,磐田,L,0,1,7,11,2,0,0,0,497,469,10,14,13,14,2,4,4,4,16,17,8,12,13,14,28,16,2,2,4,2,2,0,0,0,33,36,8,15,"107,902m","106,797m",142,165,105,108,6.7%,10.2%,49.7%,50.3%,https://www.football-lab.jp/kofu/report/?year=2017&month=07&date=08
A,鹿島,L,0,3,13,10,4,3,0,0,617,324,19,11,11,16,5,3,1,0,20,27,16,14,23,15,12,22,3,2,4,5,1,1,0,0,55,25,17,8,"106,978m","108,766m",168,168,116,123,11.2%,8.1%,61.6%,38.4%,https://www.football-lab.jp/kofu/report/?year=2017&month=07&date=29
H,Ｇ大阪,W,1,0,13,14,1,4,0,0,560,413,18,25,12,7,1,0,4,2,21,24,7,11,15,12,18,28,2,2,0,1,1,1,0,0,46,44,6,11,"107,267m","110,023m",145,138,104,106,12.5%,13.2%,56%,44%,https://www.football-lab.jp/kofu/report/?year=2017&month=08&date=05
H,浦和,L,0,1,8,8,3,2,0,0,480,371,12,15,17,15,2,1,8,3,20,12,15,10,12,13,21,25,1,0,1,2,3,1,0,0,33,28,9,9,"107,681m","106,516m",137,140,112,108,7.1%,7.4%,55.9%,44.1%,https://www.football-lab.jp/kofu/report/?year=2017&month=08&date=09
A,札幌,D,1,1,6,14,2,4,0,0,528,565,12,33,8,10,0,2,2,6,13,18,4,23,22,17,32,14,5,4,2,0,1,0,0,0,49,76,11,17,"110,108m","109,941m",124,140,102,100,5.9%,14.0%,50%,50%,https://www.football-lab.jp/kofu/report/?year=2017&month=08&date=13
A,広島,L,0,1,12,7,4,3,0,0,583,551,25,15,12,4,0,4,3,0,19,18,14,8,15,13,11,23,3,1,4,0,2,1,0,0,54,44,10,7,"116,414m","113,882m",117,123,104,96,11.5%,7.3%,53.1%,46.9%,https://www.football-lab.jp/kofu/report/?year=2017&month=08&date=19
H,川崎Ｆ,D,2,2,9,18,6,5,1,0,776,372,21,13,6,7,1,3,3,4,23,14,15,11,12,20,21,24,1,0,3,1,1,1,0,0,62,43,19,15,"105,642m","108,905m",142,142,104,107,8.7%,16.8%,61%,39%,https://www.football-lab.jp/kofu/report/?year=2017&month=08&date=27
H,清水,L,0,1,6,20,1,2,0,0,371,485,8,21,14,14,1,1,1,8,19,23,11,13,19,15,31,11,1,1,1,1,3,1,0,0,26,42,6,19,"109,152m","108,170m",152,129,122,137,4.9%,14.6%,46.2%,53.8%,https://www.football-lab.jp/kofu/report/?year=2017&month=09&date=09
A,鳥栖,L,1,2,20,12,7,2,0,0,587,262,36,16,9,14,3,2,8,5,21,15,18,12,11,28,29,39,2,3,2,2,4,3,0,1,51,26,26,12,"111,738m","109,246m",180,164,113,112,17.7%,10.7%,61.9%,38.1%,https://www.football-lab.jp/kofu/report/?year=2017&month=09&date=16
H,横浜FM,W,3,2,19,7,4,4,0,1,650,266,25,7,17,5,2,2,5,2,35,14,18,9,15,25,15,42,0,3,2,1,1,1,0,0,78,25,17,6,"106,930m","108,715m",140,164,117,96,16.2%,7.3%,64.9%,35.1%,https://www.football-lab.jp/kofu/report/?year=2017&month=09&date=23
A,柏,W,1,0,20,15,4,4,0,0,626,240,24,11,8,14,4,8,6,4,30,21,19,13,14,19,17,32,1,3,8,3,2,1,0,0,63,35,16,9,"106,654m","109,827m",139,152,128,119,15.6%,12.6%,64.9%,35.1%,https://www.football-lab.jp/kofu/report/?year=2017&month=09&date=30
H,FC東京,D,1,1,11,14,4,4,0,0,611,365,13,15,17,11,4,4,3,3,13,19,10,17,18,16,23,22,3,4,4,4,0,2,1,0,43,36,7,10,"104,818m","108,712m",144,137,120,116,9.2%,12.1%,60.2%,39.8%,https://www.football-lab.jp/kofu/report/?year=2017&month=10&date=15
A,Ｃ大阪,L,0,2,13,11,3,2,1,0,495,481,11,18,13,11,3,3,3,10,19,19,14,22,21,24,31,20,3,3,3,3,2,1,0,0,47,46,12,7,"108,852m","107,870m",150,141,123,131,10.6%,8.4%,48.4%,51.6%,https://www.football-lab.jp/kofu/report/?year=2017&month=10&date=21
H,神戸,L,2,3,10,14,3,2,0,0,458,348,23,18,10,10,0,3,2,8,27,29,13,14,21,20,44,23,4,1,3,0,0,1,0,0,40,30,8,16,"108,331m","107,460m",171,167,140,163,7.1%,8.6%,55.8%,44.2%,https://www.football-lab.jp/kofu/report/?year=2017&month=10&date=29
A,新潟,L,0,1,12,14,3,2,0,0,371,459,9,26,9,12,3,1,3,10,28,39,16,21,30,27,50,23,5,2,1,3,0,0,0,0,42,53,11,18,"117,912m","117,273m",183,168,137,167,8.8%,8.4%,48.3%,51.7%,https://www.football-lab.jp/kofu/report/?year=2017&month=11&date=18
A,大宮,D,0,0,9,12,1,2,0,0,440,340,27,17,10,12,2,7,3,6,29,26,20,21,31,21,33,41,1,4,7,2,3,1,0,0,40,43,10,15,"111,444m","109,666m",157,198,138,138,6.5%,8.7%,55.3%,44.7%,https://www.football-lab.jp/kofu/report/?year=2017&month=11&date=26
H,仙台,W,1,0,15,25,4,3,0,0,539,299,15,14,17,10,1,1,4,8,18,25,11,16,27,27,31,22,0,6,1,0,1,4,0,1,46,52,17,21,"111,951m","112,955m",160,198,125,133,12.0%,18.8%,60.6%,39.4%,https://www.football-lab.jp/kofu/report/?year=2017&month=12&date=02
