HOME/AWAY,Opponent,勝敗,kofu_得点,kofu_失点,Opponent_シュート,kofu_シュート,Opponent_枠内シュート,kofu_枠内シュート,Opponent_PKによるシュート,kofu_PKによるシュート,Opponent_パス,kofu_パス,Opponent_クロス,kofu_クロス,Opponent_直接ＦＫ,kofu_直接ＦＫ,Opponent_間接ＦＫ,kofu_間接ＦＫ,Opponent_ＣＫ,kofu_ＣＫ,Opponent_スローイン,kofu_スローイン,Opponent_ドリブル,kofu_ドリブル,Opponent_タックル,kofu_タックル,Opponent_クリア,kofu_クリア,Opponent_インターセプト,kofu_インターセプト,Opponent_オフサイド,kofu_オフサイド,Opponent_警告,kofu_警告,Opponent_退場,kofu_退場,Opponent_３０ｍライン進入,kofu_３０ｍライン進入,Opponent_ペナルティエリア進入,kofu_ペナルティエリア進入,Opponent_総移動距離,kofu_総移動距離,Opponent_スプリント,kofu_スプリント,Opponent_攻撃回数,kofu_攻撃回数,Opponent_チャンス構築率,kofu_チャンス構築率,Opponent_ボール保持率,kofu_ボール保持率,URL
A,Ｇ大阪,D,1,1,17,8,7,1,0,0,752,383,18,7,10,8,0,4,6,0,31,20,11,6,14,21,11,26,4,1,4,0,0,0,0,0,59,29,16,6,"115,766m","117,143m",154,167,137,132,12.4%,6.1%,61.3%,38.7%,https://www.football-lab.jp/kofu/report/?year=2017&month=02&date=26
H,鹿島,L,0,1,14,2,2,1,0,1,531,380,11,13,9,10,3,3,5,4,30,26,11,13,16,31,24,27,5,5,3,3,1,2,0,0,63,30,9,5,"110,149m","112,007m",174,176,138,138,10.1%,1.4%,53.9%,46.1%,https://www.football-lab.jp/kofu/report/?year=2017&month=03&date=04
A,浦和,L,1,4,15,9,9,3,0,0,776,324,16,6,12,12,5,1,3,1,18,18,14,14,17,26,19,21,5,6,1,5,1,0,0,0,59,25,20,8,"118,235m","118,621m",177,187,135,129,11.1%,7.0%,67.5%,32.5%,https://www.football-lab.jp/kofu/report/?year=2017&month=03&date=10
H,大宮,W,1,0,10,9,1,4,0,1,485,434,19,18,13,14,2,3,2,5,23,27,19,13,19,22,21,32,5,0,3,2,3,3,0,0,33,38,11,8,"113,646m","114,239m",191,207,133,132,7.5%,6.8%,51.9%,48.1%,https://www.football-lab.jp/kofu/report/?year=2017&month=03&date=18
H,札幌,W,2,0,7,8,2,3,0,0,561,351,31,13,3,11,2,2,6,4,27,30,21,9,19,16,22,37,1,6,2,2,2,1,0,0,51,20,14,7,"117,911m","114,386m",158,151,122,129,5.7%,6.2%,57.5%,42.5%,https://www.football-lab.jp/kofu/report/?year=2017&month=04&date=02
A,川崎Ｆ,D,1,1,18,8,8,3,0,0,711,299,19,9,16,10,4,4,7,5,28,19,18,8,12,23,18,31,0,3,4,4,2,3,0,0,76,30,21,7,"107,360m","106,645m",123,129,125,114,14.4%,7.0%,63.3%,36.7%,https://www.football-lab.jp/kofu/report/?year=2017&month=04&date=08
H,新潟,L,0,2,8,7,3,2,0,0,234,551,4,18,11,16,1,4,4,7,25,35,15,13,19,17,26,21,5,0,4,1,0,2,0,0,20,33,4,5,"113,202m","107,855m",174,178,121,141,6.6%,5.0%,35.7%,64.3%,https://www.football-lab.jp/kofu/report/?year=2017&month=04&date=16
H,Ｃ大阪,D,1,1,16,6,5,1,0,0,636,355,21,5,9,13,2,6,3,0,34,19,8,10,20,20,15,27,5,4,6,2,0,2,0,0,62,22,15,4,"114,101m","112,687m",162,146,135,132,11.9%,4.5%,60.2%,39.8%,https://www.football-lab.jp/kofu/report/?year=2017&month=04&date=22
A,神戸,W,1,0,23,9,7,2,0,0,687,326,23,10,14,11,1,3,6,1,34,15,17,11,19,29,7,26,0,0,3,1,2,1,0,0,88,27,26,4,"111,027m","114,616m",150,163,136,129,16.9%,7.0%,63%,37%,https://www.football-lab.jp/kofu/report/?year=2017&month=04&date=30
H,磐田,D,0,0,5,12,2,4,0,0,415,522,14,20,15,12,7,1,3,3,16,26,4,13,16,17,25,27,1,0,1,7,3,1,1,0,28,47,5,16,"109,980m","108,955m",134,169,105,121,4.8%,9.9%,44.1%,55.9%,https://www.football-lab.jp/kofu/report/?year=2017&month=05&date=07
A,横浜FM,L,0,1,10,10,4,5,0,0,458,314,10,18,15,17,3,2,4,5,25,33,15,18,22,21,26,27,4,5,2,0,1,3,0,0,44,31,7,10,"113,021m","107,416m",184,151,125,147,8.0%,6.8%,56.2%,43.8%,https://www.football-lab.jp/kofu/report/?year=2017&month=05&date=14
H,広島,L,1,2,12,5,7,1,0,0,552,460,8,14,17,9,0,1,7,4,16,18,10,8,23,17,21,16,1,0,1,0,0,1,0,0,44,37,13,7,"106,859m","107,835m",121,135,104,105,11.5%,4.8%,55.3%,44.7%,https://www.football-lab.jp/kofu/report/?year=2017&month=05&date=20
A,FC東京,D,1,1,9,5,4,2,0,0,528,457,21,19,13,9,4,6,6,3,20,20,10,11,22,15,19,28,2,5,6,4,0,0,0,0,50,41,14,5,"113,493m","110,210m",186,153,112,116,8.0%,4.3%,51.1%,48.9%,https://www.football-lab.jp/kofu/report/?year=2017&month=05&date=28
A,仙台,L,0,3,18,3,8,1,0,0,561,323,20,8,18,19,2,3,2,6,23,15,22,6,19,29,15,32,1,5,3,2,1,2,0,1,72,16,21,4,"111,579m","105,553m",164,155,142,139,12.7%,2.2%,59.2%,40.8%,https://www.football-lab.jp/kofu/report/?year=2017&month=06&date=04
