HOME/AWAY,Opponent,勝敗,kasw_得点,kasw_失点,Opponent_シュート,kasw_シュート,Opponent_枠内シュート,kasw_枠内シュート,Opponent_PKによるシュート,kasw_PKによるシュート,Opponent_パス,kasw_パス,Opponent_クロス,kasw_クロス,Opponent_直接ＦＫ,kasw_直接ＦＫ,Opponent_間接ＦＫ,kasw_間接ＦＫ,Opponent_ＣＫ,kasw_ＣＫ,Opponent_スローイン,kasw_スローイン,Opponent_ドリブル,kasw_ドリブル,Opponent_タックル,kasw_タックル,Opponent_クリア,kasw_クリア,Opponent_インターセプト,kasw_インターセプト,Opponent_オフサイド,kasw_オフサイド,Opponent_警告,kasw_警告,Opponent_退場,kasw_退場,Opponent_３０ｍライン進入,kasw_３０ｍライン進入,Opponent_ペナルティエリア進入,kasw_ペナルティエリア進入,Opponent_総移動距離,kasw_総移動距離,Opponent_スプリント,kasw_スプリント,Opponent_攻撃回数,kasw_攻撃回数,Opponent_チャンス構築率,kasw_チャンス構築率,Opponent_ボール保持率,kasw_ボール保持率,URL
A,鳥栖,W,3,1,7,13,4,6,0,2,429,444,10,16,18,11,3,6,4,7,18,19,15,15,24,20,25,24,1,1,6,3,2,0,0,0,35,37,9,14,"120,346m","114,556m",145,135,135,136,5.2%,9.6%,47.9%,52.1%,https://www.football-lab.jp/kasw/report/?year=2017&month=02&date=25
H,Ｇ大阪,L,1,3,15,11,9,4,1,0,489,567,18,15,10,14,1,4,2,4,18,24,19,17,33,20,25,18,1,2,4,1,1,1,0,0,48,34,15,12,"120,764m","115,347m",174,151,124,136,12.1%,8.1%,45.7%,54.3%,https://www.football-lab.jp/kasw/report/?year=2017&month=03&date=05
A,川崎Ｆ,L,1,2,15,12,6,8,0,0,712,458,12,15,11,8,4,7,7,9,21,22,9,17,29,26,27,17,4,5,7,4,2,2,0,1,54,37,14,13,"112,102m","115,720m",164,170,135,136,11.1%,8.8%,57.5%,42.5%,https://www.football-lab.jp/kasw/report/?year=2017&month=03&date=10
H,仙台,L,0,1,8,20,4,3,0,0,302,522,13,24,17,16,4,2,0,6,24,38,6,15,37,31,34,25,4,1,2,4,1,0,0,0,29,39,8,31,"115,981m","114,742m",196,183,134,148,6.0%,13.5%,42.6%,57.4%,https://www.football-lab.jp/kasw/report/?year=2017&month=03&date=18
A,広島,W,2,0,12,12,4,6,0,1,430,484,17,14,19,18,0,7,5,4,23,21,14,5,19,16,17,27,4,3,7,0,4,1,0,0,35,47,12,13,"109,797m","114,688m",125,188,130,122,9.2%,9.8%,48.2%,51.8%,https://www.football-lab.jp/kasw/report/?year=2017&month=04&date=01
H,清水,L,0,2,9,20,2,4,0,0,318,702,10,19,8,10,0,7,2,8,21,33,7,19,20,17,42,16,2,2,7,0,1,1,0,0,27,49,9,19,"117,958m","117,834m",144,145,121,141,7.4%,14.2%,37%,63%,https://www.football-lab.jp/kasw/report/?year=2017&month=04&date=08
A,神戸,W,2,1,11,13,5,5,0,0,412,461,13,14,17,16,4,5,1,6,24,26,11,11,18,23,24,19,1,3,5,4,3,3,1,0,43,41,14,13,"108,504m","115,982m",192,195,134,144,8.2%,9.0%,48.9%,51.1%,https://www.football-lab.jp/kasw/report/?year=2017&month=04&date=16
H,横浜FM,W,2,0,6,11,2,7,0,1,489,481,6,17,25,7,3,2,0,4,32,43,17,15,20,31,25,30,0,3,2,2,0,2,0,0,29,45,4,10,"118,798m","117,642m",144,176,147,140,4.1%,7.9%,51.2%,48.8%,https://www.football-lab.jp/kasw/report/?year=2017&month=04&date=22
A,新潟,W,1,0,16,14,8,4,0,0,383,430,20,16,10,13,3,3,3,2,33,23,9,16,25,31,22,49,1,4,3,2,3,1,0,0,39,49,19,5,"115,639m","112,924m",190,180,141,144,11.3%,9.7%,47.4%,52.6%,https://www.football-lab.jp/kasw/report/?year=2017&month=04&date=30
H,Ｃ大阪,W,1,0,9,9,3,4,0,0,468,445,13,14,10,11,2,3,4,1,22,29,8,15,26,20,17,22,4,2,3,1,1,0,0,0,38,36,13,11,"112,310m","112,835m",157,167,141,138,6.4%,6.5%,50.5%,49.5%,https://www.football-lab.jp/kasw/report/?year=2017&month=05&date=06
