HOME/AWAY,Opponent,勝敗,kobe_得点,kobe_失点,Opponent_シュート,kobe_シュート,Opponent_枠内シュート,kobe_枠内シュート,Opponent_PKによるシュート,kobe_PKによるシュート,Opponent_パス,kobe_パス,Opponent_クロス,kobe_クロス,Opponent_直接ＦＫ,kobe_直接ＦＫ,Opponent_間接ＦＫ,kobe_間接ＦＫ,Opponent_ＣＫ,kobe_ＣＫ,Opponent_スローイン,kobe_スローイン,Opponent_ドリブル,kobe_ドリブル,Opponent_タックル,kobe_タックル,Opponent_クリア,kobe_クリア,Opponent_インターセプト,kobe_インターセプト,Opponent_オフサイド,kobe_オフサイド,Opponent_警告,kobe_警告,Opponent_退場,kobe_退場,Opponent_３０ｍライン進入,kobe_３０ｍライン進入,Opponent_ペナルティエリア進入,kobe_ペナルティエリア進入,Opponent_総移動距離,kobe_総移動距離,Opponent_スプリント,kobe_スプリント,Opponent_攻撃回数,kobe_攻撃回数,Opponent_チャンス構築率,kobe_チャンス構築率,Opponent_ボール保持率,kobe_ボール保持率,URL
A,清水,W,1,0,7,11,3,6,0,0,463,499,13,7,13,15,1,2,2,7,35,20,9,10,27,23,22,21,1,2,2,1,3,1,0,0,26,35,9,12,"118,350m","110,760m",153,162,136,128,5.1%,8.6%,49.8%,50.2%,https://www.football-lab.jp/kobe/report/?year=2017&month=02&date=25
H,新潟,W,2,1,17,14,6,5,0,0,418,469,11,12,14,9,1,4,6,3,23,35,12,15,17,17,29,23,0,4,4,0,2,0,0,0,37,46,14,13,"117,857m","110,019m",152,144,125,128,13.6%,10.9%,49.5%,50.5%,https://www.football-lab.jp/kobe/report/?year=2017&month=03&date=04
A,仙台,W,2,0,13,12,2,2,0,0,555,364,23,10,19,13,2,2,6,1,23,20,13,10,23,23,22,24,6,1,2,2,1,2,0,0,45,39,18,13,"122,472m","115,341m",177,147,138,127,9.4%,9.4%,58.2%,41.8%,https://www.football-lab.jp/kobe/report/?year=2017&month=03&date=11
H,磐田,W,1,0,7,13,1,5,0,0,481,481,23,9,13,5,4,3,4,4,14,32,13,5,29,22,18,21,7,5,3,4,0,0,0,0,42,41,7,10,"118,711m","111,096m",178,150,109,113,6.4%,11.5%,48.7%,51.3%,https://www.football-lab.jp/kobe/report/?year=2017&month=03&date=18
H,浦和,L,1,3,13,11,7,3,0,0,595,298,14,7,17,15,2,3,5,4,22,16,16,6,18,26,18,25,2,3,3,2,1,2,0,0,42,25,15,12,"114,465m","108,274m",167,167,121,115,10.7%,9.6%,62.4%,37.6%,https://www.football-lab.jp/kobe/report/?year=2017&month=04&date=01
A,大宮,W,2,0,6,21,2,5,0,0,527,504,9,12,9,11,7,3,3,5,23,19,8,14,23,16,27,23,2,7,3,6,1,0,0,0,25,51,7,21,"117,776m","112,717m",170,177,125,123,4.8%,17.1%,51.2%,48.8%,https://www.football-lab.jp/kobe/report/?year=2017&month=04&date=08
H,柏,L,1,2,13,11,5,5,0,0,461,412,14,13,16,17,5,4,6,1,26,24,11,11,23,18,19,24,3,1,4,5,3,3,0,1,41,43,13,14,"115,982m","108,504m",195,192,144,134,9.0%,8.2%,51.1%,48.9%,https://www.football-lab.jp/kobe/report/?year=2017&month=04&date=16
A,鳥栖,L,0,1,9,21,3,4,0,0,360,615,17,16,18,14,5,2,4,8,11,19,8,11,19,20,38,19,2,1,2,5,1,2,0,0,39,68,12,21,"121,080m","113,083m",174,139,117,131,7.7%,16.0%,38.6%,61.4%,https://www.football-lab.jp/kobe/report/?year=2017&month=04&date=22
H,甲府,L,0,1,9,23,2,7,0,0,326,687,10,23,11,14,3,1,1,6,15,34,11,17,29,19,26,7,0,0,1,3,1,2,0,0,27,88,4,26,"114,616m","111,027m",163,150,129,136,7.0%,16.9%,37%,63%,https://www.football-lab.jp/kobe/report/?year=2017&month=04&date=30
A,広島,D,1,1,16,10,5,3,0,0,736,499,12,9,17,11,2,4,1,3,12,9,19,8,20,24,16,13,3,1,4,2,0,1,0,0,43,54,9,10,"118,006m","116,823m",170,173,107,103,15.0%,9.7%,60%,40%,https://www.football-lab.jp/kobe/report/?year=2017&month=05&date=06
