HOME/AWAY,Opponent,勝敗,y-fc_得点,y-fc_失点,Opponent_ゴール期待値,y-fc_ゴール期待値,Opponent_シュート,y-fc_シュート,Opponent_枠内シュート,y-fc_枠内シュート,Opponent_PKによるシュート,y-fc_PKによるシュート,Opponent_パス,y-fc_パス,Opponent_クロス,y-fc_クロス,Opponent_直接ＦＫ,y-fc_直接ＦＫ,Opponent_間接ＦＫ,y-fc_間接ＦＫ,Opponent_ＣＫ,y-fc_ＣＫ,Opponent_スローイン,y-fc_スローイン,Opponent_ドリブル,y-fc_ドリブル,Opponent_タックル,y-fc_タックル,Opponent_クリア,y-fc_クリア,Opponent_インターセプト,y-fc_インターセプト,Opponent_オフサイド,y-fc_オフサイド,Opponent_警告,y-fc_警告,Opponent_退場,y-fc_退場,Opponent_３０ｍライン進入,y-fc_３０ｍライン進入,Opponent_ペナルティエリア進入,y-fc_ペナルティエリア進入,Opponent_総移動距離,y-fc_総移動距離,Opponent_スプリント,y-fc_スプリント,Opponent_攻撃回数,y-fc_攻撃回数,Opponent_チャンス構築率,y-fc_チャンス構築率,Opponent_ボール保持率,y-fc_ボール保持率,URL
A,湘南,L,0,1,0.656,1.916,10,17,4,4,0,0,343,614,15,16,12,11,0,0,2,6,24,22,15,9,28,22,17,15,4,1,0,0,1,1,0,0,24,32,9,11,"115,299m","114,224m",168,164,113,114,8.8%,14.9%,37.8%,62.2%,https://www.football-lab.jp/y-fc/report/?year=2020&month=10&date=31
H,大分,L,2,3,1.523,1.307,17,8,4,4,0,0,558,415,31,6,3,8,0,1,13,1,19,19,8,11,15,6,12,31,1,0,1,0,0,1,0,0,53,29,17,5,"118,100m","119,679m",179,184,90,82,18.9%,9.8%,54.7%,45.3%,https://www.football-lab.jp/y-fc/report/?year=2020&month=11&date=03
H,神戸,W,2,1,1.177,0.85,11,12,2,3,0,0,679,444,10,8,12,7,2,2,6,3,18,17,10,5,25,11,18,17,1,2,2,2,1,1,0,0,45,34,11,10,"115,658m","122,294m",175,192,101,92,10.9%,13.0%,57.6%,42.4%,https://www.football-lab.jp/y-fc/report/?year=2020&month=11&date=08
A,広島,D,1,1,1.238,1.301,16,7,3,2,0,0,420,528,10,15,12,10,3,1,8,8,22,18,10,11,19,17,21,21,3,2,1,3,0,2,0,0,40,40,9,9,"117,213m","119,584m",192,192,114,120,14.0%,5.8%,42.8%,57.2%,https://www.football-lab.jp/y-fc/report/?year=2020&month=11&date=14
H,清水,L,1,3,0.838,0.889,11,14,5,2,0,0,381,660,7,22,10,9,2,1,2,6,22,25,6,13,17,9,33,10,3,2,1,2,0,0,0,0,29,56,7,11,"128,224m","126,624m",189,177,107,109,10.3%,12.8%,38.2%,61.8%,https://www.football-lab.jp/y-fc/report/?year=2020&month=11&date=25
A,Ｃ大阪,L,0,1,1.217,0.671,11,12,4,1,0,0,515,591,18,13,13,6,0,0,6,2,13,22,14,6,23,16,24,16,1,2,0,0,0,1,0,0,47,63,11,13,"116,694m","118,452m",114,148,108,100,10.2%,12.0%,48.6%,51.4%,https://www.football-lab.jp/y-fc/report/?year=2020&month=11&date=29
H,鳥栖,D,1,1,2.01,1.478,13,15,5,4,0,0,556,553,20,16,11,9,6,3,2,1,20,26,9,11,15,19,27,31,2,0,3,6,0,0,0,0,51,44,16,14,"131,438m","129,270m",168,180,115,118,11.3%,12.7%,49.6%,50.4%,https://www.football-lab.jp/y-fc/report/?year=2020&month=12&date=05
A,名古屋,D,0,0,1.288,0.995,16,10,3,3,0,0,427,518,17,11,14,8,1,0,3,5,15,12,12,12,23,18,14,15,2,1,0,1,0,1,1,0,56,42,12,7,"110,652m","114,021m",112,125,106,100,15.1%,10.0%,47.2%,52.8%,https://www.football-lab.jp/y-fc/report/?year=2020&month=12&date=12
H,Ｇ大阪,L,0,2,2.138,1.683,13,16,9,4,0,0,364,706,5,12,9,14,3,1,6,3,21,13,5,11,20,14,18,18,2,2,1,3,1,0,0,0,28,51,6,12,"124,545m","126,910m",167,164,112,107,11.6%,15.0%,34.9%,65.1%,https://www.football-lab.jp/y-fc/report/?year=2020&month=12&date=16
H,横浜FM,W,3,1,3.665,1.629,27,13,7,8,0,0,693,324,26,7,11,14,2,1,4,6,16,19,12,8,15,18,15,32,4,4,1,2,2,1,0,0,82,23,17,8,"124,932m","123,353m",196,184,114,115,23.7%,11.3%,60.5%,39.5%,https://www.football-lab.jp/y-fc/report/?year=2020&month=12&date=19
