HOME/AWAY,Opponent,勝敗,g-os_得点,g-os_失点,Opponent_ゴール期待値,g-os_ゴール期待値,Opponent_シュート,g-os_シュート,Opponent_枠内シュート,g-os_枠内シュート,Opponent_PKによるシュート,g-os_PKによるシュート,Opponent_パス,g-os_パス,Opponent_クロス,g-os_クロス,Opponent_直接ＦＫ,g-os_直接ＦＫ,Opponent_間接ＦＫ,g-os_間接ＦＫ,Opponent_ＣＫ,g-os_ＣＫ,Opponent_スローイン,g-os_スローイン,Opponent_ドリブル,g-os_ドリブル,Opponent_タックル,g-os_タックル,Opponent_クリア,g-os_クリア,Opponent_インターセプト,g-os_インターセプト,Opponent_オフサイド,g-os_オフサイド,Opponent_警告,g-os_警告,Opponent_退場,g-os_退場,Opponent_３０ｍライン進入,g-os_３０ｍライン進入,Opponent_ペナルティエリア進入,g-os_ペナルティエリア進入,Opponent_総移動距離,g-os_総移動距離,Opponent_スプリント,g-os_スプリント,Opponent_攻撃回数,g-os_攻撃回数,Opponent_チャンス構築率,g-os_チャンス構築率,Opponent_ボール保持率,g-os_ボール保持率,URL
A,横浜FM,W,2,1,1.846,1.383,20,10,4,6,0,0,764,283,29,10,9,7,3,4,5,6,41,19,20,11,24,29,18,53,1,1,4,3,0,0,0,0,75,24,19,10,"117,612m","121,075m",190,218,155,137,12.9%,7.3%,65.6%,34.4%,https://www.football-lab.jp/g-os/report/?year=2020&month=02&date=23
H,Ｃ大阪,L,1,2,1,2.094,11,13,3,5,0,1,410,624,7,15,12,5,1,2,3,6,15,16,5,10,21,24,24,12,1,2,2,1,1,0,0,0,43,53,5,20,"111,907m","112,817m",133,140,99,97,11.1%,13.4%,44.7%,55.3%,https://www.football-lab.jp/g-os/report/?year=2020&month=07&date=04
A,名古屋,D,2,2,1.417,1.739,8,13,3,3,0,0,428,618,6,18,17,12,1,0,1,1,20,26,10,8,16,21,22,17,2,4,0,1,2,0,0,0,36,56,10,10,"117,465m","113,557m",125,140,110,107,7.3%,12.1%,40.9%,59.1%,https://www.football-lab.jp/g-os/report/?year=2020&month=07&date=08
A,清水,W,2,1,2.563,1.401,22,16,6,8,0,0,593,394,23,14,7,6,3,4,7,5,19,21,15,10,12,16,22,22,2,2,4,3,1,1,0,0,62,34,16,16,"113,593m","114,288m",173,159,113,111,19.5%,14.4%,59.5%,40.5%,https://www.football-lab.jp/g-os/report/?year=2020&month=07&date=12
H,大分,W,2,1,0.711,2.117,8,18,4,6,0,1,518,608,13,14,3,9,2,1,2,2,17,30,5,10,13,13,19,16,2,2,1,2,0,0,0,0,25,56,7,13,"115,656m","115,368m",167,151,92,102,8.7%,17.6%,47%,53%,https://www.football-lab.jp/g-os/report/?year=2020&month=07&date=18
H,広島,W,1,0,1.412,1.522,20,14,5,1,0,0,643,527,29,18,7,10,2,2,5,5,18,9,17,6,18,22,14,37,4,1,2,2,1,0,0,0,69,47,20,13,"105,913m","112,337m",149,165,108,104,18.5%,13.5%,54.9%,45.1%,https://www.football-lab.jp/g-os/report/?year=2020&month=07&date=22
A,神戸,W,2,0,1.137,0.69,14,11,4,6,0,0,693,379,11,6,17,7,1,2,5,4,20,23,10,6,13,19,11,24,0,3,2,1,0,2,0,0,52,34,12,6,"107,997m","115,921m",134,160,117,105,12.0%,10.5%,62.5%,37.5%,https://www.football-lab.jp/g-os/report/?year=2020&month=07&date=26
H,川崎Ｆ,L,0,1,1.265,0.943,16,14,4,3,0,0,548,597,11,11,12,8,2,5,5,5,18,25,8,13,20,9,28,12,1,0,5,2,0,0,0,0,56,44,10,15,"109,795m","111,755m",117,123,102,108,15.7%,13.0%,46.9%,53.1%,https://www.football-lab.jp/g-os/report/?year=2020&month=08&date=01
H,横浜FC,W,2,1,1.278,1.977,16,14,8,4,0,0,534,641,9,22,8,6,3,3,2,3,11,18,10,6,12,17,16,3,0,3,3,3,0,2,0,0,39,65,9,15,"113,589m","112,321m",137,158,95,98,16.8%,14.3%,48.1%,51.9%,https://www.football-lab.jp/g-os/report/?year=2020&month=08&date=08
H,浦和,L,1,3,2.598,1.437,10,22,5,8,1,0,395,802,6,13,6,15,1,0,2,2,20,23,4,10,22,14,27,6,1,4,0,1,1,1,0,0,30,96,11,17,"112,800m","112,454m",122,152,107,115,9.3%,19.1%,37.5%,62.5%,https://www.football-lab.jp/g-os/report/?year=2020&month=08&date=19
