HOME/AWAY,Opponent,勝敗,fctk_得点,fctk_失点,Opponent_ゴール期待値,fctk_ゴール期待値,Opponent_シュート,fctk_シュート,Opponent_枠内シュート,fctk_枠内シュート,Opponent_PKによるシュート,fctk_PKによるシュート,Opponent_パス,fctk_パス,Opponent_クロス,fctk_クロス,Opponent_直接ＦＫ,fctk_直接ＦＫ,Opponent_間接ＦＫ,fctk_間接ＦＫ,Opponent_ＣＫ,fctk_ＣＫ,Opponent_スローイン,fctk_スローイン,Opponent_ドリブル,fctk_ドリブル,Opponent_タックル,fctk_タックル,Opponent_クリア,fctk_クリア,Opponent_インターセプト,fctk_インターセプト,Opponent_オフサイド,fctk_オフサイド,Opponent_警告,fctk_警告,Opponent_退場,fctk_退場,Opponent_３０ｍライン進入,fctk_３０ｍライン進入,Opponent_ペナルティエリア進入,fctk_ペナルティエリア進入,Opponent_総移動距離,fctk_総移動距離,Opponent_スプリント,fctk_スプリント,Opponent_攻撃回数,fctk_攻撃回数,Opponent_チャンス構築率,fctk_チャンス構築率,Opponent_ボール保持率,fctk_ボール保持率,URL
H,大分,L,2,3,1.675,2.788,13,21,5,8,0,0,502,443,14,13,11,20,1,3,4,3,7,17,7,10,21,9,27,14,0,3,3,1,0,2,0,0,32,50,10,16,"116,081m","111,930m",159,192,105,113,12.4%,18.6%,53.3%,46.7%,https://www.football-lab.jp/fctk/report/?year=2020&month=09&date=16
H,仙台,W,1,0,0.943,0.588,12,12,4,4,0,0,549,353,14,4,12,11,1,0,4,4,26,33,11,5,14,25,17,22,1,3,0,1,1,1,0,0,40,37,11,9,"110,060m","113,303m",156,216,119,123,10.1%,9.8%,55.9%,44.1%,https://www.football-lab.jp/fctk/report/?year=2020&month=09&date=20
H,Ｃ大阪,W,2,0,1.699,1.561,17,13,4,7,0,0,619,276,12,11,11,12,2,2,6,7,18,19,11,14,17,17,17,22,0,2,2,2,1,1,0,0,47,35,6,10,"111,321m","115,421m",114,196,107,103,15.9%,12.6%,65.1%,34.9%,https://www.football-lab.jp/fctk/report/?year=2020&month=09&date=23
A,鳥栖,L,0,3,0.372,1.28,8,12,4,3,0,0,488,412,10,15,13,14,3,0,3,5,19,21,13,18,24,18,29,8,1,1,0,3,0,3,0,0,39,41,7,11,"113,197m","112,095m",144,197,124,124,6.5%,9.7%,54.2%,45.8%,https://www.football-lab.jp/fctk/report/?year=2020&month=09&date=27
A,浦和,W,1,0,1.009,0.94,14,10,2,5,0,0,639,337,13,6,12,12,1,1,1,2,35,14,17,9,25,26,11,17,4,2,1,1,0,1,0,0,58,34,13,10,"109,797m","113,687m",165,208,127,121,11.0%,8.3%,58.2%,41.8%,https://www.football-lab.jp/fctk/report/?year=2020&month=09&date=30
A,湘南,W,1,0,0.251,0.759,4,10,0,5,0,0,460,440,16,11,13,15,3,1,2,3,27,23,12,13,26,24,13,13,0,3,0,3,1,1,0,0,30,27,8,12,"112,185m","108,965m",184,197,134,138,3.0%,7.2%,52.3%,47.7%,https://www.football-lab.jp/fctk/report/?year=2020&month=10&date=04
H,Ｇ大阪,L,0,1,1.37,1.767,11,18,4,5,1,0,242,376,8,19,13,14,4,4,2,9,19,35,8,6,27,22,47,16,1,0,4,4,1,0,0,0,14,39,5,13,"100,091m","101,656m",114,137,139,159,7.9%,11.3%,46.3%,53.7%,https://www.football-lab.jp/fctk/report/?year=2020&month=10&date=10
H,清水,W,3,1,0.732,1.876,9,14,1,7,0,0,569,397,14,10,9,21,0,0,3,5,19,17,6,7,17,24,12,13,2,1,0,0,1,0,0,0,52,31,12,13,"111,651m","114,890m",144,211,103,118,8.7%,11.9%,56.2%,43.8%,https://www.football-lab.jp/fctk/report/?year=2020&month=10&date=14
A,横浜FC,L,0,1,0.603,3.143,8,25,2,5,0,0,458,353,4,17,21,16,3,0,1,10,22,23,11,14,17,23,36,18,1,1,0,2,1,4,0,0,31,38,6,13,"114,570m","111,619m",164,184,124,126,6.5%,19.8%,57.5%,42.5%,https://www.football-lab.jp/fctk/report/?year=2020&month=10&date=18
H,横浜FM,L,0,4,1.214,1.47,12,18,4,5,0,0,743,345,15,15,12,18,2,2,3,8,23,20,8,19,29,32,24,13,0,1,2,2,1,1,0,1,63,29,16,15,"118,071m","113,889m",182,211,120,132,10.0%,13.6%,61.7%,38.3%,https://www.football-lab.jp/fctk/report/?year=2020&month=10&date=24
H,柏,L,1,3,1.224,1.253,14,17,4,7,0,0,519,485,16,10,7,14,5,0,2,8,27,27,14,19,16,16,30,22,1,3,0,5,2,4,0,0,41,48,13,15,"116,542m","116,942m",199,226,129,140,10.9%,12.1%,51.5%,48.5%,https://www.football-lab.jp/fctk/report/?year=2020&month=10&date=28
A,川崎Ｆ,L,1,2,4.048,0.816,27,10,9,6,1,0,740,316,15,6,9,14,0,3,9,2,22,15,13,10,21,21,7,23,0,2,3,0,0,1,0,0,86,29,32,9,"104,286m","106,722m",147,178,114,108,23.7%,9.3%,63.9%,36.1%,https://www.football-lab.jp/fctk/report/?year=2020&month=10&date=31
H,札幌,W,1,0,1.203,1.314,11,11,2,6,0,0,538,351,16,6,13,16,0,0,5,3,24,23,21,9,22,25,7,22,0,0,0,0,4,0,0,0,53,18,17,8,"109,947m","110,875m",163,196,120,122,9.2%,9.0%,57.1%,42.9%,https://www.football-lab.jp/fctk/report/?year=2020&month=11&date=11
A,名古屋,L,0,1,1.685,0.38,13,7,5,2,1,0,517,420,10,4,14,13,0,1,6,2,22,20,13,13,16,21,12,20,1,0,0,0,2,1,0,0,36,23,14,6,"110,935m","107,225m",160,150,121,114,10.7%,6.1%,52.2%,47.8%,https://www.football-lab.jp/fctk/report/?year=2020&month=11&date=15
A,仙台,D,2,2,1.255,1.581,10,10,5,4,0,0,587,467,23,14,8,11,2,2,2,7,22,15,12,15,24,15,16,26,2,1,2,2,4,2,0,0,62,32,9,13,"117,367m","116,568m",157,206,116,119,8.6%,8.4%,53.3%,46.7%,https://www.football-lab.jp/fctk/report/?year=2020&month=11&date=18
H,広島,W,1,0,2.429,0.655,21,7,3,4,0,0,664,345,27,12,8,15,0,0,4,4,24,21,15,10,12,15,26,43,1,0,0,0,0,0,0,0,82,27,23,13,"113,639m","116,620m",183,179,117,119,17.9%,5.9%,59.5%,40.5%,https://www.football-lab.jp/fctk/report/?year=2020&month=12&date=12
H,神戸,W,1,0,0.355,1.88,11,14,4,3,0,0,581,412,9,8,8,14,0,1,9,8,20,21,13,7,18,29,19,26,8,1,1,0,2,0,0,0,51,30,5,10,"112,780m","114,033m",187,184,118,121,9.3%,11.6%,58.1%,41.9%,https://www.football-lab.jp/fctk/report/?year=2020&month=12&date=19
