HOME/AWAY,Opponent,勝敗,c-os_得点,c-os_失点,c-os_ゴール期待値,Opponent_ゴール期待値,c-os_シュート,Opponent_シュート,c-os_枠内シュート,Opponent_枠内シュート,c-os_PKによるシュート,Opponent_PKによるシュート,c-os_パス,Opponent_パス,c-os_クロス,Opponent_クロス,c-os_直接ＦＫ,Opponent_直接ＦＫ,c-os_間接ＦＫ,Opponent_間接ＦＫ,c-os_ＣＫ,Opponent_ＣＫ,c-os_スローイン,Opponent_スローイン,c-os_ドリブル,Opponent_ドリブル,c-os_タックル,Opponent_タックル,c-os_クリア,Opponent_クリア,c-os_インターセプト,Opponent_インターセプト,c-os_オフサイド,Opponent_オフサイド,c-os_警告,Opponent_警告,c-os_退場,Opponent_退場,c-os_３０ｍライン進入,Opponent_３０ｍライン進入,c-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,c-os_総移動距離,Opponent_総移動距離,c-os_スプリント,Opponent_スプリント,c-os_攻撃回数,Opponent_攻撃回数,c-os_チャンス構築率,Opponent_チャンス構築率,c-os_ボール保持率,Opponent_ボール保持率,URL
A,浦和,L,1,3,1.005,2.579,14,16,3,6,0,1,557,371,19,9,13,7,0,0,8,4,24,10,14,11,8,21,14,32,2,0,0,0,1,2,0,0,57,35,12,13,"117,629m","112,828m",121,153,113,97,12.4%,16.5%,57.6%,42.4%,https://www.football-lab.jp/c-os/report/?year=2020&month=10&date=24
H,Ｇ大阪,D,1,1,2.139,0.703,15,9,1,4,0,0,490,447,16,21,15,7,2,3,5,3,14,21,9,10,19,18,25,26,1,1,3,2,1,5,0,0,50,44,12,14,"112,111m","112,349m",116,135,107,109,14.0%,8.3%,53.4%,46.6%,https://www.football-lab.jp/c-os/report/?year=2020&month=11&date=03
A,清水,L,1,3,1.291,1.691,19,19,1,8,0,0,534,425,19,13,16,7,0,1,3,5,16,12,13,10,18,23,20,23,5,4,1,0,1,1,0,0,47,35,15,15,"110,533m","110,548m",126,142,116,109,16.4%,17.4%,56.1%,43.9%,https://www.football-lab.jp/c-os/report/?year=2020&month=11&date=14
H,広島,L,0,1,1.584,0.688,14,11,2,2,0,0,569,340,20,9,19,7,4,3,6,3,16,23,17,8,16,14,21,35,1,1,3,4,2,4,0,1,57,31,24,12,"114,030m","107,211m",119,129,113,104,12.4%,10.6%,59.4%,40.6%,https://www.football-lab.jp/c-os/report/?year=2020&month=11&date=21
A,大分,W,1,0,0.777,0.867,9,9,1,5,0,0,356,802,4,19,12,2,0,2,2,4,22,14,7,3,10,20,24,13,0,2,2,0,0,0,0,0,23,63,8,9,"121,816m","118,576m",134,135,96,86,9.4%,10.5%,35.2%,64.8%,https://www.football-lab.jp/c-os/report/?year=2020&month=11&date=25
H,横浜FC,W,1,0,1.217,0.671,11,12,4,1,0,0,515,591,18,13,13,6,0,0,6,2,13,22,14,6,23,16,24,16,1,2,0,0,0,1,0,0,47,63,11,13,"116,694m","118,452m",114,148,108,100,10.2%,12.0%,48.6%,51.4%,https://www.football-lab.jp/c-os/report/?year=2020&month=11&date=29
A,札幌,W,3,1,2.576,0.937,19,10,7,4,0,0,410,654,9,24,11,13,1,0,1,5,16,23,9,18,17,24,26,8,1,1,0,1,0,1,0,0,27,63,16,18,"120,433m","117,564m",134,141,121,129,15.7%,7.8%,42.7%,57.3%,https://www.football-lab.jp/c-os/report/?year=2020&month=12&date=05
H,柏,D,0,0,1.373,1.092,12,12,5,4,0,0,481,382,12,14,13,9,2,2,3,4,24,25,19,12,17,23,35,34,4,2,2,2,2,3,0,0,36,36,10,10,"114,515m","112,844m",152,175,129,126,9.3%,9.5%,53.4%,46.6%,https://www.football-lab.jp/c-os/report/?year=2020&month=12&date=12
H,鳥栖,L,1,2,1.343,0.884,15,13,4,4,0,0,566,531,18,12,12,10,0,5,3,0,20,20,9,8,13,16,12,27,3,1,5,0,0,2,0,0,39,48,21,11,"122,874m","129,832m",165,151,113,109,13.3%,11.9%,49%,51%,https://www.football-lab.jp/c-os/report/?year=2020&month=12&date=16
A,鹿島,D,1,1,1.159,3.01,12,23,4,7,0,0,270,670,8,27,16,9,2,0,3,10,13,20,13,21,21,22,42,10,1,0,0,2,0,2,0,0,21,69,11,14,"118,132m","116,341m",160,175,119,130,10.1%,17.7%,35.5%,64.5%,https://www.football-lab.jp/c-os/report/?year=2020&month=12&date=19
