HOME/AWAY,Opponent,勝敗,kasw_得点,kasw_失点,kasw_ゴール期待値,Opponent_ゴール期待値,kasw_シュート,Opponent_シュート,kasw_枠内シュート,Opponent_枠内シュート,kasw_PKによるシュート,Opponent_PKによるシュート,kasw_パス,Opponent_パス,kasw_クロス,Opponent_クロス,kasw_直接ＦＫ,Opponent_直接ＦＫ,kasw_間接ＦＫ,Opponent_間接ＦＫ,kasw_ＣＫ,Opponent_ＣＫ,kasw_スローイン,Opponent_スローイン,kasw_ドリブル,Opponent_ドリブル,kasw_タックル,Opponent_タックル,kasw_クリア,Opponent_クリア,kasw_インターセプト,Opponent_インターセプト,kasw_オフサイド,Opponent_オフサイド,kasw_警告,Opponent_警告,kasw_退場,Opponent_退場,kasw_３０ｍライン進入,Opponent_３０ｍライン進入,kasw_ペナルティエリア進入,Opponent_ペナルティエリア進入,kasw_総移動距離,Opponent_総移動距離,kasw_スプリント,Opponent_スプリント,kasw_攻撃回数,Opponent_攻撃回数,kasw_チャンス構築率,Opponent_チャンス構築率,kasw_ボール保持率,Opponent_ボール保持率,URL
H,札幌,W,4,2,2.361,3.582,26,27,12,7,0,0,429,507,13,22,8,9,0,2,7,7,17,26,16,24,40,25,40,17,6,2,2,0,1,0,0,0,47,55,16,22,"116,872m","119,540m",209,204,150,156,17.3%,17.3%,49.4%,50.6%,https://www.football-lab.jp/kasw/report/?year=2020&month=02&date=22
H,FC東京,L,0,1,0.727,1.866,10,11,1,4,0,0,483,383,9,7,14,12,2,2,2,5,24,23,10,13,19,19,16,20,3,3,2,2,3,1,1,0,56,31,10,8,"99,842m","105,034m",133,138,113,114,8.8%,9.6%,54.8%,45.2%,https://www.football-lab.jp/kasw/report/?year=2020&month=07&date=04
H,横浜FC,L,1,3,2.089,0.667,16,4,4,2,0,0,446,478,16,6,11,7,3,3,7,1,25,28,9,9,17,18,18,30,1,4,3,3,1,1,0,0,44,34,13,5,"108,314m","111,125m",160,148,117,116,13.7%,3.4%,48.9%,51.1%,https://www.football-lab.jp/kasw/report/?year=2020&month=07&date=08
A,川崎Ｆ,L,1,3,0.519,1.345,5,14,1,7,0,0,462,662,11,13,11,15,0,1,4,6,23,19,4,11,30,14,19,17,3,5,1,0,2,3,0,0,31,76,4,19,"110,730m","111,258m",151,150,125,128,4.0%,10.9%,43.9%,56.1%,https://www.football-lab.jp/kasw/report/?year=2020&month=07&date=11
H,湘南,W,3,2,1.877,1.357,12,10,4,6,1,0,390,504,22,13,5,15,0,5,5,4,24,16,9,10,15,13,28,24,1,1,5,0,1,1,0,0,40,36,15,8,"114,577m","116,626m",175,186,109,114,11.0%,8.8%,44.8%,55.2%,https://www.football-lab.jp/kasw/report/?year=2020&month=07&date=18
A,浦和,W,4,0,0.949,1.121,10,17,7,4,0,0,430,598,9,17,13,11,0,2,1,5,20,27,3,12,18,16,36,13,4,2,2,0,2,1,0,0,29,50,4,12,"111,968m","109,051m",129,156,123,131,8.1%,13.0%,44.4%,55.6%,https://www.football-lab.jp/kasw/report/?year=2020&month=07&date=22
H,仙台,W,5,1,2.522,1.643,16,14,8,4,1,0,469,509,15,18,8,12,3,0,4,4,20,23,11,11,16,15,32,12,2,3,0,3,0,1,0,0,41,34,15,10,"114,077m","115,331m",145,128,109,117,14.7%,12.0%,49.5%,50.5%,https://www.football-lab.jp/kasw/report/?year=2020&month=07&date=26
A,名古屋,W,1,0,0.352,1.292,7,12,3,3,0,0,457,461,6,11,12,15,2,0,4,0,18,36,4,12,26,13,24,16,1,1,0,2,2,2,0,0,34,35,6,11,"109,488m","113,591m",134,147,108,126,6.5%,9.5%,50.2%,49.8%,https://www.football-lab.jp/kasw/report/?year=2020&month=08&date=01
A,横浜FM,D,1,1,0.688,1.354,11,17,3,5,0,0,266,794,9,34,10,20,3,4,7,7,18,24,7,16,27,18,35,14,2,3,4,3,1,1,0,0,14,95,9,29,"111,410m","118,548m",123,142,115,122,9.6%,13.9%,35.1%,64.9%,https://www.football-lab.jp/kasw/report/?year=2020&month=08&date=08
H,Ｃ大阪,L,1,3,2.297,0.429,22,6,8,3,0,0,534,347,31,4,11,15,3,2,5,1,22,14,12,8,18,14,11,44,0,2,2,3,2,1,0,0,77,18,23,4,"104,126m","106,918m",113,86,111,106,19.8%,5.7%,55.6%,44.4%,https://www.football-lab.jp/kasw/report/?year=2020&month=08&date=15
