HOME/AWAY,Opponent,勝敗,nago_得点,nago_失点,Opponent_ゴール期待値,nago_ゴール期待値,Opponent_シュート,nago_シュート,Opponent_枠内シュート,nago_枠内シュート,Opponent_PKによるシュート,nago_PKによるシュート,Opponent_パス,nago_パス,Opponent_クロス,nago_クロス,Opponent_直接ＦＫ,nago_直接ＦＫ,Opponent_間接ＦＫ,nago_間接ＦＫ,Opponent_ＣＫ,nago_ＣＫ,Opponent_スローイン,nago_スローイン,Opponent_ドリブル,nago_ドリブル,Opponent_タックル,nago_タックル,Opponent_クリア,nago_クリア,Opponent_インターセプト,nago_インターセプト,Opponent_オフサイド,nago_オフサイド,Opponent_警告,nago_警告,Opponent_退場,nago_退場,Opponent_３０ｍライン進入,nago_３０ｍライン進入,Opponent_ペナルティエリア進入,nago_ペナルティエリア進入,Opponent_総移動距離,nago_総移動距離,Opponent_スプリント,nago_スプリント,Opponent_攻撃回数,nago_攻撃回数,Opponent_チャンス構築率,nago_チャンス構築率,Opponent_ボール保持率,nago_ボール保持率,URL
A,仙台,D,1,1,0.97,1.587,12,20,3,3,0,0,295,605,12,15,7,20,0,1,5,7,23,29,12,25,28,27,26,21,1,0,1,0,1,1,0,0,24,57,9,11,"110,867m","115,918m",173,183,130,140,9.2%,14.3%,38.4%,61.6%,https://www.football-lab.jp/nago/report/?year=2020&month=02&date=22
A,清水,W,2,1,0.914,2.038,10,15,4,6,0,0,559,406,17,13,5,16,1,2,9,4,28,13,15,13,15,23,22,26,0,1,1,1,3,2,0,1,39,46,12,15,"111,322m","114,502m",146,163,106,99,9.4%,15.2%,55.3%,44.7%,https://www.football-lab.jp/nago/report/?year=2020&month=07&date=04
H,Ｇ大阪,D,2,2,1.739,1.417,13,8,3,3,0,0,618,428,18,6,12,17,0,1,1,1,26,20,8,10,21,16,17,22,4,2,1,0,0,2,0,0,56,36,10,10,"113,557m","117,465m",140,125,107,110,12.1%,7.3%,59.1%,40.9%,https://www.football-lab.jp/nago/report/?year=2020&month=07&date=08
A,Ｃ大阪,W,2,0,0.824,0.566,11,12,2,4,0,0,662,366,11,8,9,9,3,1,6,6,28,9,11,11,11,16,11,26,2,2,1,2,2,1,0,0,53,37,12,6,"116,956m","122,169m",122,149,113,100,9.7%,12.0%,62.1%,37.9%,https://www.football-lab.jp/nago/report/?year=2020&month=07&date=12
H,鳥栖,W,1,0,1.128,0.87,10,8,3,3,0,0,462,537,7,11,11,16,1,4,4,2,24,16,7,10,15,13,19,16,1,1,4,1,3,2,1,0,33,51,7,10,"111,126m","113,534m",156,151,104,98,9.6%,8.2%,49.3%,50.7%,https://www.football-lab.jp/nago/report/?year=2020&month=07&date=18
A,大分,W,3,0,0.429,0.872,5,10,2,6,0,0,547,495,17,8,6,13,1,0,7,3,14,19,8,10,13,13,18,23,1,1,1,1,2,0,0,0,43,23,9,8,"114,982m","119,360m",144,146,94,90,5.3%,11.1%,53%,47%,https://www.football-lab.jp/nago/report/?year=2020&month=07&date=22
H,柏,L,0,1,0.352,1.292,7,12,3,3,0,0,457,461,6,11,12,15,2,0,4,0,18,36,4,12,26,13,24,16,1,1,0,2,2,2,0,0,34,35,6,11,"109,488m","113,591m",134,147,108,126,6.5%,9.5%,50.2%,49.8%,https://www.football-lab.jp/nago/report/?year=2020&month=08&date=01
H,浦和,W,6,2,1.41,2.958,11,19,2,9,0,0,529,618,10,8,3,11,2,1,1,5,15,12,5,8,25,13,13,19,4,2,1,1,1,0,0,0,45,42,10,13,"111,916m","116,556m",133,142,97,104,11.3%,18.3%,49.1%,50.9%,https://www.football-lab.jp/nago/report/?year=2020&month=08&date=08
A,FC東京,L,0,1,1.708,0.518,14,7,6,3,1,0,373,602,6,13,14,15,2,2,1,2,19,20,6,7,11,14,21,8,1,1,2,2,0,3,0,1,40,42,10,6,"105,463m","108,697m",171,153,103,101,13.6%,6.9%,42.5%,57.5%,https://www.football-lab.jp/nago/report/?year=2020&month=08&date=15
A,湘南,W,1,0,0.681,1.426,7,12,0,2,0,0,379,509,15,17,8,8,1,5,4,9,16,28,11,9,20,15,16,12,1,1,5,1,1,1,0,0,30,39,4,7,"110,813m","108,334m",166,156,105,121,6.7%,9.9%,44.8%,55.2%,https://www.football-lab.jp/nago/report/?year=2020&month=08&date=19
