HOME/AWAY,Opponent,勝敗,sapp_得点,sapp_失点,Opponent_ゴール期待値,sapp_ゴール期待値,Opponent_シュート,sapp_シュート,Opponent_枠内シュート,sapp_枠内シュート,Opponent_PKによるシュート,sapp_PKによるシュート,Opponent_パス,sapp_パス,Opponent_クロス,sapp_クロス,Opponent_直接ＦＫ,sapp_直接ＦＫ,Opponent_間接ＦＫ,sapp_間接ＦＫ,Opponent_ＣＫ,sapp_ＣＫ,Opponent_スローイン,sapp_スローイン,Opponent_ドリブル,sapp_ドリブル,Opponent_タックル,sapp_タックル,Opponent_クリア,sapp_クリア,Opponent_インターセプト,sapp_インターセプト,Opponent_オフサイド,sapp_オフサイド,Opponent_警告,sapp_警告,Opponent_退場,sapp_退場,Opponent_３０ｍライン進入,sapp_３０ｍライン進入,Opponent_ペナルティエリア進入,sapp_ペナルティエリア進入,Opponent_総移動距離,sapp_総移動距離,Opponent_スプリント,sapp_スプリント,Opponent_攻撃回数,sapp_攻撃回数,Opponent_チャンス構築率,sapp_チャンス構築率,Opponent_ボール保持率,sapp_ボール保持率,URL
A,柏,L,2,4,2.361,3.582,26,27,12,7,0,0,429,507,13,22,8,9,0,2,7,7,17,26,16,24,40,25,40,17,6,2,2,0,1,0,0,0,47,55,16,22,"116,872m","119,540m",209,204,150,156,17.3%,17.3%,49.4%,50.6%,https://www.football-lab.jp/sapp/report/?year=2020&month=02&date=22
A,横浜FC,W,2,1,1.106,1.429,11,12,3,3,0,0,621,482,14,15,8,13,1,2,4,5,20,15,11,11,15,22,12,14,1,4,2,1,1,0,0,0,55,30,22,14,"114,505m","111,370m",149,140,107,108,10.3%,11.1%,57.3%,42.7%,https://www.football-lab.jp/sapp/report/?year=2020&month=07&date=04
A,鹿島,W,2,0,1.615,0.795,20,7,6,5,0,0,581,512,21,10,13,10,0,3,4,0,17,16,6,5,22,11,12,16,2,3,3,0,1,5,0,0,54,28,12,8,"111,124m","113,686m",185,173,109,108,18.3%,6.5%,53.8%,46.2%,https://www.football-lab.jp/sapp/report/?year=2020&month=07&date=08
A,湘南,D,0,0,1.173,0.646,14,7,3,2,0,0,462,504,15,16,12,10,2,0,6,6,23,23,6,14,14,24,14,20,0,2,0,2,1,0,0,0,38,35,9,11,"112,428m","107,735m",181,156,107,105,13.1%,6.7%,52.6%,47.4%,https://www.football-lab.jp/sapp/report/?year=2020&month=07&date=12
A,仙台,D,2,2,3.02,2.03,19,15,7,7,0,0,445,456,23,13,14,14,1,1,7,5,16,13,13,11,19,15,28,20,3,1,1,0,2,4,0,1,44,38,16,11,"113,759m","109,618m",183,176,111,110,17.1%,13.6%,49.6%,50.4%,https://www.football-lab.jp/sapp/report/?year=2020&month=07&date=18
H,FC東京,D,1,1,0.89,0.643,14,10,4,3,0,0,508,481,10,14,23,15,1,2,4,4,10,11,10,14,28,29,9,12,1,3,2,1,2,4,0,0,40,33,9,14,"115,990m","115,476m",233,182,119,116,11.8%,8.6%,52%,48%,https://www.football-lab.jp/sapp/report/?year=2020&month=07&date=22
H,横浜FM,W,3,1,1.424,1.154,11,15,4,7,0,0,697,346,15,8,13,18,8,1,5,5,25,18,11,15,20,27,26,30,2,4,1,8,3,1,0,0,39,23,17,11,"123,473m","121,722m",177,184,123,127,8.9%,11.8%,61.9%,38.1%,https://www.football-lab.jp/sapp/report/?year=2020&month=07&date=26
H,神戸,L,2,3,1.583,1.846,13,16,5,6,0,0,527,593,4,24,14,5,0,0,3,5,19,15,7,21,22,14,26,15,1,0,0,0,1,0,0,0,31,54,11,15,"116,346m","117,514m",179,178,108,101,12.0%,15.8%,49.8%,50.2%,https://www.football-lab.jp/sapp/report/?year=2020&month=08&date=02
A,清水,L,1,3,3.18,1.122,22,14,5,4,1,0,453,499,17,14,13,12,2,0,4,5,14,18,10,10,10,22,20,17,2,1,0,1,1,6,0,1,43,36,18,13,"107,778m","105,524m",167,153,108,108,20.4%,13.0%,49.4%,50.6%,https://www.football-lab.jp/sapp/report/?year=2020&month=08&date=08
H,川崎Ｆ,L,1,6,3.204,1.017,16,12,13,2,0,0,588,540,8,27,13,10,1,0,1,2,13,16,14,11,22,17,26,10,6,5,0,0,1,2,0,0,45,48,14,17,"113,440m","112,870m",174,163,112,113,14.3%,10.6%,52%,48%,https://www.football-lab.jp/sapp/report/?year=2020&month=08&date=15
