HOME/AWAY,Opponent,勝敗,send_得点,send_失点,send_ゴール期待値,Opponent_ゴール期待値,send_シュート,Opponent_シュート,send_枠内シュート,Opponent_枠内シュート,send_PKによるシュート,Opponent_PKによるシュート,send_パス,Opponent_パス,send_クロス,Opponent_クロス,send_直接ＦＫ,Opponent_直接ＦＫ,send_間接ＦＫ,Opponent_間接ＦＫ,send_ＣＫ,Opponent_ＣＫ,send_スローイン,Opponent_スローイン,send_ドリブル,Opponent_ドリブル,send_タックル,Opponent_タックル,send_クリア,Opponent_クリア,send_インターセプト,Opponent_インターセプト,send_オフサイド,Opponent_オフサイド,send_警告,Opponent_警告,send_退場,Opponent_退場,send_３０ｍライン進入,Opponent_３０ｍライン進入,send_ペナルティエリア進入,Opponent_ペナルティエリア進入,send_総移動距離,Opponent_総移動距離,send_スプリント,Opponent_スプリント,send_攻撃回数,Opponent_攻撃回数,send_チャンス構築率,Opponent_チャンス構築率,send_ボール保持率,Opponent_ボール保持率,URL
H,名古屋,D,1,1,0.97,1.587,12,20,3,3,0,0,295,605,12,15,7,20,0,1,5,7,23,29,12,25,28,27,26,21,1,0,1,0,1,1,0,0,24,57,9,11,"110,867m","115,918m",173,183,130,140,9.2%,14.3%,38.4%,61.6%,https://www.football-lab.jp/send/report/?year=2020&month=02&date=22
A,湘南,W,1,0,1.246,0.841,15,11,3,2,0,0,378,519,16,19,12,8,1,2,9,3,19,26,24,13,19,19,33,27,2,0,2,1,1,2,0,0,37,46,17,13,"113,585m","115,335m",135,166,123,124,12.2%,8.9%,41.9%,58.1%,https://www.football-lab.jp/send/report/?year=2020&month=07&date=04
H,浦和,L,1,2,2.168,1.46,16,17,4,7,0,0,442,559,23,14,9,7,2,0,6,7,20,21,12,12,15,20,22,27,2,3,0,2,0,1,0,0,54,47,13,19,"114,841m","111,074m",154,175,121,114,13.2%,14.9%,45.7%,54.3%,https://www.football-lab.jp/send/report/?year=2020&month=07&date=08
A,横浜FC,D,1,1,1.509,0.549,13,6,3,2,0,0,349,559,22,15,12,15,4,1,4,3,20,22,15,14,23,16,15,24,3,1,1,3,3,0,0,0,36,47,16,9,"114,663m","118,379m",184,210,126,122,10.3%,4.9%,40.7%,59.3%,https://www.football-lab.jp/send/report/?year=2020&month=07&date=12
H,札幌,D,2,2,3.02,2.03,19,15,7,7,0,0,445,456,23,13,14,14,1,1,7,5,16,13,13,11,19,15,28,20,3,1,1,0,2,4,0,1,44,38,16,11,"113,759m","109,618m",183,176,111,110,17.1%,13.6%,49.6%,50.4%,https://www.football-lab.jp/send/report/?year=2020&month=07&date=18
H,川崎Ｆ,L,2,3,1.105,2.847,11,22,2,5,0,0,377,655,7,18,6,10,1,2,3,7,14,19,7,13,17,16,19,13,2,1,2,1,0,0,0,0,26,77,10,17,"112,311m","111,100m",166,165,100,104,11.0%,21.2%,39.4%,60.6%,https://www.football-lab.jp/send/report/?year=2020&month=07&date=22
A,柏,L,1,5,1.643,2.522,14,16,4,8,0,1,509,469,18,15,12,8,0,3,4,4,23,20,11,11,15,16,12,32,3,2,3,0,1,0,0,0,34,41,10,15,"115,331m","114,077m",128,145,117,109,12.0%,14.7%,50.5%,49.5%,https://www.football-lab.jp/send/report/?year=2020&month=07&date=26
H,横浜FM,L,0,1,0.731,2.309,9,17,6,4,0,0,263,783,13,36,7,11,0,2,5,15,21,31,7,17,20,15,34,16,2,4,2,0,0,2,0,0,24,74,8,30,"118,801m","121,724m",186,174,124,140,7.3%,12.1%,31.7%,68.3%,https://www.football-lab.jp/send/report/?year=2020&month=08&date=01
A,神戸,W,2,1,0.606,2.496,10,23,3,5,0,0,359,656,12,33,8,12,3,1,3,6,16,20,9,17,18,17,33,17,2,3,1,2,1,1,0,0,25,71,7,18,"116,553m","108,979m",151,138,94,103,10.6%,22.3%,36.9%,63.1%,https://www.football-lab.jp/send/report/?year=2020&month=08&date=08
H,清水,D,0,0,0.968,0.896,13,14,5,3,0,0,461,596,20,24,9,12,0,4,3,5,17,31,13,8,27,14,33,15,3,0,4,0,2,1,0,0,43,56,17,14,"117,003m","113,803m",155,173,113,128,11.5%,10.9%,44.7%,55.3%,https://www.football-lab.jp/send/report/?year=2020&month=08&date=15
A,Ｃ大阪,L,1,2,0.411,0.651,8,10,2,4,0,0,516,435,16,11,7,17,3,1,5,6,19,17,10,12,14,18,17,23,5,1,1,3,0,2,0,0,43,37,8,9,"113,734m","111,141m",133,112,106,110,7.5%,9.1%,49.7%,50.3%,https://www.football-lab.jp/send/report/?year=2020&month=08&date=23
A,広島,D,1,1,1.285,1.746,14,13,6,5,0,0,483,467,15,22,8,8,0,2,7,5,24,21,6,10,14,19,25,20,2,4,2,0,2,1,0,0,45,46,11,12,"112,039m","107,242m",137,124,116,123,12.1%,10.6%,48.3%,51.7%,https://www.football-lab.jp/send/report/?year=2020&month=08&date=29
H,Ｇ大阪,L,1,4,2.525,1.507,18,15,6,6,1,0,532,361,28,9,6,8,2,2,8,2,31,14,10,5,9,14,13,33,0,2,2,1,2,0,0,0,37,28,15,6,"110,957m","113,636m",140,175,126,109,14.3%,13.8%,58%,42%,https://www.football-lab.jp/send/report/?year=2020&month=09&date=05
