HOME/AWAY,Opponent,勝敗,shon_得点,shon_失点,shon_ゴール期待値,Opponent_ゴール期待値,shon_シュート,Opponent_シュート,shon_枠内シュート,Opponent_枠内シュート,shon_PKによるシュート,Opponent_PKによるシュート,shon_パス,Opponent_パス,shon_クロス,Opponent_クロス,shon_直接ＦＫ,Opponent_直接ＦＫ,shon_間接ＦＫ,Opponent_間接ＦＫ,shon_ＣＫ,Opponent_ＣＫ,shon_スローイン,Opponent_スローイン,shon_ドリブル,Opponent_ドリブル,shon_タックル,Opponent_タックル,shon_クリア,Opponent_クリア,shon_インターセプト,Opponent_インターセプト,shon_オフサイド,Opponent_オフサイド,shon_警告,Opponent_警告,shon_退場,Opponent_退場,shon_３０ｍライン進入,Opponent_３０ｍライン進入,shon_ペナルティエリア進入,Opponent_ペナルティエリア進入,shon_総移動距離,Opponent_総移動距離,shon_スプリント,Opponent_スプリント,shon_攻撃回数,Opponent_攻撃回数,shon_チャンス構築率,Opponent_チャンス構築率,shon_ボール保持率,Opponent_ボール保持率,URL
H,浦和,L,2,3,1.779,2.011,12,11,2,6,1,0,508,403,18,17,9,10,1,2,7,5,24,22,15,11,27,30,33,34,2,2,2,1,1,0,0,0,54,26,15,14,"120,803m","116,932m",224,177,126,128,9.5%,8.6%,55.3%,44.7%,https://www.football-lab.jp/shon/report/?year=2020&month=02&date=21
H,仙台,L,0,1,0.841,1.246,11,15,2,3,0,0,519,378,19,16,8,12,2,1,3,9,26,19,13,24,19,19,27,33,0,2,1,2,2,1,0,0,46,37,13,17,"115,335m","113,585m",166,135,124,123,8.9%,12.2%,58.1%,41.9%,https://www.football-lab.jp/shon/report/?year=2020&month=07&date=04
A,横浜FM,L,2,3,0.714,0.966,11,10,5,5,0,0,213,663,11,23,17,16,8,1,3,8,26,32,13,13,31,16,32,16,6,1,1,8,5,2,0,0,20,67,9,16,"121,867m","122,663m",261,215,141,136,7.8%,7.4%,33.9%,66.1%,https://www.football-lab.jp/shon/report/?year=2020&month=07&date=08
H,札幌,D,0,0,1.173,0.646,14,7,3,2,0,0,462,504,15,16,12,10,2,0,6,6,23,23,6,14,14,24,14,20,0,2,0,2,1,0,0,0,38,35,9,11,"112,428m","107,735m",181,156,107,105,13.1%,6.7%,52.6%,47.4%,https://www.football-lab.jp/shon/report/?year=2020&month=07&date=12
A,柏,L,2,3,1.357,1.877,10,12,6,4,0,1,504,390,13,22,15,5,5,0,4,5,16,24,10,9,13,15,24,28,1,1,0,5,1,1,0,0,36,40,8,15,"116,626m","114,577m",186,175,114,109,8.8%,11.0%,55.2%,44.8%,https://www.football-lab.jp/shon/report/?year=2020&month=07&date=18
H,鹿島,W,1,0,0.875,1.38,10,17,6,3,0,0,320,655,11,23,9,13,2,0,3,6,21,26,9,11,20,15,39,13,1,1,0,2,1,3,0,0,23,53,8,17,"120,406m","114,767m",209,166,120,126,8.3%,13.5%,39.2%,60.8%,https://www.football-lab.jp/shon/report/?year=2020&month=07&date=22
A,川崎Ｆ,L,1,3,0.443,2.996,5,29,2,11,0,0,423,751,6,20,2,4,3,1,2,6,15,18,5,10,17,22,24,13,1,2,1,3,0,0,0,0,21,76,4,38,"112,904m","107,952m",105,117,103,110,4.9%,26.4%,41.6%,58.4%,https://www.football-lab.jp/shon/report/?year=2020&month=07&date=26
H,Ｃ大阪,L,0,1,0.197,1.802,4,14,1,4,0,1,470,534,21,20,8,19,1,1,1,7,20,18,9,13,13,11,22,22,3,2,1,1,5,0,0,0,41,32,9,12,"114,113m","111,681m",127,96,89,103,4.5%,13.6%,48%,52%,https://www.football-lab.jp/shon/report/?year=2020&month=08&date=01
A,広島,L,0,1,0.501,2.373,5,24,1,8,0,0,492,635,14,27,9,9,5,0,3,10,14,19,7,12,21,22,20,22,1,2,0,5,1,2,0,0,32,66,3,23,"117,090m","112,958m",167,160,104,115,4.8%,20.9%,45.4%,54.6%,https://www.football-lab.jp/shon/report/?year=2020&month=08&date=09
A,横浜FC,L,2,4,1.767,1.63,15,14,4,6,0,1,494,516,25,7,15,5,3,1,4,5,15,16,13,5,17,11,9,30,2,0,1,3,1,1,0,0,43,43,14,19,"112,666m","111,964m",153,117,102,97,14.7%,14.4%,50%,50%,https://www.football-lab.jp/shon/report/?year=2020&month=08&date=15
