HOME/AWAY,Opponent,勝敗,kobe_得点,kobe_失点,kobe_ゴール期待値,Opponent_ゴール期待値,kobe_シュート,Opponent_シュート,kobe_枠内シュート,Opponent_枠内シュート,kobe_PKによるシュート,Opponent_PKによるシュート,kobe_パス,Opponent_パス,kobe_クロス,Opponent_クロス,kobe_直接ＦＫ,Opponent_直接ＦＫ,kobe_間接ＦＫ,Opponent_間接ＦＫ,kobe_ＣＫ,Opponent_ＣＫ,kobe_スローイン,Opponent_スローイン,kobe_ドリブル,Opponent_ドリブル,kobe_タックル,Opponent_タックル,kobe_クリア,Opponent_クリア,kobe_インターセプト,Opponent_インターセプト,kobe_オフサイド,Opponent_オフサイド,kobe_警告,Opponent_警告,kobe_退場,Opponent_退場,kobe_３０ｍライン進入,Opponent_３０ｍライン進入,kobe_ペナルティエリア進入,Opponent_ペナルティエリア進入,kobe_総移動距離,Opponent_総移動距離,kobe_スプリント,Opponent_スプリント,kobe_攻撃回数,Opponent_攻撃回数,kobe_チャンス構築率,Opponent_チャンス構築率,kobe_ボール保持率,Opponent_ボール保持率,URL
H,横浜FC,D,1,1,2.286,0.36,17,4,6,2,0,0,787,350,18,9,8,7,1,0,8,0,23,21,16,10,12,20,13,44,6,0,0,1,0,1,0,0,103,19,21,4,"114,758m","120,655m",181,142,120,108,14.2%,3.7%,65.4%,34.6%,https://www.football-lab.jp/kobe/report/?year=2020&month=02&date=23
H,広島,L,0,3,1.704,1.74,20,13,6,5,0,0,717,330,15,5,13,20,1,0,7,2,20,11,20,7,16,15,9,23,3,3,0,1,1,2,0,0,61,28,13,9,"106,200m","108,891m",146,142,114,110,17.5%,11.8%,65.8%,34.2%,https://www.football-lab.jp/kobe/report/?year=2020&month=07&date=04
A,鳥栖,W,1,0,0.639,1.111,9,12,5,2,0,0,757,307,10,10,6,8,2,2,4,6,22,12,12,11,18,17,13,25,6,5,2,2,0,1,0,0,79,25,12,7,"111,069m","117,236m",160,170,103,98,8.7%,12.2%,64.8%,35.2%,https://www.football-lab.jp/kobe/report/?year=2020&month=07&date=08
A,大分,D,1,1,1.128,1.244,14,11,3,4,0,0,658,381,16,8,9,8,1,0,5,2,18,18,14,8,21,16,12,24,1,5,0,1,0,0,0,0,51,30,10,6,"114,212m","116,141m",182,173,102,94,13.7%,11.7%,60.8%,39.2%,https://www.football-lab.jp/kobe/report/?year=2020&month=07&date=11
H,清水,W,3,1,1.942,0.682,17,10,5,4,0,0,564,544,14,11,16,6,0,5,8,3,15,16,5,8,24,14,17,21,1,1,4,0,1,2,0,0,42,48,17,14,"111,987m","114,715m",166,183,106,94,16.0%,10.6%,52.4%,47.6%,https://www.football-lab.jp/kobe/report/?year=2020&month=07&date=18
A,Ｃ大阪,D,0,0,0.821,1.279,8,12,4,3,0,0,543,534,14,12,10,13,0,2,2,5,11,14,5,9,13,10,17,12,1,0,2,0,2,0,0,0,57,38,7,6,"106,652m","110,945m",120,95,78,84,10.3%,14.3%,48.6%,51.4%,https://www.football-lab.jp/kobe/report/?year=2020&month=07&date=22
H,Ｇ大阪,L,0,2,1.137,0.69,14,11,4,6,0,0,693,379,11,6,17,7,1,2,5,4,20,23,10,6,13,19,11,24,0,3,2,1,0,2,0,0,52,34,12,6,"107,997m","115,921m",134,160,117,105,12.0%,10.5%,62.5%,37.5%,https://www.football-lab.jp/kobe/report/?year=2020&month=07&date=26
A,札幌,W,3,2,1.583,1.846,13,16,5,6,0,0,527,593,4,24,14,5,0,0,3,5,19,15,7,21,22,14,26,15,1,0,0,0,1,0,0,0,31,54,11,15,"116,346m","117,514m",179,178,108,101,12.0%,15.8%,49.8%,50.2%,https://www.football-lab.jp/kobe/report/?year=2020&month=08&date=02
H,仙台,L,1,2,2.496,0.606,23,10,5,3,0,0,656,359,33,12,12,8,1,3,6,3,20,16,17,9,17,18,17,33,3,2,2,1,1,1,0,0,71,25,18,7,"108,979m","116,553m",138,151,103,94,22.3%,10.6%,63.1%,36.9%,https://www.football-lab.jp/kobe/report/?year=2020&month=08&date=08
A,鹿島,D,2,2,1.47,2.388,13,20,6,6,0,0,457,427,8,17,21,10,2,1,3,2,17,23,12,9,17,17,21,8,4,3,1,2,3,2,0,0,39,36,7,9,"102,949m","103,942m",182,146,129,111,10.1%,18.0%,53.1%,46.9%,https://www.football-lab.jp/kobe/report/?year=2020&month=08&date=16
H,柏,L,2,3,2.126,1.096,21,13,9,7,0,0,573,260,21,7,13,11,0,2,9,3,29,17,11,7,12,14,9,35,3,1,1,0,1,0,0,0,55,26,20,7,"108,826m","106,248m",176,159,119,97,17.6%,13.4%,64.4%,35.6%,https://www.football-lab.jp/kobe/report/?year=2020&month=08&date=19
A,浦和,W,2,1,1.952,1.03,18,13,8,3,0,0,412,461,13,11,8,11,2,1,5,9,17,27,12,14,22,12,24,15,3,1,1,2,1,2,0,0,36,35,16,9,"108,588m","106,852m",179,159,106,116,17.0%,11.2%,50.6%,49.4%,https://www.football-lab.jp/kobe/report/?year=2020&month=08&date=23
H,川崎Ｆ,D,2,2,1.293,1.204,15,9,3,5,0,0,615,490,14,14,11,9,1,1,7,3,18,28,9,8,16,18,22,19,2,1,0,1,3,0,0,0,48,37,10,12,"107,466m","107,842m",169,139,115,122,13.0%,7.4%,56.2%,43.8%,https://www.football-lab.jp/kobe/report/?year=2020&month=08&date=26
H,横浜FM,D,3,3,2.153,2.09,14,14,7,4,0,1,510,482,14,15,18,7,4,7,8,0,22,36,12,11,15,18,16,14,0,2,7,4,1,3,0,0,32,48,9,15,"110,000m","116,152m",198,196,137,126,10.2%,11.1%,54%,46%,https://www.football-lab.jp/kobe/report/?year=2020&month=08&date=29
A,湘南,D,1,1,1.152,1.12,18,12,5,4,0,0,673,330,14,13,6,4,2,1,6,2,25,22,15,7,20,19,15,26,0,3,1,2,1,0,0,0,45,30,15,8,"107,166m","113,294m",173,179,122,113,14.8%,10.6%,63.1%,36.9%,https://www.football-lab.jp/kobe/report/?year=2020&month=09&date=05
A,川崎Ｆ,L,2,3,1.627,2.976,15,20,4,8,0,2,491,392,15,10,11,10,1,1,4,7,20,27,8,15,28,16,17,23,3,3,1,1,3,0,0,0,33,36,15,14,"105,283m","105,583m",191,154,116,124,12.9%,16.1%,55.4%,44.6%,https://www.football-lab.jp/kobe/report/?year=2020&month=09&date=09
H,FC東京,D,2,2,0.966,1.049,12,9,4,5,0,0,585,326,9,9,16,19,1,2,4,1,17,21,7,7,26,20,23,26,0,1,1,1,4,2,0,0,43,31,13,12,"105,300m","110,648m",151,174,105,108,11.4%,8.3%,62.3%,37.7%,https://www.football-lab.jp/kobe/report/?year=2020&month=09&date=12
H,Ｃ大阪,L,0,1,1.562,0.721,22,12,3,3,0,0,708,239,25,4,7,9,0,1,11,3,20,12,13,4,17,8,6,49,2,5,1,0,1,0,0,1,113,15,21,5,"108,068m","108,541m",119,92,98,86,22.4%,14.0%,68.3%,31.7%,https://www.football-lab.jp/kobe/report/?year=2020&month=09&date=16
A,名古屋,L,1,2,0.521,2.317,9,13,2,6,0,2,586,408,9,16,10,9,2,1,3,7,17,23,5,13,16,23,18,15,2,3,1,1,4,0,0,0,51,29,4,17,"104,489m","112,056m",160,164,116,118,7.8%,11.0%,58.4%,41.6%,https://www.football-lab.jp/kobe/report/?year=2020&month=09&date=19
H,鳥栖,W,4,3,0.881,1.061,8,9,6,3,0,0,468,685,4,16,9,12,0,3,1,4,12,14,7,6,19,16,25,9,1,3,3,0,2,0,0,0,40,57,10,13,"111,552m","118,303m",161,182,88,94,9.1%,9.6%,40.9%,59.1%,https://www.football-lab.jp/kobe/report/?year=2020&month=09&date=23
H,札幌,W,4,0,1.422,0.962,12,16,8,2,0,0,442,662,8,25,12,12,2,2,0,8,21,22,9,20,25,22,29,8,0,0,2,2,1,1,0,0,24,52,11,26,"116,641m","118,591m",174,175,118,128,10.2%,12.5%,46.2%,53.8%,https://www.football-lab.jp/kobe/report/?year=2020&month=09&date=26
H,名古屋,W,1,0,1.07,0.554,15,5,4,2,0,0,646,455,9,15,8,10,2,2,5,0,15,35,7,8,16,26,25,20,5,2,2,2,1,1,0,0,42,24,7,6,"115,590m","117,944m",143,143,105,117,14.3%,4.3%,57.8%,42.2%,https://www.football-lab.jp/kobe/report/?year=2020&month=09&date=30
