HOME/AWAY,Opponent,勝敗,uraw_得点,uraw_失点,Opponent_ゴール期待値,uraw_ゴール期待値,Opponent_シュート,uraw_シュート,Opponent_枠内シュート,uraw_枠内シュート,Opponent_PKによるシュート,uraw_PKによるシュート,Opponent_パス,uraw_パス,Opponent_クロス,uraw_クロス,Opponent_直接ＦＫ,uraw_直接ＦＫ,Opponent_間接ＦＫ,uraw_間接ＦＫ,Opponent_ＣＫ,uraw_ＣＫ,Opponent_スローイン,uraw_スローイン,Opponent_ドリブル,uraw_ドリブル,Opponent_タックル,uraw_タックル,Opponent_クリア,uraw_クリア,Opponent_インターセプト,uraw_インターセプト,Opponent_オフサイド,uraw_オフサイド,Opponent_警告,uraw_警告,Opponent_退場,uraw_退場,Opponent_３０ｍライン進入,uraw_３０ｍライン進入,Opponent_ペナルティエリア進入,uraw_ペナルティエリア進入,Opponent_総移動距離,uraw_総移動距離,Opponent_スプリント,uraw_スプリント,Opponent_攻撃回数,uraw_攻撃回数,Opponent_チャンス構築率,uraw_チャンス構築率,Opponent_ボール保持率,uraw_ボール保持率,URL
A,湘南,W,3,2,1.779,2.011,12,11,2,6,1,0,508,403,18,17,9,10,1,2,7,5,24,22,15,11,27,30,33,34,2,2,2,1,1,0,0,0,54,26,15,14,"120,803m","116,932m",224,177,126,128,9.5%,8.6%,55.3%,44.7%,https://www.football-lab.jp/uraw/report/?year=2020&month=02&date=21
H,横浜FM,D,0,0,1.86,0.642,17,14,3,2,0,0,774,227,28,5,15,15,5,1,13,3,25,22,20,7,19,30,11,27,0,3,1,5,0,2,0,0,81,17,32,4,"122,517m","119,443m",198,205,131,112,13.0%,12.5%,68.2%,31.8%,https://www.football-lab.jp/uraw/report/?year=2020&month=07&date=04
A,仙台,W,2,1,2.168,1.46,16,17,4,7,0,0,442,559,23,14,9,7,2,0,6,7,20,21,12,12,15,20,22,27,2,3,0,2,0,1,0,0,54,47,13,19,"114,841m","111,074m",154,175,121,114,13.2%,14.9%,45.7%,54.3%,https://www.football-lab.jp/uraw/report/?year=2020&month=07&date=08
H,鹿島,W,1,0,0.461,0.988,7,6,0,1,0,0,521,293,22,8,18,17,1,0,5,4,21,25,15,11,20,20,20,28,1,0,0,1,2,4,0,0,56,19,5,6,"109,180m","109,140m",151,150,119,124,5.9%,4.8%,58.3%,41.7%,https://www.football-lab.jp/uraw/report/?year=2020&month=07&date=12
A,FC東京,L,0,2,2.13,0.658,13,9,3,1,0,0,403,522,8,23,11,9,2,1,3,8,15,19,13,13,17,21,24,26,2,1,1,2,1,2,0,0,43,54,18,11,"109,134m","107,265m",181,156,96,105,13.5%,8.6%,45.4%,54.6%,https://www.football-lab.jp/uraw/report/?year=2020&month=07&date=18
H,柏,L,0,4,0.949,1.121,10,17,7,4,0,0,430,598,9,17,13,11,0,2,1,5,20,27,3,12,18,16,36,13,4,2,2,0,2,1,0,0,29,50,4,12,"111,968m","109,051m",129,156,123,131,8.1%,13.0%,44.4%,55.6%,https://www.football-lab.jp/uraw/report/?year=2020&month=07&date=22
A,横浜FC,W,2,0,0.927,1.063,15,13,2,4,0,0,569,386,19,12,10,10,2,1,5,7,19,14,8,11,10,12,18,22,1,0,1,2,0,0,0,0,48,39,18,9,"109,466m","111,017m",129,150,96,98,15.6%,13.3%,54.2%,45.8%,https://www.football-lab.jp/uraw/report/?year=2020&month=07&date=26
H,清水,D,1,1,0.994,0.903,11,12,2,2,0,0,582,335,18,13,8,14,1,2,12,8,21,15,15,13,24,20,17,31,1,3,2,1,1,2,0,0,57,28,15,11,"106,907m","108,504m",181,181,116,113,9.5%,10.6%,57.9%,42.1%,https://www.football-lab.jp/uraw/report/?year=2020&month=08&date=01
A,名古屋,L,2,6,2.958,1.41,19,11,9,2,0,0,618,529,8,10,11,3,1,2,5,1,12,15,8,5,13,25,19,13,2,4,1,1,0,1,0,0,42,45,13,10,"116,556m","111,916m",142,133,104,97,18.3%,11.3%,50.9%,49.1%,https://www.football-lab.jp/uraw/report/?year=2020&month=08&date=08
H,広島,W,1,0,2.121,0.954,24,3,6,1,0,1,702,275,33,7,8,4,1,1,13,0,27,20,21,8,10,18,8,43,1,0,1,1,1,2,0,0,106,12,19,5,"105,362m","105,559m",114,103,117,92,20.5%,3.3%,65.7%,34.3%,https://www.football-lab.jp/uraw/report/?year=2020&month=08&date=15
A,Ｇ大阪,W,3,1,1.437,2.598,22,10,8,5,0,1,802,395,13,6,15,6,0,1,2,2,23,20,10,4,14,22,6,27,4,1,1,0,1,1,0,0,96,30,17,11,"112,454m","112,800m",152,122,115,107,19.1%,9.3%,62.5%,37.5%,https://www.football-lab.jp/uraw/report/?year=2020&month=08&date=19
H,神戸,L,1,2,1.952,1.03,18,13,8,3,0,0,412,461,13,11,8,11,2,1,5,9,17,27,12,14,22,12,24,15,3,1,1,2,1,2,0,0,36,35,16,9,"108,588m","106,852m",179,159,106,116,17.0%,11.2%,50.6%,49.4%,https://www.football-lab.jp/uraw/report/?year=2020&month=08&date=23
H,大分,W,2,1,2.074,1.189,17,10,3,5,0,0,559,494,24,8,8,8,2,1,3,3,19,21,7,3,5,13,18,27,3,0,1,2,0,0,0,0,55,31,19,10,"115,191m","112,002m",128,151,98,99,17.3%,10.1%,51.1%,48.9%,https://www.football-lab.jp/uraw/report/?year=2020&month=08&date=29
A,Ｃ大阪,L,0,3,0.845,1.003,12,15,3,1,0,0,398,526,7,24,15,5,1,0,2,7,15,19,6,13,15,13,34,9,2,2,0,1,1,1,0,0,30,51,7,16,"111,638m","108,612m",150,161,102,101,11.8%,14.9%,46.3%,53.7%,https://www.football-lab.jp/uraw/report/?year=2020&month=09&date=05
H,鳥栖,D,2,2,1.063,1.448,11,18,5,5,0,0,482,512,7,14,10,6,2,2,2,4,22,24,8,9,13,24,23,13,2,2,1,2,1,1,0,0,41,51,16,17,"111,761m","108,608m",144,152,113,111,9.7%,16.2%,48.8%,51.2%,https://www.football-lab.jp/uraw/report/?year=2020&month=09&date=09
A,札幌,W,4,3,3.212,2.402,26,8,8,5,0,1,595,280,35,9,7,11,0,2,15,1,11,12,19,14,15,15,12,43,2,4,2,0,0,0,0,0,68,29,36,10,"107,611m","107,039m",125,151,114,103,22.8%,7.8%,61.1%,38.9%,https://www.football-lab.jp/uraw/report/?year=2020&month=09&date=13
H,川崎Ｆ,L,0,3,3.463,0.888,25,8,10,1,0,0,660,436,12,12,17,7,2,0,1,4,19,15,15,7,24,22,22,7,1,2,0,2,2,1,0,0,72,28,24,7,"111,359m","109,816m",179,174,114,113,21.9%,7.1%,57.7%,42.3%,https://www.football-lab.jp/uraw/report/?year=2020&month=09&date=20
A,清水,W,2,1,1.487,0.794,15,7,5,4,0,0,624,429,23,11,11,20,2,1,6,3,15,18,15,4,15,22,15,24,3,0,1,0,3,1,0,0,62,29,16,5,"114,485m","112,564m",160,191,109,113,13.8%,6.2%,57.1%,42.9%,https://www.football-lab.jp/uraw/report/?year=2020&month=09&date=23
H,横浜FC,L,0,2,0.768,1.337,8,14,3,2,0,0,489,636,6,15,12,5,1,1,3,5,10,23,7,10,24,22,17,11,6,4,1,1,2,2,0,0,34,61,9,13,"117,677m","115,129m",143,196,100,104,8.0%,13.5%,46.4%,53.6%,https://www.football-lab.jp/uraw/report/?year=2020&month=09&date=26
