HOME/AWAY,Opponent,勝敗,tosu_得点,tosu_失点,Opponent_ゴール期待値,tosu_ゴール期待値,Opponent_シュート,tosu_シュート,Opponent_枠内シュート,tosu_枠内シュート,Opponent_PKによるシュート,tosu_PKによるシュート,Opponent_パス,tosu_パス,Opponent_クロス,tosu_クロス,Opponent_直接ＦＫ,tosu_直接ＦＫ,Opponent_間接ＦＫ,tosu_間接ＦＫ,Opponent_ＣＫ,tosu_ＣＫ,Opponent_スローイン,tosu_スローイン,Opponent_ドリブル,tosu_ドリブル,Opponent_タックル,tosu_タックル,Opponent_クリア,tosu_クリア,Opponent_インターセプト,tosu_インターセプト,Opponent_オフサイド,tosu_オフサイド,Opponent_警告,tosu_警告,Opponent_退場,tosu_退場,Opponent_３０ｍライン進入,tosu_３０ｍライン進入,Opponent_ペナルティエリア進入,tosu_ペナルティエリア進入,Opponent_総移動距離,tosu_総移動距離,Opponent_スプリント,tosu_スプリント,Opponent_攻撃回数,tosu_攻撃回数,Opponent_チャンス構築率,tosu_チャンス構築率,Opponent_ボール保持率,tosu_ボール保持率,URL
A,川崎Ｆ,D,0,0,2.873,0.309,24,5,4,1,0,0,658,314,19,8,10,6,1,2,8,6,20,14,17,14,15,20,14,26,3,3,2,1,0,2,0,0,71,20,22,6,"109,859m","114,335m",184,177,111,100,21.6%,5.0%,59%,41%,https://www.football-lab.jp/tosu/report/?year=2020&month=02&date=22
A,大分,L,0,2,0.789,0.781,9,13,5,4,0,0,602,537,13,11,7,10,1,1,2,6,14,20,1,7,9,9,21,16,2,1,0,1,0,0,0,0,37,33,7,11,"116,736m","119,225m",156,157,92,100,9.8%,13.0%,50%,50%,https://www.football-lab.jp/tosu/report/?year=2020&month=07&date=04
H,神戸,L,0,1,0.639,1.111,9,12,5,2,0,0,757,307,10,10,6,8,2,2,4,6,22,12,12,11,18,17,13,25,6,5,2,2,0,1,0,0,79,25,12,7,"111,069m","117,236m",160,170,103,98,8.7%,12.2%,64.8%,35.2%,https://www.football-lab.jp/tosu/report/?year=2020&month=07&date=08
H,広島,D,0,0,1.253,0.618,12,6,2,2,0,0,530,554,17,11,11,12,1,2,4,2,14,16,16,7,22,23,13,16,6,3,2,1,1,0,0,0,42,42,9,8,"111,703m","118,613m",151,202,113,113,10.6%,5.3%,44.3%,55.7%,https://www.football-lab.jp/tosu/report/?year=2020&month=07&date=12
A,名古屋,L,0,1,0.87,1.128,8,10,3,3,0,0,537,462,11,7,16,11,4,1,2,4,16,24,10,7,13,15,16,19,1,1,1,4,2,3,0,1,51,33,10,7,"113,534m","111,126m",151,156,98,104,8.2%,9.6%,50.7%,49.3%,https://www.football-lab.jp/tosu/report/?year=2020&month=07&date=18
H,清水,D,1,1,1.416,1.317,13,16,3,3,0,0,427,467,11,22,8,7,1,3,7,10,13,25,5,17,11,14,26,11,0,4,3,1,2,1,0,0,33,52,10,20,"110,862m","113,392m",166,179,92,98,14.1%,16.3%,44.2%,55.8%,https://www.football-lab.jp/tosu/report/?year=2020&month=07&date=22
H,Ｃ大阪,D,1,1,1.467,1.375,13,15,2,5,0,0,522,387,14,18,9,7,1,2,5,8,18,12,9,12,12,16,21,21,1,0,2,1,2,1,0,0,35,40,12,12,"112,034m","117,147m",134,171,81,87,16.0%,17.2%,54.2%,45.8%,https://www.football-lab.jp/tosu/report/?year=2020&month=07&date=26
A,FC東京,W,3,2,1.972,1.028,12,14,3,6,0,0,445,417,24,15,13,10,3,2,4,3,23,17,7,13,19,20,14,28,0,0,2,3,3,0,0,0,43,31,17,9,"111,970m","116,052m",174,161,116,105,10.3%,13.3%,51.2%,48.8%,https://www.football-lab.jp/tosu/report/?year=2020&month=08&date=01
A,鹿島,L,0,2,1.422,0.885,10,6,3,3,0,0,427,496,11,8,16,18,2,1,1,4,23,17,8,6,15,20,18,20,1,2,0,1,1,1,0,0,29,42,11,9,"110,749m","113,578m",200,181,114,121,8.8%,5.0%,45.3%,54.7%,https://www.football-lab.jp/tosu/report/?year=2020&month=08&date=08
H,横浜FC,W,3,0,0.793,1.462,10,14,2,5,0,0,500,498,14,14,5,14,4,1,5,3,24,13,8,10,17,19,17,22,0,3,1,4,2,1,0,0,34,42,13,16,"116,169m","117,620m",137,142,107,102,9.3%,13.7%,49.1%,50.9%,https://www.football-lab.jp/tosu/report/?year=2020&month=09&date=05
A,浦和,D,2,2,1.448,1.063,18,11,5,5,0,0,512,482,14,7,6,10,2,2,4,2,24,22,9,8,24,13,13,23,2,2,2,1,1,1,0,0,51,41,17,16,"108,608m","111,761m",152,144,111,113,16.2%,9.7%,51.2%,48.8%,https://www.football-lab.jp/tosu/report/?year=2020&month=09&date=09
H,柏,W,2,1,0.894,1.666,13,12,4,4,0,1,464,518,23,14,7,18,3,1,7,2,20,14,9,10,28,13,12,29,3,1,1,3,3,1,0,0,45,42,19,10,"112,488m","118,222m",169,182,109,112,11.9%,10.7%,45.1%,54.9%,https://www.football-lab.jp/tosu/report/?year=2020&month=09&date=13
H,札幌,L,0,2,1.695,0.537,21,6,6,1,0,0,559,505,19,8,6,21,0,2,4,1,11,15,20,5,8,17,15,13,1,1,2,0,2,1,0,0,59,22,14,8,"112,707m","116,081m",145,135,101,117,20.8%,5.1%,49.6%,50.4%,https://www.football-lab.jp/tosu/report/?year=2020&month=09&date=16
H,横浜FM,L,1,3,1.975,1.258,16,12,6,2,0,0,572,670,23,14,7,12,4,3,3,3,16,10,11,11,27,26,19,19,2,2,3,4,3,0,0,0,61,51,20,14,"129,826m","129,370m",217,217,117,115,13.7%,10.4%,45.3%,54.7%,https://www.football-lab.jp/tosu/report/?year=2020&month=09&date=19
A,神戸,L,3,4,0.881,1.061,8,9,6,3,0,0,468,685,4,16,9,12,0,3,1,4,12,14,7,6,19,16,25,9,1,3,3,0,2,0,0,0,40,57,10,13,"111,552m","118,303m",161,182,88,94,9.1%,9.6%,40.9%,59.1%,https://www.football-lab.jp/tosu/report/?year=2020&month=09&date=23
H,FC東京,W,3,0,1.28,0.372,12,8,3,4,0,0,412,488,15,10,14,13,0,3,5,3,21,19,18,13,18,24,8,29,1,1,3,0,3,0,0,0,41,39,11,7,"112,095m","113,197m",197,144,124,124,9.7%,6.5%,45.8%,54.2%,https://www.football-lab.jp/tosu/report/?year=2020&month=09&date=27
