HOME/AWAY,Opponent,勝敗,ka-f_得点,ka-f_失点,ka-f_ゴール期待値,Opponent_ゴール期待値,ka-f_シュート,Opponent_シュート,ka-f_枠内シュート,Opponent_枠内シュート,ka-f_PKによるシュート,Opponent_PKによるシュート,ka-f_パス,Opponent_パス,ka-f_クロス,Opponent_クロス,ka-f_直接ＦＫ,Opponent_直接ＦＫ,ka-f_間接ＦＫ,Opponent_間接ＦＫ,ka-f_ＣＫ,Opponent_ＣＫ,ka-f_スローイン,Opponent_スローイン,ka-f_ドリブル,Opponent_ドリブル,ka-f_タックル,Opponent_タックル,ka-f_クリア,Opponent_クリア,ka-f_インターセプト,Opponent_インターセプト,ka-f_オフサイド,Opponent_オフサイド,ka-f_警告,Opponent_警告,ka-f_退場,Opponent_退場,ka-f_３０ｍライン進入,Opponent_３０ｍライン進入,ka-f_ペナルティエリア進入,Opponent_ペナルティエリア進入,ka-f_総移動距離,Opponent_総移動距離,ka-f_スプリント,Opponent_スプリント,ka-f_攻撃回数,Opponent_攻撃回数,ka-f_チャンス構築率,Opponent_チャンス構築率,ka-f_ボール保持率,Opponent_ボール保持率,URL
H,鳥栖,D,0,0,2.873,0.309,24,5,4,1,0,0,658,314,19,8,10,6,1,2,8,6,20,14,17,14,15,20,14,26,3,3,2,1,0,2,0,0,71,20,22,6,"109,859m","114,335m",184,177,111,100,21.6%,5.0%,59%,41%,https://www.football-lab.jp/ka-f/report/?year=2020&month=02&date=22
H,鹿島,W,2,1,2.122,1.2,12,14,3,4,0,0,438,423,15,21,14,6,2,4,7,11,23,22,10,7,18,25,36,11,0,1,4,1,2,3,0,0,46,36,11,8,"105,534m","105,415m",164,143,111,107,10.8%,13.1%,51.1%,48.9%,https://www.football-lab.jp/ka-f/report/?year=2020&month=07&date=04
A,FC東京,W,4,0,2.322,0.751,17,12,6,3,0,0,600,370,6,10,12,15,4,1,6,8,20,18,12,19,29,20,21,19,2,3,1,4,1,0,0,0,59,43,24,13,"106,560m","104,235m",155,171,116,118,14.7%,10.2%,56.5%,43.5%,https://www.football-lab.jp/ka-f/report/?year=2020&month=07&date=08
H,柏,W,3,1,1.345,0.519,14,5,7,1,0,0,662,462,13,11,15,11,1,0,6,4,19,23,11,4,14,30,17,19,5,3,0,1,3,2,0,0,76,31,19,4,"111,258m","110,730m",150,151,128,125,10.9%,4.0%,56.1%,43.9%,https://www.football-lab.jp/ka-f/report/?year=2020&month=07&date=11
A,横浜FC,W,5,1,4.629,0.959,25,10,11,2,2,0,568,597,17,14,6,6,1,2,10,2,22,15,12,20,13,19,12,23,3,4,2,1,0,0,0,0,63,46,21,12,"114,557m","116,724m",164,138,119,103,21.0%,9.7%,48.9%,51.1%,https://www.football-lab.jp/ka-f/report/?year=2020&month=07&date=18
A,仙台,W,3,2,2.847,1.105,22,11,5,2,0,0,655,377,18,7,10,6,2,1,7,3,19,14,13,7,16,17,13,19,1,2,1,2,0,0,0,0,77,26,17,10,"111,100m","112,311m",165,166,104,100,21.2%,11.0%,60.6%,39.4%,https://www.football-lab.jp/ka-f/report/?year=2020&month=07&date=22
H,湘南,W,3,1,2.996,0.443,29,5,11,2,0,0,751,423,20,6,4,2,1,3,6,2,18,15,10,5,22,17,13,24,2,1,3,1,0,0,0,0,76,21,38,4,"107,952m","112,904m",117,105,110,103,26.4%,4.9%,58.4%,41.6%,https://www.football-lab.jp/ka-f/report/?year=2020&month=07&date=26
A,Ｇ大阪,W,1,0,1.265,0.943,16,14,4,3,0,0,548,597,11,11,12,8,2,5,5,5,18,25,8,13,20,9,28,12,1,0,5,2,0,0,0,0,56,44,10,15,"109,795m","111,755m",117,123,102,108,15.7%,13.0%,46.9%,53.1%,https://www.football-lab.jp/ka-f/report/?year=2020&month=08&date=01
H,大分,W,2,0,1.404,0.161,18,4,6,1,0,0,608,639,15,2,6,5,3,2,8,1,20,9,7,4,11,20,3,30,2,1,2,3,0,0,0,0,61,18,15,0,"110,787m","113,956m",151,144,96,80,18.8%,5.0%,48.2%,51.8%,https://www.football-lab.jp/ka-f/report/?year=2020&month=08&date=08
A,札幌,W,6,1,3.204,1.017,16,12,13,2,0,0,588,540,8,27,13,10,1,0,1,2,13,16,14,11,22,17,26,10,6,5,0,0,1,2,0,0,45,48,14,17,"113,440m","112,870m",174,163,112,113,14.3%,10.6%,52%,48%,https://www.football-lab.jp/ka-f/report/?year=2020&month=08&date=15
