HOME/AWAY,Opponent,勝敗,y-fm_得点,y-fm_失点,y-fm_ゴール期待値,Opponent_ゴール期待値,y-fm_シュート,Opponent_シュート,y-fm_枠内シュート,Opponent_枠内シュート,y-fm_PKによるシュート,Opponent_PKによるシュート,y-fm_パス,Opponent_パス,y-fm_クロス,Opponent_クロス,y-fm_直接ＦＫ,Opponent_直接ＦＫ,y-fm_間接ＦＫ,Opponent_間接ＦＫ,y-fm_ＣＫ,Opponent_ＣＫ,y-fm_スローイン,Opponent_スローイン,y-fm_ドリブル,Opponent_ドリブル,y-fm_タックル,Opponent_タックル,y-fm_クリア,Opponent_クリア,y-fm_インターセプト,Opponent_インターセプト,y-fm_オフサイド,Opponent_オフサイド,y-fm_警告,Opponent_警告,y-fm_退場,Opponent_退場,y-fm_３０ｍライン進入,Opponent_３０ｍライン進入,y-fm_ペナルティエリア進入,Opponent_ペナルティエリア進入,y-fm_総移動距離,Opponent_総移動距離,y-fm_スプリント,Opponent_スプリント,y-fm_攻撃回数,Opponent_攻撃回数,y-fm_チャンス構築率,Opponent_チャンス構築率,y-fm_ボール保持率,Opponent_ボール保持率,URL
H,神戸,L,2,3,3.531,1.067,29,3,8,3,0,1,788,320,49,3,7,13,4,2,12,1,26,18,6,8,20,13,11,61,0,1,1,4,3,0,0,0,85,16,34,2,"118,824m","113,344m",155,155,128,122,22.7%,2.5%,62.1%,37.9%,https://www.football-lab.jp/y-fm/report/?year=2020&month=10&date=04
H,大分,W,4,0,0.838,0.326,15,5,6,0,0,0,584,673,17,19,10,15,3,2,7,2,22,28,11,7,15,17,18,16,3,4,2,3,1,1,0,0,49,38,14,6,"127,636m","121,854m",170,177,128,134,11.7%,3.7%,45.6%,54.4%,https://www.football-lab.jp/y-fm/report/?year=2020&month=10&date=10
A,Ｇ大阪,D,1,1,1.207,2.353,10,18,4,4,0,1,540,525,15,20,9,10,2,3,4,11,31,19,5,15,19,25,36,20,1,3,3,2,0,0,0,0,48,46,13,19,"116,037m","117,019m",152,161,141,141,7.1%,12.8%,49%,51%,https://www.football-lab.jp/y-fm/report/?year=2020&month=10&date=14
A,Ｃ大阪,L,1,4,0.691,1.99,13,18,4,7,0,0,664,411,24,20,6,15,2,3,5,5,27,32,7,18,29,28,29,28,1,6,3,2,1,1,0,0,67,27,19,15,"128,744m","126,819m",206,180,131,144,9.9%,12.5%,57.7%,42.3%,https://www.football-lab.jp/y-fm/report/?year=2020&month=10&date=17
H,名古屋,W,2,1,2.304,0.591,20,10,9,2,0,0,665,421,24,10,12,17,5,1,9,0,25,24,16,7,19,21,10,21,3,2,1,6,0,1,0,0,66,23,21,5,"126,316m","119,805m",162,171,140,131,14.3%,7.6%,56.6%,43.4%,https://www.football-lab.jp/y-fm/report/?year=2020&month=10&date=21
A,FC東京,W,4,0,1.214,1.47,12,18,4,5,0,0,743,345,15,15,12,18,2,2,3,8,23,20,8,19,29,32,24,13,0,1,2,2,1,1,0,1,63,29,16,15,"118,071m","113,889m",182,211,120,132,10.0%,13.6%,61.7%,38.3%,https://www.football-lab.jp/y-fm/report/?year=2020&month=10&date=24
A,広島,L,1,3,2.105,1.587,9,12,6,5,1,1,790,291,21,9,10,9,4,5,6,3,33,22,13,11,16,32,14,22,0,0,4,4,2,0,0,0,78,25,18,11,"115,657m","112,767m",165,178,126,117,7.1%,10.3%,64.9%,35.1%,https://www.football-lab.jp/y-fm/report/?year=2020&month=10&date=28
H,鹿島,L,2,3,1.549,1.725,13,26,5,7,0,0,520,460,13,26,11,21,2,2,5,10,14,27,10,23,18,24,40,9,2,4,2,2,3,2,0,0,36,57,19,17,"121,113m","116,274m",194,208,123,152,10.6%,17.1%,50.2%,49.8%,https://www.football-lab.jp/y-fm/report/?year=2020&month=11&date=03
A,湘南,L,0,1,1.077,0.959,15,6,7,2,0,0,814,342,21,9,10,14,2,4,5,2,23,17,15,11,21,22,13,25,2,0,4,2,1,1,0,0,92,21,21,7,"126,377m","123,387m",184,177,136,134,11.0%,4.5%,62.2%,37.8%,https://www.football-lab.jp/y-fm/report/?year=2020&month=11&date=11
H,浦和,W,6,2,4.615,2.769,28,16,14,5,0,0,625,508,31,15,6,14,4,1,11,3,19,16,18,14,29,28,13,24,4,1,1,4,0,1,0,0,78,41,34,10,"128,824m","120,854m",257,214,128,130,21.9%,12.3%,52.1%,47.9%,https://www.football-lab.jp/y-fm/report/?year=2020&month=11&date=14
A,川崎Ｆ,L,1,3,0.737,2.452,8,24,2,11,0,1,389,546,10,25,10,13,2,1,5,17,17,27,11,18,32,24,36,11,2,2,1,2,4,2,1,0,22,63,6,25,"106,675m","110,029m",157,150,109,130,7.3%,18.5%,43.3%,56.7%,https://www.football-lab.jp/y-fm/report/?year=2020&month=11&date=18
A,横浜FC,L,1,3,3.665,1.629,27,13,7,8,0,0,693,324,26,7,11,14,2,1,4,6,16,19,12,8,15,18,15,32,4,4,1,2,2,1,0,0,82,23,17,8,"124,932m","123,353m",196,184,114,115,23.7%,11.3%,60.5%,39.5%,https://www.football-lab.jp/y-fm/report/?year=2020&month=12&date=19
