HOME/AWAY,Opponent,勝敗,hiro_得点,hiro_失点,hiro_ゴール期待値,Opponent_ゴール期待値,hiro_シュート,Opponent_シュート,hiro_枠内シュート,Opponent_枠内シュート,hiro_PKによるシュート,Opponent_PKによるシュート,hiro_パス,Opponent_パス,hiro_クロス,Opponent_クロス,hiro_直接ＦＫ,Opponent_直接ＦＫ,hiro_間接ＦＫ,Opponent_間接ＦＫ,hiro_ＣＫ,Opponent_ＣＫ,hiro_スローイン,Opponent_スローイン,hiro_ドリブル,Opponent_ドリブル,hiro_タックル,Opponent_タックル,hiro_クリア,Opponent_クリア,hiro_インターセプト,Opponent_インターセプト,hiro_オフサイド,Opponent_オフサイド,hiro_警告,Opponent_警告,hiro_退場,Opponent_退場,hiro_３０ｍライン進入,Opponent_３０ｍライン進入,hiro_ペナルティエリア進入,Opponent_ペナルティエリア進入,hiro_総移動距離,Opponent_総移動距離,hiro_スプリント,Opponent_スプリント,hiro_攻撃回数,Opponent_攻撃回数,hiro_チャンス構築率,Opponent_チャンス構築率,hiro_ボール保持率,Opponent_ボール保持率,URL
H,鹿島,W,3,0,1.472,2.808,12,19,7,2,0,0,307,622,11,21,8,5,1,1,7,10,18,38,2,19,28,20,24,18,0,2,1,1,0,3,0,0,17,54,12,20,"114,943m","114,387m",197,175,123,122,9.8%,15.6%,36.8%,63.2%,https://www.football-lab.jp/hiro/report/?year=2020&month=02&date=23
A,神戸,W,3,0,1.74,1.704,13,20,5,6,0,0,330,717,5,15,20,13,0,1,2,7,11,20,7,20,15,16,23,9,3,3,1,0,2,1,0,0,28,61,9,13,"108,891m","106,200m",142,146,110,114,11.8%,17.5%,34.2%,65.8%,https://www.football-lab.jp/hiro/report/?year=2020&month=07&date=04
H,大分,L,1,2,0.641,1.317,12,16,2,7,0,0,518,675,17,15,6,5,2,6,7,7,18,17,13,8,15,10,22,15,1,4,5,2,0,0,0,0,40,48,13,10,"113,826m","119,349m",128,166,100,101,12.0%,15.8%,44.9%,55.1%,https://www.football-lab.jp/hiro/report/?year=2020&month=07&date=08
A,鳥栖,D,0,0,1.253,0.618,12,6,2,2,0,0,530,554,17,11,11,12,1,2,4,2,14,16,16,7,22,23,13,16,6,3,2,1,1,0,0,0,42,42,9,8,"111,703m","118,613m",151,202,113,113,10.6%,5.3%,44.3%,55.7%,https://www.football-lab.jp/hiro/report/?year=2020&month=07&date=12
H,Ｃ大阪,L,1,2,1.512,0.861,13,10,7,2,1,0,500,516,14,14,10,17,1,3,5,3,16,17,12,12,22,14,12,15,2,3,3,0,1,0,0,0,55,46,11,11,"111,411m","114,575m",175,145,109,113,11.9%,8.8%,47.8%,52.2%,https://www.football-lab.jp/hiro/report/?year=2020&month=07&date=18
A,Ｇ大阪,L,0,1,1.412,1.522,20,14,5,1,0,0,643,527,29,18,7,10,2,2,5,5,18,9,17,6,18,22,14,37,4,1,2,2,1,0,0,0,69,47,20,13,"105,913m","112,337m",149,165,108,104,18.5%,13.5%,54.9%,45.1%,https://www.football-lab.jp/hiro/report/?year=2020&month=07&date=22
A,横浜FC,W,2,0,2.169,0.293,14,7,3,2,0,0,553,540,14,13,12,17,0,0,6,3,22,22,11,5,16,12,17,16,2,1,0,0,1,1,0,0,58,43,12,10,"109,786m","109,894m",141,122,108,102,13.0%,6.9%,48.9%,51.1%,https://www.football-lab.jp/hiro/report/?year=2020&month=08&date=01
H,湘南,W,1,0,2.373,0.501,24,5,8,1,0,0,635,492,27,14,9,9,0,5,10,3,19,14,12,7,22,21,22,20,2,1,5,0,2,1,0,0,66,32,23,3,"112,958m","117,090m",160,167,115,104,20.9%,4.8%,54.6%,45.4%,https://www.football-lab.jp/hiro/report/?year=2020&month=08&date=09
A,浦和,L,0,1,2.121,0.954,24,3,6,1,0,1,702,275,33,7,8,4,1,1,13,0,27,20,21,8,10,18,8,43,1,0,1,1,1,2,0,0,106,12,19,5,"105,362m","105,559m",114,103,117,92,20.5%,3.3%,65.7%,34.3%,https://www.football-lab.jp/hiro/report/?year=2020&month=08&date=15
H,FC東京,D,3,3,0.925,1.758,13,10,6,5,0,0,664,281,20,9,9,13,0,3,4,7,23,17,10,13,15,15,14,25,1,2,3,0,2,1,0,0,74,24,18,8,"107,276m","107,892m",148,190,103,107,12.6%,9.3%,63.2%,36.8%,https://www.football-lab.jp/hiro/report/?year=2020&month=08&date=19
