HOME/AWAY,Opponent,勝敗,kasm_得点,kasm_失点,Opponent_ゴール期待値,kasm_ゴール期待値,Opponent_シュート,kasm_シュート,Opponent_枠内シュート,kasm_枠内シュート,Opponent_PKによるシュート,kasm_PKによるシュート,Opponent_パス,kasm_パス,Opponent_クロス,kasm_クロス,Opponent_直接ＦＫ,kasm_直接ＦＫ,Opponent_間接ＦＫ,kasm_間接ＦＫ,Opponent_ＣＫ,kasm_ＣＫ,Opponent_スローイン,kasm_スローイン,Opponent_ドリブル,kasm_ドリブル,Opponent_タックル,kasm_タックル,Opponent_クリア,kasm_クリア,Opponent_インターセプト,kasm_インターセプト,Opponent_オフサイド,kasm_オフサイド,Opponent_警告,kasm_警告,Opponent_退場,kasm_退場,Opponent_３０ｍライン進入,kasm_３０ｍライン進入,Opponent_ペナルティエリア進入,kasm_ペナルティエリア進入,Opponent_総移動距離,kasm_総移動距離,Opponent_スプリント,kasm_スプリント,Opponent_攻撃回数,kasm_攻撃回数,Opponent_チャンス構築率,kasm_チャンス構築率,Opponent_ボール保持率,kasm_ボール保持率,URL
A,広島,L,0,3,1.472,2.808,12,19,7,2,0,0,307,622,11,21,8,5,1,1,7,10,18,38,2,19,28,20,24,18,0,2,1,1,0,3,0,0,17,54,12,20,"114,943m","114,387m",197,175,123,122,9.8%,15.6%,36.8%,63.2%,https://www.football-lab.jp/kasm/report/?year=2020&month=02&date=23
A,川崎Ｆ,L,1,2,2.122,1.2,12,14,3,4,0,0,438,423,15,21,14,6,2,4,7,11,23,22,10,7,18,25,36,11,0,1,4,1,2,3,0,0,46,36,11,8,"105,534m","105,415m",164,143,111,107,10.8%,13.1%,51.1%,48.9%,https://www.football-lab.jp/kasm/report/?year=2020&month=07&date=04
H,札幌,L,0,2,0.795,1.615,7,20,5,6,0,0,512,581,10,21,10,13,3,0,0,4,16,17,5,6,11,22,16,12,3,2,0,3,5,1,0,0,28,54,8,12,"113,686m","111,124m",173,185,108,109,6.5%,18.3%,46.2%,53.8%,https://www.football-lab.jp/kasm/report/?year=2020&month=07&date=08
A,浦和,L,0,1,0.988,0.461,6,7,1,0,0,0,293,521,8,22,17,18,0,1,4,5,25,21,11,15,20,20,28,20,0,1,1,0,4,2,0,0,19,56,6,5,"109,140m","109,180m",150,151,124,119,4.8%,5.9%,41.7%,58.3%,https://www.football-lab.jp/kasm/report/?year=2020&month=07&date=12
H,横浜FM,W,4,2,2.589,1.721,15,16,4,8,0,0,710,293,16,15,14,16,4,4,5,1,20,19,18,8,13,30,22,14,2,5,3,4,0,0,0,0,57,33,20,13,"119,076m","115,676m",167,206,145,131,10.3%,12.2%,64.8%,35.2%,https://www.football-lab.jp/kasm/report/?year=2020&month=07&date=18
A,湘南,L,0,1,0.875,1.38,10,17,6,3,0,0,320,655,11,23,9,13,2,0,3,6,21,26,9,11,20,15,39,13,1,1,0,2,1,3,0,0,23,53,8,17,"120,406m","114,767m",209,166,120,126,8.3%,13.5%,39.2%,60.8%,https://www.football-lab.jp/kasm/report/?year=2020&month=07&date=22
H,FC東京,D,2,2,1.975,2.54,16,23,4,8,0,0,389,468,12,14,9,14,1,0,6,7,25,14,16,12,29,33,27,15,0,2,0,1,3,1,0,0,42,46,15,17,"111,276m","107,900m",180,154,123,123,13.0%,18.7%,49.1%,50.9%,https://www.football-lab.jp/kasm/report/?year=2020&month=07&date=26
A,大分,W,4,1,0.328,2.456,7,16,1,5,0,1,503,540,11,5,9,10,3,2,3,0,20,25,2,6,17,23,12,17,1,4,2,3,1,1,0,0,29,28,4,10,"119,007m","114,580m",175,165,118,121,5.9%,13.2%,49.8%,50.2%,https://www.football-lab.jp/kasm/report/?year=2020&month=08&date=01
H,鳥栖,W,2,0,0.885,1.422,6,10,3,3,0,0,496,427,8,11,18,16,1,2,4,1,17,23,6,8,20,15,20,18,2,1,1,0,1,1,0,0,42,29,9,11,"113,578m","110,749m",181,200,121,114,5.0%,8.8%,54.7%,45.3%,https://www.football-lab.jp/kasm/report/?year=2020&month=08&date=08
H,神戸,D,2,2,1.47,2.388,13,20,6,6,0,0,457,427,8,17,21,10,2,1,3,2,17,23,12,9,17,17,21,8,4,3,1,2,3,2,0,0,39,36,7,9,"102,949m","103,942m",182,146,129,111,10.1%,18.0%,53.1%,46.9%,https://www.football-lab.jp/kasm/report/?year=2020&month=08&date=16
A,横浜FC,L,0,1,0.367,0.938,3,15,1,5,0,0,342,624,9,25,14,15,1,2,1,6,26,28,10,10,23,30,28,23,1,2,2,1,2,1,0,0,21,65,6,20,"114,862m","111,056m",126,148,128,128,2.3%,11.7%,39.8%,60.2%,https://www.football-lab.jp/kasm/report/?year=2020&month=08&date=19
H,Ｇ大阪,D,1,1,0.974,2.32,10,25,5,9,0,0,290,635,5,26,12,11,2,2,5,7,21,25,8,10,14,17,28,15,3,2,2,2,2,2,0,0,24,70,8,29,"114,677m","113,770m",154,159,121,122,8.3%,20.5%,35.3%,64.7%,https://www.football-lab.jp/kasm/report/?year=2020&month=08&date=23
A,FC東京,W,2,1,0.71,2.209,11,21,1,11,0,0,275,392,9,11,13,18,3,0,6,4,21,21,10,9,29,20,16,27,0,2,0,3,1,2,0,0,25,37,10,14,"103,613m","102,505m",158,158,116,115,9.5%,18.3%,46.8%,53.2%,https://www.football-lab.jp/kasm/report/?year=2020&month=08&date=26
A,柏,W,3,2,0.744,1.877,11,22,4,8,0,0,281,473,8,18,17,11,5,3,4,7,21,22,5,9,20,9,20,13,0,0,3,3,4,1,1,0,21,62,10,21,"101,261m","108,953m",160,122,113,116,9.7%,19.0%,42.8%,57.2%,https://www.football-lab.jp/kasm/report/?year=2020&month=08&date=29
A,名古屋,W,3,1,0.999,1.645,8,13,3,4,0,0,510,398,11,10,14,16,3,1,5,4,19,27,14,9,12,24,21,20,3,3,1,3,2,1,0,0,43,35,13,9,"115,646m","113,741m",149,139,117,119,6.8%,10.9%,53.9%,46.1%,https://www.football-lab.jp/kasm/report/?year=2020&month=09&date=05
