HOME/AWAY,Opponent,勝敗,oita_得点,oita_失点,Opponent_ゴール期待値,oita_ゴール期待値,Opponent_シュート,oita_シュート,Opponent_枠内シュート,oita_枠内シュート,Opponent_PKによるシュート,oita_PKによるシュート,Opponent_パス,oita_パス,Opponent_クロス,oita_クロス,Opponent_直接ＦＫ,oita_直接ＦＫ,Opponent_間接ＦＫ,oita_間接ＦＫ,Opponent_ＣＫ,oita_ＣＫ,Opponent_スローイン,oita_スローイン,Opponent_ドリブル,oita_ドリブル,Opponent_タックル,oita_タックル,Opponent_クリア,oita_クリア,Opponent_インターセプト,oita_インターセプト,Opponent_オフサイド,oita_オフサイド,Opponent_警告,oita_警告,Opponent_退場,oita_退場,Opponent_３０ｍライン進入,oita_３０ｍライン進入,Opponent_ペナルティエリア進入,oita_ペナルティエリア進入,Opponent_総移動距離,oita_総移動距離,Opponent_スプリント,oita_スプリント,Opponent_攻撃回数,oita_攻撃回数,Opponent_チャンス構築率,oita_チャンス構築率,Opponent_ボール保持率,oita_ボール保持率,URL
A,Ｃ大阪,L,0,1,1.02,2.111,11,18,2,2,0,0,430,608,14,24,12,5,2,0,6,12,16,17,4,6,12,14,31,11,3,2,0,2,0,0,0,0,25,60,11,11,"118,070m","117,317m",135,153,99,98,11.1%,18.4%,45.2%,54.8%,https://www.football-lab.jp/oita/report/?year=2020&month=02&date=22
H,鳥栖,W,2,0,0.781,0.789,13,9,4,5,0,0,537,602,11,13,10,7,1,1,6,2,20,14,7,1,9,9,16,21,1,2,1,0,0,0,0,0,33,37,11,7,"119,225m","116,736m",157,156,100,92,13.0%,9.8%,50%,50%,https://www.football-lab.jp/oita/report/?year=2020&month=07&date=04
A,広島,W,2,1,0.641,1.317,12,16,2,7,0,0,518,675,17,15,6,5,2,6,7,7,18,17,13,8,15,10,22,15,1,4,5,2,0,0,0,0,40,48,13,10,"113,826m","119,349m",128,166,100,101,12.0%,15.8%,44.9%,55.1%,https://www.football-lab.jp/oita/report/?year=2020&month=07&date=08
H,神戸,D,1,1,1.128,1.244,14,11,3,4,0,0,658,381,16,8,9,8,1,0,5,2,18,18,14,8,21,16,12,24,1,5,0,1,0,0,0,0,51,30,10,6,"114,212m","116,141m",182,173,102,94,13.7%,11.7%,60.8%,39.2%,https://www.football-lab.jp/oita/report/?year=2020&month=07&date=11
A,Ｇ大阪,L,1,2,2.117,0.711,18,8,6,4,1,0,608,518,14,13,9,3,1,2,2,2,30,17,10,5,13,13,16,19,2,2,2,1,0,0,0,0,56,25,13,7,"115,368m","115,656m",151,167,102,92,17.6%,8.7%,53%,47%,https://www.football-lab.jp/oita/report/?year=2020&month=07&date=18
H,名古屋,L,0,3,0.872,0.429,10,5,6,2,0,0,495,547,8,17,13,6,0,1,3,7,19,14,10,8,13,13,23,18,1,1,1,1,0,2,0,0,23,43,8,9,"119,360m","114,982m",146,144,90,94,11.1%,5.3%,47%,53%,https://www.football-lab.jp/oita/report/?year=2020&month=07&date=22
A,清水,L,2,4,2.824,0.675,22,4,12,2,0,0,602,518,13,16,11,4,4,0,7,1,22,15,10,4,19,10,14,27,2,6,0,4,0,0,0,0,51,39,17,6,"112,372m","115,284m",161,165,121,105,18.2%,3.8%,53%,47%,https://www.football-lab.jp/oita/report/?year=2020&month=07&date=26
H,鹿島,L,1,4,2.456,0.328,16,7,5,1,1,0,540,503,5,11,10,9,2,3,0,3,25,20,6,2,23,17,17,12,4,1,3,2,1,1,0,0,28,29,10,4,"114,580m","119,007m",165,175,121,118,13.2%,5.9%,50.2%,49.8%,https://www.football-lab.jp/oita/report/?year=2020&month=08&date=01
A,川崎Ｆ,L,0,2,1.404,0.161,18,4,6,1,0,0,608,639,15,2,6,5,3,2,8,1,20,9,7,4,11,20,3,30,2,1,2,3,0,0,0,0,61,18,15,0,"110,787m","113,956m",151,144,96,80,18.8%,5.0%,48.2%,51.8%,https://www.football-lab.jp/oita/report/?year=2020&month=08&date=08
H,横浜FM,W,1,0,1.022,0.985,14,8,2,2,0,0,702,396,13,14,8,8,3,1,9,3,26,29,10,10,20,23,10,21,2,3,1,3,0,1,0,0,50,26,17,8,"125,231m","122,303m",223,205,123,123,11.4%,6.5%,58%,42%,https://www.football-lab.jp/oita/report/?year=2020&month=08&date=15
A,札幌,D,1,1,2.025,1.401,20,7,7,5,0,0,633,431,29,7,13,6,0,0,10,3,36,17,18,3,10,20,11,36,1,3,0,0,0,0,0,0,51,19,23,4,"117,275m","113,717m",153,160,124,100,16.1%,7.0%,55.7%,44.3%,https://www.football-lab.jp/oita/report/?year=2020&month=08&date=19
H,柏,D,0,0,1.489,1.483,16,10,5,2,0,0,436,531,11,22,5,8,2,2,4,3,21,24,9,4,20,17,19,32,4,1,2,2,2,1,0,0,40,44,13,11,"106,924m","112,596m",122,149,92,99,17.4%,10.1%,45.4%,54.6%,https://www.football-lab.jp/oita/report/?year=2020&month=08&date=23
