HOME/AWAY,Opponent,勝敗,tosu_得点,tosu_失点,tosu_ゴール期待値,Opponent_ゴール期待値,tosu_シュート,Opponent_シュート,tosu_枠内シュート,Opponent_枠内シュート,tosu_PKによるシュート,Opponent_PKによるシュート,tosu_パス,Opponent_パス,tosu_クロス,Opponent_クロス,tosu_直接ＦＫ,Opponent_直接ＦＫ,tosu_間接ＦＫ,Opponent_間接ＦＫ,tosu_ＣＫ,Opponent_ＣＫ,tosu_スローイン,Opponent_スローイン,tosu_ドリブル,Opponent_ドリブル,tosu_タックル,Opponent_タックル,tosu_クリア,Opponent_クリア,tosu_インターセプト,Opponent_インターセプト,tosu_オフサイド,Opponent_オフサイド,tosu_警告,Opponent_警告,tosu_退場,Opponent_退場,tosu_３０ｍライン進入,Opponent_３０ｍライン進入,tosu_ペナルティエリア進入,Opponent_ペナルティエリア進入,tosu_総移動距離,Opponent_総移動距離,tosu_スプリント,Opponent_スプリント,tosu_攻撃回数,Opponent_攻撃回数,tosu_チャンス構築率,Opponent_チャンス構築率,tosu_ボール保持率,Opponent_ボール保持率,URL
H,新潟,L,1,2,1.17,2.691,12,18,3,8,0,1,365,700,11,14,6,11,4,0,5,6,16,23,12,15,15,11,22,14,2,2,0,4,1,2,0,0,21,37,13,16,"124,199m","121,970m",133,108,96,106,12.5%,17.0%,36%,64%,https://www.football-lab.jp/tosu/report/?year=2024&month=02&date=24
H,札幌,W,4,0,1.666,1.809,12,11,5,3,1,1,441,481,20,7,10,10,3,4,5,5,23,24,12,10,17,17,14,23,0,2,4,3,0,3,0,1,38,27,15,10,"118,061m","109,796m",122,131,130,133,9.2%,8.3%,47.5%,52.5%,https://www.football-lab.jp/tosu/report/?year=2024&month=03&date=02
A,広島,L,0,4,0.332,3.482,7,29,2,9,0,1,492,431,9,21,14,17,5,1,2,8,10,21,13,12,18,20,17,11,3,2,0,5,3,0,0,0,25,37,4,13,"118,316m","115,818m",132,162,104,122,6.7%,23.8%,54.2%,45.8%,https://www.football-lab.jp/tosu/report/?year=2024&month=03&date=09
H,Ｃ大阪,L,0,2,0.846,0.572,13,6,2,3,0,0,626,362,17,10,15,10,1,2,6,0,17,23,19,10,17,18,12,26,1,3,2,1,1,1,0,1,39,26,13,7,"121,465m","120,430m",122,133,117,113,11.1%,5.3%,58.4%,41.6%,https://www.football-lab.jp/tosu/report/?year=2024&month=03&date=16
A,町田,L,1,3,0.743,2.554,12,16,4,6,0,1,540,360,8,16,11,9,6,0,1,0,17,21,5,16,18,18,21,6,1,2,0,6,3,1,0,0,33,35,12,16,"120,200m","120,781m",160,151,117,115,10.3%,13.9%,56.6%,43.4%,https://www.football-lab.jp/tosu/report/?year=2024&month=03&date=30
H,神戸,D,0,0,0.608,1.667,12,12,6,2,0,0,384,389,16,26,9,13,1,1,5,12,23,25,11,16,17,13,29,25,1,3,1,1,1,0,0,0,29,33,5,10,"118,890m","115,465m",169,152,124,125,9.7%,9.6%,47.8%,52.2%,https://www.football-lab.jp/tosu/report/?year=2024&month=04&date=03
A,浦和,L,0,3,0.481,2.813,6,23,2,8,0,0,590,494,18,6,8,13,5,1,2,4,19,13,12,14,14,15,16,15,1,1,1,5,1,1,0,0,42,49,11,24,"122,986m","121,726m",133,157,102,98,5.9%,23.5%,52.9%,47.1%,https://www.football-lab.jp/tosu/report/?year=2024&month=04&date=07
A,Ｇ大阪,L,1,2,0.695,3.758,11,28,5,9,0,0,306,651,12,38,7,7,2,1,3,16,9,24,7,22,26,10,47,14,1,1,1,2,2,0,1,0,29,84,8,36,"118,117m","117,201m",105,109,87,109,12.6%,25.7%,37.7%,62.3%,https://www.football-lab.jp/tosu/report/?year=2024&month=04&date=14
H,鹿島,W,4,2,2.497,2.347,14,19,8,4,1,1,369,415,11,29,9,11,2,3,8,8,18,21,7,20,19,17,28,17,2,0,2,2,2,0,0,0,29,42,11,25,"129,723m","121,369m",184,206,111,104,12.6%,18.3%,47%,53%,https://www.football-lab.jp/tosu/report/?year=2024&month=04&date=20
A,柏,D,1,1,0.279,2.34,3,18,1,6,0,0,468,462,10,33,12,12,0,1,3,8,18,23,4,15,9,9,34,19,0,0,1,0,2,2,0,0,21,51,4,23,"115,371m","116,426m",114,133,101,99,3.0%,18.2%,47.8%,52.2%,https://www.football-lab.jp/tosu/report/?year=2024&month=04&date=28
H,東京Ｖ,L,0,2,1.153,2.065,10,14,2,4,0,1,669,307,22,9,13,8,2,2,5,4,21,16,16,8,13,16,9,28,0,2,2,2,1,3,0,0,38,24,13,11,"119,145m","121,519m",109,121,107,103,9.3%,13.6%,64.1%,35.9%,https://www.football-lab.jp/tosu/report/?year=2024&month=05&date=03
A,湘南,L,1,2,1.386,0.875,15,12,5,5,0,0,408,478,13,11,7,11,5,2,7,4,26,28,16,6,11,21,29,26,2,3,1,5,2,3,0,0,21,27,10,11,"118,023m","116,401m",157,125,116,116,12.9%,10.3%,46.2%,53.8%,https://www.football-lab.jp/tosu/report/?year=2024&month=05&date=06
A,磐田,W,3,0,1.755,2.707,13,18,7,2,0,0,460,449,18,20,12,17,3,1,5,8,24,19,12,14,13,11,25,21,0,0,0,3,1,0,0,0,36,36,12,17,"116,190m","114,254m",114,97,119,115,10.9%,15.7%,48.8%,51.2%,https://www.football-lab.jp/tosu/report/?year=2024&month=05&date=11
H,川崎Ｆ,W,5,2,3.006,2.583,16,17,8,7,0,0,410,638,6,20,8,5,1,1,4,7,18,26,9,14,12,9,25,12,2,4,1,1,1,0,0,0,26,50,10,28,"126,880m","118,965m",149,152,105,111,15.2%,15.3%,40.2%,59.8%,https://www.football-lab.jp/tosu/report/?year=2024&month=05&date=15
H,名古屋,L,0,2,0.556,2.301,5,21,2,7,0,0,449,497,11,23,13,16,6,1,2,7,27,14,7,16,10,9,25,23,1,1,1,6,2,1,1,0,16,55,4,24,"120,761m","126,719m",158,187,126,120,4.0%,17.5%,47.5%,52.5%,https://www.football-lab.jp/tosu/report/?year=2024&month=05&date=18
H,FC東京,L,0,1,1.187,1.119,12,11,4,4,0,0,499,520,24,9,4,10,5,1,8,4,34,20,15,11,14,19,19,33,2,3,1,5,2,1,0,0,37,41,13,12,"123,204m","122,822m",135,158,110,106,10.9%,10.4%,47.7%,52.3%,https://www.football-lab.jp/tosu/report/?year=2024&month=05&date=31
A,福岡,L,0,2,0.579,1.03,7,16,1,4,0,0,573,326,11,21,15,7,0,0,3,4,22,18,6,15,13,12,25,19,2,1,0,0,1,2,0,0,40,30,4,13,"111,247m","113,965m",99,134,111,102,6.3%,15.7%,59.4%,40.6%,https://www.football-lab.jp/tosu/report/?year=2024&month=06&date=16
H,京都,W,3,0,1.706,1.472,16,16,8,8,0,0,260,415,5,23,8,13,1,2,5,8,18,28,9,8,12,11,41,12,1,1,2,1,0,1,0,0,21,43,10,14,"116,183m","110,887m",121,134,122,127,13.1%,12.6%,42.7%,57.3%,https://www.football-lab.jp/tosu/report/?year=2024&month=06&date=22
A,Ｃ大阪,L,0,1,1.339,1.363,13,11,2,2,0,0,589,469,24,17,5,5,2,0,3,6,22,22,12,18,13,15,30,25,1,1,0,2,0,1,0,0,56,42,15,11,"120,771m","115,634m",132,131,104,109,12.5%,10.1%,50.8%,49.2%,https://www.football-lab.jp/tosu/report/?year=2024&month=06&date=26
H,柏,L,1,4,1.252,2.593,10,17,5,7,0,1,576,405,18,13,7,14,0,1,9,1,14,21,5,9,14,11,11,20,0,3,1,0,1,0,0,0,38,44,8,20,"122,013m","124,810m",170,170,100,97,10.0%,17.5%,56.4%,43.6%,https://www.football-lab.jp/tosu/report/?year=2024&month=06&date=30
A,横浜FM,W,1,0,1.083,2.347,14,26,6,5,0,0,298,563,15,13,7,11,4,4,7,8,21,24,11,21,14,5,32,29,1,2,4,4,1,0,0,0,21,58,14,23,"125,660m","119,369m",138,131,114,111,12.3%,23.4%,39.8%,60.2%,https://www.football-lab.jp/tosu/report/?year=2024&month=07&date=03
A,新潟,W,4,3,2.06,1.887,18,20,7,7,0,0,398,584,12,23,9,8,1,0,6,5,12,26,9,21,18,10,28,13,2,0,0,1,1,2,0,0,29,45,14,16,"121,924m","116,293m",121,90,95,105,18.9%,19.0%,42.4%,57.6%,https://www.football-lab.jp/tosu/report/?year=2024&month=07&date=06
