HOME/AWAY,Opponent,勝敗,tosu_得点,tosu_失点,tosu_ゴール期待値,Opponent_ゴール期待値,tosu_シュート,Opponent_シュート,tosu_枠内シュート,Opponent_枠内シュート,tosu_PKによるシュート,Opponent_PKによるシュート,tosu_パス,Opponent_パス,tosu_クロス,Opponent_クロス,tosu_直接ＦＫ,Opponent_直接ＦＫ,tosu_間接ＦＫ,Opponent_間接ＦＫ,tosu_ＣＫ,Opponent_ＣＫ,tosu_スローイン,Opponent_スローイン,tosu_ドリブル,Opponent_ドリブル,tosu_タックル,Opponent_タックル,tosu_クリア,Opponent_クリア,tosu_インターセプト,Opponent_インターセプト,tosu_オフサイド,Opponent_オフサイド,tosu_警告,Opponent_警告,tosu_退場,Opponent_退場,tosu_３０ｍライン進入,Opponent_３０ｍライン進入,tosu_ペナルティエリア進入,Opponent_ペナルティエリア進入,tosu_総移動距離,Opponent_総移動距離,tosu_スプリント,Opponent_スプリント,tosu_攻撃回数,Opponent_攻撃回数,tosu_チャンス構築率,Opponent_チャンス構築率,tosu_ボール保持率,Opponent_ボール保持率,URL
H,Ｇ大阪,L,0,2,0.917,1.246,13,14,3,7,0,0,619,466,21,8,7,10,0,0,6,2,22,24,17,7,15,12,12,17,1,1,0,0,1,0,0,0,40,33,16,6,"123,290m","117,082m",154,140,105,110,12.4%,12.7%,52.6%,47.4%,https://www.football-lab.jp/tosu/report/?year=2024&month=07&date=14
H,広島,L,1,4,1.46,2.732,17,25,5,10,0,0,432,364,15,25,5,13,1,1,9,9,19,19,14,12,8,13,30,26,0,3,1,1,2,0,0,0,45,46,11,25,"109,630m","108,812m",91,94,105,112,16.2%,22.3%,53.2%,46.8%,https://www.football-lab.jp/tosu/report/?year=2024&month=07&date=21
A,鹿島,L,0,3,0.822,1.749,12,17,5,7,0,0,566,421,11,13,9,11,4,1,4,5,21,11,11,8,18,12,17,20,3,5,1,4,4,1,0,0,36,36,10,15,"107,981m","106,709m",71,93,103,96,11.7%,17.7%,56.8%,43.2%,https://www.football-lab.jp/tosu/report/?year=2024&month=08&date=07
H,浦和,D,1,1,2.776,1.643,18,19,5,5,1,0,411,480,14,11,8,12,0,0,6,8,10,24,18,13,11,9,19,23,4,1,0,0,0,1,0,1,45,49,17,12,"114,728m","110,384m",111,122,93,106,19.4%,17.9%,47.4%,52.6%,https://www.football-lab.jp/tosu/report/?year=2024&month=08&date=11
A,札幌,L,3,5,1.198,2.463,12,18,5,6,0,1,433,530,7,15,3,15,2,1,0,3,17,17,10,22,20,20,29,16,0,3,1,1,0,1,0,0,34,46,9,17,"116,053m","111,327m",72,86,107,114,11.2%,15.8%,46.8%,53.2%,https://www.football-lab.jp/tosu/report/?year=2024&month=08&date=16
A,神戸,L,0,2,0.464,1.818,9,13,2,5,0,0,400,507,7,18,9,9,1,1,1,8,17,21,11,6,12,12,29,21,1,2,1,1,1,0,0,0,23,34,9,15,"111,885m","112,269m",77,103,98,101,9.2%,12.9%,45.3%,54.7%,https://www.football-lab.jp/tosu/report/?year=2024&month=08&date=25
H,湘南,L,1,2,1.101,2.56,10,14,1,5,0,0,486,407,10,9,16,15,3,2,3,0,22,23,10,10,18,26,11,16,4,5,2,3,1,4,0,0,29,32,7,10,"122,595m","117,842m",135,131,123,122,8.1%,11.5%,52.9%,47.1%,https://www.football-lab.jp/tosu/report/?year=2024&month=08&date=31
A,川崎Ｆ,L,2,3,2.345,1.649,15,16,6,7,1,0,474,539,20,20,4,9,3,1,4,8,14,17,19,11,20,20,30,32,1,3,1,3,1,0,0,0,44,53,16,21,"117,991m","110,346m",106,94,110,118,13.6%,13.6%,46.5%,53.5%,https://www.football-lab.jp/tosu/report/?year=2024&month=09&date=13
A,東京Ｖ,L,0,2,1.151,1.046,11,10,4,4,0,0,607,382,14,10,10,9,0,1,3,2,13,14,10,6,7,10,7,15,0,2,1,0,2,1,0,0,46,28,13,8,"115,463m","115,987m",127,126,96,103,11.5%,9.7%,58.6%,41.4%,https://www.football-lab.jp/tosu/report/?year=2024&month=09&date=22
H,福岡,D,0,0,0.672,0.549,12,11,5,3,0,0,379,345,16,17,10,11,1,0,4,5,21,23,12,12,13,16,31,17,0,1,0,1,1,3,0,0,21,38,8,11,"112,409m","107,279m",112,115,105,111,11.4%,9.9%,52.1%,47.9%,https://www.football-lab.jp/tosu/report/?year=2024&month=09&date=28
A,FC東京,D,1,1,1.933,1.295,19,18,5,6,0,0,297,509,14,25,6,14,1,1,7,11,15,24,7,16,10,12,51,23,0,0,1,1,2,1,0,0,34,54,12,18,"112,055m","110,589m",122,119,97,108,19.6%,16.7%,41.5%,58.5%,https://www.football-lab.jp/tosu/report/?year=2024&month=10&date=05
A,京都,L,0,2,0.854,1.1,11,14,3,6,0,0,433,223,19,16,12,10,0,4,9,5,29,16,11,14,17,7,19,29,0,2,4,0,1,2,1,1,34,27,14,11,"104,894m","101,867m",99,129,113,107,9.7%,13.1%,60%,40%,https://www.football-lab.jp/tosu/report/?year=2024&month=10&date=19
H,町田,W,2,1,0.742,0.613,8,12,3,3,0,0,299,425,6,19,7,6,2,2,3,9,17,32,7,14,16,16,42,6,0,0,2,2,0,1,0,0,19,43,3,14,"119,967m","117,697m",131,110,100,124,8.0%,9.7%,46.6%,53.4%,https://www.football-lab.jp/tosu/report/?year=2024&month=11&date=03
H,横浜FM,L,1,2,1.04,1.371,15,13,4,4,0,0,328,626,9,18,8,17,3,2,5,6,13,24,14,13,9,18,23,15,3,0,2,3,2,1,0,0,27,51,6,18,"122,684m","118,921m",142,122,114,119,13.2%,10.9%,39%,61%,https://www.football-lab.jp/tosu/report/?year=2024&month=11&date=09
A,名古屋,W,3,0,0.86,1.609,8,16,4,4,0,0,321,616,11,28,11,18,3,1,2,6,12,18,7,11,6,21,36,15,0,3,1,3,1,0,0,0,30,50,11,12,"123,580m","117,671m",114,99,104,112,7.7%,14.3%,39.8%,60.2%,https://www.football-lab.jp/tosu/report/?year=2024&month=11&date=30
H,磐田,W,3,0,1.992,0.893,15,11,6,6,0,0,441,462,10,33,10,12,2,2,2,4,17,25,10,18,19,14,32,14,1,2,2,1,0,1,0,0,28,40,14,15,"125,485m","120,548m",141,120,129,132,11.6%,8.3%,51.6%,48.4%,https://www.football-lab.jp/tosu/report/?year=2024&month=12&date=08
