HOME/AWAY,Opponent,勝敗,y-fm_得点,y-fm_失点,Opponent_ゴール期待値,y-fm_ゴール期待値,Opponent_シュート,y-fm_シュート,Opponent_枠内シュート,y-fm_枠内シュート,Opponent_PKによるシュート,y-fm_PKによるシュート,Opponent_パス,y-fm_パス,Opponent_クロス,y-fm_クロス,Opponent_直接ＦＫ,y-fm_直接ＦＫ,Opponent_間接ＦＫ,y-fm_間接ＦＫ,Opponent_ＣＫ,y-fm_ＣＫ,Opponent_スローイン,y-fm_スローイン,Opponent_ドリブル,y-fm_ドリブル,Opponent_タックル,y-fm_タックル,Opponent_クリア,y-fm_クリア,Opponent_インターセプト,y-fm_インターセプト,Opponent_オフサイド,y-fm_オフサイド,Opponent_警告,y-fm_警告,Opponent_退場,y-fm_退場,Opponent_３０ｍライン進入,y-fm_３０ｍライン進入,Opponent_ペナルティエリア進入,y-fm_ペナルティエリア進入,Opponent_総移動距離,y-fm_総移動距離,Opponent_スプリント,y-fm_スプリント,Opponent_攻撃回数,y-fm_攻撃回数,Opponent_チャンス構築率,y-fm_チャンス構築率,Opponent_ボール保持率,y-fm_ボール保持率,URL
A,東京Ｖ,W,2,1,1.376,1.13,17,8,7,3,0,1,292,641,12,17,12,13,5,4,6,5,26,32,12,12,31,18,25,27,3,2,4,5,1,2,0,0,29,51,10,11,"125,645m","120,793m",162,112,128,137,13.3%,5.8%,37.2%,62.8%,https://www.football-lab.jp/y-fm/report/?year=2024&month=02&date=25
H,福岡,L,0,1,0.87,2.643,9,22,4,5,0,0,305,773,15,22,7,16,0,2,1,8,12,22,6,27,16,8,49,13,6,2,2,0,0,1,0,0,34,85,10,21,"123,368m","119,796m",150,98,105,122,8.6%,18.0%,35.7%,64.3%,https://www.football-lab.jp/y-fm/report/?year=2024&month=03&date=01
A,京都,W,3,2,2.221,2.096,18,17,5,6,0,0,285,450,25,19,7,12,4,0,8,8,17,23,12,12,19,17,18,31,1,0,0,4,1,1,1,1,32,45,14,13,"106,794m","110,284m",177,128,101,110,17.8%,15.5%,44.9%,55.1%,https://www.football-lab.jp/y-fm/report/?year=2024&month=03&date=17
A,名古屋,L,1,2,1.235,2.238,13,16,5,5,0,0,320,535,14,24,18,19,3,1,2,9,22,20,4,23,23,12,20,27,1,0,1,3,1,3,0,0,28,46,14,17,"119,939m","116,568m",138,121,109,111,11.9%,14.4%,40.8%,59.2%,https://www.football-lab.jp/y-fm/report/?year=2024&month=03&date=30
H,川崎Ｆ,D,0,0,1.044,1.841,14,19,1,4,0,0,307,455,17,23,14,15,1,2,5,14,25,26,13,14,29,20,33,20,3,0,2,1,4,0,1,0,32,45,13,13,"110,522m","116,367m",157,134,126,135,11.1%,14.1%,46.1%,53.9%,https://www.football-lab.jp/y-fm/report/?year=2024&month=04&date=03
A,神戸,W,2,1,2.227,1.949,18,18,3,6,0,0,317,448,28,15,11,8,5,6,4,10,24,25,10,18,14,11,20,47,5,0,6,5,1,3,1,0,36,34,15,17,"112,990m","113,563m",128,116,113,118,15.9%,15.3%,44.1%,55.9%,https://www.football-lab.jp/y-fm/report/?year=2024&month=04&date=07
H,Ｇ大阪,W,2,0,1.409,1.142,22,12,9,5,0,0,419,470,25,11,9,10,4,4,11,3,16,15,24,17,28,23,19,33,0,0,4,4,1,2,0,0,47,42,16,15,"116,308m","121,330m",138,137,127,116,17.3%,10.3%,48.9%,51.1%,https://www.football-lab.jp/y-fm/report/?year=2024&month=04&date=10
H,湘南,D,2,2,1.13,1.704,17,16,5,9,0,0,322,460,12,16,10,20,5,3,3,6,27,20,9,9,22,21,25,15,2,0,3,5,1,2,1,0,20,44,13,16,"113,694m","113,985m",165,130,115,133,14.8%,12.0%,46%,54%,https://www.football-lab.jp/y-fm/report/?year=2024&month=04&date=13
A,Ｃ大阪,D,2,2,2.418,1.095,18,8,7,3,1,0,394,566,16,25,13,10,1,0,8,5,14,23,16,8,13,13,36,33,2,0,0,1,0,4,0,0,48,46,11,15,"121,097m","122,471m",145,126,105,96,17.1%,8.3%,46.6%,53.4%,https://www.football-lab.jp/y-fm/report/?year=2024&month=04&date=27
H,磐田,D,1,1,0.879,3.259,13,24,1,5,0,0,291,574,24,17,13,12,5,3,6,9,13,11,12,19,24,11,39,32,1,2,3,5,1,3,0,0,30,53,15,20,"110,350m","110,591m",98,93,105,103,12.4%,23.3%,37.6%,62.4%,https://www.football-lab.jp/y-fm/report/?year=2024&month=05&date=03
A,浦和,L,1,2,1.369,0.505,19,10,6,3,0,0,501,502,16,18,13,8,0,3,8,5,27,17,20,10,18,13,18,23,1,1,3,0,3,0,0,0,43,49,16,10,"118,444m","122,663m",151,139,118,109,16.1%,9.2%,51.3%,48.7%,https://www.football-lab.jp/y-fm/report/?year=2024&month=05&date=06
