HOME/AWAY,Opponent,勝敗,sapp_得点,sapp_失点,Opponent_ゴール期待値,sapp_ゴール期待値,Opponent_シュート,sapp_シュート,Opponent_枠内シュート,sapp_枠内シュート,Opponent_PKによるシュート,sapp_PKによるシュート,Opponent_パス,sapp_パス,Opponent_クロス,sapp_クロス,Opponent_直接ＦＫ,sapp_直接ＦＫ,Opponent_間接ＦＫ,sapp_間接ＦＫ,Opponent_ＣＫ,sapp_ＣＫ,Opponent_スローイン,sapp_スローイン,Opponent_ドリブル,sapp_ドリブル,Opponent_タックル,sapp_タックル,Opponent_クリア,sapp_クリア,Opponent_インターセプト,sapp_インターセプト,Opponent_オフサイド,sapp_オフサイド,Opponent_警告,sapp_警告,Opponent_退場,sapp_退場,Opponent_３０ｍライン進入,sapp_３０ｍライン進入,Opponent_ペナルティエリア進入,sapp_ペナルティエリア進入,Opponent_総移動距離,sapp_総移動距離,Opponent_スプリント,sapp_スプリント,Opponent_攻撃回数,sapp_攻撃回数,Opponent_チャンス構築率,sapp_チャンス構築率,Opponent_ボール保持率,sapp_ボール保持率,URL
A,福岡,D,0,0,0.605,0.496,9,9,2,3,0,0,383,709,8,18,9,10,1,3,2,2,19,20,8,12,20,21,34,9,2,4,3,1,0,2,0,0,31,54,6,10,"117,202m","114,806m",138,110,113,126,8.0%,7.1%,37.9%,62.1%,https://www.football-lab.jp/sapp/report/?year=2024&month=02&date=24
A,鳥栖,L,0,4,1.666,1.809,12,11,5,3,1,1,441,481,20,7,10,10,3,4,5,5,23,24,12,10,17,17,14,23,0,2,4,3,0,3,0,1,38,27,15,10,"118,061m","109,796m",122,131,130,133,9.2%,8.3%,47.5%,52.5%,https://www.football-lab.jp/sapp/report/?year=2024&month=03&date=02
H,浦和,L,0,1,1.198,0.847,9,12,3,1,0,0,375,581,11,11,16,11,1,1,3,4,21,28,13,8,30,21,35,24,3,1,1,1,0,2,0,0,30,52,18,10,"110,732m","109,978m",100,104,123,125,7.3%,9.6%,43%,57%,https://www.football-lab.jp/sapp/report/?year=2024&month=03&date=10
H,町田,L,1,2,1.16,0.799,7,9,2,3,0,0,301,585,14,18,12,16,0,1,4,6,20,24,11,15,23,15,28,18,3,1,1,0,1,1,0,0,30,45,20,11,"119,244m","116,151m",120,128,123,132,5.7%,6.8%,39.1%,60.9%,https://www.football-lab.jp/sapp/report/?year=2024&month=03&date=16
A,神戸,L,1,6,3.542,0.293,25,5,13,0,0,0,342,575,20,5,12,8,3,3,6,1,19,20,14,14,22,12,13,15,6,1,3,3,2,1,0,0,41,44,23,7,"121,669m","114,354m",166,135,138,132,18.1%,3.8%,41%,59%,https://www.football-lab.jp/sapp/report/?year=2024&month=03&date=30
H,名古屋,L,1,2,1.682,0.872,7,11,5,2,1,0,418,654,4,16,10,13,1,0,1,8,17,21,8,17,19,13,22,9,0,1,0,1,2,2,0,0,23,62,5,15,"115,678m","113,717m",105,90,111,123,6.3%,8.9%,42.5%,57.5%,https://www.football-lab.jp/sapp/report/?year=2024&month=04&date=03
H,Ｇ大阪,W,1,0,1.265,0.949,13,12,1,2,0,0,420,474,6,14,15,15,0,3,4,6,16,15,8,11,18,19,25,14,1,0,3,0,3,1,0,0,32,37,8,11,"107,389m","110,965m",88,102,118,119,11.0%,10.1%,48.6%,51.4%,https://www.football-lab.jp/sapp/report/?year=2024&month=04&date=06
A,新潟,D,1,1,0.739,0.896,13,10,4,4,0,0,647,362,14,7,14,12,0,0,5,6,20,13,22,11,7,14,17,35,1,4,0,0,1,3,0,1,51,28,10,8,"111,991m","111,691m",104,91,119,111,10.9%,9.0%,61.4%,38.6%,https://www.football-lab.jp/sapp/report/?year=2024&month=04&date=13
H,広島,D,1,1,2.16,0.415,22,5,7,2,0,0,505,511,18,3,12,10,0,0,8,1,33,20,12,8,20,20,12,25,4,0,0,0,0,2,0,0,52,34,19,6,"116,624m","117,073m",119,96,139,124,15.8%,4.0%,48.5%,51.5%,https://www.football-lab.jp/sapp/report/?year=2024&month=04&date=20
H,湘南,D,3,3,2.69,1.155,14,13,10,4,0,0,487,436,11,12,9,13,5,1,3,6,20,17,5,12,10,12,21,20,0,0,1,5,1,3,0,0,49,42,11,16,"117,330m","115,976m",120,117,106,113,13.2%,11.5%,53.4%,46.6%,https://www.football-lab.jp/sapp/report/?year=2024&month=04&date=27
A,Ｃ大阪,D,1,1,1.88,1.061,11,12,2,3,1,0,412,427,16,13,17,17,1,1,3,4,20,12,12,14,16,24,9,24,1,4,1,1,0,0,0,0,38,40,19,15,"113,974m","118,155m",137,134,126,117,8.7%,10.3%,50%,50%,https://www.football-lab.jp/sapp/report/?year=2024&month=05&date=03
H,FC東京,L,1,2,1.462,0.848,11,12,6,3,0,0,298,728,9,28,16,11,1,0,2,3,19,23,6,14,14,15,28,11,1,2,0,1,3,2,0,0,19,61,7,17,"116,091m","113,614m",114,109,103,107,10.7%,11.2%,31.8%,68.2%,https://www.football-lab.jp/sapp/report/?year=2024&month=05&date=06
A,川崎Ｆ,L,0,3,1.79,0.91,15,16,7,4,1,0,474,500,9,12,9,15,6,1,4,4,28,16,5,9,11,12,14,23,2,3,1,6,2,2,0,0,43,46,14,11,"113,329m","111,163m",107,112,117,117,12.8%,13.7%,48.6%,51.4%,https://www.football-lab.jp/sapp/report/?year=2024&month=05&date=11
