HOME/AWAY,Opponent,勝敗,uraw_得点,uraw_失点,Opponent_ゴール期待値,uraw_ゴール期待値,Opponent_シュート,uraw_シュート,Opponent_枠内シュート,uraw_枠内シュート,Opponent_PKによるシュート,uraw_PKによるシュート,Opponent_パス,uraw_パス,Opponent_クロス,uraw_クロス,Opponent_直接ＦＫ,uraw_直接ＦＫ,Opponent_間接ＦＫ,uraw_間接ＦＫ,Opponent_ＣＫ,uraw_ＣＫ,Opponent_スローイン,uraw_スローイン,Opponent_ドリブル,uraw_ドリブル,Opponent_タックル,uraw_タックル,Opponent_クリア,uraw_クリア,Opponent_インターセプト,uraw_インターセプト,Opponent_オフサイド,uraw_オフサイド,Opponent_警告,uraw_警告,Opponent_退場,uraw_退場,Opponent_３０ｍライン進入,uraw_３０ｍライン進入,Opponent_ペナルティエリア進入,uraw_ペナルティエリア進入,Opponent_総移動距離,uraw_総移動距離,Opponent_スプリント,uraw_スプリント,Opponent_攻撃回数,uraw_攻撃回数,Opponent_チャンス構築率,uraw_チャンス構築率,Opponent_ボール保持率,uraw_ボール保持率,URL
A,広島,L,0,2,2.854,1.974,27,16,11,4,1,0,410,530,21,14,8,15,0,1,9,5,22,24,9,14,23,14,20,27,3,6,1,0,2,1,0,0,45,29,16,16,"122,162m","119,947m",154,125,139,141,19.4%,11.3%,43.4%,56.6%,https://www.football-lab.jp/uraw/report/?year=2024&month=02&date=23
H,東京Ｖ,D,1,1,0.545,1.807,5,10,1,4,0,1,385,669,13,19,11,8,1,1,6,9,25,27,8,17,27,17,28,18,2,3,1,1,0,3,0,0,24,57,8,9,"125,527m","120,194m",132,115,114,120,4.4%,8.3%,37.8%,62.2%,https://www.football-lab.jp/uraw/report/?year=2024&month=03&date=03
A,札幌,W,1,0,0.847,1.198,12,9,1,3,0,0,581,375,11,11,11,16,1,1,4,3,28,21,8,13,21,30,24,35,1,3,1,1,2,0,0,0,52,30,10,18,"109,978m","110,732m",104,100,125,123,9.6%,7.3%,57%,43%,https://www.football-lab.jp/uraw/report/?year=2024&month=03&date=10
A,湘南,D,4,4,1.963,2.216,20,17,4,6,0,0,394,523,17,19,10,15,2,0,6,7,19,23,12,22,30,22,20,22,0,1,0,2,0,2,0,0,37,34,9,13,"121,887m","117,127m",170,137,120,136,16.7%,12.5%,43.6%,56.4%,https://www.football-lab.jp/uraw/report/?year=2024&month=03&date=17
H,福岡,W,2,1,0.181,2.868,4,18,4,8,0,1,257,645,13,12,7,13,0,6,4,7,21,17,10,11,15,16,26,14,2,0,5,0,2,0,0,0,28,45,4,16,"114,633m","111,094m",119,96,101,108,4.0%,16.7%,31.9%,68.1%,https://www.football-lab.jp/uraw/report/?year=2024&month=03&date=30
A,FC東京,L,1,2,1.213,0.964,18,14,3,5,0,0,443,484,19,18,9,10,2,2,8,6,29,26,17,10,22,17,31,32,2,2,2,2,1,1,0,0,37,42,17,13,"133,971m","126,379m",180,171,132,126,13.6%,11.1%,47.5%,52.5%,https://www.football-lab.jp/uraw/report/?year=2024&month=04&date=03
H,鳥栖,W,3,0,0.481,2.813,6,23,2,8,0,0,590,494,18,6,8,13,5,1,2,4,19,13,12,14,14,15,16,15,1,1,1,5,1,1,0,0,42,49,11,24,"122,986m","121,726m",133,157,102,98,5.9%,23.5%,52.9%,47.1%,https://www.football-lab.jp/uraw/report/?year=2024&month=04&date=07
A,柏,L,0,1,1.398,0.532,15,8,3,1,0,0,373,602,12,13,8,8,2,0,5,3,26,21,8,14,15,22,21,18,3,1,0,2,1,1,0,0,33,30,16,7,"122,119m","117,928m",158,142,118,105,12.7%,7.6%,42.5%,57.5%,https://www.football-lab.jp/uraw/report/?year=2024&month=04&date=12
H,Ｇ大阪,L,0,1,0.359,0.891,6,15,2,4,0,0,395,691,6,15,9,11,2,2,0,11,11,22,14,11,22,21,26,7,5,1,2,2,0,0,0,0,28,63,8,13,"116,370m","119,009m",100,144,98,112,6.1%,13.4%,39.2%,60.8%,https://www.football-lab.jp/uraw/report/?year=2024&month=04&date=20
H,名古屋,W,2,1,1.601,1.282,13,8,4,6,0,1,496,390,18,9,13,11,2,0,5,4,26,23,12,9,18,16,23,21,3,0,0,2,1,2,0,0,49,24,13,9,"110,328m","109,281m",113,117,114,109,11.4%,7.3%,53.6%,46.4%,https://www.football-lab.jp/uraw/report/?year=2024&month=04&date=28
A,川崎Ｆ,L,1,3,1.782,0.952,17,14,6,6,0,0,405,603,16,9,10,8,1,3,7,11,22,21,6,14,18,13,22,22,2,2,3,1,0,1,0,0,41,49,17,13,"116,212m","114,852m",146,153,103,98,16.5%,14.3%,43.2%,56.8%,https://www.football-lab.jp/uraw/report/?year=2024&month=05&date=03
H,横浜FM,W,2,1,0.505,1.369,10,19,3,6,0,0,502,501,18,16,8,13,3,0,5,8,17,27,10,20,13,18,23,18,1,1,0,3,0,3,0,0,49,43,10,16,"122,663m","118,444m",139,151,109,118,9.2%,16.1%,48.7%,51.3%,https://www.football-lab.jp/uraw/report/?year=2024&month=05&date=06
A,新潟,W,4,2,2.232,1.838,20,10,9,5,0,1,594,531,23,6,4,15,3,1,6,1,15,15,18,7,16,14,8,20,2,0,1,3,1,0,0,0,48,36,20,8,"120,689m","118,376m",107,115,93,98,21.5%,10.2%,50.3%,49.7%,https://www.football-lab.jp/uraw/report/?year=2024&month=05&date=11
H,京都,W,3,0,0.815,2.543,11,19,1,10,0,1,355,550,11,15,5,20,2,0,6,9,18,25,8,12,13,13,27,17,3,3,0,2,3,1,1,0,27,41,10,20,"115,544m","111,079m",187,129,110,126,10.0%,15.1%,42%,58%,https://www.football-lab.jp/uraw/report/?year=2024&month=05&date=15
A,磐田,D,1,1,0.923,2.197,11,20,2,5,0,0,291,744,18,15,10,13,1,1,3,5,17,16,7,12,27,12,32,18,2,0,1,1,0,0,0,0,24,67,7,16,"116,490m","110,601m",94,106,100,99,11.0%,20.2%,32.5%,67.5%,https://www.football-lab.jp/uraw/report/?year=2024&month=05&date=19
H,町田,L,1,2,1.838,0.809,7,9,4,4,1,0,323,644,14,18,11,12,3,1,5,5,18,19,12,14,13,22,16,20,1,1,1,3,2,1,0,0,35,42,8,12,"119,468m","112,905m",127,143,108,116,6.5%,7.8%,34.2%,65.8%,https://www.football-lab.jp/uraw/report/?year=2024&month=05&date=26
H,神戸,D,1,1,1.172,1.457,13,21,4,6,0,0,341,571,21,20,9,15,3,2,8,5,14,23,11,14,19,14,34,23,2,1,2,3,3,1,0,0,34,51,7,17,"114,180m","109,353m",126,135,107,113,12.1%,18.6%,40%,60%,https://www.football-lab.jp/uraw/report/?year=2024&month=06&date=01
A,Ｃ大阪,L,1,2,0.695,0.702,11,8,3,1,0,0,396,615,5,21,10,5,1,1,3,3,16,20,14,8,8,13,23,10,2,3,1,1,0,1,0,0,22,54,6,14,"109,650m","106,461m",83,90,100,100,11.0%,8.0%,43.6%,56.4%,https://www.football-lab.jp/uraw/report/?year=2024&month=06&date=15
H,鹿島,D,2,2,1.112,0.867,13,14,7,6,0,0,322,600,12,18,9,8,1,0,1,9,17,27,12,13,10,11,21,10,1,0,0,1,1,2,0,0,31,50,13,13,"113,748m","110,933m",136,136,87,107,14.9%,13.1%,36.8%,63.2%,https://www.football-lab.jp/uraw/report/?year=2024&month=06&date=22
A,名古屋,W,1,0,0.634,1.585,8,15,1,3,0,0,365,507,13,17,9,14,3,3,3,12,13,27,8,13,10,9,27,18,2,1,3,3,6,0,1,0,35,41,11,14,"115,215m","113,989m",159,120,93,116,8.6%,12.9%,40.5%,59.5%,https://www.football-lab.jp/uraw/report/?year=2024&month=06&date=26
