HOME/AWAY,Opponent,勝敗,niig_得点,niig_失点,Opponent_ゴール期待値,niig_ゴール期待値,Opponent_シュート,niig_シュート,Opponent_枠内シュート,niig_枠内シュート,Opponent_PKによるシュート,niig_PKによるシュート,Opponent_パス,niig_パス,Opponent_クロス,niig_クロス,Opponent_直接ＦＫ,niig_直接ＦＫ,Opponent_間接ＦＫ,niig_間接ＦＫ,Opponent_ＣＫ,niig_ＣＫ,Opponent_スローイン,niig_スローイン,Opponent_ドリブル,niig_ドリブル,Opponent_タックル,niig_タックル,Opponent_クリア,niig_クリア,Opponent_インターセプト,niig_インターセプト,Opponent_オフサイド,niig_オフサイド,Opponent_警告,niig_警告,Opponent_退場,niig_退場,Opponent_３０ｍライン進入,niig_３０ｍライン進入,Opponent_ペナルティエリア進入,niig_ペナルティエリア進入,Opponent_総移動距離,niig_総移動距離,Opponent_スプリント,niig_スプリント,Opponent_攻撃回数,niig_攻撃回数,Opponent_チャンス構築率,niig_チャンス構築率,Opponent_ボール保持率,niig_ボール保持率,URL
A,鳥栖,W,2,1,1.17,2.691,12,18,3,8,0,1,365,700,11,14,6,11,4,0,5,6,16,23,12,15,15,11,22,14,2,2,0,4,1,2,0,0,21,37,13,16,"124,199m","121,970m",133,108,96,106,12.5%,17.0%,36%,64%,https://www.football-lab.jp/niig/report/?year=2024&month=02&date=24
A,Ｇ大阪,L,0,1,1.982,0.416,16,5,4,1,1,0,444,607,20,3,10,14,0,3,6,2,27,16,14,7,20,16,16,20,0,3,3,0,2,0,0,0,32,18,13,3,"115,503m","111,193m",106,89,112,106,14.3%,4.7%,44.1%,55.9%,https://www.football-lab.jp/niig/report/?year=2024&month=03&date=02
H,名古屋,W,1,0,0.418,1.065,9,16,3,4,0,0,420,657,8,16,8,9,1,1,6,5,17,22,7,13,33,23,25,24,3,2,1,1,1,1,0,0,27,55,6,16,"121,150m","119,776m",145,123,120,121,7.5%,13.2%,41.5%,58.5%,https://www.football-lab.jp/niig/report/?year=2024&month=03&date=09
A,東京Ｖ,D,2,2,1.061,1.092,10,12,4,3,0,0,420,682,10,12,10,15,3,1,3,6,20,26,4,14,17,14,16,10,3,1,1,3,3,2,0,0,25,53,8,15,"123,341m","119,496m",142,118,110,113,9.1%,10.6%,39.9%,60.1%,https://www.football-lab.jp/niig/report/?year=2024&month=03&date=16
H,柏,D,1,1,2.428,0.823,20,11,11,1,0,0,372,700,19,15,8,13,1,0,10,4,21,26,12,14,18,15,23,26,1,3,0,1,0,1,0,0,31,36,19,10,"119,520m","115,938m",187,102,120,125,16.7%,8.8%,39.3%,60.7%,https://www.football-lab.jp/niig/report/?year=2024&month=03&date=30
A,磐田,L,0,2,2.171,1.03,18,13,5,4,1,0,343,608,17,13,6,13,1,0,8,5,23,19,10,10,24,10,18,21,1,1,0,1,1,2,0,0,31,40,10,13,"114,024m","113,819m",95,114,115,112,15.7%,11.6%,38.7%,61.3%,https://www.football-lab.jp/niig/report/?year=2024&month=04&date=03
H,Ｃ大阪,L,0,1,0.524,1.232,8,13,2,2,0,0,374,700,7,24,6,8,2,1,4,7,20,27,18,16,18,14,31,18,1,0,1,2,2,2,0,0,37,58,5,22,"113,540m","111,820m",113,125,101,108,7.9%,12.0%,40.7%,59.3%,https://www.football-lab.jp/niig/report/?year=2024&month=04&date=07
H,札幌,D,1,1,0.896,0.739,10,13,4,4,0,0,362,647,7,14,12,14,0,0,6,5,13,20,11,22,14,7,35,17,4,1,0,0,3,1,1,0,28,51,8,10,"111,691m","111,991m",91,104,111,119,9.0%,10.9%,38.6%,61.4%,https://www.football-lab.jp/niig/report/?year=2024&month=04&date=13
A,京都,W,1,0,0.961,1.442,13,11,2,3,0,0,362,414,9,14,16,17,3,1,8,7,23,20,11,10,35,20,17,25,1,4,1,3,0,1,0,0,38,27,4,12,"110,751m","108,988m",145,94,122,119,10.7%,9.2%,46.6%,53.4%,https://www.football-lab.jp/niig/report/?year=2024&month=04&date=20
H,FC東京,L,1,3,1.085,0.701,10,14,6,5,0,0,365,649,14,25,9,11,1,0,2,6,17,21,9,11,28,22,25,17,2,3,0,1,0,3,0,0,25,53,11,10,"119,061m","115,808m",132,102,104,108,9.6%,13.0%,39.6%,60.4%,https://www.football-lab.jp/niig/report/?year=2024&month=04&date=27
H,広島,D,1,1,1.311,0.603,15,6,6,2,0,0,623,280,24,9,13,11,0,4,6,3,22,17,10,9,7,12,16,44,1,0,4,0,0,1,0,1,70,19,18,5,"110,483m","110,039m",111,119,109,101,13.8%,5.9%,61.5%,38.5%,https://www.football-lab.jp/niig/report/?year=2024&month=05&date=03
A,神戸,L,2,3,1.979,1.216,16,11,6,3,0,0,366,704,16,7,8,9,2,1,6,4,21,20,7,12,23,11,8,19,2,0,1,2,0,0,0,0,38,45,11,8,"121,568m","119,593m",124,70,113,117,14.2%,9.4%,39.3%,60.7%,https://www.football-lab.jp/niig/report/?year=2024&month=05&date=06
H,浦和,L,2,4,1.838,2.232,10,20,5,9,1,0,531,594,6,23,15,4,1,3,1,6,15,15,7,18,14,16,20,8,0,2,3,1,0,1,0,0,36,48,8,20,"118,376m","120,689m",115,107,98,93,10.2%,21.5%,49.7%,50.3%,https://www.football-lab.jp/niig/report/?year=2024&month=05&date=11
H,横浜FM,W,3,1,1.989,1.499,19,19,4,10,0,0,457,400,19,12,11,15,2,2,9,6,21,18,12,7,12,11,29,30,2,0,2,2,1,0,0,0,35,34,14,15,"112,816m","117,898m",116,120,109,105,17.4%,18.1%,51.8%,48.2%,https://www.football-lab.jp/niig/report/?year=2024&month=05&date=15
A,湘南,L,1,2,1.236,1.59,8,12,3,4,0,0,305,682,6,19,6,14,1,3,3,9,15,29,5,11,20,15,31,14,2,1,3,1,1,2,0,0,21,47,9,16,"118,510m","117,220m",145,143,98,117,8.2%,10.3%,35.4%,64.6%,https://www.football-lab.jp/niig/report/?year=2024&month=05&date=19
H,福岡,L,1,2,0.354,0.896,7,10,3,2,0,0,258,778,12,16,6,12,0,2,5,6,12,22,10,14,18,8,26,16,6,1,3,0,2,0,0,0,28,52,5,12,"118,601m","115,404m",128,81,85,102,8.2%,9.8%,29.5%,70.5%,https://www.football-lab.jp/niig/report/?year=2024&month=05&date=25
A,町田,W,3,1,1.833,0.858,15,8,3,3,0,0,395,392,19,6,6,13,2,3,6,2,16,22,14,8,20,21,19,41,1,1,3,2,0,1,0,0,45,25,19,8,"118,680m","114,726m",130,133,99,105,15.2%,7.6%,47.5%,52.5%,https://www.football-lab.jp/niig/report/?year=2024&month=06&date=01
