HOME/AWAY,Opponent,勝敗,tk-v_得点,tk-v_失点,tk-v_ゴール期待値,Opponent_ゴール期待値,tk-v_シュート,Opponent_シュート,tk-v_枠内シュート,Opponent_枠内シュート,tk-v_PKによるシュート,Opponent_PKによるシュート,tk-v_パス,Opponent_パス,tk-v_クロス,Opponent_クロス,tk-v_直接ＦＫ,Opponent_直接ＦＫ,tk-v_間接ＦＫ,Opponent_間接ＦＫ,tk-v_ＣＫ,Opponent_ＣＫ,tk-v_スローイン,Opponent_スローイン,tk-v_ドリブル,Opponent_ドリブル,tk-v_タックル,Opponent_タックル,tk-v_クリア,Opponent_クリア,tk-v_インターセプト,Opponent_インターセプト,tk-v_オフサイド,Opponent_オフサイド,tk-v_警告,Opponent_警告,tk-v_退場,Opponent_退場,tk-v_３０ｍライン進入,Opponent_３０ｍライン進入,tk-v_ペナルティエリア進入,Opponent_ペナルティエリア進入,tk-v_総移動距離,Opponent_総移動距離,tk-v_スプリント,Opponent_スプリント,tk-v_攻撃回数,Opponent_攻撃回数,tk-v_チャンス構築率,Opponent_チャンス構築率,tk-v_ボール保持率,Opponent_ボール保持率,URL
H,横浜FM,L,1,2,1.376,1.13,17,8,7,3,0,1,292,641,12,17,12,13,5,4,6,5,26,32,12,12,31,18,25,27,3,2,4,5,1,2,0,0,29,51,10,11,"125,645m","120,793m",162,112,128,137,13.3%,5.8%,37.2%,62.8%,https://www.football-lab.jp/tk-v/report/?year=2024&month=02&date=25
A,浦和,D,1,1,0.545,1.807,5,10,1,4,0,1,385,669,13,19,11,8,1,1,6,9,25,27,8,17,27,17,28,18,2,3,1,1,0,3,0,0,24,57,8,9,"125,527m","120,194m",132,115,114,120,4.4%,8.3%,37.8%,62.2%,https://www.football-lab.jp/tk-v/report/?year=2024&month=03&date=03
A,Ｃ大阪,L,1,2,1.091,2.119,10,14,5,4,0,1,396,637,12,12,7,11,2,3,3,5,24,20,10,14,20,22,22,25,2,1,2,2,2,1,1,0,26,50,8,14,"118,125m","118,542m",105,106,111,106,9.0%,13.2%,40.9%,59.1%,https://www.football-lab.jp/tk-v/report/?year=2024&month=03&date=09
H,新潟,D,2,2,1.061,1.092,10,12,4,3,0,0,420,682,10,12,10,15,3,1,3,6,20,26,4,14,17,14,16,10,3,1,1,3,3,2,0,0,25,53,8,15,"123,341m","119,496m",142,118,110,113,9.1%,10.6%,39.9%,60.1%,https://www.football-lab.jp/tk-v/report/?year=2024&month=03&date=16
H,京都,D,2,2,1.687,0.697,13,12,5,4,1,0,465,274,16,19,12,12,3,1,6,9,21,21,8,12,17,8,27,23,0,4,1,3,2,3,0,0,32,28,10,9,"112,996m","114,160m",107,141,105,110,12.4%,10.9%,58.4%,41.6%,https://www.football-lab.jp/tk-v/report/?year=2024&month=03&date=29
A,湘南,W,2,1,0.672,1.574,9,15,2,5,0,0,539,354,9,12,17,9,0,2,2,6,24,20,14,4,27,30,27,24,2,2,2,1,0,3,0,0,29,34,7,13,"120,324m","121,882m",140,163,121,123,7.4%,12.2%,59.1%,40.9%,https://www.football-lab.jp/tk-v/report/?year=2024&month=04&date=03
H,柏,D,1,1,1.007,1.028,13,10,5,2,0,0,462,446,9,14,15,11,2,1,6,4,21,19,16,10,17,13,29,20,2,1,1,2,1,2,0,0,27,30,6,11,"116,434m","113,852m",134,133,119,110,10.9%,9.1%,50.9%,49.1%,https://www.football-lab.jp/tk-v/report/?year=2024&month=04&date=07
H,FC東京,D,2,2,1.439,0.956,11,8,6,4,1,0,506,481,13,10,11,11,3,4,5,5,25,34,5,17,24,17,27,17,3,5,4,1,1,2,0,1,33,24,12,7,"122,984m","114,658m",144,134,117,126,9.4%,6.3%,50.8%,49.2%,https://www.football-lab.jp/tk-v/report/?year=2024&month=04&date=13
A,川崎Ｆ,D,0,0,1.433,0.895,16,14,5,5,0,0,339,501,12,16,15,15,2,3,6,9,16,21,6,20,15,21,31,14,4,0,3,2,2,1,0,0,19,46,15,18,"115,331m","110,691m",144,139,120,127,13.3%,11.0%,42.2%,57.8%,https://www.football-lab.jp/tk-v/report/?year=2024&month=04&date=20
H,福岡,D,0,0,0.947,0.996,9,13,4,3,0,0,553,448,14,15,9,8,0,0,9,5,27,27,13,11,18,25,23,20,0,1,0,0,0,2,0,0,39,39,10,16,"113,971m","110,076m",129,147,114,107,7.9%,12.1%,54.6%,45.4%,https://www.football-lab.jp/tk-v/report/?year=2024&month=04&date=28
